ds,symbol,close,volume
1990-01-02,ABT,3.885798,10106463.0
1990-01-03,ABT,3.899826,6114490.0
1990-01-04,ABT,3.892812,6476263.0
1990-01-05,ABT,3.850728,3382484.0
1990-01-08,ABT,3.850728,6631308.0
1990-01-09,ABT,3.8367,6932488.0
1990-01-10,ABT,3.787601,4795713.0
1990-01-11,ABT,3.822672,2944080.0
1990-01-12,ABT,3.745517,4097118.0
1990-01-15,ABT,3.696418,5677868.0
1990-01-16,ABT,3.738503,5656483.0
1990-01-17,ABT,3.696418,5394509.0
1990-01-18,ABT,3.773573,3888609.0
1990-01-19,ABT,3.815657,4909770.0
1990-01-22,ABT,3.738503,4369784.0
1990-01-23,ABT,3.703432,7413663.0
1990-01-24,ABT,3.71746,6189340.0
1990-01-25,ABT,3.591207,4845613.0
1990-01-26,ABT,3.626277,5063033.0
1990-01-29,ABT,3.619263,4838485.0
1990-01-30,ABT,3.612249,5879249.0
1990-01-31,ABT,3.64732,3712178.0
1990-02-01,ABT,3.661348,5455102.0
1990-02-02,ABT,3.689404,6647347.0
1990-02-05,ABT,3.675376,3275556.0
1990-02-06,ABT,3.633291,4547997.0
1990-02-07,ABT,3.633291,7000209.0
1990-02-08,ABT,3.619263,6438838.0
1990-02-09,ABT,3.598221,4209393.0
1990-02-12,ABT,3.570165,3594557.0
1990-02-13,ABT,3.612249,9341929.0
1990-02-14,ABT,3.640306,6419234.0
1990-02-15,ABT,3.689404,5519259.0
1990-02-16,ABT,3.668362,6265971.0
1990-02-20,ABT,3.612249,5683215.0
1990-02-21,ABT,3.577179,5503219.0
1990-02-22,ABT,3.591207,6087758.0
1990-02-23,ABT,3.535094,9067481.0
1990-02-26,ABT,3.563151,5663611.0
1990-02-27,ABT,3.563151,3396741.0
1990-02-28,ABT,3.598221,7319210.0
1990-03-01,ABT,3.619263,6071719.0
1990-03-02,ABT,3.64732,6369335.0
1990-03-05,ABT,3.612249,4006230.0
1990-03-06,ABT,3.64732,4127414.0
1990-03-07,ABT,3.633291,4474930.0
1990-03-08,ABT,3.633291,6169736.0
1990-03-09,ABT,3.626277,5453320.0
1990-03-12,ABT,3.619263,7431485.0
1990-03-13,ABT,3.563151,7561580.0
1990-03-14,ABT,3.570165,9167280.0
1990-03-15,ABT,3.591207,6059244.0
1990-03-16,ABT,3.640306,11314747.0
1990-03-19,ABT,3.640306,4752942.0
1990-03-20,ABT,3.584193,5982612.0
1990-03-21,ABT,3.556137,11277323.0
1990-03-22,ABT,3.542109,8222751.0
1990-03-23,ABT,3.577179,3851184.0
1990-03-26,ABT,3.591207,4011576.0
1990-03-27,ABT,3.640306,4269985.0
1990-03-28,ABT,3.675376,5636879.0
1990-03-29,ABT,3.689404,5351738.0
1990-03-30,ABT,3.689404,7739793.0
1990-04-02,ABT,3.668362,4170186.0
1990-04-03,ABT,3.759545,5661829.0
1990-04-04,ABT,3.745517,5264414.0
1990-04-05,ABT,3.773573,8636205.0
1990-04-06,ABT,3.794615,4703043.0
1990-04-09,ABT,3.822672,6011127.0
1990-04-10,ABT,3.850728,6609922.0
1990-04-11,ABT,3.885798,4674529.0
1990-04-12,ABT,3.885798,5635097.0
1990-04-16,ABT,3.885798,5349956.0
1990-04-17,ABT,3.892812,4597897.0
1990-04-18,ABT,3.843714,6440620.0
1990-04-19,ABT,3.787601,9516577.0
1990-04-20,ABT,3.759545,6699029.0
1990-04-23,ABT,3.724474,4986401.0
1990-04-24,ABT,3.731489,4389388.0
1990-04-25,ABT,3.759545,6665168.0
1990-04-26,ABT,3.808643,8326114.0
1990-04-27,ABT,3.766559,5307185.0
1990-04-30,ABT,3.745517,7928699.0
1990-05-01,ABT,3.794615,6501212.0
1990-05-02,ABT,3.808643,6925360.0
1990-05-03,ABT,3.794615,4556908.0
1990-05-04,ABT,3.822672,5449755.0
1990-05-07,ABT,3.843714,5239464.0
1990-05-08,ABT,3.87177,5586979.0
1990-05-09,ABT,3.885798,8625512.0
1990-05-10,ABT,3.913855,5333917.0
1990-05-11,ABT,3.976981,10493185.0
1990-05-14,ABT,4.005038,9500538.0
1990-05-15,ABT,3.991009,7786129.0
1990-05-16,ABT,3.969967,8124733.0
1990-05-17,ABT,4.005038,9306286.0
1990-05-18,ABT,3.991009,9199358.0
1990-05-21,ABT,4.012052,10341704.0
1990-05-22,ABT,4.040108,14365755.0
1990-05-23,ABT,4.096221,6023601.0
1990-05-24,ABT,4.124277,10678527.0
1990-05-25,ABT,4.103235,3607032.0
1990-05-29,ABT,4.173375,7057237.0
1990-05-30,ABT,4.159347,7745140.0
1990-05-31,ABT,4.201432,4768982.0
1990-06-01,ABT,4.264558,8511456.0
1990-06-04,ABT,4.278587,7155254.0
1990-06-05,ABT,4.25053,5153031.0
1990-06-06,ABT,4.348727,17348150.0
1990-06-07,ABT,4.278587,7971470.0
1990-06-08,ABT,4.194418,5776776.0
1990-06-11,ABT,4.236502,4937393.0
1990-06-12,ABT,4.376784,8507000.0
1990-06-13,ABT,4.320671,9055006.0
1990-06-14,ABT,4.320671,5471141.0
1990-06-15,ABT,4.334699,14672281.0
1990-06-18,ABT,4.376784,9827559.0
1990-06-19,ABT,4.376784,6067264.0
1990-06-20,ABT,4.489009,9523706.0
1990-06-21,ABT,4.573178,7122285.0
1990-06-22,ABT,4.503037,5696581.0
1990-06-25,ABT,4.489009,5164615.0
1990-06-26,ABT,4.517065,3486739.0
1990-06-27,ABT,4.587206,7051000.0
1990-06-28,ABT,4.713459,6758730.0
1990-06-29,ABT,4.601234,6299832.0
1990-07-02,ABT,4.601234,4609481.0
1990-07-03,ABT,4.685403,4734230.0
1990-07-05,ABT,4.62929,4422357.0
1990-07-06,ABT,4.671375,4270876.0
1990-07-09,ABT,4.713459,5552228.0
1990-07-10,ABT,4.797628,8872337.0
1990-07-11,ABT,4.909853,8621948.0
1990-07-12,ABT,4.895825,6711504.0
1990-07-13,ABT,4.895825,7777218.0
1990-07-16,ABT,4.979994,6160826.0
1990-07-17,ABT,5.036107,8214731.0
1990-07-18,ABT,4.994022,5657374.0
1990-07-19,ABT,4.979994,3877916.0
1990-07-20,ABT,4.994022,4171077.0
1990-07-23,ABT,4.895825,8558682.0
1990-07-24,ABT,4.797628,7239015.0
1990-07-25,ABT,4.881797,5547773.0
1990-07-26,ABT,4.825684,5319660.0
1990-07-27,ABT,4.797628,2993979.0
1990-07-30,ABT,4.741516,5055905.0
1990-07-31,ABT,4.881797,6311416.0
1990-08-01,ABT,4.825684,6428145.0
1990-08-02,ABT,4.657347,4708389.0
1990-08-03,ABT,4.545121,12947179.0
1990-08-06,ABT,4.292615,14241897.0
1990-08-07,ABT,4.460952,10449523.0
1990-08-08,ABT,4.545121,6809521.0
1990-08-09,ABT,4.615262,5197584.0
1990-08-10,ABT,4.517065,4598788.0
1990-08-13,ABT,4.643318,4044545.0
1990-08-14,ABT,4.685403,4088208.0
1990-08-15,ABT,4.615262,8015132.0
1990-08-16,ABT,4.489009,9600338.0
1990-08-17,ABT,4.503037,6808630.0
1990-08-20,ABT,4.40484,5218969.0
1990-08-21,ABT,4.278587,8787686.0
1990-08-22,ABT,4.082192,6227655.0
1990-08-23,ABT,4.012052,10713278.0
1990-08-24,ABT,4.180389,9218962.0
1990-08-27,ABT,4.40484,7784347.0
1990-08-28,ABT,4.517065,5842715.0
1990-08-29,ABT,4.573178,7484058.0
1990-08-30,ABT,4.503037,7508116.0
1990-08-31,ABT,4.489009,2616168.0
1990-09-04,ABT,4.489009,4850960.0
1990-09-05,ABT,4.545121,6417452.0
1990-09-06,ABT,4.418868,4916898.0
1990-09-07,ABT,4.573178,5384708.0
1990-09-10,ABT,4.545121,4721755.0
1990-09-11,ABT,4.545121,3714851.0
1990-09-12,ABT,4.573178,5356194.0
1990-09-13,ABT,4.517065,5536189.0
1990-09-14,ABT,4.517065,4318994.0
1990-09-17,ABT,4.531093,5093329.0
1990-09-18,ABT,4.671375,7566036.0
1990-09-19,ABT,4.615262,7000209.0
1990-09-20,ABT,4.446924,9550438.0
1990-09-21,ABT,4.348727,11298708.0
1990-09-24,ABT,4.320671,6852292.0
1990-09-25,ABT,4.446924,6530618.0
1990-09-26,ABT,4.362755,5455102.0
1990-09-27,ABT,4.264558,7141888.0
1990-09-28,ABT,4.390812,7936719.0
1990-10-01,ABT,4.657347,13466670.0
1990-10-02,ABT,4.671375,7537521.0
1990-10-03,ABT,4.62929,6001325.0
1990-10-04,ABT,4.55915,5717075.0
1990-10-05,ABT,4.531093,8932930.0
1990-10-08,ABT,4.643318,4279787.0
1990-10-09,ABT,4.517065,6408542.0
1990-10-10,ABT,4.489009,5921129.0
1990-10-11,ABT,4.489009,7918897.0
1990-10-12,ABT,4.545121,5081745.0
1990-10-15,ABT,4.615262,6797937.0
1990-10-16,ABT,4.55915,4876800.0
1990-10-17,ABT,4.587206,4653143.0
1990-10-18,ABT,4.797628,6764968.0
1990-10-19,ABT,4.853741,9603011.0
1990-10-22,ABT,5.00805,6467352.0
1990-10-23,ABT,4.895825,6652694.0
1990-10-24,ABT,4.895825,3323674.0
1990-10-25,ABT,4.895825,3707723.0
1990-10-26,ABT,4.811656,3865441.0
1990-10-29,ABT,4.62929,6037859.0
1990-10-30,ABT,4.601234,7116048.0
1990-10-31,ABT,4.601234,3326347.0
1990-11-01,ABT,4.55915,8387598.0
1990-11-02,ABT,4.55915,5455993.0
1990-11-05,ABT,4.601234,7041198.0
1990-11-06,ABT,4.55915,4286915.0
1990-11-07,ABT,4.503037,5397183.0
1990-11-08,ABT,4.55915,3382484.0
1990-11-09,ABT,4.62929,9767858.0
1990-11-12,ABT,4.741516,10746248.0
1990-11-13,ABT,4.727487,5220752.0
1990-11-14,ABT,4.811656,7410099.0
1990-11-15,ABT,4.825684,5691234.0
1990-11-16,ABT,4.741516,4958778.0
1990-11-19,ABT,4.741516,4038308.0
1990-11-20,ABT,4.685403,4485623.0
1990-11-21,ABT,4.755544,3467135.0
1990-11-23,ABT,4.755544,1554909.0
1990-11-26,ABT,4.727487,4670073.0
1990-11-27,ABT,4.769572,5787469.0
1990-11-28,ABT,4.797628,3981280.0
1990-11-29,ABT,4.741516,5436389.0
1990-11-30,ABT,4.895825,7227431.0
1990-12-03,ABT,4.93791,4821554.0
1990-12-04,ABT,5.022079,5437280.0
1990-12-05,ABT,4.994022,4860761.0
1990-12-06,ABT,5.050135,7162383.0
1990-12-07,ABT,5.036107,5630642.0
1990-12-10,ABT,5.092219,4789476.0
1990-12-11,ABT,5.036107,4795713.0
1990-12-12,ABT,5.106248,7201590.0
1990-12-13,ABT,5.064163,3946528.0
1990-12-14,ABT,5.022079,4375131.0
1990-12-17,ABT,4.979994,4677202.0
1990-12-18,ABT,5.036107,3968805.0
1990-12-19,ABT,5.050135,6101124.0
1990-12-20,ABT,4.951938,4878583.0
1990-12-21,ABT,4.895825,8954315.0
1990-12-24,ABT,4.909853,1104921.0
1990-12-26,ABT,4.909853,2569832.0
1990-12-27,ABT,4.93791,3568717.0
1990-12-28,ABT,4.965966,2955664.0
1990-12-31,ABT,5.050135,2894180.0
1991-01-02,ABT,4.853741,6985952.0
1991-01-03,ABT,4.671375,9220744.0
1991-01-04,ABT,4.573178,11642659.0
1991-01-07,ABT,4.503037,6321217.0
1991-01-08,ABT,4.55915,8253938.0
1991-01-09,ABT,4.531093,8710163.0
1991-01-10,ABT,4.55915,4270876.0
1991-01-11,ABT,4.573178,3017147.0
1991-01-14,ABT,4.460952,5367777.0
1991-01-15,ABT,4.474981,4384041.0
1991-01-16,ABT,4.573178,6838926.0
1991-01-17,ABT,4.769572,14979699.0
1991-01-18,ABT,4.797628,7253272.0
1991-01-21,ABT,4.741516,3769206.0
1991-01-22,ABT,4.699431,3996428.0
1991-01-23,ABT,4.797628,5419459.0
1991-01-24,ABT,4.923882,6666951.0
1991-01-25,ABT,4.951938,5554901.0
1991-01-28,ABT,4.979994,4688786.0
1991-01-29,ABT,4.867769,5742025.0
1991-01-30,ABT,4.965966,7345051.0
1991-01-31,ABT,4.881797,5660938.0
1991-02-01,ABT,4.825684,8321659.0
1991-02-04,ABT,4.839713,4963234.0
1991-02-05,ABT,4.994022,7202481.0
1991-02-06,ABT,5.036107,6360424.0
1991-02-07,ABT,5.050135,9850727.0
1991-02-08,ABT,5.022079,6417452.0
1991-02-11,ABT,5.260557,9376680.0
1991-02-12,ABT,5.246529,8878575.0
1991-02-13,ABT,5.204445,9666276.0
