ds,symbol,close,volume
2017-08-24,ACEL,9.8,400
2017-08-25,ACEL,9.8,0
2017-08-28,ACEL,9.8,0
2017-08-29,ACEL,9.75,49000
2017-08-30,ACEL,9.75,100400
2017-08-31,ACEL,9.75,300000
2017-09-01,ACEL,9.75,0
2017-09-05,ACEL,9.75,0
2017-09-06,ACEL,9.75,0
2017-09-07,ACEL,9.75,0
2017-09-08,ACEL,9.75,0
2017-09-11,ACEL,9.75,0
2017-09-12,ACEL,9.75,0
2017-09-13,ACEL,9.75,0
2017-09-14,ACEL,9.8,17400
2017-09-15,ACEL,9.8,0
2017-09-18,ACEL,9.75,1000
2017-09-19,ACEL,9.82,55900
2017-09-20,ACEL,9.82,0
2017-09-21,ACEL,9.82,0
2017-09-22,ACEL,9.79,400
2017-09-25,ACEL,9.79,0
2017-09-26,ACEL,9.79,0
2017-09-27,ACEL,9.79,0
2017-09-28,ACEL,9.83,300
2017-09-29,ACEL,9.83,0
2017-10-02,ACEL,9.83,0
2017-10-03,ACEL,9.83,0
2017-10-04,ACEL,9.85,100
2017-10-05,ACEL,9.85,0
2017-10-06,ACEL,9.85,0
2017-10-09,ACEL,9.85,0
2017-10-10,ACEL,9.85,0
2017-10-11,ACEL,9.75,2300
2017-10-12,ACEL,9.75,0
2017-10-13,ACEL,9.75,0
2017-10-16,ACEL,9.75,0
2017-10-17,ACEL,9.75,0
2017-10-18,ACEL,9.75,50000
2017-10-19,ACEL,9.735,200000
2017-10-20,ACEL,9.735,0
2017-10-23,ACEL,9.735,0
2017-10-24,ACEL,9.735,0
2017-10-25,ACEL,9.735,0
2017-10-26,ACEL,9.735,0
2017-10-27,ACEL,9.735,0
2017-10-30,ACEL,9.735,0
2017-10-31,ACEL,9.735,0
2017-11-01,ACEL,9.749,27900
2017-11-02,ACEL,9.826,1000
2017-11-03,ACEL,9.826,0
2017-11-06,ACEL,9.826,0
2017-11-07,ACEL,9.7,6800
2017-11-08,ACEL,9.7,0
2017-11-09,ACEL,9.7,0
2017-11-10,ACEL,9.7,0
2017-11-13,ACEL,9.72,100000
2017-11-14,ACEL,9.72,0
2017-11-15,ACEL,9.72,606000
2017-11-16,ACEL,9.72,0
2017-11-17,ACEL,9.71,514600
2017-11-20,ACEL,9.71,0
2017-11-21,ACEL,9.71,10100
2017-11-22,ACEL,9.71,0
2017-11-24,ACEL,9.71,0
2017-11-27,ACEL,9.71,0
2017-11-28,ACEL,9.712,2000
2017-11-29,ACEL,9.71,6900
2017-11-30,ACEL,9.7,97800
2017-12-01,ACEL,9.69,1895200
2017-12-04,ACEL,9.69,0
2017-12-05,ACEL,9.69,0
2017-12-06,ACEL,9.69,0
2017-12-07,ACEL,9.73,60300
2017-12-08,ACEL,9.74,23800
2017-12-11,ACEL,9.714,1000
2017-12-12,ACEL,9.75,50000
2017-12-13,ACEL,9.75,37300
2017-12-14,ACEL,9.75,80000
2017-12-15,ACEL,9.75,0
2017-12-18,ACEL,9.75,0
2017-12-19,ACEL,9.75,0
2017-12-20,ACEL,9.75,0
2017-12-21,ACEL,9.75,0
2017-12-22,ACEL,9.75,0
2017-12-26,ACEL,9.75,0
2017-12-27,ACEL,9.75,0
2017-12-28,ACEL,9.75,0
2017-12-29,ACEL,9.73,700
2018-01-02,ACEL,9.73,0
2018-01-03,ACEL,9.73,0
2018-01-04,ACEL,9.73,0
2018-01-05,ACEL,9.75,500
2018-01-08,ACEL,9.7,150000
2018-01-09,ACEL,9.7,0
2018-01-10,ACEL,9.7,0
2018-01-11,ACEL,9.7,0
2018-01-12,ACEL,9.7,0
2018-01-16,ACEL,9.734,5000
2018-01-17,ACEL,9.734,0
2018-01-18,ACEL,9.75,4000
2018-01-19,ACEL,9.75,0
2018-01-22,ACEL,9.75,38300
2018-01-23,ACEL,9.75,2000
2018-01-24,ACEL,9.75,0
2018-01-25,ACEL,9.76,700
2018-01-26,ACEL,9.76,0
2018-01-29,ACEL,9.76,0
2018-01-30,ACEL,9.76,0
2018-01-31,ACEL,9.75,83200
2018-02-01,ACEL,9.79,30000
2018-02-02,ACEL,9.79,1300
2018-02-05,ACEL,9.79,0
2018-02-06,ACEL,9.767,16100
2018-02-07,ACEL,9.79,100
2018-02-08,ACEL,9.79,0
2018-02-09,ACEL,9.79,0
2018-02-12,ACEL,9.79,0
2018-02-13,ACEL,9.79,0
2018-02-14,ACEL,9.79,0
2018-02-15,ACEL,9.79,0
2018-02-16,ACEL,9.79,0
2018-02-20,ACEL,9.79,0
2018-02-21,ACEL,9.79,0
2018-02-22,ACEL,9.79,0
2018-02-23,ACEL,9.79,0
2018-02-26,ACEL,9.8,4400
2018-02-27,ACEL,9.82,78000
2018-02-28,ACEL,9.82,0
2018-03-01,ACEL,9.81,3100
2018-03-02,ACEL,9.81,0
2018-03-05,ACEL,9.78,602300
2018-03-06,ACEL,9.78,0
2018-03-07,ACEL,9.78,0
2018-03-08,ACEL,9.77,165000
2018-03-09,ACEL,9.77,400
2018-03-12,ACEL,9.77,4900
2018-03-13,ACEL,9.77,0
2018-03-14,ACEL,9.76,100
2018-03-15,ACEL,9.76,17100
2018-03-16,ACEL,9.76,0
2018-03-19,ACEL,9.76,0
2018-03-20,ACEL,9.85,40200
2018-03-21,ACEL,9.85,0
2018-03-22,ACEL,9.78,111100
2018-03-23,ACEL,9.78,0
2018-03-26,ACEL,9.8,59400
2018-03-27,ACEL,9.8,59400
2018-03-28,ACEL,9.8,0
2018-03-29,ACEL,9.8,0
2018-04-02,ACEL,9.8,0
2018-04-03,ACEL,9.8,100000
2018-04-04,ACEL,9.8,0
2018-04-05,ACEL,9.8,0
2018-04-06,ACEL,9.8,0
2018-04-09,ACEL,9.85,19600
2018-04-10,ACEL,9.85,0
2018-04-11,ACEL,9.85,26100
2018-04-12,ACEL,9.85,0
2018-04-13,ACEL,9.85,0
2018-04-16,ACEL,9.85,1000
2018-04-17,ACEL,9.85,0
2018-04-18,ACEL,9.85,0
2018-04-19,ACEL,9.85,0
2018-04-20,ACEL,9.85,0
2018-04-23,ACEL,9.85,25700
2018-04-24,ACEL,9.85,0
2018-04-25,ACEL,9.8,16200
2018-04-26,ACEL,9.85,241400
2018-04-27,ACEL,9.85,353800
2018-04-30,ACEL,9.85,30000
2018-05-01,ACEL,9.85,0
2018-05-02,ACEL,9.85,0
2018-05-03,ACEL,9.85,0
2018-05-04,ACEL,9.81,18700
2018-05-07,ACEL,9.82,8100
2018-05-08,ACEL,9.84,231700
2018-05-09,ACEL,9.81,402600
2018-05-10,ACEL,9.88,100
2018-05-11,ACEL,9.86,300
2018-05-14,ACEL,9.861,11000
2018-05-15,ACEL,9.84,4800
2018-05-16,ACEL,9.83,200
2018-05-17,ACEL,9.88,300
2018-05-18,ACEL,9.9,15900
2018-05-21,ACEL,9.9,0
2018-05-22,ACEL,9.89,700
2018-05-23,ACEL,9.89,86400
2018-05-24,ACEL,9.89,0
2018-05-25,ACEL,9.86,100
2018-05-29,ACEL,9.86,0
2018-05-30,ACEL,9.86,0
2018-05-31,ACEL,9.86,0
2018-06-01,ACEL,9.86,0
2018-06-04,ACEL,10.0,1600
2018-06-05,ACEL,9.77,300
2018-06-06,ACEL,9.77,200
2018-06-07,ACEL,9.85,5800
2018-06-08,ACEL,9.87,1200
2018-06-11,ACEL,9.9,3200
2018-06-12,ACEL,9.89,300
2018-06-13,ACEL,9.94,9100
2018-06-14,ACEL,9.9,6100
2018-06-15,ACEL,9.94,10400
2018-06-18,ACEL,9.95,300
2018-06-19,ACEL,9.95,0
2018-06-20,ACEL,9.95,276600
2018-06-21,ACEL,9.95,5900
2018-06-22,ACEL,9.98,4900
2018-06-25,ACEL,9.89,2000
2018-06-26,ACEL,9.95,1800
2018-06-27,ACEL,9.96,100
2018-06-28,ACEL,9.93,1500
2018-06-29,ACEL,9.93,0
2018-07-02,ACEL,10.0,189500
2018-07-03,ACEL,10.0,600
2018-07-05,ACEL,10.03,13400
2018-07-06,ACEL,10.02,1800
2018-07-09,ACEL,10.01,5400
