ds,symbol,close,volume
2003-11-20,ADEA,3.3902989389,717065.0
2003-11-21,ADEA,3.35930192,1180115.0
2003-11-24,ADEA,3.3999855073,816857.0
2003-11-25,ADEA,3.3399287832,1136645.0
2003-11-26,ADEA,3.3999855073,790775.0
2003-11-28,ADEA,3.5355974648,300509.0
2003-12-01,ADEA,4.0083020026,1459835.0
2003-12-02,ADEA,4.3105229366,1204307.0
2003-12-03,ADEA,3.9618064743,1232657.0
2003-12-04,ADEA,3.8358810851,1027403.0
2003-12-05,ADEA,3.6963945002,478547.0
2003-12-08,ADEA,3.6227765804,1171043.0
2003-12-09,ADEA,3.4794153681,1015685.0
2003-12-10,ADEA,3.5452840332,644111.0
2003-12-11,ADEA,3.5355974648,348893.0
2003-12-12,ADEA,3.4677914861,992627.0
2003-12-15,ADEA,3.3902989389,1699487.0
2003-12-16,ADEA,3.2934332549,1858247.0
2003-12-17,ADEA,3.2837466865,633905.0
2003-12-18,ADEA,3.2934332549,204119.0
2003-12-19,ADEA,3.4329198398,658853.0
2003-12-22,ADEA,3.5549706016,1204307.0
2003-12-23,ADEA,3.6053407573,608201.0
2003-12-24,ADEA,3.6034034436,303911.0
2003-12-26,ADEA,3.5433467196,40445.0
2003-12-29,ADEA,3.6247138941,277829.0
2003-12-30,ADEA,3.6421497172,139481.0
2003-12-31,ADEA,3.6440870309,237761.0
2004-01-02,ADEA,3.7293288328,171233.0
2004-01-05,ADEA,3.7467646559,261953.0
2004-01-06,ADEA,3.6460243446,335663.0
2004-01-07,ADEA,3.6382750898,594215.0
2004-01-08,ADEA,3.5433467196,538271.0
2004-01-09,ADEA,3.3069944507,467207.0
2004-01-12,ADEA,3.4464810356,502361.0
2004-01-13,ADEA,3.2934332549,1436777.0
2004-01-14,ADEA,3.4968511913,1821581.0
2004-01-15,ADEA,3.7118930097,820259.0
2004-01-16,ADEA,3.7777616748,1072007.0
2004-01-20,ADEA,3.9327467691,948401.0
2004-01-21,ADEA,3.8358810851,720089.0
2004-01-22,ADEA,3.7506392832,355697.0
2004-01-23,ADEA,3.8242572031,176147.0
2004-01-26,ADEA,3.7680751064,308069.0
2004-01-27,ADEA,3.7196422644,543941.0
2004-01-28,ADEA,3.3438034106,666791.0
2004-01-29,ADEA,3.3205556464,534869.0
2004-01-30,ADEA,3.4871646229,926855.0
2004-02-02,ADEA,3.4852273092,564731.0
2004-02-03,ADEA,3.4871646229,609713.0
2004-02-04,ADEA,3.4367944672,101681.0
2004-02-05,ADEA,3.6324631488,990359.0
2004-02-06,ADEA,3.8591288493,1189943.0
2004-02-09,ADEA,3.9618064743,443393.0
2004-02-10,ADEA,4.0586721583,553769.0
2004-02-11,ADEA,4.1652244106,553769.0
2004-02-12,ADEA,4.1032303729,320165.0
2004-02-13,ADEA,4.1964151609,356453.0
2004-02-17,ADEA,4.320209505,214703.0
2004-02-18,ADEA,4.2524035262,679265.0
2004-02-19,ADEA,4.1981587432,109619.0
2004-02-20,ADEA,3.8416930262,173501.0
2004-02-23,ADEA,3.5065377596,743525.0
2004-02-24,ADEA,3.5375347785,330749.0
2004-02-25,ADEA,3.7293288328,208277.0
2004-02-26,ADEA,3.7622631653,121715.0
2004-02-27,ADEA,3.758388538,119447.0
2004-03-01,ADEA,3.8416930262,79001.0
2004-03-02,ADEA,3.8358810851,114155.0
2004-03-03,ADEA,3.7370780875,151199.0
2004-03-04,ADEA,3.6808959908,117935.0
2004-03-05,ADEA,3.6498989719,144395.0
2004-03-08,ADEA,3.5840303068,491021.0
2004-03-09,ADEA,3.5414094059,704969.0
2004-03-10,ADEA,3.6363377762,374219.0
2004-03-11,ADEA,3.5840303068,105083.0
2004-03-12,ADEA,3.607278071,60857.0
2004-03-15,ADEA,3.661522854,306179.0
2004-03-16,ADEA,3.6382750898,367037.0
2004-03-17,ADEA,3.6305258351,336797.0
2004-03-18,ADEA,3.5879049342,91475.0
2004-03-19,ADEA,3.5995288163,233225.0
2004-03-22,ADEA,3.5375347785,153845.0
2004-03-23,ADEA,3.56465717,210545.0
2004-03-24,ADEA,3.5375347785,298997.0
2004-03-25,ADEA,3.5704691111,215081.0
2004-03-26,ADEA,3.5704691111,4579091.0
2004-03-29,ADEA,3.5820929931,560195.0
2004-03-30,ADEA,3.553033288,351917.0
2004-03-31,ADEA,3.5375347785,200339.0
2004-04-01,ADEA,3.5685317974,213947.0
2004-04-02,ADEA,3.5840303068,616895.0
2004-04-05,ADEA,3.6150273257,398789.0
2004-04-06,ADEA,3.5665944837,198449.0
2004-04-07,ADEA,3.5472213469,134567.0
2004-04-08,ADEA,3.5665944837,297485.0
2004-04-12,ADEA,3.5840303068,123605.0
2004-04-13,ADEA,3.3748004295,575693.0
2004-04-14,ADEA,3.407734762,233225.0
2004-04-15,ADEA,3.3515526653,379889.0
2004-04-16,ADEA,3.1791317478,474767.0
2004-04-19,ADEA,3.1926929436,576827.0
2004-04-20,ADEA,3.2585616087,722357.0
2004-04-21,ADEA,3.4075410306,534113.0
2004-04-22,ADEA,3.5123497007,193913.0
2004-04-23,ADEA,3.6285885214,716687.0
2004-04-26,ADEA,3.6518362856,738611.0
2004-04-27,ADEA,3.6537735993,1134377.0
2004-04-28,ADEA,3.6692721087,728027.0
2004-04-29,ADEA,3.6421497172,337175.0
2004-04-30,ADEA,3.4329198398,339821.0
2004-05-03,ADEA,3.6247138941,237383.0
2004-05-04,ADEA,3.8552542219,1402379.0
2004-05-05,ADEA,3.8165079483,545453.0
2004-05-06,ADEA,3.8358810851,504251.0
2004-05-07,ADEA,3.6227765804,438857.0
2004-05-10,ADEA,3.5414094059,1033451.0
2004-05-11,ADEA,3.667334795,947267.0
2004-05-12,ADEA,3.715767637,512189.0
2004-05-13,ADEA,3.6595855403,292193.0
2004-05-14,ADEA,3.5355974648,339443.0
2004-05-17,ADEA,3.413546703,323189.0
2004-05-18,ADEA,3.3321795285,755243.0
2004-05-19,ADEA,3.456167604,788507.0
2004-05-20,ADEA,3.3767377431,355697.0
2004-05-21,ADEA,3.4096720757,301265.0
2004-05-24,ADEA,3.4464810356,1185785.0
2004-05-25,ADEA,3.4406690945,1102625.0
2004-05-26,ADEA,3.4697287997,388961.0
2004-05-27,ADEA,3.4871646229,968435.0
2004-05-28,ADEA,3.4096720757,363635.0
2004-06-01,ADEA,3.407734762,242675.0
2004-06-02,ADEA,3.3476780379,165185.0
2004-06-03,ADEA,3.2643735497,612737.0
2004-06-04,ADEA,3.2178780214,412397.0
2004-06-07,ADEA,3.5937168752,3428081.0
2004-06-08,ADEA,3.6789586771,1726703.0
2004-06-09,ADEA,3.6847706181,1146095.0
2004-06-10,ADEA,3.667334795,840293.0
2004-06-14,ADEA,3.613090012,379889.0
