ds,symbol,close,volume
1994-08-10,ADTN,5.6875,8654400.0
1994-08-11,ADTN,5.3125,1704400.0
1994-08-12,ADTN,5.4375,276800.0
1994-08-15,ADTN,5.375,242000.0
1994-08-16,ADTN,5.3125,382400.0
1994-08-17,ADTN,5.4375,299200.0
1994-08-18,ADTN,5.4375,359600.0
1994-08-19,ADTN,5.4375,259600.0
1994-08-22,ADTN,5.375,400400.0
1994-08-23,ADTN,5.375,252800.0
1994-08-24,ADTN,5.625,505200.0
1994-08-25,ADTN,5.625,242000.0
1994-08-26,ADTN,6.265625,1368400.0
1994-08-29,ADTN,6.875,1600000.0
1994-08-30,ADTN,7.125,1066800.0
1994-08-31,ADTN,6.8125,676400.0
1994-09-01,ADTN,6.75,308000.0
1994-09-02,ADTN,6.75,236800.0
1994-09-06,ADTN,6.75,215200.0
1994-09-07,ADTN,6.875,320400.0
1994-09-08,ADTN,7.0,309200.0
1994-09-09,ADTN,7.1875,237600.0
1994-09-12,ADTN,6.9375,330400.0
1994-09-13,ADTN,7.0625,281600.0
1994-09-14,ADTN,7.4375,308000.0
1994-09-15,ADTN,7.5625,338400.0
1994-09-16,ADTN,7.53125,230400.0
1994-09-19,ADTN,7.5625,344000.0
1994-09-20,ADTN,7.375,509600.0
1994-09-21,ADTN,7.5,264000.0
1994-09-22,ADTN,7.6875,200000.0
1994-09-23,ADTN,8.1875,419600.0
1994-09-26,ADTN,8.6875,348000.0
1994-09-27,ADTN,8.71875,644400.0
1994-09-28,ADTN,8.6875,586800.0
1994-09-29,ADTN,8.625,205200.0
1994-09-30,ADTN,8.40625,164000.0
1994-10-03,ADTN,7.875,476400.0
1994-10-04,ADTN,7.8125,486800.0
1994-10-05,ADTN,7.625,626400.0
1994-10-06,ADTN,7.5625,72800.0
1994-10-07,ADTN,7.5625,55200.0
1994-10-10,ADTN,7.75,276000.0
1994-10-11,ADTN,7.9375,364400.0
1994-10-12,ADTN,7.75,110800.0
1994-10-13,ADTN,7.84375,218000.0
1994-10-14,ADTN,8.0,276400.0
1994-10-17,ADTN,8.28125,243600.0
1994-10-18,ADTN,8.1875,346800.0
1994-10-19,ADTN,8.1875,402000.0
1994-10-20,ADTN,7.6875,292000.0
1994-10-21,ADTN,7.8125,193200.0
1994-10-24,ADTN,7.875,236400.0
1994-10-25,ADTN,8.0625,131600.0
1994-10-26,ADTN,8.25,285200.0
1994-10-27,ADTN,8.5,197600.0
1994-10-28,ADTN,8.625,608800.0
1994-10-31,ADTN,9.125,568000.0
1994-11-01,ADTN,8.8125,506800.0
1994-11-02,ADTN,8.875,324400.0
1994-11-03,ADTN,8.875,132800.0
1994-11-04,ADTN,8.8125,66800.0
1994-11-07,ADTN,8.5,317600.0
1994-11-08,ADTN,8.75,103200.0
1994-11-09,ADTN,8.875,304000.0
1994-11-10,ADTN,8.75,172800.0
1994-11-11,ADTN,8.625,54400.0
1994-11-14,ADTN,8.75,60800.0
1994-11-15,ADTN,8.6875,141200.0
1994-11-16,ADTN,8.96875,250000.0
1994-11-17,ADTN,8.78125,204000.0
1994-11-18,ADTN,8.90625,40400.0
1994-11-21,ADTN,8.9375,20000.0
1994-11-22,ADTN,8.625,112000.0
1994-11-23,ADTN,8.5625,95600.0
1994-11-25,ADTN,8.8125,143600.0
1994-11-28,ADTN,8.875,288400.0
1994-11-29,ADTN,9.15625,385600.0
1994-11-30,ADTN,9.6875,1034800.0
1994-12-01,ADTN,9.125,401200.0
1994-12-02,ADTN,9.25,150400.0
1994-12-05,ADTN,9.3125,157200.0
1994-12-06,ADTN,9.3125,40400.0
1994-12-07,ADTN,9.5,140000.0
1994-12-08,ADTN,9.0625,200400.0
1994-12-09,ADTN,8.9375,188400.0
1994-12-12,ADTN,9.0,81600.0
1994-12-13,ADTN,9.1875,66000.0
1994-12-14,ADTN,9.1875,26000.0
1994-12-15,ADTN,9.25,70800.0
1994-12-16,ADTN,9.125,11600.0
1994-12-19,ADTN,9.265625,100800.0
1994-12-20,ADTN,9.625,170400.0
1994-12-21,ADTN,9.875,277600.0
1994-12-22,ADTN,10.0625,237200.0
1994-12-23,ADTN,10.375,161200.0
1994-12-27,ADTN,10.9375,457600.0
1994-12-28,ADTN,10.875,164800.0
1994-12-29,ADTN,11.0625,175200.0
1994-12-30,ADTN,11.4375,549600.0
1995-01-03,ADTN,11.0625,231600.0
1995-01-04,ADTN,10.625,295600.0
1995-01-05,ADTN,10.3125,185600.0
1995-01-06,ADTN,10.09375,326400.0
1995-01-09,ADTN,10.25,94000.0
1995-01-10,ADTN,10.6875,270400.0
1995-01-11,ADTN,10.875,271200.0
1995-01-12,ADTN,11.1875,129200.0
1995-01-13,ADTN,11.34375,182800.0
1995-01-16,ADTN,10.6875,239600.0
1995-01-17,ADTN,10.75,876000.0
1995-01-18,ADTN,11.0625,288400.0
1995-01-19,ADTN,11.0,76800.0
1995-01-20,ADTN,11.1875,258800.0
1995-01-23,ADTN,11.4375,112000.0
1995-01-24,ADTN,12.125,751200.0
1995-01-25,ADTN,12.25,629200.0
1995-01-26,ADTN,12.6875,549200.0
1995-01-27,ADTN,12.75,190800.0
1995-01-30,ADTN,13.0,553600.0
1995-01-31,ADTN,13.0,411200.0
