ds,symbol,close,volume
1990-01-02,AEP,33.125,194100.0
1990-01-03,AEP,33.0,510500.0
1990-01-04,AEP,32.5,312100.0
1990-01-05,AEP,31.75,201500.0
1990-01-08,AEP,31.625,155200.0
1990-01-09,AEP,31.5,190000.0
1990-01-10,AEP,31.625,462300.0
1990-01-11,AEP,31.875,398300.0
1990-01-12,AEP,31.25,151800.0
1990-01-15,AEP,31.25,119100.0
1990-01-16,AEP,31.375,169800.0
1990-01-17,AEP,31.25,351200.0
1990-01-18,AEP,30.875,274200.0
1990-01-19,AEP,31.25,260800.0
1990-01-22,AEP,30.875,236800.0
1990-01-23,AEP,31.125,173800.0
1990-01-24,AEP,30.625,271100.0
1990-01-25,AEP,30.5,215600.0
1990-01-26,AEP,30.75,261300.0
1990-01-29,AEP,30.625,182900.0
1990-01-30,AEP,30.625,141700.0
1990-01-31,AEP,30.875,166400.0
1990-02-01,AEP,30.875,151500.0
1990-02-02,AEP,31.0,1047000.0
1990-02-05,AEP,30.125,1127600.0
1990-02-06,AEP,29.875,708800.0
1990-02-07,AEP,30.125,183200.0
1990-02-08,AEP,30.25,220700.0
1990-02-09,AEP,30.25,93600.0
1990-02-12,AEP,30.375,84400.0
1990-02-13,AEP,30.5,166700.0
1990-02-14,AEP,30.375,256500.0
1990-02-15,AEP,30.375,188700.0
1990-02-16,AEP,30.25,385500.0
1990-02-20,AEP,29.75,179100.0
1990-02-21,AEP,29.75,235400.0
1990-02-22,AEP,29.875,195400.0
1990-02-23,AEP,29.875,162200.0
1990-02-26,AEP,30.0,513300.0
1990-02-27,AEP,30.125,489900.0
1990-02-28,AEP,30.5,364600.0
1990-03-01,AEP,30.5,369300.0
1990-03-02,AEP,30.625,502300.0
1990-03-05,AEP,30.375,273500.0
1990-03-06,AEP,30.625,117600.0
1990-03-07,AEP,30.375,240600.0
1990-03-08,AEP,30.625,107400.0
1990-03-09,AEP,30.5,104200.0
1990-03-12,AEP,30.5,212100.0
1990-03-13,AEP,30.625,132600.0
1990-03-14,AEP,30.5,294500.0
1990-03-15,AEP,30.625,197400.0
1990-03-16,AEP,30.75,506300.0
1990-03-19,AEP,30.625,166500.0
1990-03-20,AEP,30.5,246900.0
1990-03-21,AEP,30.5,295000.0
1990-03-22,AEP,30.375,384000.0
1990-03-23,AEP,30.5,853900.0
1990-03-26,AEP,30.5,149000.0
1990-03-27,AEP,30.5,496000.0
1990-03-28,AEP,30.25,451000.0
1990-03-29,AEP,30.25,116400.0
1990-03-30,AEP,30.375,437300.0
1990-04-02,AEP,30.25,338300.0
1990-04-03,AEP,30.25,164500.0
1990-04-04,AEP,30.375,277000.0
1990-04-05,AEP,30.125,135500.0
1990-04-06,AEP,30.25,92300.0
1990-04-09,AEP,30.125,304700.0
1990-04-10,AEP,30.0,226800.0
1990-04-11,AEP,30.125,139900.0
1990-04-12,AEP,30.125,274800.0
1990-04-16,AEP,30.0,349600.0
1990-04-17,AEP,29.875,426200.0
1990-04-18,AEP,29.875,1154500.0
1990-04-19,AEP,29.875,671400.0
1990-04-20,AEP,29.875,1351000.0
1990-04-23,AEP,29.5,821400.0
1990-04-24,AEP,29.375,111500.0
1990-04-25,AEP,29.25,200100.0
