ds,symbol,close,volume
1996-05-30,AEY,25.5,575.0
1996-05-31,AEY,25.5,1300.0
1996-06-03,AEY,34.0,30075.0
1996-06-04,AEY,31.0,17025.0
1996-06-05,AEY,32.0,3075.0
1996-06-06,AEY,33.0,6800.0
1996-06-07,AEY,32.0,1250.0
1996-06-10,AEY,33.5,550.0
1996-06-11,AEY,36.0,4675.0
1996-06-12,AEY,34.5,1475.0
1996-06-13,AEY,33.0625,1875.0
1996-06-14,AEY,32.5,4425.0
1996-06-17,AEY,34.0,1000.0
1996-06-18,AEY,30.0,6050.0
1996-06-19,AEY,30.5,3050.0
1996-06-20,AEY,28.0,9375.0
1996-06-21,AEY,31.0,1350.0
1996-06-24,AEY,30.0,1475.0
1996-06-25,AEY,27.0,4100.0
1996-06-26,AEY,29.0,250.0
1996-06-27,AEY,27.5,2425.0
1996-06-28,AEY,30.5,2500.0
1996-07-01,AEY,30.5,475.0
1996-07-02,AEY,29.0,11600.0
1996-07-03,AEY,28.1875,8875.0
1996-07-05,AEY,28.0,2750.0
1996-07-08,AEY,29.5,4100.0
1996-07-09,AEY,12.0,82350.0
1996-07-10,AEY,13.0,32100.0
1996-07-11,AEY,16.0,20175.0
1996-07-12,AEY,14.4375,11350.0
1996-07-15,AEY,15.4375,8625.0
1996-07-16,AEY,9.4375,875.0
1996-07-17,AEY,12.0,3650.0
1996-07-18,AEY,10.4375,500.0
1996-07-19,AEY,10.4375,650.0
1996-07-22,AEY,10.4375,3000.0
1996-07-23,AEY,10.4375,2275.0
1996-07-24,AEY,12.0,3325.0
1996-07-25,AEY,11.4375,2825.0
1996-07-26,AEY,12.0,6925.0
1996-07-29,AEY,10.4375,500.0
1996-07-30,AEY,10.4375,125.0
1996-07-31,AEY,10.4375,0.0
1996-08-01,AEY,10.6875,750.0
1996-08-02,AEY,10.4375,6100.0
1996-08-05,AEY,10.4375,1275.0
1996-08-06,AEY,10.0,5675.0
1996-08-07,AEY,11.4375,4675.0
1996-08-08,AEY,19.5,29325.0
1996-08-09,AEY,22.5,16125.0
1996-08-12,AEY,23.0,22125.0
1996-08-13,AEY,23.0,19425.0
1996-08-14,AEY,22.5,4750.0
1996-08-15,AEY,22.5,2750.0
1996-08-16,AEY,23.5,2500.0
1996-08-19,AEY,22.5,3175.0
1996-08-20,AEY,22.5,250.0
1996-08-21,AEY,22.6875,2325.0
1996-08-22,AEY,23.25,7575.0
1996-08-23,AEY,24.0,3975.0
1996-08-26,AEY,24.5,1850.0
1996-08-27,AEY,24.0,3500.0
1996-08-28,AEY,23.5,1575.0
1996-08-29,AEY,25.0,17000.0
1996-08-30,AEY,24.0,925.0
1996-09-03,AEY,24.0,2125.0
1996-09-04,AEY,25.0,6375.0
1996-09-05,AEY,24.0,1775.0
1996-09-06,AEY,23.0,3625.0
1996-09-09,AEY,23.0,2950.0
1996-09-10,AEY,22.0,2000.0
1996-09-11,AEY,20.0,1850.0
1996-09-12,AEY,20.0,6425.0
1996-09-13,AEY,20.0,375.0
1996-09-16,AEY,21.0,500.0
1996-09-17,AEY,21.5,1700.0
1996-09-18,AEY,20.75,2875.0
1996-09-19,AEY,20.75,0.0
1996-09-20,AEY,20.0,3750.0
1996-09-23,AEY,19.5,1925.0
1996-09-24,AEY,19.5,0.0
1996-09-25,AEY,18.5,3250.0
1996-09-26,AEY,18.5,250.0
1996-09-27,AEY,19.0,750.0
1996-09-30,AEY,18.5,25.0
1996-10-01,AEY,19.0,1325.0
1996-10-02,AEY,19.25,2800.0
1996-10-03,AEY,21.0,7800.0
1996-10-04,AEY,24.5,10075.0
1996-10-07,AEY,23.0,1325.0
1996-10-08,AEY,23.0,6450.0
1996-10-09,AEY,22.0,15650.0
1996-10-10,AEY,23.5,9925.0
1996-10-11,AEY,25.0,14050.0
1996-10-14,AEY,25.25,1200.0
1996-10-15,AEY,24.5,875.0
1996-10-16,AEY,24.0,575.0
1996-10-17,AEY,23.0,2675.0
1996-10-18,AEY,23.0,0.0
1996-10-21,AEY,24.5,1050.0
1996-10-22,AEY,22.0,2275.0
1996-10-23,AEY,22.0,125.0
1996-10-24,AEY,21.0,2875.0
1996-10-25,AEY,22.0,325.0
1996-10-28,AEY,21.0,175.0
1996-10-29,AEY,22.0,2525.0
1996-10-30,AEY,22.0,200.0
1996-10-31,AEY,22.0,250.0
1996-11-01,AEY,22.5,1100.0
1996-11-04,AEY,22.0,775.0
1996-11-05,AEY,21.75,2950.0
1996-11-06,AEY,21.25,250.0
1996-11-07,AEY,21.5,8825.0
1996-11-08,AEY,22.5,325.0
1996-11-11,AEY,21.375,1950.0
1996-11-12,AEY,19.375,5100.0
1996-11-13,AEY,18.0,10425.0
1996-11-14,AEY,19.0,475.0
1996-11-15,AEY,19.0,2225.0
1996-11-18,AEY,18.0,50.0
1996-11-19,AEY,17.5,25850.0
1996-11-20,AEY,17.25,39600.0
1996-11-21,AEY,18.5,20925.0
1996-11-22,AEY,22.0,12875.0
1996-11-25,AEY,21.5,10025.0
1996-11-26,AEY,20.0,4000.0
1996-11-27,AEY,19.0,375.0
1996-11-29,AEY,21.0,4800.0
1996-12-02,AEY,19.0,3800.0
1996-12-03,AEY,18.5,1000.0
1996-12-04,AEY,18.5,2650.0
1996-12-05,AEY,20.0,13125.0
1996-12-06,AEY,18.0,5200.0
1996-12-09,AEY,18.0,4500.0
1996-12-10,AEY,20.0,500.0
1996-12-11,AEY,18.5,6375.0
1996-12-12,AEY,18.25,5750.0
1996-12-13,AEY,19.0,2850.0
1996-12-16,AEY,18.25,5475.0
1996-12-17,AEY,18.25,2375.0
1996-12-18,AEY,20.0,3275.0
1996-12-19,AEY,19.0,7375.0
1996-12-20,AEY,19.0,800.0
1996-12-23,AEY,19.5,3525.0
1996-12-24,AEY,18.5,650.0
1996-12-26,AEY,18.75,26375.0
1996-12-27,AEY,19.5,150.0
1996-12-30,AEY,18.75,1525.0
1996-12-31,AEY,18.0,2600.0
1997-01-02,AEY,17.5,250.0
1997-01-03,AEY,17.5,200.0
1997-01-06,AEY,20.0,6575.0
1997-01-07,AEY,18.5,2975.0
1997-01-08,AEY,19.0,3350.0
1997-01-09,AEY,20.0,275.0
1997-01-10,AEY,19.25,14650.0
1997-01-13,AEY,19.5,5650.0
1997-01-14,AEY,18.5,975.0
1997-01-15,AEY,20.0,1600.0
1997-01-16,AEY,19.0,775.0
1997-01-17,AEY,19.0,250.0
1997-01-20,AEY,21.0,6150.0
1997-01-21,AEY,21.5,11250.0
1997-01-22,AEY,21.0,7075.0
1997-01-23,AEY,20.0,3900.0
1997-01-24,AEY,19.0,1875.0
1997-01-27,AEY,18.25,7450.0
1997-01-28,AEY,18.0,1325.0
1997-01-29,AEY,18.5,1475.0
1997-01-30,AEY,20.0,3875.0
1997-01-31,AEY,22.5,8625.0
1997-02-03,AEY,21.5,4625.0
1997-02-04,AEY,21.5,225.0
1997-02-05,AEY,22.0,7575.0
1997-02-06,AEY,22.5,4975.0
1997-02-07,AEY,23.5,1575.0
1997-02-10,AEY,23.0,8450.0
1997-02-11,AEY,24.0,5175.0
1997-02-12,AEY,24.5,18350.0
1997-02-13,AEY,23.0,3750.0
1997-02-14,AEY,23.0,350.0
1997-02-18,AEY,23.0,475.0
1997-02-19,AEY,20.5,1975.0
1997-02-20,AEY,20.0,3025.0
1997-02-21,AEY,20.1875,2500.0
1997-02-24,AEY,20.0,5325.0
1997-02-25,AEY,20.0,2525.0
1997-02-26,AEY,20.0,2225.0
1997-02-27,AEY,20.5,2750.0
1997-02-28,AEY,21.0,2800.0
1997-03-03,AEY,20.5,350.0
1997-03-04,AEY,20.5,1300.0
1997-03-05,AEY,20.1875,9875.0
1997-03-06,AEY,20.6875,75.0
1997-03-07,AEY,20.5,250.0
1997-03-10,AEY,20.6875,800.0
1997-03-11,AEY,20.1875,1475.0
1997-03-12,AEY,20.1875,225.0
1997-03-13,AEY,20.6875,5250.0
1997-03-14,AEY,20.5,4900.0
1997-03-17,AEY,21.1875,3725.0
1997-03-18,AEY,21.1875,1100.0
1997-03-19,AEY,22.0,300.0
1997-03-20,AEY,21.5,3075.0
1997-03-21,AEY,21.5,425.0
1997-03-24,AEY,21.5,550.0
1997-03-25,AEY,21.5,500.0
1997-03-26,AEY,21.0,2225.0
1997-03-27,AEY,21.5,900.0
1997-03-31,AEY,21.1875,3975.0
1997-04-01,AEY,21.0,900.0
1997-04-02,AEY,20.5,250.0
1997-04-03,AEY,20.0,1600.0
1997-04-04,AEY,19.0,2125.0
1997-04-07,AEY,20.5,6900.0
1997-04-08,AEY,19.5,3500.0
1997-04-09,AEY,19.5,0.0
1997-04-10,AEY,19.5,6900.0
1997-04-11,AEY,18.5,2125.0
1997-04-14,AEY,17.5,42875.0
1997-04-15,AEY,18.0,450.0
1997-04-16,AEY,18.1875,2400.0
1997-04-17,AEY,18.5,22400.0
1997-04-18,AEY,18.0,600.0
1997-04-21,AEY,17.5,2850.0
1997-04-22,AEY,18.0,3900.0
1997-04-23,AEY,18.0,0.0
1997-04-24,AEY,17.0,375.0
1997-04-25,AEY,17.0,10125.0
1997-04-28,AEY,16.5,4150.0
1997-04-29,AEY,17.0,7400.0
1997-04-30,AEY,17.0,27325.0
1997-05-01,AEY,14.5,12325.0
1997-05-02,AEY,15.0,4625.0
1997-05-05,AEY,15.0,3750.0
1997-05-06,AEY,14.5,2625.0
1997-05-07,AEY,15.6875,11150.0
1997-05-08,AEY,15.1875,6575.0
1997-05-09,AEY,15.6875,7925.0
1997-05-12,AEY,15.6875,2550.0
1997-05-13,AEY,17.1875,9225.0
1997-05-14,AEY,17.1875,825.0
1997-05-15,AEY,16.0,1125.0
1997-05-16,AEY,16.1875,1550.0
1997-05-19,AEY,17.0,2375.0
1997-05-20,AEY,18.1875,4725.0
1997-05-21,AEY,18.0,3000.0
1997-05-22,AEY,18.0,3225.0
1997-05-23,AEY,17.5,4575.0
1997-05-27,AEY,16.0,3175.0
1997-05-28,AEY,16.0,6625.0
1997-05-29,AEY,15.6875,7150.0
1997-05-30,AEY,16.0,2075.0
1997-06-02,AEY,15.1875,1325.0
1997-06-03,AEY,15.0,6475.0
1997-06-04,AEY,14.0,3700.0
1997-06-05,AEY,13.5,2900.0
1997-06-06,AEY,14.5,2750.0
1997-06-09,AEY,14.5,1375.0
1997-06-10,AEY,16.0,3850.0
1997-06-11,AEY,16.0,625.0
1997-06-12,AEY,15.1875,1175.0
1997-06-13,AEY,15.1875,25.0
1997-06-16,AEY,16.0,5000.0
1997-06-17,AEY,16.0,0.0
1997-06-18,AEY,15.0,6150.0
1997-06-19,AEY,15.0,8175.0
1997-06-20,AEY,14.0,2650.0
1997-06-23,AEY,13.5,3400.0
1997-06-24,AEY,13.5,775.0
1997-06-25,AEY,13.5,2475.0
1997-06-26,AEY,13.5,250.0
1997-06-27,AEY,13.5,0.0
1997-06-30,AEY,13.0,350.0
1997-07-01,AEY,13.0,1400.0
1997-07-02,AEY,13.0,375.0
1997-07-03,AEY,13.0,0.0
1997-07-07,AEY,13.0,0.0
1997-07-08,AEY,13.5625,2500.0
1997-07-09,AEY,13.1875,1750.0
1997-07-10,AEY,14.0,750.0
1997-07-11,AEY,13.1875,2875.0
1997-07-14,AEY,13.0,2625.0
1997-07-15,AEY,14.0,3850.0
1997-07-16,AEY,14.1875,1600.0
