ds,symbol,close,volume
1992-04-16,AGCO,4.666667,3240000.0
1992-04-20,AGCO,4.75,291000.0
1992-04-21,AGCO,4.666667,154800.0
1992-04-22,AGCO,4.75,103800.0
1992-04-23,AGCO,4.666667,16800.0
1992-04-24,AGCO,4.833333,177300.0
1992-04-27,AGCO,4.75,9000.0
1992-04-28,AGCO,4.791667,30300.0
1992-04-29,AGCO,4.75,81000.0
1992-04-30,AGCO,5.0,58500.0
1992-05-01,AGCO,4.916667,4200.0
1992-05-04,AGCO,5.166667,8100.0
1992-05-05,AGCO,5.0,4200.0
1992-05-06,AGCO,4.958333,265500.0
1992-05-07,AGCO,5.166667,33900.0
1992-05-08,AGCO,5.166667,1500.0
1992-05-11,AGCO,5.0,7800.0
1992-05-12,AGCO,4.958333,20400.0
1992-05-13,AGCO,5.083333,3300.0
1992-05-14,AGCO,4.833333,258000.0
1992-05-15,AGCO,4.666667,27600.0
1992-05-18,AGCO,4.666667,48000.0
1992-05-19,AGCO,4.583333,77100.0
1992-05-20,AGCO,4.583333,34800.0
1992-05-21,AGCO,4.583333,13800.0
1992-05-22,AGCO,4.75,111000.0
1992-05-26,AGCO,4.75,284700.0
1992-05-27,AGCO,4.708333,12000.0
1992-05-28,AGCO,4.666667,15000.0
1992-05-29,AGCO,4.666667,7500.0
1992-06-01,AGCO,4.666667,83700.0
1992-06-02,AGCO,4.833333,13800.0
1992-06-03,AGCO,4.833333,2700.0
1992-06-04,AGCO,4.833333,14100.0
1992-06-05,AGCO,4.833333,2400.0
1992-06-08,AGCO,4.583333,6000.0
1992-06-09,AGCO,4.583333,0.0
1992-06-10,AGCO,4.583333,0.0
1992-06-11,AGCO,4.583333,81300.0
1992-06-12,AGCO,4.166667,114000.0
1992-06-15,AGCO,4.166667,35400.0
1992-06-16,AGCO,3.916667,33000.0
1992-06-17,AGCO,2.416667,1768200.0
1992-06-18,AGCO,2.416667,719700.0
1992-06-19,AGCO,2.0,1639500.0
1992-06-22,AGCO,2.083333,57300.0
1992-06-23,AGCO,2.083333,102600.0
1992-06-24,AGCO,2.083333,27600.0
1992-06-25,AGCO,2.0,103200.0
1992-06-26,AGCO,2.166667,92100.0
1992-06-29,AGCO,2.0,23700.0
1992-06-30,AGCO,2.166667,78300.0
1992-07-01,AGCO,2.083333,261000.0
1992-07-02,AGCO,2.166667,10800.0
1992-07-06,AGCO,2.166667,111600.0
1992-07-07,AGCO,2.166667,7800.0
1992-07-08,AGCO,2.166667,117000.0
