ds,symbol,close,volume
2014-05-23,AGRX,221.6,83994.0
2014-05-27,AGRX,222.0,7249.0
2014-05-28,AGRX,232.0,5956.0
2014-05-29,AGRX,237.6,5296.0
2014-05-30,AGRX,234.0,4311.0
2014-06-02,AGRX,238.8,2449.0
2014-06-03,AGRX,256.0,5907.0
2014-06-04,AGRX,250.0,2120.0
2014-06-05,AGRX,232.4,1911.0
2014-06-06,AGRX,235.6,1734.0
2014-06-09,AGRX,240.4,1296.0
2014-06-10,AGRX,252.0,1989.0
2014-06-11,AGRX,259.2,3850.0
2014-06-12,AGRX,276.0,3881.0
2014-06-13,AGRX,276.8,1343.0
2014-06-16,AGRX,271.2,728.0
2014-06-17,AGRX,295.6,13679.0
2014-06-18,AGRX,312.4,3835.0
2014-06-19,AGRX,315.6,1957.0
2014-06-20,AGRX,306.0,1519.0
2014-06-23,AGRX,413.2,45788.0
2014-06-24,AGRX,426.0,27424.0
2014-06-25,AGRX,416.0,6647.0
2014-06-26,AGRX,384.8,6491.0
2014-06-27,AGRX,370.0,5541.0
2014-06-30,AGRX,348.8,5117.0
2014-07-01,AGRX,355.6,2360.0
2014-07-02,AGRX,351.6,2860.0
2014-07-03,AGRX,357.2,1309.0
2014-07-07,AGRX,341.6,1731.0
2014-07-08,AGRX,342.4,964.0
2014-07-09,AGRX,328.4,735.0
2014-07-10,AGRX,320.4,1075.0
2014-07-11,AGRX,320.4,362.0
2014-07-14,AGRX,304.8,1946.0
2014-07-15,AGRX,280.404,3034.0
2014-07-16,AGRX,280.0,683.0
2014-07-17,AGRX,279.8,653.0
2014-07-18,AGRX,289.6,916.0
2014-07-21,AGRX,286.0,945.0
2014-07-22,AGRX,284.4,551.0
2014-07-23,AGRX,281.2,433.0
2014-07-24,AGRX,268.4,1095.0
2014-07-25,AGRX,270.4,569.0
2014-07-28,AGRX,263.2,693.0
2014-07-29,AGRX,244.4,1795.0
2014-07-30,AGRX,243.2,465.0
2014-07-31,AGRX,250.0,1552.0
2014-08-01,AGRX,240.0,1195.0
2014-08-04,AGRX,236.4,727.0
2014-08-05,AGRX,240.4,617.0
2014-08-06,AGRX,242.8,806.0
2014-08-07,AGRX,270.4,1587.0
2014-08-08,AGRX,258.0,668.0
2014-08-11,AGRX,262.8,392.0
2014-08-12,AGRX,253.6,416.0
2014-08-13,AGRX,251.6,426.0
2014-08-14,AGRX,248.8,1574.0
2014-08-15,AGRX,294.4,2994.0
2014-08-18,AGRX,289.6,1768.0
2014-08-19,AGRX,296.8,1640.0
2014-08-20,AGRX,310.8,577.0
2014-08-21,AGRX,303.6,342.0
2014-08-22,AGRX,305.6,198.0
2014-08-25,AGRX,308.0,694.0
2014-08-26,AGRX,299.2,205.0
2014-08-27,AGRX,300.42,657.0
2014-08-28,AGRX,308.0,454.0
2014-08-29,AGRX,337.6,1968.0
2014-09-02,AGRX,375.2,3892.0
2014-09-03,AGRX,398.0,2472.0
2014-09-04,AGRX,379.6,3283.0
2014-09-05,AGRX,375.6,841.0
2014-09-08,AGRX,398.8,1572.0
2014-09-09,AGRX,400.0,917.0
2014-09-10,AGRX,399.2,643.0
