ds,symbol,close,volume
2016-08-12,AIRG,8.0,848654
2016-08-15,AIRG,8.3,836102
2016-08-16,AIRG,8.11,196903
2016-08-17,AIRG,8.1979,226266
2016-08-18,AIRG,9.2,456305
2016-08-19,AIRG,9.95,465300
2016-08-22,AIRG,10.3,431226
2016-08-23,AIRG,11.32,576067
2016-08-24,AIRG,10.53,681688
2016-08-25,AIRG,10.62,112072
2016-08-26,AIRG,10.7,226387
2016-08-29,AIRG,12.49,927051
2016-08-30,AIRG,12.55,753210
2016-08-31,AIRG,11.665,344394
2016-09-01,AIRG,11.86,317551
2016-09-02,AIRG,11.57,487527
2016-09-06,AIRG,11.61,308034
2016-09-07,AIRG,13.95,1400033
2016-09-08,AIRG,13.92,761329
2016-09-09,AIRG,13.23,468376
2016-09-12,AIRG,13.28,320941
2016-09-13,AIRG,12.8,221794
2016-09-14,AIRG,13.0,245296
2016-09-15,AIRG,15.35,1034221
2016-09-16,AIRG,14.2,441196
2016-09-19,AIRG,14.57,424248
2016-09-20,AIRG,16.12,1078048
2016-09-21,AIRG,16.05,1036479
2016-09-22,AIRG,15.51,349413
2016-09-23,AIRG,15.58,315885
2016-09-26,AIRG,14.9,350904
2016-09-27,AIRG,15.63,453968
2016-09-28,AIRG,16.61,540628
2016-09-29,AIRG,15.96,284803
2016-09-30,AIRG,15.76,130315
2016-10-03,AIRG,15.08,205193
2016-10-04,AIRG,14.11,242848
2016-10-05,AIRG,13.71,332160
2016-10-06,AIRG,13.19,227517
2016-10-07,AIRG,13.95,300443
2016-10-10,AIRG,15.19,382396
2016-10-11,AIRG,14.59,312545
2016-10-12,AIRG,14.87,143489
2016-10-13,AIRG,14.75,115053
2016-10-14,AIRG,14.64,64922
2016-10-17,AIRG,13.94,113512
2016-10-18,AIRG,14.35,140616
2016-10-19,AIRG,14.0,55836
2016-10-20,AIRG,14.15,50658
2016-10-21,AIRG,13.94,41359
2016-10-24,AIRG,14.43,95200
2016-10-25,AIRG,14.24,47012
2016-10-26,AIRG,14.05,84503
2016-10-27,AIRG,12.99,101631
2016-10-28,AIRG,12.65,74712
2016-10-31,AIRG,12.51,72328
2016-11-01,AIRG,12.4,39738
2016-11-02,AIRG,12.24,44072
2016-11-03,AIRG,11.72,74901
2016-11-04,AIRG,11.98,76415
2016-11-07,AIRG,12.11,65849
2016-11-08,AIRG,12.76,60798
2016-11-09,AIRG,14.28,224201
2016-11-10,AIRG,14.28,131997
2016-11-11,AIRG,15.26,235173
2016-11-14,AIRG,19.45,867043
2016-11-15,AIRG,23.29,775962
2016-11-16,AIRG,22.2,688743
2016-11-17,AIRG,26.34,406872
2016-11-18,AIRG,24.99,733122
2016-11-21,AIRG,25.75,287178
2016-11-22,AIRG,26.75,201357
2016-11-23,AIRG,26.95,64792
2016-11-25,AIRG,23.31,374414
2016-11-28,AIRG,20.0,897409
2016-11-29,AIRG,18.39,457270
2016-11-30,AIRG,19.61,258569
2016-12-01,AIRG,19.06,273764
2016-12-02,AIRG,17.96,219459
2016-12-05,AIRG,16.99,201562
2016-12-06,AIRG,17.8,180994
2016-12-07,AIRG,20.75,609947
2016-12-08,AIRG,18.62,778096
2016-12-09,AIRG,18.25,1978704
2016-12-12,AIRG,18.46,302594
2016-12-13,AIRG,18.3,375102
2016-12-14,AIRG,15.32,1307894
2016-12-15,AIRG,14.01,766280
2016-12-16,AIRG,15.26,577022
2016-12-19,AIRG,15.08,334798
2016-12-20,AIRG,15.27,172467
2016-12-21,AIRG,15.28,128777
2016-12-22,AIRG,15.18,130324
2016-12-23,AIRG,14.62,163506
2016-12-27,AIRG,14.91,141624
2016-12-28,AIRG,14.91,65479
2016-12-29,AIRG,14.31,288143
2016-12-30,AIRG,14.4,159363
2017-01-03,AIRG,13.89,151012
2017-01-04,AIRG,14.61,198619
2017-01-05,AIRG,15.97,329452
2017-01-06,AIRG,15.26,359906
2017-01-09,AIRG,15.72,158764
2017-01-10,AIRG,15.51,125037
2017-01-11,AIRG,15.36,75104
2017-01-12,AIRG,14.95,87887
2017-01-13,AIRG,16.13,516859
2017-01-17,AIRG,15.85,172816
2017-01-18,AIRG,15.45,186683
2017-01-19,AIRG,15.6,209874
2017-01-20,AIRG,17.31,724242
2017-01-23,AIRG,17.19,457298
2017-01-24,AIRG,16.59,216848
2017-01-25,AIRG,16.27,190866
2017-01-26,AIRG,16.1,144751
2017-01-27,AIRG,15.87,75225
2017-01-30,AIRG,16.32,326437
2017-01-31,AIRG,17.38,313709
2017-02-01,AIRG,16.74,94304
2017-02-02,AIRG,16.36,102253
2017-02-03,AIRG,16.72,163469
2017-02-06,AIRG,16.5,95000
2017-02-07,AIRG,16.07,254571
2017-02-08,AIRG,16.33,113844
2017-02-09,AIRG,16.2,98457
2017-02-10,AIRG,16.7,462900
2017-02-13,AIRG,16.49,244116
2017-02-14,AIRG,16.08,243191
2017-02-15,AIRG,15.69,289580
2017-02-16,AIRG,14.94,922244
2017-02-17,AIRG,15.09,1130851
2017-02-21,AIRG,13.42,1137154
2017-02-22,AIRG,13.78,550292
2017-02-23,AIRG,13.68,251637
2017-02-24,AIRG,13.31,289751
2017-02-27,AIRG,13.24,216923
2017-02-28,AIRG,12.6,396372
2017-03-01,AIRG,13.73,753670
2017-03-02,AIRG,12.78,391875
2017-03-03,AIRG,12.42,376950
2017-03-06,AIRG,12.52,249750
2017-03-07,AIRG,13.13,230239
2017-03-08,AIRG,13.26,235707
2017-03-09,AIRG,13.11,94554
2017-03-10,AIRG,12.58,207953
2017-03-13,AIRG,12.63,134675
2017-03-14,AIRG,12.49,127569
2017-03-15,AIRG,12.82,200355
2017-03-16,AIRG,14.02,394723
2017-03-17,AIRG,14.49,621304
2017-03-20,AIRG,14.42,155526
2017-03-21,AIRG,14.04,258030
2017-03-22,AIRG,14.02,88060
2017-03-23,AIRG,14.1,70680
2017-03-24,AIRG,14.5,131610
2017-03-27,AIRG,14.35,101966
2017-03-28,AIRG,14.37,115868
2017-03-29,AIRG,14.2,78850
2017-03-30,AIRG,15.16,371232
2017-03-31,AIRG,15.16,213595
2017-04-03,AIRG,14.74,114973
2017-04-04,AIRG,14.7,61146
2017-04-05,AIRG,14.45,80916
2017-04-06,AIRG,14.72,71476
2017-04-07,AIRG,14.82,76928
2017-04-10,AIRG,14.96,80165
2017-04-11,AIRG,15.29,170340
