ds,symbol,close,volume
2021-04-15,AKYA,20.0,54084
2021-04-16,AKYA,26.05,3803998
2021-04-19,AKYA,22.97,578316
2021-04-20,AKYA,23.12,234178
2021-04-21,AKYA,23.97,229774
2021-04-22,AKYA,22.95,86251
2021-04-23,AKYA,22.35,133304
2021-04-26,AKYA,22.62,156727
2021-04-27,AKYA,22.0,110538
2021-04-28,AKYA,22.8,174642
2021-04-29,AKYA,22.49,76131
2021-04-30,AKYA,22.44,114539
2021-05-03,AKYA,22.21,83535
2021-05-04,AKYA,21.04,144574
2021-05-05,AKYA,20.99,63350
2021-05-06,AKYA,19.28,85353
2021-05-07,AKYA,19.75,45876
2021-05-10,AKYA,19.13,67495
2021-05-11,AKYA,17.89,343527
2021-05-12,AKYA,19.09,619442
2021-05-13,AKYA,20.12,358999
2021-05-14,AKYA,20.4,324542
2021-05-17,AKYA,20.17,110894
2021-05-18,AKYA,19.73,101144
2021-05-19,AKYA,20.64,65552
2021-05-20,AKYA,21.61,32602
2021-05-21,AKYA,21.95,46143
2021-05-24,AKYA,21.99,47641
2021-05-25,AKYA,21.84,36753
2021-05-26,AKYA,20.94,52917
2021-05-27,AKYA,20.71,48033
2021-05-28,AKYA,20.82,153222
2021-06-01,AKYA,20.36,63387
2021-06-02,AKYA,20.52,112226
2021-06-03,AKYA,19.9,87740
2021-06-04,AKYA,20.27,47771
2021-06-07,AKYA,19.95,176406
2021-06-08,AKYA,20.09,58161
2021-06-09,AKYA,20.31,44038
2021-06-10,AKYA,19.8,74506
2021-06-11,AKYA,19.94,57421
2021-06-14,AKYA,19.53,117634
2021-06-15,AKYA,19.18,93720
2021-06-16,AKYA,19.55,428280
2021-06-17,AKYA,19.44,172896
2021-06-18,AKYA,19.2,451703
2021-06-21,AKYA,19.82,138622
2021-06-22,AKYA,18.66,79102
2021-06-23,AKYA,18.26,52504
2021-06-24,AKYA,18.06,140536
2021-06-25,AKYA,18.85,998497
2021-06-28,AKYA,19.0,133137
2021-06-29,AKYA,20.28,110016
2021-06-30,AKYA,19.34,206185
2021-07-01,AKYA,19.0,85852
2021-07-02,AKYA,18.46,149248
2021-07-06,AKYA,18.66,46271
2021-07-07,AKYA,18.18,54190
2021-07-08,AKYA,18.43,133926
2021-07-09,AKYA,19.33,60316
2021-07-12,AKYA,20.41,233178
2021-07-13,AKYA,17.02,329947
2021-07-14,AKYA,17.64,115205
2021-07-15,AKYA,17.6,68649
2021-07-16,AKYA,17.7,371549
2021-07-19,AKYA,17.36,73808
2021-07-20,AKYA,17.43,146330
2021-07-21,AKYA,17.34,245681
2021-07-22,AKYA,16.66,88401
2021-07-23,AKYA,16.38,88352
2021-07-26,AKYA,16.96,108609
2021-07-27,AKYA,17.25,82361
2021-07-28,AKYA,17.35,59166
2021-07-29,AKYA,17.6,55555
2021-07-30,AKYA,17.34,47757
2021-08-02,AKYA,16.58,252352
2021-08-03,AKYA,16.57,64176
2021-08-04,AKYA,17.2,347099
2021-08-05,AKYA,17.34,29706
2021-08-06,AKYA,17.29,119875
2021-08-09,AKYA,17.9,152722
2021-08-10,AKYA,17.99,190004
2021-08-11,AKYA,17.89,383077
2021-08-12,AKYA,17.06,94271
2021-08-13,AKYA,15.48,222799
2021-08-16,AKYA,14.72,68589
2021-08-17,AKYA,15.1,57795
2021-08-18,AKYA,14.77,29321
2021-08-19,AKYA,14.69,40563
2021-08-20,AKYA,15.84,79414
2021-08-23,AKYA,16.33,55916
2021-08-24,AKYA,17.05,84190
2021-08-25,AKYA,17.06,44904
2021-08-26,AKYA,16.47,27772
2021-08-27,AKYA,16.57,26385
2021-08-30,AKYA,16.59,19590
2021-08-31,AKYA,15.97,25622
2021-09-01,AKYA,15.46,36458
2021-09-02,AKYA,16.16,42088
2021-09-03,AKYA,15.68,32049
2021-09-07,AKYA,14.38,41753
2021-09-08,AKYA,15.13,86231
2021-09-09,AKYA,14.29,21671
2021-09-10,AKYA,14.29,54726
2021-09-13,AKYA,14.61,98284
2021-09-14,AKYA,14.38,254569
2021-09-15,AKYA,16.6,93401
2021-09-16,AKYA,18.1,157193
2021-09-17,AKYA,21.0,374285
2021-09-20,AKYA,19.28,178819
2021-09-21,AKYA,17.08,206500
2021-09-22,AKYA,17.89,50051
2021-09-23,AKYA,17.21,89512
2021-09-24,AKYA,15.72,76889
2021-09-27,AKYA,15.21,27931
2021-09-28,AKYA,14.02,51122
2021-09-29,AKYA,13.04,53572
2021-09-30,AKYA,13.96,116642
2021-10-01,AKYA,14.04,77426
2021-10-04,AKYA,13.98,86993
2021-10-05,AKYA,13.17,133410
2021-10-06,AKYA,12.2,206661
2021-10-07,AKYA,13.22,37205
2021-10-08,AKYA,12.89,69593
2021-10-11,AKYA,12.79,69928
2021-10-12,AKYA,12.24,42919
2021-10-13,AKYA,13.28,77035
2021-10-14,AKYA,12.84,30145
2021-10-15,AKYA,12.7,103918
2021-10-18,AKYA,12.98,108662
2021-10-19,AKYA,13.82,250296
2021-10-20,AKYA,13.18,85442
2021-10-21,AKYA,12.65,53345
2021-10-22,AKYA,12.56,97108
2021-10-25,AKYA,12.76,106559
2021-10-26,AKYA,12.66,391784
2021-10-27,AKYA,12.94,138655
2021-10-28,AKYA,13.26,73960
2021-10-29,AKYA,13.25,95553
2021-11-01,AKYA,13.31,92342
2021-11-02,AKYA,12.97,77497
2021-11-03,AKYA,13.16,176150
2021-11-04,AKYA,13.29,102385
2021-11-05,AKYA,13.31,76130
2021-11-08,AKYA,12.91,59004
2021-11-09,AKYA,13.33,233205
2021-11-10,AKYA,13.1,145063
