ds,symbol,close,volume
1994-02-22,ALB,7.25,20800.0
1994-02-23,ALB,6.9375,31600.0
1994-02-24,ALB,6.8125,32000.0
1994-02-25,ALB,6.4375,49800.0
1994-02-28,ALB,6.625,170400.0
1994-03-01,ALB,6.5625,41600.0
1994-03-02,ALB,6.5625,67000.0
1994-03-03,ALB,6.5,27800.0
1994-03-04,ALB,6.75,358200.0
1994-03-07,ALB,6.75,690800.0
1994-03-08,ALB,6.8125,515200.0
1994-03-09,ALB,6.875,540400.0
1994-03-10,ALB,6.875,1832200.0
1994-03-11,ALB,7.1875,1895400.0
1994-03-14,ALB,7.5625,1413800.0
1994-03-15,ALB,7.4375,1665200.0
1994-03-16,ALB,7.4375,717000.0
1994-03-17,ALB,7.5625,971200.0
1994-03-18,ALB,7.625,1178000.0
1994-03-21,ALB,7.6875,659400.0
1994-03-22,ALB,7.8125,374000.0
1994-03-23,ALB,7.875,430200.0
1994-03-24,ALB,7.75,747000.0
1994-03-25,ALB,7.6875,370000.0
1994-03-28,ALB,7.625,1116200.0
1994-03-29,ALB,7.5,595800.0
1994-03-30,ALB,7.375,653000.0
1994-03-31,ALB,7.375,448400.0
1994-04-04,ALB,7.375,386600.0
1994-04-05,ALB,7.625,361600.0
1994-04-06,ALB,7.375,551400.0
1994-04-07,ALB,7.4375,338400.0
1994-04-08,ALB,7.5,166000.0
1994-04-11,ALB,7.25,424800.0
1994-04-12,ALB,7.125,602800.0
1994-04-13,ALB,7.0,504600.0
1994-04-14,ALB,6.9375,378200.0
1994-04-15,ALB,6.875,197600.0
1994-04-18,ALB,7.25,184800.0
1994-04-19,ALB,7.25,122200.0
1994-04-20,ALB,7.125,201400.0
1994-04-21,ALB,6.875,858200.0
1994-04-22,ALB,7.25,411400.0
1994-04-25,ALB,7.625,330600.0
1994-04-26,ALB,7.375,313400.0
1994-04-28,ALB,7.3125,161600.0
1994-04-29,ALB,7.25,344600.0
1994-05-02,ALB,7.1875,135800.0
1994-05-03,ALB,7.1875,375200.0
1994-05-04,ALB,7.3125,491800.0
1994-05-05,ALB,7.25,152800.0
1994-05-06,ALB,7.25,272800.0
1994-05-09,ALB,7.25,161600.0
1994-05-10,ALB,7.5,308200.0
1994-05-11,ALB,7.5625,388600.0
1994-05-12,ALB,7.75,155000.0
1994-05-13,ALB,7.375,105200.0
1994-05-16,ALB,7.4375,206800.0
1994-05-17,ALB,7.5,422600.0
1994-05-18,ALB,7.5,130800.0
1994-05-19,ALB,7.5625,199400.0
1994-05-20,ALB,7.375,119600.0
1994-05-23,ALB,7.25,195600.0
1994-05-24,ALB,7.5625,158200.0
1994-05-25,ALB,7.6875,104800.0
1994-05-26,ALB,7.75,345800.0
1994-05-27,ALB,7.8125,298000.0
1994-05-31,ALB,8.0625,456400.0
1994-06-01,ALB,7.875,268200.0
1994-06-02,ALB,7.875,81000.0
1994-06-03,ALB,7.75,397400.0
1994-06-06,ALB,7.875,75600.0
1994-06-07,ALB,7.9375,92800.0
1994-06-08,ALB,7.875,107600.0
1994-06-09,ALB,7.875,187800.0
1994-06-10,ALB,7.6875,280600.0
1994-06-13,ALB,7.875,97600.0
1994-06-14,ALB,8.0625,339800.0
1994-06-15,ALB,8.1875,305200.0
1994-06-16,ALB,8.5,393800.0
1994-06-17,ALB,8.25,407200.0
1994-06-20,ALB,8.125,47800.0
1994-06-21,ALB,8.5,556200.0
1994-06-22,ALB,8.5,759200.0
1994-06-23,ALB,8.5,553200.0
1994-06-24,ALB,8.375,1003800.0
1994-06-27,ALB,8.25,295200.0
1994-06-28,ALB,8.125,165800.0
1994-06-29,ALB,8.0,396200.0
1994-06-30,ALB,8.1875,453200.0
1994-07-01,ALB,8.125,870200.0
1994-07-05,ALB,8.1875,685600.0
1994-07-06,ALB,8.125,163800.0
1994-07-07,ALB,8.1875,290600.0
1994-07-08,ALB,8.25,165000.0
1994-07-11,ALB,8.25,86800.0
1994-07-12,ALB,8.0625,390800.0
1994-07-13,ALB,8.0625,287000.0
1994-07-14,ALB,8.0625,167600.0
1994-07-15,ALB,8.0625,78800.0
1994-07-18,ALB,8.1875,150600.0
1994-07-19,ALB,8.375,743800.0
1994-07-20,ALB,8.5625,1206000.0
1994-07-21,ALB,8.5625,544800.0
1994-07-22,ALB,8.5625,201400.0
1994-07-25,ALB,8.625,71600.0
1994-07-26,ALB,8.6875,205400.0
1994-07-27,ALB,8.6875,244000.0
1994-07-28,ALB,8.625,122400.0
1994-07-29,ALB,8.6875,102400.0
1994-08-01,ALB,8.6875,136800.0
1994-08-02,ALB,8.8125,513400.0
1994-08-03,ALB,8.8125,709800.0
1994-08-04,ALB,7.9375,1680600.0
1994-08-05,ALB,7.75,373600.0
1994-08-08,ALB,7.8125,501400.0
1994-08-09,ALB,7.75,1031000.0
1994-08-10,ALB,7.6875,1103200.0
1994-08-11,ALB,7.5625,703800.0
1994-08-12,ALB,7.6875,422800.0
1994-08-15,ALB,7.8125,173800.0
1994-08-16,ALB,8.0625,280000.0
1994-08-17,ALB,8.0625,131800.0
1994-08-18,ALB,8.0,225800.0
1994-08-19,ALB,8.25,166600.0
1994-08-22,ALB,8.125,41000.0
1994-08-23,ALB,8.125,186800.0
1994-08-24,ALB,7.9375,183200.0
1994-08-25,ALB,7.6875,178000.0
1994-08-26,ALB,7.625,515200.0
1994-08-29,ALB,7.6875,45800.0
1994-08-30,ALB,7.5,420800.0
1994-08-31,ALB,7.5,277200.0
1994-09-01,ALB,7.4375,142400.0
1994-09-02,ALB,7.4375,117000.0
1994-09-06,ALB,7.5,226800.0
1994-09-07,ALB,7.375,192600.0
1994-09-08,ALB,7.375,105600.0
1994-09-09,ALB,7.3125,1000800.0
1994-09-12,ALB,7.3125,419400.0
1994-09-13,ALB,7.4375,97800.0
1994-09-14,ALB,7.375,62600.0
1994-09-15,ALB,7.1875,956600.0
1994-09-16,ALB,7.25,245000.0
1994-09-19,ALB,7.25,134400.0
1994-09-20,ALB,7.5625,1914200.0
1994-09-21,ALB,7.4375,471400.0
1994-09-22,ALB,7.25,1111000.0
1994-09-23,ALB,7.1875,85200.0
1994-09-26,ALB,7.25,652400.0
1994-09-27,ALB,7.3125,158600.0
1994-09-28,ALB,7.25,220200.0
1994-09-29,ALB,7.125,242200.0
1994-09-30,ALB,7.1875,36600.0
1994-10-03,ALB,7.1875,319000.0
1994-10-04,ALB,7.125,307400.0
1994-10-05,ALB,7.125,162200.0
1994-10-06,ALB,7.1875,35200.0
1994-10-07,ALB,7.125,450600.0
1994-10-10,ALB,7.1875,42800.0
1994-10-11,ALB,7.125,75200.0
1994-10-12,ALB,7.125,113600.0
1994-10-13,ALB,7.3125,2396400.0
1994-10-14,ALB,7.6875,275200.0
1994-10-17,ALB,7.5625,61400.0
1994-10-18,ALB,7.5625,25200.0
1994-10-19,ALB,7.6875,167200.0
1994-10-20,ALB,7.5,109400.0
1994-10-21,ALB,7.5625,195000.0
1994-10-24,ALB,7.9375,51200.0
1994-10-25,ALB,7.625,169000.0
1994-10-26,ALB,7.6875,62000.0
1994-10-27,ALB,7.5,134600.0
1994-10-28,ALB,7.625,91800.0
1994-10-31,ALB,7.625,163000.0
1994-11-01,ALB,7.6875,358000.0
1994-11-02,ALB,7.4375,39600.0
1994-11-03,ALB,7.5,258800.0
1994-11-04,ALB,7.4375,116000.0
1994-11-07,ALB,7.4375,76600.0
1994-11-08,ALB,7.375,146200.0
1994-11-09,ALB,7.25,236800.0
1994-11-10,ALB,7.3125,215400.0
1994-11-11,ALB,7.25,138000.0
1994-11-14,ALB,7.25,156000.0
1994-11-15,ALB,7.1875,456000.0
1994-11-16,ALB,7.1875,70400.0
1994-11-17,ALB,7.25,230800.0
1994-11-18,ALB,7.1875,240400.0
1994-11-21,ALB,7.0,356200.0
1994-11-22,ALB,6.8125,433400.0
1994-11-23,ALB,6.8125,275800.0
1994-11-25,ALB,6.75,20000.0
1994-11-28,ALB,6.75,173800.0
1994-11-29,ALB,6.875,315000.0
1994-11-30,ALB,6.75,76400.0
1994-12-01,ALB,6.625,179400.0
1994-12-02,ALB,6.75,143800.0
1994-12-05,ALB,6.75,37000.0
1994-12-06,ALB,6.6875,169400.0
1994-12-07,ALB,6.75,105200.0
1994-12-08,ALB,6.5,141400.0
1994-12-09,ALB,6.6875,65600.0
1994-12-12,ALB,6.5625,85800.0
1994-12-13,ALB,6.5625,113400.0
1994-12-14,ALB,6.625,84400.0
1994-12-15,ALB,6.6875,92600.0
1994-12-16,ALB,6.6875,136400.0
1994-12-19,ALB,6.75,56200.0
1994-12-20,ALB,6.75,50400.0
1994-12-21,ALB,6.5625,158800.0
1994-12-22,ALB,6.6875,194600.0
1994-12-23,ALB,6.75,39600.0
1994-12-27,ALB,6.75,32000.0
1994-12-28,ALB,6.5625,84600.0
1994-12-29,ALB,6.8125,318400.0
1994-12-30,ALB,6.9375,185400.0
1995-01-03,ALB,6.9375,161600.0
1995-01-04,ALB,7.125,152000.0
1995-01-05,ALB,6.875,22800.0
1995-01-06,ALB,7.0,70800.0
1995-01-09,ALB,6.875,125600.0
1995-01-10,ALB,6.8125,43200.0
1995-01-11,ALB,7.0,84600.0
1995-01-12,ALB,6.8125,73200.0
1995-01-13,ALB,7.0625,77200.0
1995-01-16,ALB,7.1875,69200.0
1995-01-17,ALB,7.125,138400.0
1995-01-18,ALB,6.9375,97000.0
1995-01-19,ALB,6.9375,54000.0
1995-01-20,ALB,7.125,82400.0
1995-01-23,ALB,7.0625,53000.0
1995-01-24,ALB,6.9375,64800.0
1995-01-25,ALB,6.5,1619600.0
1995-01-26,ALB,6.625,193600.0
1995-01-27,ALB,6.6875,128600.0
1995-01-30,ALB,6.5,59200.0
1995-01-31,ALB,6.5625,184200.0
1995-02-01,ALB,6.5625,215200.0
1995-02-02,ALB,6.5625,413600.0
1995-02-03,ALB,6.6875,95200.0
1995-02-06,ALB,6.625,89600.0
1995-02-07,ALB,6.625,107400.0
1995-02-08,ALB,6.5625,79200.0
1995-02-09,ALB,6.5,281800.0
1995-02-10,ALB,6.5625,91400.0
1995-02-13,ALB,6.5,107400.0
1995-02-14,ALB,6.3125,226800.0
1995-02-15,ALB,6.3125,161800.0
1995-02-16,ALB,6.5,313800.0
1995-02-17,ALB,6.875,1020200.0
1995-02-21,ALB,6.875,266400.0
1995-02-22,ALB,7.0,754400.0
1995-02-23,ALB,6.9375,829800.0
1995-02-24,ALB,6.9375,43000.0
1995-02-27,ALB,7.125,127600.0
1995-02-28,ALB,7.125,159800.0
1995-03-01,ALB,6.875,589200.0
1995-03-02,ALB,7.0,203200.0
1995-03-03,ALB,6.9375,71800.0
1995-03-06,ALB,6.9375,76400.0
1995-03-07,ALB,6.9375,52600.0
1995-03-08,ALB,6.75,80600.0
1995-03-09,ALB,6.875,93800.0
1995-03-10,ALB,6.75,169800.0
1995-03-13,ALB,6.875,163200.0
1995-03-14,ALB,6.8125,127400.0
1995-03-15,ALB,6.5,225000.0
1995-03-16,ALB,6.5625,224000.0
1995-03-17,ALB,6.4375,121000.0
1995-03-20,ALB,6.375,67600.0
1995-03-21,ALB,6.3125,157600.0
1995-03-22,ALB,6.25,729400.0
1995-03-23,ALB,6.25,174600.0
1995-03-24,ALB,6.25,89000.0
1995-03-27,ALB,6.1875,577000.0
1995-03-28,ALB,6.1875,404600.0
1995-03-29,ALB,6.1875,296600.0
1995-03-30,ALB,6.3125,525000.0
1995-03-31,ALB,6.375,898600.0
1995-04-03,ALB,6.5,388600.0
1995-04-04,ALB,6.375,378200.0
1995-04-05,ALB,6.4375,144800.0
1995-04-06,ALB,6.5,114000.0
1995-04-07,ALB,6.5625,280800.0
1995-04-10,ALB,6.6875,887800.0
1995-04-11,ALB,6.625,175400.0
1995-04-12,ALB,6.75,300600.0
1995-04-13,ALB,6.6875,256400.0
1995-04-17,ALB,6.8125,405200.0
1995-04-18,ALB,6.75,300400.0
1995-04-19,ALB,6.8125,229000.0
1995-04-20,ALB,6.8125,227200.0
1995-04-21,ALB,6.875,178600.0
