ds,symbol,close,volume
2015-07-31,AQMS,5.35,537516
2015-08-03,AQMS,5.025,290653
2015-08-04,AQMS,4.99,278648
2015-08-05,AQMS,5.0,103893
2015-08-06,AQMS,5.15,35543
2015-08-07,AQMS,5.42,58363
2015-08-10,AQMS,5.31,42659
2015-08-11,AQMS,5.36,34006
2015-08-12,AQMS,5.49,30589
2015-08-13,AQMS,5.3601,25131
2015-08-14,AQMS,5.44,43785
2015-08-17,AQMS,5.5,27779
2015-08-18,AQMS,5.5,16708
2015-08-19,AQMS,5.19,22070
2015-08-20,AQMS,4.88,29420
2015-08-21,AQMS,5.0,25987
2015-08-24,AQMS,4.78,25963
2015-08-25,AQMS,5.0,49200
2015-08-26,AQMS,5.0,19545
2015-08-27,AQMS,4.92,23127
2015-08-28,AQMS,5.2,59766
2015-08-31,AQMS,4.99,38388
2015-09-01,AQMS,4.85,18397
2015-09-02,AQMS,4.84,2761
2015-09-03,AQMS,4.98,18478
2015-09-04,AQMS,4.96,10655
2015-09-08,AQMS,5.07,26864
2015-09-09,AQMS,5.09,12569
2015-09-10,AQMS,5.05,17397
2015-09-11,AQMS,5.45,79788
2015-09-14,AQMS,5.26,68920
2015-09-15,AQMS,5.23,33312
2015-09-16,AQMS,5.38,11684
2015-09-17,AQMS,5.375,20279
2015-09-18,AQMS,4.94,285679
2015-09-21,AQMS,5.01,19918
2015-09-22,AQMS,4.9,128913
2015-09-23,AQMS,4.98,6551
2015-09-24,AQMS,4.92,4874
2015-09-25,AQMS,4.9,7586
2015-09-28,AQMS,4.89,11592
2015-09-29,AQMS,4.92,9804
2015-09-30,AQMS,5.07,37135
2015-10-01,AQMS,5.08,46661
2015-10-02,AQMS,5.11,39532
2015-10-05,AQMS,5.13,16065
2015-10-06,AQMS,5.14,14617
2015-10-07,AQMS,5.0,629
2015-10-08,AQMS,5.06,4706
2015-10-09,AQMS,5.08,1625
2015-10-12,AQMS,5.14,5028
2015-10-13,AQMS,5.0,10195
2015-10-14,AQMS,5.19,10759
2015-10-15,AQMS,5.09,15227
2015-10-16,AQMS,5.175,3350
2015-10-19,AQMS,5.1101,2045
2015-10-20,AQMS,5.19,6180
2015-10-21,AQMS,4.9,29477
2015-10-22,AQMS,4.89,19319
2015-10-23,AQMS,4.93,5339
2015-10-26,AQMS,5.05,4520
2015-10-27,AQMS,4.86,9434
2015-10-28,AQMS,4.8474,4778
2015-10-29,AQMS,4.98,9193
2015-10-30,AQMS,5.0,5600
2015-11-02,AQMS,4.89,6857
2015-11-03,AQMS,5.01,17886
2015-11-04,AQMS,5.0,4501
2015-11-05,AQMS,4.9909,7143
2015-11-06,AQMS,5.02,12308
2015-11-09,AQMS,5.1,30092
2015-11-10,AQMS,5.3574,38369
2015-11-11,AQMS,5.19,11205
2015-11-12,AQMS,5.3,13127
2015-11-13,AQMS,5.145,14802
2015-11-16,AQMS,5.16,15008
2015-11-17,AQMS,5.18,21924
2015-11-18,AQMS,5.0,9347
2015-11-19,AQMS,5.04,4768
2015-11-20,AQMS,4.99,12638
2015-11-23,AQMS,5.06,8014
2015-11-24,AQMS,5.1299,14147
2015-11-25,AQMS,5.0801,6914
2015-11-27,AQMS,5.17,7975
2015-11-30,AQMS,5.05,7648
2015-12-01,AQMS,5.16,23356
