ds,symbol,close,volume
2018-07-25,AQST,16.05,3143955
2018-07-26,AQST,15.85,469659
2018-07-27,AQST,15.18,294385
2018-07-30,AQST,15.06,34147
2018-07-31,AQST,15.04,169307
2018-08-01,AQST,15.1,102473
2018-08-02,AQST,15.02,77357
2018-08-03,AQST,15.01,31680
2018-08-06,AQST,15.0,75193
2018-08-07,AQST,15.01,113994
2018-08-08,AQST,15.06,219442
2018-08-09,AQST,15.06,199603
2018-08-10,AQST,15.68,76366
2018-08-13,AQST,16.17,44753
2018-08-14,AQST,16.53,54939
2018-08-15,AQST,16.46,33307
2018-08-16,AQST,16.1,63410
2018-08-17,AQST,16.0,53086
2018-08-20,AQST,15.96,158249
2018-08-21,AQST,15.84,78661
2018-08-22,AQST,15.97,88417
2018-08-23,AQST,15.93,169285
2018-08-24,AQST,15.73,63379
2018-08-27,AQST,15.51,71414
2018-08-28,AQST,16.02,145802
2018-08-29,AQST,16.9,230843
2018-08-30,AQST,17.18,171226
2018-08-31,AQST,18.01,229024
2018-09-04,AQST,17.89,192048
2018-09-05,AQST,17.96,98525
2018-09-06,AQST,18.88,188821
2018-09-07,AQST,18.96,145642
2018-09-10,AQST,18.67,108761
2018-09-11,AQST,18.28,133348
2018-09-12,AQST,18.47,119102
2018-09-13,AQST,18.31,208614
2018-09-14,AQST,16.52,176741
2018-09-17,AQST,16.53,197592
2018-09-18,AQST,16.07,202244
2018-09-19,AQST,16.38,164212
2018-09-20,AQST,16.31,252597
2018-09-21,AQST,16.33,705927
2018-09-24,AQST,17.16,199518
2018-09-25,AQST,17.5,173981
2018-09-26,AQST,17.19,74092
2018-09-27,AQST,17.31,72659
2018-09-28,AQST,17.51,84157
2018-10-01,AQST,17.31,143030
2018-10-02,AQST,17.9,79269
2018-10-03,AQST,17.85,136757
2018-10-04,AQST,16.62,178368
2018-10-05,AQST,16.14,136713
2018-10-08,AQST,15.78,73642
2018-10-09,AQST,14.8,97568
2018-10-10,AQST,14.42,107970
2018-10-11,AQST,14.04,54058
2018-10-12,AQST,14.9,85513
2018-10-15,AQST,15.09,59105
2018-10-16,AQST,15.46,33508
2018-10-17,AQST,15.92,235922
2018-10-18,AQST,15.52,136157
2018-10-19,AQST,14.36,74522
2018-10-22,AQST,14.11,65044
2018-10-23,AQST,14.74,52666
2018-10-24,AQST,14.78,42260
2018-10-25,AQST,14.8,129336
2018-10-26,AQST,15.23,37149
2018-10-29,AQST,14.61,30149
2018-10-30,AQST,14.87,12196
2018-10-31,AQST,15.13,49304
2018-11-01,AQST,15.24,144226
2018-11-02,AQST,17.33,157649
2018-11-05,AQST,17.75,132660
2018-11-06,AQST,17.55,48047
2018-11-07,AQST,17.91,82318
2018-11-08,AQST,18.0,73881
2018-11-09,AQST,17.0,47544
2018-11-12,AQST,16.63,23156
2018-11-13,AQST,17.22,16195
2018-11-14,AQST,16.88,21992
2018-11-15,AQST,16.81,27765
2018-11-16,AQST,16.86,72116
2018-11-19,AQST,16.35,44294
2018-11-20,AQST,13.19,97627
2018-11-21,AQST,10.22,771768
2018-11-23,AQST,10.2,156863
2018-11-26,AQST,10.85,355647
2018-11-27,AQST,9.31,277040
2018-11-28,AQST,8.95,241719
2018-11-29,AQST,8.84,76383
2018-11-30,AQST,8.59,115908
2018-12-03,AQST,8.16,157826
2018-12-04,AQST,7.55,123031
2018-12-06,AQST,8.75,195967
