ds,symbol,close,volume
2017-11-02,AQUA,20.88,14271674
2017-11-03,AQUA,20.32,1077849
2017-11-06,AQUA,20.4,1082022
2017-11-07,AQUA,20.26,332675
2017-11-08,AQUA,20.3,2711529
2017-11-09,AQUA,20.39,344817
2017-11-10,AQUA,20.68,391376
2017-11-13,AQUA,20.41,377254
2017-11-14,AQUA,20.33,493316
2017-11-15,AQUA,20.5,294048
2017-11-16,AQUA,20.74,421779
2017-11-17,AQUA,20.8,439902
2017-11-20,AQUA,20.97,594994
2017-11-21,AQUA,21.5,778833
2017-11-22,AQUA,21.78,540746
2017-11-24,AQUA,22.01,107183
2017-11-27,AQUA,21.43,743626
2017-11-28,AQUA,21.65,424397
2017-11-29,AQUA,21.44,512156
2017-11-30,AQUA,21.64,488798
2017-12-01,AQUA,22.03,1379554
2017-12-04,AQUA,22.5,1013123
2017-12-05,AQUA,22.53,482632
2017-12-06,AQUA,23.03,433203
2017-12-07,AQUA,22.75,529635
2017-12-08,AQUA,23.19,584157
2017-12-11,AQUA,23.5,494359
2017-12-12,AQUA,23.61,273046
2017-12-13,AQUA,23.28,453019
2017-12-14,AQUA,23.32,526831
2017-12-15,AQUA,23.42,4607170
2017-12-18,AQUA,23.86,605445
2017-12-19,AQUA,22.99,453879
2017-12-20,AQUA,23.12,480164
2017-12-21,AQUA,23.28,325406
2017-12-22,AQUA,23.15,233828
2017-12-26,AQUA,23.15,68614
2017-12-27,AQUA,23.21,84455
2017-12-28,AQUA,23.71,133973
2017-12-29,AQUA,23.71,153688
2018-01-02,AQUA,23.82,350744
2018-01-03,AQUA,23.77,426621
2018-01-04,AQUA,23.73,233453
2018-01-05,AQUA,24.05,230150
2018-01-08,AQUA,24.78,319648
2018-01-09,AQUA,24.5,318426
2018-01-10,AQUA,24.67,274530
2018-01-11,AQUA,24.51,198471
2018-01-12,AQUA,24.6,193136
2018-01-16,AQUA,24.23,429411
2018-01-17,AQUA,24.22,357995
2018-01-18,AQUA,24.34,546175
2018-01-19,AQUA,24.82,172257
2018-01-22,AQUA,24.78,149121
2018-01-23,AQUA,24.57,428615
2018-01-24,AQUA,24.5,204262
2018-01-25,AQUA,24.65,247628
2018-01-26,AQUA,24.25,368743
2018-01-29,AQUA,24.03,337880
2018-01-30,AQUA,22.93,437823
2018-01-31,AQUA,22.86,384938
2018-02-01,AQUA,22.56,457176
2018-02-02,AQUA,22.21,293885
2018-02-05,AQUA,21.61,453501
2018-02-06,AQUA,21.43,765548
2018-02-07,AQUA,21.36,481215
2018-02-08,AQUA,20.74,238253
2018-02-09,AQUA,20.82,178632
2018-02-12,AQUA,20.98,250065
2018-02-13,AQUA,20.97,282075
2018-02-14,AQUA,21.44,332027
2018-02-15,AQUA,22.37,397034
2018-02-16,AQUA,22.74,190368
2018-02-20,AQUA,22.2,229637
2018-02-21,AQUA,22.08,169616
2018-02-22,AQUA,22.13,191522
2018-02-23,AQUA,22.63,195181
2018-02-26,AQUA,22.74,252634
2018-02-27,AQUA,22.96,204189
2018-02-28,AQUA,22.9,181708
2018-03-01,AQUA,23.04,327500
2018-03-02,AQUA,23.23,278952
2018-03-05,AQUA,23.52,276733
2018-03-06,AQUA,23.9,237557
2018-03-07,AQUA,23.82,244076
2018-03-08,AQUA,23.8,247026
2018-03-09,AQUA,24.45,185356
2018-03-12,AQUA,25.19,439465
2018-03-13,AQUA,23.4,1143799
2018-03-14,AQUA,22.81,1449946
2018-03-15,AQUA,21.79,11299214
2018-03-16,AQUA,22.0,2027763
2018-03-19,AQUA,22.76,4257408
2018-03-20,AQUA,22.86,1192388
2018-03-21,AQUA,22.81,793844
2018-03-22,AQUA,21.99,827043
2018-03-23,AQUA,21.3,1894381
2018-03-26,AQUA,21.38,785697
2018-03-27,AQUA,21.33,606859
2018-03-28,AQUA,21.05,561392
2018-03-29,AQUA,21.29,599862
2018-04-02,AQUA,20.88,489198
2018-04-03,AQUA,21.12,632139
2018-04-04,AQUA,21.8,594753
2018-04-05,AQUA,22.23,418558
2018-04-06,AQUA,21.59,250525
2018-04-09,AQUA,21.27,257704
2018-04-10,AQUA,21.11,342322
2018-04-11,AQUA,21.68,337114
2018-04-12,AQUA,21.97,338884
2018-04-13,AQUA,21.78,120534
2018-04-16,AQUA,22.24,279453
2018-04-17,AQUA,22.36,286788
2018-04-18,AQUA,22.75,324076
2018-04-19,AQUA,22.41,472686
2018-04-20,AQUA,22.48,1093063
2018-04-23,AQUA,22.24,200210
2018-04-24,AQUA,21.56,390477
2018-04-25,AQUA,21.23,362340
2018-04-26,AQUA,20.79,490175
2018-04-27,AQUA,20.44,540286
2018-04-30,AQUA,20.43,419326
2018-05-01,AQUA,20.15,489756
2018-05-02,AQUA,19.78,826097
2018-05-03,AQUA,19.81,694989
2018-05-04,AQUA,20.15,609142
2018-05-07,AQUA,20.21,443827
2018-05-08,AQUA,18.51,2376257
2018-05-09,AQUA,19.5,1199051
2018-05-10,AQUA,19.51,439419
2018-05-11,AQUA,19.37,679522
2018-05-14,AQUA,19.57,583331
2018-05-15,AQUA,19.28,662813
2018-05-16,AQUA,19.28,661110
2018-05-17,AQUA,18.96,610277
2018-05-18,AQUA,18.69,510504
2018-05-21,AQUA,18.9,466246
2018-05-22,AQUA,19.38,665678
