ds,symbol,close,volume
2020-10-30,ARBE,9.65,2000
2020-11-02,ARBE,9.65,0
2020-11-03,ARBE,9.65,0
2020-11-04,ARBE,9.65,0
2020-11-05,ARBE,9.65,0
2020-11-06,ARBE,9.9,400
2020-11-09,ARBE,9.67,600
2020-11-10,ARBE,9.67,0
2020-11-11,ARBE,9.8,57600
2020-11-12,ARBE,9.99,1100
2020-11-13,ARBE,9.99,0
2020-11-16,ARBE,9.7,285500
2020-11-17,ARBE,9.72,2200
2020-11-18,ARBE,9.71,402600
2020-11-19,ARBE,9.71,0
2020-11-20,ARBE,9.82,186200
2020-11-23,ARBE,9.82,33500
2020-11-24,ARBE,9.917,200
2020-11-25,ARBE,9.87,35800
2020-11-27,ARBE,9.903,4400
2020-11-30,ARBE,9.98,49100
2020-12-01,ARBE,9.9,51600
2020-12-02,ARBE,9.9,115500
2020-12-03,ARBE,9.9,0
2020-12-04,ARBE,9.98,46100
2020-12-07,ARBE,10.027,2600
2020-12-08,ARBE,9.97,24600
2020-12-09,ARBE,9.99,348500
2020-12-10,ARBE,9.99,28000
2020-12-11,ARBE,10.03,16700
2020-12-14,ARBE,9.965,7100
2020-12-15,ARBE,10.03,2700
2020-12-16,ARBE,10.04,9500
2020-12-17,ARBE,10.0,55500
2020-12-18,ARBE,10.0,33000
2020-12-21,ARBE,10.0,0
2020-12-22,ARBE,10.0,37900
2020-12-23,ARBE,10.16,75500
2020-12-24,ARBE,10.085,38600
2020-12-28,ARBE,10.01,46400
2020-12-29,ARBE,10.02,205900
2020-12-30,ARBE,10.1,13200
2020-12-31,ARBE,10.14,9600
2021-01-04,ARBE,10.088,57200
2021-01-05,ARBE,10.085,15100
2021-01-06,ARBE,10.103,47100
2021-01-07,ARBE,10.23,16100
2021-01-08,ARBE,10.16,7500
2021-01-11,ARBE,10.17,24900
2021-01-12,ARBE,10.3,112800
2021-01-13,ARBE,10.3,66600
2021-01-14,ARBE,10.35,29400
2021-01-15,ARBE,10.26,65100
2021-01-19,ARBE,10.21,22300
2021-01-20,ARBE,10.22,30800
2021-01-21,ARBE,10.29,79100
2021-01-22,ARBE,10.265,22500
2021-01-25,ARBE,10.23,153200
2021-01-26,ARBE,10.25,21200
2021-01-27,ARBE,10.15,168000
2021-01-28,ARBE,10.13,28000
2021-01-29,ARBE,10.13,25800
2021-02-01,ARBE,10.19,9100
2021-02-02,ARBE,10.29,105900
2021-02-03,ARBE,10.36,139700
2021-02-04,ARBE,10.39,22100
2021-02-05,ARBE,10.34,156300
2021-02-08,ARBE,10.27,176800
2021-02-09,ARBE,10.25,45300
2021-02-10,ARBE,10.36,102200
2021-02-11,ARBE,10.37,39700
2021-02-12,ARBE,10.46,72000
2021-02-16,ARBE,10.4,40300
2021-02-17,ARBE,10.41,16400
2021-02-18,ARBE,10.9,385900
2021-02-19,ARBE,10.88,187000
2021-02-22,ARBE,10.65,76600
2021-02-23,ARBE,10.36,189200
2021-02-24,ARBE,10.49,38500
2021-02-25,ARBE,10.2,54300
2021-02-26,ARBE,10.2,81900
2021-03-01,ARBE,10.17,132400
2021-03-02,ARBE,10.05,58400
2021-03-03,ARBE,10.035,270000
2021-03-04,ARBE,9.92,83000
2021-03-05,ARBE,9.9,102400
2021-03-08,ARBE,9.95,34900
2021-03-09,ARBE,9.99,65300
2021-03-10,ARBE,10.08,124300
2021-03-11,ARBE,10.0,56900
