ds,symbol,close,volume
2017-03-15,ARD,22.91,9893331
2017-03-16,ARD,22.55,726436
2017-03-17,ARD,22.01,348728
2017-03-20,ARD,21.53,281614
2017-03-21,ARD,21.27,335689
2017-03-22,ARD,21.47,223842
2017-03-23,ARD,21.8,306186
2017-03-24,ARD,22.21,128557
2017-03-27,ARD,22.29,64475
2017-03-28,ARD,22.23,57754
2017-03-29,ARD,21.75,126647
2017-03-30,ARD,22.02,111872
2017-03-31,ARD,21.96,38373
2017-04-03,ARD,21.43,129517
2017-04-04,ARD,21.7,39824
2017-04-05,ARD,21.3,41554
2017-04-06,ARD,21.14,73497
2017-04-07,ARD,21.86,37685
2017-04-10,ARD,21.1,149665
2017-04-11,ARD,21.04,108161
2017-04-12,ARD,21.1,308369
2017-04-13,ARD,21.0,238656
2017-04-17,ARD,20.89,177728
2017-04-18,ARD,20.99,145817
2017-04-19,ARD,21.73,87848
2017-04-20,ARD,21.57,11736
2017-04-21,ARD,21.1,27617
2017-04-24,ARD,21.28,50874
2017-04-25,ARD,21.22,61356
2017-04-26,ARD,21.6,72879
2017-04-27,ARD,21.6,193954
2017-04-28,ARD,21.43,80098
2017-05-01,ARD,21.84,85529
2017-05-02,ARD,21.42,130222
2017-05-03,ARD,21.26,53614
2017-05-04,ARD,21.58,145356
2017-05-05,ARD,22.36,204398
2017-05-08,ARD,21.99,75325
2017-05-09,ARD,21.78,168314
2017-05-10,ARD,22.3,186023
2017-05-11,ARD,21.86,324443
2017-05-12,ARD,21.76,159123
2017-05-15,ARD,21.8,69401
2017-05-16,ARD,21.76,167870
2017-05-17,ARD,22.09,109568
2017-05-18,ARD,22.05,32733
2017-05-19,ARD,22.37,33699
2017-05-22,ARD,22.43,72768
2017-05-23,ARD,23.45,187337
2017-05-24,ARD,23.7,74625
2017-05-25,ARD,23.85,125373
2017-05-26,ARD,22.94,100597
2017-05-30,ARD,23.79,84450
2017-05-31,ARD,23.99,92525
2017-06-01,ARD,23.59,129964
2017-06-02,ARD,23.21,159217
2017-06-05,ARD,22.95,109327
2017-06-06,ARD,22.92,69031
2017-06-07,ARD,22.88,122766
2017-06-08,ARD,22.76,67021
2017-06-09,ARD,22.78,43381
2017-06-12,ARD,22.22,206673
2017-06-13,ARD,22.7,89837
2017-06-14,ARD,22.41,38624
2017-06-15,ARD,22.42,78068
2017-06-16,ARD,22.24,56493
2017-06-19,ARD,22.16,122092
2017-06-20,ARD,22.1,74641
2017-06-21,ARD,21.85,133830
2017-06-22,ARD,21.73,174423
2017-06-23,ARD,21.88,1159057
2017-06-26,ARD,22.13,231296
2017-06-27,ARD,22.05,93782
2017-06-28,ARD,22.31,218421
2017-06-29,ARD,22.64,91694
2017-06-30,ARD,22.61,53037
2017-07-03,ARD,22.3,71665
2017-07-05,ARD,22.01,49353
2017-07-06,ARD,21.88,78060
2017-07-07,ARD,21.96,65271
2017-07-10,ARD,21.95,72894
2017-07-11,ARD,21.83,34461
2017-07-12,ARD,21.95,153228
2017-07-13,ARD,21.86,385308
2017-07-14,ARD,22.91,55694
2017-07-17,ARD,23.18,39007
2017-07-18,ARD,22.94,70494
2017-07-19,ARD,22.36,42523
2017-07-20,ARD,22.67,30890
2017-07-21,ARD,22.63,27602
2017-07-24,ARD,23.32,97481
2017-07-25,ARD,23.09,116744
2017-07-26,ARD,22.74,76866
2017-07-27,ARD,22.49,96867
2017-07-28,ARD,22.46,178990
2017-07-31,ARD,22.44,47025
2017-08-01,ARD,22.4,118765
2017-08-02,ARD,22.39,87983
2017-08-03,ARD,22.04,38068
2017-08-04,ARD,22.05,30519
2017-08-07,ARD,22.15,40872
2017-08-08,ARD,22.07,187067
2017-08-09,ARD,21.87,273575
2017-08-10,ARD,21.54,290047
2017-08-11,ARD,21.74,16488
2017-08-14,ARD,21.58,20174
2017-08-15,ARD,21.21,92046
2017-08-16,ARD,21.23,95634
2017-08-17,ARD,21.02,100336
2017-08-18,ARD,20.91,43283
2017-08-21,ARD,20.71,55787
2017-08-22,ARD,20.35,63884
2017-08-23,ARD,20.07,103019
2017-08-24,ARD,20.39,77833
2017-08-25,ARD,20.55,126461
2017-08-28,ARD,20.52,58308
2017-08-29,ARD,20.53,114680
2017-08-30,ARD,20.62,50532
2017-08-31,ARD,20.79,72805
2017-09-01,ARD,20.82,54252
2017-09-05,ARD,20.87,40660
2017-09-06,ARD,20.61,24602
2017-09-07,ARD,20.5,28766
2017-09-08,ARD,20.53,53825
2017-09-11,ARD,20.74,40017
2017-09-12,ARD,20.87,27475
2017-09-13,ARD,21.07,88571
2017-09-14,ARD,20.99,92558
2017-09-15,ARD,20.76,74590
2017-09-18,ARD,20.84,66196
2017-09-19,ARD,20.87,41087
2017-09-20,ARD,20.85,39188
2017-09-21,ARD,20.68,48284
2017-09-22,ARD,20.71,139635
2017-09-25,ARD,20.77,36053
2017-09-26,ARD,20.87,22698
2017-09-27,ARD,20.89,66003
2017-09-28,ARD,21.3,87652
2017-09-29,ARD,21.41,60655
2017-10-02,ARD,21.42,44669
2017-10-03,ARD,21.44,23057
2017-10-04,ARD,21.3,30110
2017-10-05,ARD,21.24,11043
2017-10-06,ARD,21.19,19355
2017-10-09,ARD,21.13,17670
2017-10-10,ARD,21.13,49814
2017-10-11,ARD,21.18,180981
2017-10-12,ARD,20.83,24136
2017-10-13,ARD,21.02,48884
2017-10-16,ARD,21.12,46353
2017-10-17,ARD,20.89,109093
2017-10-18,ARD,21.31,83499
2017-10-19,ARD,21.12,97894
2017-10-20,ARD,20.99,21052
2017-10-23,ARD,21.2,22605
2017-10-24,ARD,21.17,129213
2017-10-25,ARD,21.16,93437
2017-10-26,ARD,20.63,170734
2017-10-27,ARD,20.62,74318
2017-10-30,ARD,20.37,102990
2017-10-31,ARD,21.44,121994
2017-11-01,ARD,21.69,102346
2017-11-02,ARD,21.29,70439
2017-11-03,ARD,21.31,124000
2017-11-06,ARD,20.86,40840
2017-11-07,ARD,20.55,46711
2017-11-08,ARD,20.2,65449
2017-11-09,ARD,20.02,92877
2017-11-10,ARD,20.06,64941
2017-11-13,ARD,19.93,34113
2017-11-14,ARD,19.76,74643
2017-11-15,ARD,19.63,58064
2017-11-16,ARD,19.65,45737
2017-11-17,ARD,19.73,79102
2017-11-20,ARD,19.74,46911
2017-11-21,ARD,19.81,47814
2017-11-22,ARD,19.75,86660
2017-11-24,ARD,19.78,24874
2017-11-27,ARD,19.77,49679
2017-11-28,ARD,19.86,73892
2017-11-29,ARD,19.81,46855
2017-11-30,ARD,19.86,74268
2017-12-01,ARD,19.92,104631
2017-12-04,ARD,20.31,168210
2017-12-05,ARD,20.2,58514
2017-12-06,ARD,20.07,47893
2017-12-07,ARD,20.1,64926
2017-12-08,ARD,20.09,82347
2017-12-11,ARD,20.27,53615
2017-12-12,ARD,20.17,32255
2017-12-13,ARD,20.24,59052
2017-12-14,ARD,20.24,48867
2017-12-15,ARD,20.33,37272
2017-12-18,ARD,20.6,21897
2017-12-19,ARD,20.5,30780
2017-12-20,ARD,20.44,44568
2017-12-21,ARD,20.69,31470
2017-12-22,ARD,20.56,22464
2017-12-26,ARD,20.42,21270
2017-12-27,ARD,20.47,141275
2017-12-28,ARD,21.1,103795
2017-12-29,ARD,21.1,156825
2018-01-02,ARD,21.04,156525
2018-01-03,ARD,21.14,69412
2018-01-04,ARD,20.94,140068
2018-01-05,ARD,21.0,78198
2018-01-08,ARD,21.01,44733
2018-01-09,ARD,20.87,50166
2018-01-10,ARD,20.6,41659
2018-01-11,ARD,20.52,42455
2018-01-12,ARD,20.33,274394
2018-01-16,ARD,20.23,68352
2018-01-17,ARD,20.24,26912
2018-01-18,ARD,20.08,28707
2018-01-19,ARD,20.02,23439
2018-01-22,ARD,19.99,35015
2018-01-23,ARD,20.24,65974
2018-01-24,ARD,19.9,120250
2018-01-25,ARD,20.1,49261
2018-01-26,ARD,20.18,16131
2018-01-29,ARD,19.9,24898
2018-01-30,ARD,20.0,139367
2018-01-31,ARD,20.0,55899
2018-02-01,ARD,20.0,519136
2018-02-02,ARD,19.87,48444
2018-02-05,ARD,18.7,111222
2018-02-06,ARD,18.89,90650
2018-02-07,ARD,18.9,203042
2018-02-08,ARD,18.7,250887
2018-02-09,ARD,17.98,232533
2018-02-12,ARD,17.55,67808
2018-02-13,ARD,18.01,83137
2018-02-14,ARD,18.0,76719
2018-02-15,ARD,18.45,60644
2018-02-16,ARD,18.4,45979
