ds,symbol,close,volume
1997-05-28,ARE,21.0,1862700.0
1997-05-29,ARE,21.375,296800.0
1997-05-30,ARE,22.0,220400.0
1997-06-02,ARE,22.0,66800.0
1997-06-03,ARE,22.125,180000.0
1997-06-04,ARE,21.875,99900.0
1997-06-05,ARE,21.875,291600.0
1997-06-06,ARE,21.5,0.0
1997-06-09,ARE,21.5,0.0
1997-06-10,ARE,21.75,57600.0
1997-06-11,ARE,21.25,146600.0
1997-06-12,ARE,21.375,73300.0
1997-06-13,ARE,21.25,134200.0
1997-06-16,ARE,21.625,73200.0
1997-06-17,ARE,21.375,53300.0
1997-06-18,ARE,21.5,54100.0
1997-06-19,ARE,21.5,44100.0
1997-06-20,ARE,21.625,37800.0
1997-06-23,ARE,21.375,80800.0
1997-06-24,ARE,21.5,116000.0
1997-06-25,ARE,21.625,127400.0
1997-06-26,ARE,21.625,52100.0
1997-06-27,ARE,21.75,44500.0
1997-06-30,ARE,21.875,60300.0
1997-07-01,ARE,22.5,121300.0
1997-07-02,ARE,22.5,77300.0
1997-07-03,ARE,22.75,46000.0
1997-07-07,ARE,22.75,122200.0
1997-07-08,ARE,22.75,50400.0
1997-07-09,ARE,22.75,97000.0
1997-07-10,ARE,22.75,99000.0
1997-07-11,ARE,22.875,136100.0
1997-07-14,ARE,23.5,106600.0
1997-07-15,ARE,23.75,85400.0
1997-07-16,ARE,24.0,68800.0
1997-07-17,ARE,23.875,53000.0
1997-07-18,ARE,23.875,126500.0
1997-07-21,ARE,24.0,111800.0
1997-07-22,ARE,24.0,38800.0
1997-07-23,ARE,24.25,180000.0
1997-07-24,ARE,24.0,47600.0
1997-07-25,ARE,24.25,25500.0
1997-07-28,ARE,24.25,96800.0
1997-07-29,ARE,24.375,19900.0
1997-07-30,ARE,24.5,59600.0
1997-07-31,ARE,24.625,83500.0
1997-08-01,ARE,24.75,18700.0
1997-08-04,ARE,25.75,25700.0
1997-08-05,ARE,25.5,393700.0
1997-08-06,ARE,25.375,59700.0
1997-08-07,ARE,25.5,23800.0
1997-08-08,ARE,26.0,25500.0
1997-08-11,ARE,25.625,9600.0
1997-08-12,ARE,25.5,44600.0
1997-08-13,ARE,25.5,47300.0
1997-08-14,ARE,25.625,8800.0
1997-08-15,ARE,25.5,2800.0
1997-08-18,ARE,25.5,4900.0
1997-08-19,ARE,26.0,22600.0
1997-08-20,ARE,26.0,68800.0
1997-08-21,ARE,26.0,43200.0
1997-08-22,ARE,26.125,22000.0
1997-08-25,ARE,26.25,16300.0
1997-08-26,ARE,25.625,19200.0
1997-08-27,ARE,25.75,3900.0
1997-08-28,ARE,26.125,8300.0
1997-08-29,ARE,26.125,4600.0
1997-09-02,ARE,26.125,14600.0
1997-09-03,ARE,27.0,19000.0
1997-09-04,ARE,27.625,31100.0
1997-09-05,ARE,28.5,51700.0
1997-09-08,ARE,27.5,90400.0
1997-09-09,ARE,27.0,0.0
1997-09-10,ARE,26.125,41300.0
1997-09-11,ARE,26.375,102800.0
1997-09-12,ARE,26.125,21500.0
1997-09-15,ARE,26.75,9500.0
1997-09-16,ARE,27.25,9700.0
1997-09-17,ARE,27.0,41100.0
1997-09-18,ARE,27.0,3400.0
1997-09-19,ARE,26.625,50600.0
1997-09-22,ARE,27.0,51900.0
1997-09-23,ARE,27.125,111200.0
1997-09-24,ARE,26.75,60700.0
1997-09-25,ARE,27.125,18700.0
1997-09-26,ARE,27.25,4200.0
1997-09-29,ARE,27.75,8000.0
1997-09-30,ARE,28.5,12100.0
1997-10-01,ARE,29.0,9900.0
1997-10-02,ARE,28.625,8100.0
1997-10-03,ARE,28.625,4200.0
1997-10-06,ARE,28.5,5400.0
1997-10-07,ARE,28.75,46900.0
1997-10-08,ARE,28.0,10900.0
1997-10-09,ARE,28.125,12500.0
1997-10-10,ARE,28.375,17600.0
1997-10-13,ARE,28.5,3600.0
1997-10-14,ARE,28.375,5600.0
1997-10-15,ARE,28.25,2300.0
1997-10-16,ARE,28.5,5400.0
1997-10-17,ARE,27.75,14100.0
1997-10-20,ARE,27.375,9800.0
1997-10-21,ARE,27.25,3100.0
1997-10-22,ARE,27.625,87700.0
1997-10-23,ARE,27.375,77700.0
1997-10-24,ARE,27.625,4400.0
1997-10-27,ARE,27.25,199500.0
1997-10-28,ARE,27.0,14300.0
1997-10-29,ARE,27.875,7900.0
1997-10-30,ARE,27.875,500.0
1997-10-31,ARE,27.375,5600.0
1997-11-03,ARE,27.75,80700.0
1997-11-04,ARE,28.0,24300.0
1997-11-05,ARE,29.25,68900.0
1997-11-06,ARE,29.25,38600.0
1997-11-07,ARE,28.875,6900.0
1997-11-10,ARE,28.25,29500.0
1997-11-11,ARE,27.875,2300.0
1997-11-12,ARE,27.75,28000.0
1997-11-13,ARE,27.5,6800.0
1997-11-14,ARE,27.5,3700.0
1997-11-17,ARE,27.875,6800.0
1997-11-18,ARE,28.25,2700.0
1997-11-19,ARE,28.625,13200.0
1997-11-20,ARE,30.125,61700.0
1997-11-21,ARE,30.5,62400.0
1997-11-24,ARE,30.875,17800.0
1997-11-25,ARE,31.75,17400.0
1997-11-26,ARE,31.375,94200.0
1997-11-28,ARE,31.125,12600.0
1997-12-01,ARE,30.25,60200.0
1997-12-02,ARE,30.25,36600.0
1997-12-03,ARE,29.0,85000.0
1997-12-04,ARE,29.125,68600.0
