ds,symbol,close,volume
2017-11-17,ARKO,9.56,300
2017-11-20,ARKO,9.56,0
2017-11-21,ARKO,9.56,0
2017-11-22,ARKO,9.56,2
2017-11-24,ARKO,9.56,0
2017-11-27,ARKO,9.39,200
2017-11-28,ARKO,9.39,0
2017-11-29,ARKO,9.39,0
2017-11-30,ARKO,9.37,18474
2017-12-01,ARKO,9.47,9776
2017-12-04,ARKO,9.47,0
2017-12-05,ARKO,9.39,15000
2017-12-06,ARKO,9.39,0
2017-12-07,ARKO,9.42,2000
2017-12-08,ARKO,9.42,0
2017-12-11,ARKO,9.38,400400
2017-12-12,ARKO,9.38,0
2017-12-13,ARKO,9.38,0
2017-12-14,ARKO,9.38,0
2017-12-15,ARKO,9.37,309998
2017-12-18,ARKO,9.37,0
2017-12-19,ARKO,9.37,0
2017-12-20,ARKO,9.37,12
2017-12-21,ARKO,9.37,0
2017-12-22,ARKO,9.4,6806
2017-12-26,ARKO,9.4,0
2017-12-27,ARKO,9.43,1000
2017-12-28,ARKO,9.43,0
2017-12-29,ARKO,9.43,0
2018-01-02,ARKO,9.43,0
2018-01-03,ARKO,9.43,0
2018-01-04,ARKO,9.43,0
2018-01-05,ARKO,9.43,0
2018-01-08,ARKO,9.43,0
2018-01-09,ARKO,9.43,0
2018-01-10,ARKO,9.43,0
2018-01-11,ARKO,9.43,0
2018-01-12,ARKO,9.43,0
2018-01-16,ARKO,9.43,0
2018-01-17,ARKO,9.43,0
2018-01-18,ARKO,9.43,0
2018-01-19,ARKO,9.43,0
2018-01-22,ARKO,9.43,100
2018-01-23,ARKO,9.43,0
2018-01-24,ARKO,9.43,0
2018-01-25,ARKO,9.42,350
2018-01-26,ARKO,9.44,1494
2018-01-29,ARKO,9.44,0
2018-01-30,ARKO,9.44,0
2018-01-31,ARKO,9.44,0
2018-02-01,ARKO,9.44,0
2018-02-02,ARKO,9.44,0
2018-02-05,ARKO,9.44,0
2018-02-06,ARKO,9.44,0
2018-02-07,ARKO,9.45,100
2018-02-08,ARKO,9.45,100
2018-02-09,ARKO,9.45,0
2018-02-12,ARKO,9.45,827300
2018-02-13,ARKO,9.45,0
2018-02-14,ARKO,9.45,300
2018-02-15,ARKO,9.37,50200
2018-02-16,ARKO,9.42,405
2018-02-20,ARKO,9.45,1000
2018-02-21,ARKO,9.45,0
2018-02-22,ARKO,9.45,0
2018-02-23,ARKO,9.45,1505
2018-02-26,ARKO,9.42,510000
2018-02-27,ARKO,9.42,0
2018-02-28,ARKO,9.42,0
2018-03-01,ARKO,9.42,0
2018-03-02,ARKO,9.42,11
2018-03-05,ARKO,9.44,357
2018-03-06,ARKO,9.42,83100
2018-03-07,ARKO,9.42,0
2018-03-08,ARKO,9.42,0
2018-03-09,ARKO,9.42,13
2018-03-12,ARKO,9.42,4
2018-03-13,ARKO,9.42,150000
2018-03-14,ARKO,9.47,200
2018-03-15,ARKO,9.46,300000
2018-03-16,ARKO,9.46,10
2018-03-19,ARKO,9.46,0
2018-03-20,ARKO,9.46,0
2018-03-21,ARKO,9.46,0
2018-03-22,ARKO,9.42,716
2018-03-23,ARKO,9.46,160000
2018-03-26,ARKO,9.46,74
2018-03-27,ARKO,9.46,0
2018-03-28,ARKO,9.46,0
2018-03-29,ARKO,9.46,0
2018-04-02,ARKO,9.46,0
2018-04-03,ARKO,9.47,2300
2018-04-04,ARKO,9.47,4
2018-04-05,ARKO,9.47,0
2018-04-06,ARKO,9.47,209000
2018-04-09,ARKO,9.47,0
2018-04-10,ARKO,9.47,220002
2018-04-11,ARKO,9.49,300
2018-04-12,ARKO,9.49,0
2018-04-13,ARKO,9.49,2
2018-04-16,ARKO,9.49,0
2018-04-17,ARKO,9.43,100
2018-04-18,ARKO,9.43,0
2018-04-19,ARKO,9.43,56
2018-04-20,ARKO,9.49,752502
2018-04-23,ARKO,9.47,102
2018-04-24,ARKO,9.47,917
2018-04-25,ARKO,9.47,102
2018-04-26,ARKO,9.49,501002
2018-04-27,ARKO,9.55,202
2018-04-30,ARKO,9.51,100
2018-05-01,ARKO,9.51,0
2018-05-02,ARKO,9.52,21321
2018-05-03,ARKO,9.65,11088
2018-05-04,ARKO,9.52,20000
2018-05-07,ARKO,9.52,0
2018-05-08,ARKO,9.52,8001
2018-05-09,ARKO,9.5,1124010
2018-05-10,ARKO,9.5,99500
2018-05-11,ARKO,9.5,398225
2018-05-14,ARKO,9.52,27674
2018-05-15,ARKO,9.52,951368
2018-05-16,ARKO,9.52,1003
2018-05-17,ARKO,9.5,2701
2018-05-18,ARKO,9.5,0
2018-05-21,ARKO,9.5,4
2018-05-22,ARKO,9.52,310002
2018-05-23,ARKO,9.52,601
2018-05-24,ARKO,9.51,1000
2018-05-25,ARKO,9.5,2500
2018-05-29,ARKO,9.49,1000
2018-05-30,ARKO,9.52,300906
2018-05-31,ARKO,9.5,109566
2018-06-01,ARKO,9.5,264210
2018-06-04,ARKO,9.52,4000
2018-06-05,ARKO,9.65,33800
2018-06-06,ARKO,9.66,102751
2018-06-07,ARKO,9.67,50328
2018-06-08,ARKO,9.67,405
2018-06-11,ARKO,9.67,465
2018-06-12,ARKO,9.67,5000
2018-06-13,ARKO,9.65,11239
2018-06-14,ARKO,9.65,18
2018-06-15,ARKO,9.69,27277
2018-06-18,ARKO,9.69,11200
2018-06-19,ARKO,9.67,713
2018-06-20,ARKO,9.65,103300
2018-06-21,ARKO,9.65,14
2018-06-22,ARKO,9.65,13
2018-06-25,ARKO,9.63,104166
2018-06-26,ARKO,9.63,11
2018-06-27,ARKO,9.63,600
2018-06-28,ARKO,9.63,9
2018-06-29,ARKO,9.63,14
2018-07-02,ARKO,9.63,8
2018-07-03,ARKO,9.63,7
2018-07-05,ARKO,9.67,2319
2018-07-06,ARKO,9.67,6
2018-07-09,ARKO,9.67,6
2018-07-10,ARKO,9.67,5
2018-07-11,ARKO,9.67,5
2018-07-12,ARKO,9.67,5
2018-07-13,ARKO,9.67,4
2018-07-16,ARKO,9.67,4
2018-07-17,ARKO,9.66,29140
2018-07-18,ARKO,9.66,52
2018-07-19,ARKO,9.65,802
2018-07-20,ARKO,9.62,38034
2018-07-23,ARKO,9.65,45351
2018-07-24,ARKO,9.63,500
2018-07-25,ARKO,9.64,130900
2018-07-26,ARKO,9.64,0
2018-07-27,ARKO,9.64,0
2018-07-30,ARKO,9.64,0
2018-07-31,ARKO,9.62,42700
2018-08-01,ARKO,9.64,866711
2018-08-02,ARKO,9.64,2
2018-08-03,ARKO,9.64,0
2018-08-06,ARKO,9.67,560002
2018-08-07,ARKO,9.67,199083
2018-08-08,ARKO,9.67,0
2018-08-09,ARKO,9.67,1
2018-08-10,ARKO,9.67,0
2018-08-13,ARKO,9.67,0
2018-08-14,ARKO,9.67,0
2018-08-15,ARKO,9.67,0
2018-08-16,ARKO,9.67,0
2018-08-17,ARKO,9.67,0
2018-08-20,ARKO,9.67,0
2018-08-21,ARKO,9.66,219100
2018-08-22,ARKO,9.66,2
2018-08-23,ARKO,9.66,2
2018-08-24,ARKO,9.65,1001900
2018-08-27,ARKO,9.67,4696
2018-08-28,ARKO,9.67,2
2018-08-29,ARKO,9.67,2
2018-08-30,ARKO,9.67,0
2018-08-31,ARKO,9.67,0
2018-09-04,ARKO,9.67,1
2018-09-05,ARKO,9.67,1
2018-09-06,ARKO,9.67,0
2018-09-07,ARKO,9.67,0
2018-09-10,ARKO,9.65,9900
2018-09-11,ARKO,9.65,0
2018-09-12,ARKO,9.65,0
2018-09-13,ARKO,9.65,0
2018-09-14,ARKO,9.65,0
2018-09-17,ARKO,9.69,200
2018-09-18,ARKO,9.69,1242
2018-09-19,ARKO,9.69,0
2018-09-20,ARKO,9.69,0
2018-09-21,ARKO,9.69,0
2018-09-24,ARKO,9.68,10800
2018-09-25,ARKO,9.68,0
2018-09-26,ARKO,9.68,0
2018-09-27,ARKO,9.68,0
2018-09-28,ARKO,9.63,2200
2018-10-01,ARKO,9.63,0
2018-10-02,ARKO,9.63,0
2018-10-03,ARKO,9.63,0
2018-10-04,ARKO,9.63,0
2018-10-05,ARKO,9.63,0
2018-10-08,ARKO,9.63,0
2018-10-09,ARKO,9.69,640
2018-10-10,ARKO,9.67,500
2018-10-11,ARKO,9.67,0
2018-10-12,ARKO,9.67,0
2018-10-15,ARKO,9.67,4389
2018-10-16,ARKO,9.65,100000
2018-10-17,ARKO,9.65,0
2018-10-18,ARKO,9.65,0
2018-10-19,ARKO,9.65,200
2018-10-22,ARKO,9.65,1
2018-10-23,ARKO,9.67,98200
2018-10-24,ARKO,9.67,0
2018-10-25,ARKO,9.67,0
2018-10-26,ARKO,9.67,26000
2018-10-29,ARKO,9.67,0
2018-10-30,ARKO,9.67,0
2018-10-31,ARKO,9.77,5200
2018-11-01,ARKO,9.72,19100
2018-11-02,ARKO,9.84,2462756
2018-11-05,ARKO,9.87,156228
2018-11-06,ARKO,9.87,2032160
2018-11-07,ARKO,9.9,798854
2018-11-08,ARKO,9.91,27367
2018-11-09,ARKO,9.89,702080
2018-11-12,ARKO,9.89,705826
2018-11-13,ARKO,9.89,18100
2018-11-14,ARKO,9.9,647030
2018-11-15,ARKO,9.94,1200593
2018-11-16,ARKO,9.95,646190
2018-11-19,ARKO,9.93,225590
2018-11-20,ARKO,9.94,27446
