ds,symbol,close,volume
2020-09-30,ASAN,28.8,40826008
2020-10-01,ASAN,26.13,13470316
2020-10-02,ASAN,25.91,3919999
2020-10-05,ASAN,25.19,2177823
2020-10-06,ASAN,26.0,6947888
2020-10-07,ASAN,26.48,3817967
2020-10-08,ASAN,26.53,2324180
2020-10-09,ASAN,25.7,1505508
2020-10-12,ASAN,24.88,3162779
2020-10-13,ASAN,24.38,1233351
2020-10-14,ASAN,23.35,3424785
2020-10-15,ASAN,23.97,1127509
2020-10-16,ASAN,23.98,1020355
2020-10-19,ASAN,23.9,963032
2020-10-20,ASAN,24.1,901794
2020-10-21,ASAN,24.19,1056724
2020-10-22,ASAN,24.0,1071061
2020-10-23,ASAN,23.51,947595
2020-10-26,ASAN,23.63,1110022
2020-10-27,ASAN,23.51,688711
2020-10-28,ASAN,23.48,837014
2020-10-29,ASAN,23.18,849153
2020-10-30,ASAN,22.11,994439
2020-11-02,ASAN,21.95,592218
2020-11-03,ASAN,22.2,921632
2020-11-04,ASAN,22.16,1180169
2020-11-05,ASAN,22.97,995200
2020-11-06,ASAN,23.39,1201329
2020-11-09,ASAN,22.95,799184
2020-11-10,ASAN,21.37,1411665
2020-11-11,ASAN,21.55,675693
2020-11-12,ASAN,21.31,1225761
2020-11-13,ASAN,22.4,503028
2020-11-16,ASAN,22.86,603926
2020-11-17,ASAN,23.35,2235679
2020-11-18,ASAN,22.72,490025
2020-11-19,ASAN,22.0,1146084
2020-11-20,ASAN,22.14,1927798
2020-11-23,ASAN,22.02,1094738
2020-11-24,ASAN,22.88,1513702
2020-11-25,ASAN,25.82,3845004
2020-11-27,ASAN,27.88,3577473
2020-11-30,ASAN,27.95,2634678
2020-12-01,ASAN,27.12,1807885
2020-12-02,ASAN,26.71,1755407
2020-12-03,ASAN,27.17,2203413
2020-12-04,ASAN,26.5,1800939
2020-12-07,ASAN,29.7,6055130
2020-12-08,ASAN,29.02,3577093
2020-12-09,ASAN,28.34,4160968
2020-12-10,ASAN,29.1,9801710
2020-12-11,ASAN,28.4,3719595
2020-12-14,ASAN,28.1,1860488
2020-12-15,ASAN,28.67,1328801
2020-12-16,ASAN,29.12,1510146
2020-12-17,ASAN,30.27,2551517
2020-12-18,ASAN,30.34,2479838
2020-12-21,ASAN,31.12,1439046
2020-12-22,ASAN,30.36,1729398
2020-12-23,ASAN,30.01,1137965
2020-12-24,ASAN,30.05,559437
2020-12-28,ASAN,28.81,1300844
2020-12-29,ASAN,28.62,1450870
2020-12-30,ASAN,29.12,1032787
2020-12-31,ASAN,29.55,840677
2021-01-04,ASAN,29.0,1454916
2021-01-05,ASAN,28.55,1879729
2021-01-06,ASAN,28.03,2062504
2021-01-07,ASAN,28.9,1225877
2021-01-08,ASAN,31.58,1856976
2021-01-11,ASAN,32.08,1780517
2021-01-12,ASAN,34.98,3227662
2021-01-13,ASAN,36.48,4030226
2021-01-14,ASAN,37.14,2298655
2021-01-15,ASAN,38.63,2045342
2021-01-19,ASAN,39.7,1998643
2021-01-20,ASAN,39.57,1687109
2021-01-21,ASAN,39.68,1008381
2021-01-22,ASAN,38.97,1618920
2021-01-25,ASAN,38.35,1810912
2021-01-26,ASAN,38.31,1014742
