ds,symbol,close,volume
2000-10-02,ASX,3.429263,1768.0
2000-10-03,ASX,3.641382,11491.0
2000-10-04,ASX,3.358556,2475.0
2000-10-05,ASX,3.393909,2475.0
2000-10-06,ASX,3.606029,8132.0
2000-10-09,ASX,3.676735,25104.0
2000-10-10,ASX,3.676735,105719.0
2000-10-11,ASX,3.606029,21038.0
2000-10-12,ASX,3.323203,59401.0
2000-10-13,ASX,3.393909,4066.0
2000-10-16,ASX,3.358556,19093.0
2000-10-17,ASX,3.217143,113497.0
2000-10-18,ASX,3.28785,11491.0
2000-10-19,ASX,3.323203,56218.0
2000-10-20,ASX,3.323203,884.0
2000-10-23,ASX,3.606029,43313.0
2000-10-24,ASX,3.818148,5834.0
2000-10-25,ASX,3.747442,13789.0
2000-10-26,ASX,3.747442,7602.0
2000-10-27,ASX,3.782795,354.0
2000-10-30,ASX,3.606029,5834.0
2000-10-31,ASX,3.429263,8486.0
2000-11-01,ASX,3.499969,1945.0
2000-11-02,ASX,3.323203,8486.0
2000-11-03,ASX,3.393909,201714.0
2000-11-06,ASX,3.358556,3359.0
2000-11-07,ASX,3.464616,256518.0
2000-11-08,ASX,3.676735,149916.0
2000-11-09,ASX,3.570676,31998.0
2000-11-10,ASX,3.535322,2475.0
2000-11-13,ASX,3.393909,2829.0
2000-11-14,ASX,3.393909,27225.0
2000-11-15,ASX,3.252497,2829.0
2000-11-16,ASX,3.252497,2121.0
2000-11-17,ASX,3.18179,1768.0
2000-11-20,ASX,2.792905,18209.0
2000-11-21,ASX,2.828258,15027.0
2000-11-22,ASX,2.828258,476442.0
2000-11-24,ASX,2.757551,884.0
2000-11-27,ASX,2.792905,3005.0
2000-11-28,ASX,2.828258,22452.0
2000-11-29,ASX,2.828258,97940.0
2000-11-30,ASX,2.757551,15557.0
2000-12-01,ASX,2.757551,37125.0
2000-12-04,ASX,2.722198,36949.0
2000-12-05,ASX,2.863611,42075.0
2000-12-06,ASX,2.686845,10077.0
2000-12-07,ASX,2.722198,177.0
2000-12-08,ASX,2.828258,101299.0
2000-12-11,ASX,2.757551,24573.0
2000-12-12,ASX,2.616139,42429.0
2000-12-13,ASX,2.722198,79554.0
2000-12-14,ASX,2.580785,9723.0
2000-12-15,ASX,2.686845,7425.0
2000-12-18,ASX,2.616139,53036.0
2000-12-19,ASX,2.368666,26695.0
2000-12-20,ASX,2.29796,97056.0
2000-12-21,ASX,2.1919,14497.0
2000-12-22,ASX,2.156547,11491.0
2000-12-26,ASX,2.121193,3713.0
2000-12-27,ASX,2.015134,16264.0
2000-12-28,ASX,1.803014,78670.0
2000-12-29,ASX,1.732308,93520.0
2001-01-02,ASX,1.873721,45258.0
2001-01-03,ASX,1.944427,21745.0
2001-01-04,ASX,2.121193,30054.0
2001-01-05,ASX,2.262606,30584.0
2001-01-08,ASX,2.121193,64527.0
2001-01-09,ASX,2.368666,63643.0
2001-01-10,ASX,2.545432,37656.0
2001-01-11,ASX,2.792905,165650.0
2001-01-12,ASX,2.651492,52329.0
2001-01-16,ASX,2.651492,68593.0
2001-01-17,ASX,2.686845,28109.0
2001-01-18,ASX,2.686845,8486.0
2001-01-19,ASX,3.252497,22982.0
2001-01-22,ASX,3.18179,19623.0
2001-01-23,ASX,3.18179,36418.0
2001-01-24,ASX,3.146437,4420.0
2001-01-25,ASX,3.005024,11491.0
2001-01-26,ASX,2.792905,16618.0
2001-01-29,ASX,2.658562,6718.0
2001-01-30,ASX,2.709471,1011223.0
2001-01-31,ASX,3.014923,278440.0
2001-02-01,ASX,3.099771,680985.0
2001-02-02,ASX,3.26381,201361.0
2001-02-05,ASX,3.111084,190046.0
2001-02-06,ASX,3.054519,79908.0
2001-02-07,ASX,2.799975,166180.0
2001-02-08,ASX,2.839571,149562.0
2001-02-09,ASX,2.783006,85211.0
2001-02-12,ASX,2.941388,15027.0
2001-02-13,ASX,3.037549,20684.0
2001-02-14,ASX,3.031892,177.0
2001-02-15,ASX,3.422192,354812.0
2001-02-16,ASX,3.309062,549101.0
2001-02-20,ASX,2.930075,214797.0
2001-02-21,ASX,2.969671,241491.0
2001-02-22,ASX,2.85654,59577.0
2001-02-23,ASX,2.828258,28109.0
2001-02-26,ASX,2.771693,1414.0
2001-02-27,ASX,2.799975,8309.0
2001-02-28,ASX,2.686845,86979.0
2001-03-01,ASX,2.545432,2298.0
2001-03-02,ASX,2.601997,3889.0
2001-03-05,ASX,2.799975,43666.0
2001-03-06,ASX,2.85654,44904.0
2001-03-07,ASX,2.828258,134005.0
2001-03-08,ASX,2.76038,147971.0
2001-03-09,ASX,2.698158,59931.0
2001-03-12,ASX,2.488867,289578.0
2001-03-13,ASX,2.449271,102890.0
2001-03-14,ASX,2.426645,121806.0
2001-03-15,ASX,2.51715,324581.0
2001-03-16,ASX,2.488867,6895.0
2001-03-19,ASX,2.432302,3182.0
2001-03-20,ASX,2.375737,77256.0
2001-03-21,ASX,2.375737,142314.0
2001-03-22,ASX,2.404019,809332.0
2001-03-23,ASX,2.505836,134889.0
2001-03-26,ASX,2.74341,25988.0
2001-03-27,ASX,2.601997,28286.0
2001-03-28,ASX,2.505836,1414.0
2001-03-29,ASX,2.528463,753291.0
2001-03-30,ASX,2.573715,8132.0
2001-04-02,ASX,2.432302,7779.0
2001-04-03,ASX,2.262606,104658.0
2001-04-04,ASX,2.290889,47909.0
2001-04-05,ASX,2.460584,172014.0
2001-04-06,ASX,2.404019,17679.0
2001-04-09,ASX,2.375737,4950.0
2001-04-10,ASX,2.290889,676211.0
2001-04-11,ASX,2.302202,154159.0
2001-04-12,ASX,2.381393,257756.0
2001-04-16,ASX,2.290889,3005.0
2001-04-17,ASX,2.319171,37479.0
2001-04-18,ASX,2.488867,1768.0
2001-04-19,ASX,2.404019,21214.0
