ds,symbol,close,volume
2005-08-05,ATRC,14.08,3074367.0
2005-08-08,ATRC,14.2,246812.0
2005-08-09,ATRC,14.7,108029.0
2005-08-10,ATRC,14.5,139310.0
2005-08-11,ATRC,14.95,35759.0
2005-08-12,ATRC,14.07,33907.0
2005-08-15,ATRC,14.088,21813.0
2005-08-16,ATRC,14.0,32105.0
2005-08-17,ATRC,14.0,17550.0
2005-08-18,ATRC,14.12,83900.0
2005-08-19,ATRC,14.13,129100.0
2005-08-22,ATRC,14.3,42843.0
2005-08-23,ATRC,14.03,38313.0
2005-08-24,ATRC,14.0,197956.0
2005-08-25,ATRC,14.0,43411.0
2005-08-26,ATRC,13.65,55475.0
2005-08-29,ATRC,13.6,31581.0
2005-08-30,ATRC,13.6,20500.0
2005-08-31,ATRC,13.6,21438.0
2005-09-01,ATRC,13.74,8215.0
2005-09-02,ATRC,13.26,8750.0
2005-09-06,ATRC,12.7,48357.0
2005-09-07,ATRC,12.89,13888.0
2005-09-08,ATRC,12.75,14938.0
2005-09-09,ATRC,13.1,14920.0
2005-09-12,ATRC,13.55,16177.0
2005-09-13,ATRC,13.89,6590.0
2005-09-14,ATRC,13.95,77424.0
2005-09-15,ATRC,13.83,24150.0
2005-09-16,ATRC,13.99,90268.0
2005-09-19,ATRC,13.92,9844.0
2005-09-20,ATRC,13.9,28474.0
2005-09-21,ATRC,13.84,28308.0
2005-09-22,ATRC,13.68,4701.0
2005-09-23,ATRC,13.7,3584.0
2005-09-26,ATRC,13.7,14799.0
2005-09-27,ATRC,13.64,13594.0
2005-09-28,ATRC,13.85,12831.0
2005-09-29,ATRC,13.9125,3942.0
2005-09-30,ATRC,13.9,30498.0
2005-10-03,ATRC,13.99,87149.0
2005-10-04,ATRC,13.71,46860.0
2005-10-05,ATRC,13.7,15250.0
2005-10-06,ATRC,13.75,17510.0
2005-10-07,ATRC,14.18,34245.0
2005-10-10,ATRC,14.21,2300.0
2005-10-11,ATRC,14.16,5600.0
2005-10-12,ATRC,14.08,6055.0
2005-10-13,ATRC,14.01,3895.0
2005-10-14,ATRC,14.01,1600.0
2005-10-17,ATRC,14.0,2800.0
2005-10-18,ATRC,13.8,30805.0
2005-10-19,ATRC,13.81,3231.0
2005-10-20,ATRC,13.7,500.0
2005-10-21,ATRC,13.77,9028.0
2005-10-24,ATRC,13.57,11364.0
2005-10-25,ATRC,12.93,13150.0
2005-10-26,ATRC,13.052,12600.0
2005-10-27,ATRC,11.3,72088.0
2005-10-28,ATRC,10.67,52782.0
2005-10-31,ATRC,12.2,33298.0
2005-11-01,ATRC,12.98,41314.0
2005-11-02,ATRC,12.99,10967.0
2005-11-03,ATRC,12.32,20451.0
2005-11-04,ATRC,12.97,20600.0
2005-11-07,ATRC,13.0,33445.0
2005-11-08,ATRC,12.76,5000.0
2005-11-09,ATRC,12.65,10054.0
2005-11-10,ATRC,12.39,7702.0
2005-11-11,ATRC,12.22,18702.0
2005-11-14,ATRC,12.22,1775.0
2005-11-15,ATRC,12.0401,6800.0
2005-11-16,ATRC,11.85,18660.0
2005-11-17,ATRC,12.0,25000.0
2005-11-18,ATRC,11.86,5800.0
2005-11-21,ATRC,11.94,13150.0
2005-11-22,ATRC,11.71,2750.0
2005-11-23,ATRC,11.55,1855.0
2005-11-25,ATRC,11.5,421.0
2005-11-28,ATRC,11.94,9960.0
2005-11-29,ATRC,13.2,21740.0
2005-11-30,ATRC,12.69,5018.0
2005-12-01,ATRC,12.59,7132.0
2005-12-02,ATRC,13.2,1300.0
2005-12-05,ATRC,13.2,3500.0
2005-12-06,ATRC,13.5,3710.0
2005-12-07,ATRC,13.53,16555.0
2005-12-08,ATRC,13.53,157607.0
2005-12-09,ATRC,14.0,10889.0
2005-12-12,ATRC,12.87,103373.0
2005-12-13,ATRC,12.8701,1500.0
2005-12-14,ATRC,12.97,11072.0
2005-12-15,ATRC,12.73,2252.0
2005-12-16,ATRC,12.37,8500.0
2005-12-19,ATRC,12.19,4200.0
2005-12-20,ATRC,12.2,5760.0
2005-12-21,ATRC,12.19,10150.0
2005-12-22,ATRC,12.02,9780.0
2005-12-23,ATRC,11.61,63800.0
2005-12-27,ATRC,11.5,9900.0
2005-12-28,ATRC,10.95,10169.0
2005-12-29,ATRC,10.881,20095.0
2005-12-30,ATRC,10.65,39732.0
2006-01-03,ATRC,10.79,4855.0
2006-01-04,ATRC,11.1,20778.0
2006-01-05,ATRC,11.31,8399.0
2006-01-06,ATRC,10.9,6951.0
2006-01-09,ATRC,11.2,4915.0
2006-01-10,ATRC,11.8,36190.0
2006-01-11,ATRC,11.71,10366.0
2006-01-12,ATRC,11.5,14785.0
2006-01-13,ATRC,11.67,41001.0
2006-01-17,ATRC,11.6,33246.0
2006-01-18,ATRC,11.59,9046.0
2006-01-19,ATRC,11.5,12850.0
2006-01-20,ATRC,11.31,7871.0
2006-01-23,ATRC,11.6,8369.0
2006-01-24,ATRC,11.65,3650.0
2006-01-25,ATRC,11.74,5450.0
2006-01-26,ATRC,11.8,16271.0
2006-01-27,ATRC,11.55,17551.0
2006-01-30,ATRC,11.75,5104.0
2006-01-31,ATRC,11.25,15599.0
2006-02-01,ATRC,11.47,23353.0
2006-02-02,ATRC,11.29,25943.0
2006-02-03,ATRC,11.39,118583.0
2006-02-06,ATRC,11.0,63498.0
2006-02-07,ATRC,11.16,4227.0
2006-02-08,ATRC,11.06,13640.0
2006-02-09,ATRC,11.0,4260.0
2006-02-10,ATRC,10.9,48100.0
2006-02-13,ATRC,10.8,56600.0
2006-02-14,ATRC,10.54,34074.0
2006-02-15,ATRC,10.4,8094.0
2006-02-16,ATRC,10.36,25586.0
2006-02-17,ATRC,8.04,220447.0
2006-02-21,ATRC,8.24,328618.0
2006-02-22,ATRC,7.9,290768.0
2006-02-23,ATRC,7.5,342440.0
2006-02-24,ATRC,7.48,220362.0
2006-02-27,ATRC,7.57,85966.0
2006-02-28,ATRC,7.3,104180.0
2006-03-01,ATRC,6.96,151483.0
2006-03-02,ATRC,7.3,95795.0
2006-03-03,ATRC,7.62,54112.0
2006-03-06,ATRC,8.01,143687.0
2006-03-07,ATRC,8.06,76540.0
2006-03-08,ATRC,8.1,41515.0
2006-03-09,ATRC,8.06,34303.0
2006-03-10,ATRC,7.85,20956.0
2006-03-13,ATRC,7.94,6971.0
2006-03-14,ATRC,7.8,11937.0
2006-03-15,ATRC,7.59,17500.0
2006-03-16,ATRC,7.52,25269.0
2006-03-17,ATRC,7.3,22901.0
2006-03-20,ATRC,7.08,72208.0
2006-03-21,ATRC,7.12,112025.0
2006-03-22,ATRC,7.17,84544.0
2006-03-23,ATRC,7.56,83234.0
2006-03-24,ATRC,7.69,88489.0
2006-03-27,ATRC,7.5,51133.0
2006-03-28,ATRC,7.45,33716.0
2006-03-29,ATRC,7.65,70302.0
2006-03-30,ATRC,7.84,58040.0
2006-03-31,ATRC,8.0,64544.0
2006-04-03,ATRC,8.21,58188.0
2006-04-04,ATRC,8.64,86741.0
2006-04-05,ATRC,8.86,129540.0
2006-04-06,ATRC,9.37,89476.0
2006-04-07,ATRC,9.04,23987.0
2006-04-10,ATRC,8.9,16020.0
2006-04-11,ATRC,8.82,47170.0
2006-04-12,ATRC,9.1,29449.0
2006-04-13,ATRC,8.99,1786.0
2006-04-17,ATRC,9.02,7351.0
2006-04-18,ATRC,8.69,18600.0
2006-04-19,ATRC,8.9,16462.0
2006-04-20,ATRC,8.94,12900.0
2006-04-21,ATRC,8.75,5060.0
2006-04-24,ATRC,8.51,30409.0
2006-04-25,ATRC,8.6,8350.0
2006-04-26,ATRC,8.68,27845.0
2006-04-27,ATRC,8.44,5910.0
2006-04-28,ATRC,8.5,152864.0
2006-05-01,ATRC,8.45,258141.0
2006-05-02,ATRC,8.3,6515.0
2006-05-03,ATRC,8.5,8127.0
2006-05-04,ATRC,8.15,31938.0
2006-05-05,ATRC,8.26,17883.0
2006-05-08,ATRC,8.01,20060.0
2006-05-09,ATRC,8.2,76481.0
2006-05-10,ATRC,8.02,22519.0
2006-05-11,ATRC,8.2,13944.0
2006-05-12,ATRC,8.0,29382.0
2006-05-15,ATRC,8.04,71480.0
2006-05-16,ATRC,7.72,9850.0
2006-05-17,ATRC,8.01,14732.0
2006-05-18,ATRC,7.41,36703.0
2006-05-19,ATRC,7.32,36579.0
2006-05-22,ATRC,6.94,52435.0
2006-05-23,ATRC,7.14,8800.0
2006-05-24,ATRC,7.36,27093.0
2006-05-25,ATRC,7.6,59942.0
2006-05-26,ATRC,7.56,6999.0
2006-05-30,ATRC,7.34,13490.0
2006-05-31,ATRC,7.03,56930.0
