ds,symbol,close,volume
2016-10-27,ATY,1.459,1000
2016-10-28,ATY,1.459,0
2016-10-31,ATY,1.459,0
2016-11-01,ATY,1.459,0
2016-11-02,ATY,1.459,0
2016-11-03,ATY,1.459,0
2016-11-04,ATY,1.459,0
2016-11-07,ATY,1.459,0
2016-11-08,ATY,1.459,0
2016-11-09,ATY,1.459,0
2016-11-10,ATY,1.459,0
2016-11-11,ATY,1.459,0
2016-11-14,ATY,1.459,0
2016-11-15,ATY,1.459,0
2016-11-16,ATY,1.459,0
2016-11-17,ATY,1.459,0
2016-11-18,ATY,1.7413,2000
2016-11-21,ATY,1.7413,0
2016-11-22,ATY,1.7413,0
2016-11-23,ATY,1.7413,0
2016-11-25,ATY,1.7413,0
2016-11-28,ATY,1.7413,0
2016-11-29,ATY,1.7413,0
2016-11-30,ATY,1.7413,0
2016-12-01,ATY,1.6521,17909
2016-12-02,ATY,1.6557,800
2016-12-05,ATY,1.6557,0
2016-12-06,ATY,1.6557,0
2016-12-07,ATY,1.6557,0
2016-12-08,ATY,1.6557,0
2016-12-09,ATY,1.6557,0
2016-12-12,ATY,1.6557,0
2016-12-13,ATY,1.6557,0
2016-12-14,ATY,1.6557,0
2016-12-15,ATY,1.6557,0
2016-12-16,ATY,1.6557,0
2016-12-19,ATY,1.6557,0
2016-12-20,ATY,1.6557,0
2016-12-21,ATY,1.6557,0
2016-12-22,ATY,1.6557,0
2016-12-23,ATY,1.6557,0
2016-12-27,ATY,1.6557,0
2016-12-28,ATY,1.6557,0
2016-12-29,ATY,1.6557,0
2016-12-30,ATY,1.6557,0
2017-01-03,ATY,1.6557,0
2017-01-04,ATY,1.6557,0
2017-01-05,ATY,1.6557,0
2017-01-06,ATY,1.6557,0
2017-01-09,ATY,1.6557,0
2017-01-10,ATY,1.6557,0
2017-01-11,ATY,1.6557,0
2017-01-12,ATY,1.6557,0
2017-01-13,ATY,1.6557,0
2017-01-17,ATY,1.6557,0
2017-01-18,ATY,2.69,200
2017-01-19,ATY,2.6098,106240
2017-01-20,ATY,2.5951,12410
2017-01-23,ATY,2.6042,9200
2017-01-24,ATY,2.775,12520
2017-01-25,ATY,2.94,76238
2017-01-26,ATY,2.9837,11700
2017-01-27,ATY,3.043,29840
2017-01-30,ATY,2.9317,49025
2017-01-31,ATY,2.9271,2500
2017-02-01,ATY,2.7689,41885
2017-02-02,ATY,2.768,8000
2017-02-03,ATY,2.8,200
2017-02-06,ATY,2.8,0
2017-02-07,ATY,2.796,5220
2017-02-08,ATY,2.74,1870
2017-02-09,ATY,2.6005,18870
2017-02-10,ATY,2.617,2500
