ds,symbol,close,volume
2021-10-13,AVDX,24.94,13805755
2021-10-14,AVDX,24.34,3395384
2021-10-15,AVDX,23.36,2442709
2021-10-18,AVDX,24.25,1934425
2021-10-19,AVDX,23.6,4962724
2021-10-20,AVDX,23.5,824943
2021-10-21,AVDX,23.15,829644
2021-10-22,AVDX,22.01,1489134
2021-10-25,AVDX,20.98,2078094
2021-10-26,AVDX,21.48,1114880
2021-10-27,AVDX,21.75,689282
2021-10-28,AVDX,22.18,669025
2021-10-29,AVDX,22.23,590999
2021-11-01,AVDX,22.69,459340
2021-11-02,AVDX,23.33,440598
2021-11-03,AVDX,24.69,930512
2021-11-04,AVDX,24.93,713443
2021-11-05,AVDX,23.81,708304
2021-11-08,AVDX,24.91,834846
2021-11-09,AVDX,24.61,540698
2021-11-10,AVDX,24.68,564085
2021-11-11,AVDX,25.0,1519800
2021-11-12,AVDX,25.95,1095542
2021-11-15,AVDX,25.32,1555481
2021-11-16,AVDX,23.71,1854879
2021-11-17,AVDX,25.42,2278672
2021-11-18,AVDX,23.48,1535919
2021-11-19,AVDX,26.57,1713337
2021-11-22,AVDX,23.79,887616
2021-11-23,AVDX,21.44,1538900
2021-11-24,AVDX,21.65,857730
2021-11-26,AVDX,22.09,772880
2021-11-29,AVDX,21.62,701598
2021-11-30,AVDX,21.36,781684
2021-12-01,AVDX,20.8,1302191
2021-12-02,AVDX,20.31,758265
2021-12-03,AVDX,17.7,1627005
2021-12-06,AVDX,17.84,690233
2021-12-07,AVDX,19.02,1313749
2021-12-08,AVDX,19.65,458154
2021-12-09,AVDX,17.685,1030208
2021-12-10,AVDX,16.935,657322
2021-12-13,AVDX,16.47,1080997
2021-12-14,AVDX,16.46,992641
2021-12-15,AVDX,16.5,730419
2021-12-16,AVDX,16.2,1131904
2021-12-17,AVDX,16.0,5737717
2021-12-20,AVDX,15.21,1113087
2021-12-21,AVDX,15.41,1075068
2021-12-22,AVDX,15.45,389173
2021-12-23,AVDX,15.9,642530
2021-12-27,AVDX,15.46,518688
2021-12-28,AVDX,15.59,634591
2021-12-29,AVDX,15.58,352348
2021-12-30,AVDX,15.5,492397
2021-12-31,AVDX,15.06,499549
2022-01-03,AVDX,15.93,871891
2022-01-04,AVDX,15.74,731191
2022-01-05,AVDX,13.11,2183055
2022-01-06,AVDX,13.38,1222025
2022-01-07,AVDX,13.21,709883
2022-01-10,AVDX,13.01,819564
2022-01-11,AVDX,12.93,964619
2022-01-12,AVDX,12.38,503437
2022-01-13,AVDX,11.63,665774
2022-01-14,AVDX,11.43,529463
2022-01-18,AVDX,10.82,509455
2022-01-19,AVDX,10.68,477008
2022-01-20,AVDX,10.62,299533
2022-01-21,AVDX,10.05,706872
2022-01-24,AVDX,10.32,751024
2022-01-25,AVDX,9.82,681059
2022-01-26,AVDX,9.5,785242
2022-01-27,AVDX,8.8,1412296
2022-01-28,AVDX,9.02,1602099
2022-01-31,AVDX,10.36,1028402
2022-02-01,AVDX,11.27,1154092
2022-02-02,AVDX,10.88,610744
2022-02-03,AVDX,10.0,494627
2022-02-04,AVDX,10.55,628006
2022-02-07,AVDX,10.86,811214
2022-02-08,AVDX,11.05,492528
2022-02-09,AVDX,11.57,335767
2022-02-10,AVDX,11.66,602469
2022-02-11,AVDX,11.58,867429
2022-02-14,AVDX,11.65,378854
2022-02-15,AVDX,12.57,488677
2022-02-16,AVDX,12.49,473311
2022-02-17,AVDX,11.11,843824
2022-02-18,AVDX,9.83,980978
2022-02-22,AVDX,9.71,622187
2022-02-23,AVDX,9.03,526955
2022-02-24,AVDX,9.84,675645
2022-02-25,AVDX,9.57,1029183
2022-02-28,AVDX,9.63,370436
2022-03-01,AVDX,9.48,557597
2022-03-02,AVDX,9.32,469778
2022-03-03,AVDX,8.83,496170
2022-03-04,AVDX,8.75,720601
2022-03-07,AVDX,8.73,1711294
2022-03-08,AVDX,8.26,2593365
2022-03-09,AVDX,7.43,3117538
