ds,symbol,close,volume
2019-11-05,AVPT,9.78,150000
2019-11-06,AVPT,9.78,250000
2019-11-07,AVPT,9.78,0
2019-11-08,AVPT,9.78,1
2019-11-11,AVPT,9.78,0
2019-11-12,AVPT,9.78,0
2019-11-13,AVPT,9.78,0
2019-11-14,AVPT,9.78,0
2019-11-15,AVPT,9.78,0
2019-11-18,AVPT,9.9611,102
2019-11-19,AVPT,10.0589,123
2019-11-20,AVPT,10.059,0
2019-11-21,AVPT,10.0589,4
2019-11-22,AVPT,10.059,0
2019-11-25,AVPT,10.25,100
2019-11-26,AVPT,10.25,0
2019-11-27,AVPT,10.25,5
2019-11-29,AVPT,10.25,1
2019-12-02,AVPT,10.25,0
2019-12-03,AVPT,10.25,0
2019-12-04,AVPT,9.89,251962
2019-12-05,AVPT,9.89,2
2019-12-06,AVPT,9.89,0
2019-12-09,AVPT,9.85,712733
2019-12-10,AVPT,9.85,0
2019-12-11,AVPT,9.85,0
2019-12-12,AVPT,9.85,0
2019-12-13,AVPT,9.85,5
2019-12-16,AVPT,9.85,1
2019-12-17,AVPT,10.43,157492
2019-12-18,AVPT,9.915,400
2019-12-19,AVPT,9.915,0
2019-12-20,AVPT,9.915,0
2019-12-23,AVPT,9.915,0
2019-12-24,AVPT,9.915,0
2019-12-26,AVPT,9.9,1110
2019-12-27,AVPT,9.9,19
2019-12-30,AVPT,9.87,102062
2019-12-31,AVPT,9.87,0
2020-01-02,AVPT,9.87,0
2020-01-03,AVPT,9.9,300006
2020-01-06,AVPT,9.9,3
2020-01-07,AVPT,9.95,224982
2020-01-08,AVPT,9.95,8
2020-01-09,AVPT,9.95,50006
2020-01-10,AVPT,9.98,275320
2020-01-13,AVPT,10.0,484101
2020-01-14,AVPT,10.0,0
2020-01-15,AVPT,10.012,27063
2020-01-16,AVPT,10.012,6
2020-01-17,AVPT,10.01,8864
2020-01-21,AVPT,10.03,12300
2020-01-22,AVPT,10.03,25
2020-01-23,AVPT,10.04,1790
2020-01-24,AVPT,10.05,100201
2020-01-27,AVPT,10.0289,2779
2020-01-28,AVPT,10.05,201
2020-01-29,AVPT,10.055,9003
2020-01-30,AVPT,10.02,99878
2020-01-31,AVPT,10.02,10
2020-02-03,AVPT,10.03,17604
2020-02-04,AVPT,10.05,106438
2020-02-05,AVPT,10.05,2005
2020-02-06,AVPT,10.02,200082
2020-02-07,AVPT,10.04,64167
2020-02-10,AVPT,10.0236,267
2020-02-11,AVPT,10.04,188519
2020-02-12,AVPT,10.04,48
2020-02-13,AVPT,10.04,43808
2020-02-14,AVPT,10.03,88165
2020-02-18,AVPT,10.03,1115
2020-02-19,AVPT,10.03,15982
2020-02-20,AVPT,10.04,4128
