ds,symbol,close,volume
2000-10-02,AWH,356.875,81110.0
2000-10-03,AWH,318.75,26390.0
2000-10-04,AWH,325.0,30000.0
2000-10-05,AWH,317.5,26480.0
2000-10-06,AWH,286.875,26660.0
2000-10-09,AWH,300.0,26310.0
2000-10-10,AWH,288.75,29390.0
2000-10-11,AWH,273.75,43620.0
2000-10-12,AWH,270.0,45070.0
2000-10-13,AWH,283.75,12920.0
2000-10-16,AWH,288.75,19330.0
2000-10-17,AWH,286.25,4170.0
2000-10-18,AWH,267.5,8840.0
2000-10-19,AWH,268.75,23290.0
2000-10-20,AWH,284.375,18300.0
2000-10-23,AWH,300.0,16150.0
2000-10-24,AWH,300.0,11640.0
2000-10-25,AWH,300.0,11530.0
2000-10-26,AWH,300.0,10830.0
2000-10-27,AWH,297.5,21290.0
2000-10-30,AWH,325.0,13850.0
2000-10-31,AWH,310.0,38750.0
2000-11-01,AWH,327.5,14730.0
2000-11-02,AWH,337.03125,4220.0
2000-11-03,AWH,348.75,17570.0
2000-11-06,AWH,352.5,4430.0
2000-11-07,AWH,357.5,42980.0
2000-11-08,AWH,345.0,19540.0
2000-11-09,AWH,322.5,8370.0
2000-11-10,AWH,323.75,10690.0
2000-11-13,AWH,288.125,32420.0
2000-11-14,AWH,270.0,5850.0
2000-11-15,AWH,261.25,19540.0
2000-11-16,AWH,268.75,8920.0
2000-11-17,AWH,257.5,6450.0
2000-11-20,AWH,186.25,42960.0
2000-11-21,AWH,176.25,10790.0
2000-11-22,AWH,170.625,28440.0
2000-11-24,AWH,190.0,9740.0
2000-11-27,AWH,180.0,19840.0
2000-11-28,AWH,153.75,15310.0
2000-11-29,AWH,153.75,13930.0
2000-11-30,AWH,110.0,91980.0
2000-12-01,AWH,151.25,47280.0
2000-12-04,AWH,157.5,6630.0
2000-12-05,AWH,170.0,8200.0
2000-12-06,AWH,172.5,8390.0
2000-12-07,AWH,165.0,32430.0
2000-12-08,AWH,171.25,5280.0
2000-12-11,AWH,180.0,8280.0
2000-12-12,AWH,176.25,17280.0
2000-12-13,AWH,176.25,4420.0
2000-12-14,AWH,170.0,630.0
2000-12-15,AWH,156.25,1870.0
2000-12-18,AWH,155.0,3020.0
2000-12-19,AWH,150.0,11210.0
2000-12-20,AWH,138.75,2590.0
2000-12-21,AWH,134.375,2910.0
2000-12-22,AWH,137.5,11460.0
2000-12-26,AWH,132.5,11010.0
2000-12-27,AWH,129.375,8290.0
2000-12-28,AWH,135.0,9560.0
2000-12-29,AWH,132.5,5930.0
2001-01-02,AWH,132.5,570.0
2001-01-03,AWH,120.0,2420.0
2001-01-04,AWH,123.75,13670.0
2001-01-05,AWH,118.75,1550.0
2001-01-08,AWH,83.125,145570.0
2001-01-09,AWH,87.1875,69330.0
2001-01-10,AWH,81.25,20280.0
2001-01-11,AWH,82.5,10660.0
2001-01-12,AWH,77.5,21230.0
2001-01-16,AWH,70.0,23430.0
2001-01-17,AWH,80.0,30710.0
2001-01-18,AWH,80.0,10190.0
2001-01-19,AWH,78.75,7610.0
2001-01-22,AWH,72.5,15890.0
2001-01-23,AWH,71.875,8760.0
2001-01-24,AWH,74.0625,12740.0
2001-01-25,AWH,72.5,11560.0
2001-01-26,AWH,71.25,15060.0
2001-01-29,AWH,73.75,11800.0
2001-01-30,AWH,80.0,16800.0
2001-01-31,AWH,85.625,16230.0
2001-02-01,AWH,85.0,4480.0
2001-02-02,AWH,81.875,5360.0
2001-02-05,AWH,78.75,1400.0
2001-02-06,AWH,81.25,3750.0
2001-02-07,AWH,81.875,3510.0
2001-02-08,AWH,85.0,3390.0
2001-02-09,AWH,85.0,3100.0
2001-02-12,AWH,85.0,890.0
2001-02-13,AWH,85.0,2520.0
2001-02-14,AWH,81.25,7150.0
2001-02-15,AWH,83.75,14600.0
2001-02-16,AWH,81.25,2030.0
2001-02-20,AWH,73.75,8480.0
2001-02-21,AWH,76.25,1520.0
2001-02-22,AWH,58.75,3380.0
2001-02-23,AWH,68.125,18470.0
2001-02-26,AWH,78.75,5430.0
2001-02-27,AWH,76.875,820.0
2001-02-28,AWH,63.125,3410.0
2001-03-01,AWH,58.75,9720.0
2001-03-02,AWH,59.375,7100.0
2001-03-05,AWH,56.25,1590.0
2001-03-06,AWH,47.5,16760.0
2001-03-07,AWH,47.8125,2820.0
2001-03-08,AWH,47.5,2660.0
2001-03-09,AWH,50.0,19750.0
2001-03-12,AWH,50.0,34080.0
2001-03-13,AWH,50.0,6250.0
2001-03-14,AWH,62.1875,17960.0
2001-03-15,AWH,60.0,5980.0
2001-03-16,AWH,54.0625,52690.0
2001-03-19,AWH,54.375,4450.0
2001-03-20,AWH,50.3125,2070.0
2001-03-21,AWH,48.75,9190.0
2001-03-22,AWH,49.0625,4590.0
2001-03-23,AWH,48.75,3850.0
2001-03-26,AWH,53.125,5460.0
2001-03-27,AWH,50.3125,3580.0
2001-03-28,AWH,48.75,2380.0
2001-03-29,AWH,50.0,32290.0
2001-03-30,AWH,44.375,19130.0
2001-04-02,AWH,48.75,50920.0
2001-04-03,AWH,49.6875,7390.0
2001-04-04,AWH,48.75,27550.0
2001-04-05,AWH,50.625,33050.0
2001-04-06,AWH,52.5,990.0
2001-04-09,AWH,53.799999,1470.0
2001-04-10,AWH,49.900002,34920.0
2001-04-11,AWH,45.5,14290.0
2001-04-12,AWH,44.5,4000.0
2001-04-16,AWH,49.799999,7330.0
2001-04-17,AWH,50.0,4210.0
2001-04-18,AWH,56.0,3420.0
2001-04-19,AWH,64.0,2930.0
2001-04-20,AWH,67.400002,4520.0
2001-04-23,AWH,67.0,2310.0
2001-04-24,AWH,69.0,1640.0
2001-04-25,AWH,66.099998,990.0
2001-04-26,AWH,66.0,10820.0
2001-04-27,AWH,64.900002,9150.0
2001-04-30,AWH,77.0,5810.0
2001-05-01,AWH,75.5,2960.0
2001-05-02,AWH,70.599998,15810.0
2001-05-03,AWH,65.0,48100.0
2001-05-04,AWH,64.0,4690.0
2001-05-07,AWH,61.0,2130.0
2001-05-08,AWH,59.5,3200.0
2001-05-09,AWH,60.099998,3640.0
2001-05-10,AWH,60.0,7940.0
2001-05-11,AWH,60.0,10770.0
2001-05-14,AWH,59.0,14380.0
2001-05-15,AWH,56.599998,8690.0
2001-05-16,AWH,55.400002,5180.0
2001-05-17,AWH,51.700001,16390.0
2001-05-18,AWH,53.5,20430.0
2001-05-21,AWH,62.5,45050.0
2001-05-22,AWH,69.599998,42480.0
2001-05-23,AWH,65.099998,9670.0
2001-05-24,AWH,64.0,4860.0
2001-05-25,AWH,62.700001,3710.0
2001-05-29,AWH,64.0,4490.0
2001-05-30,AWH,63.5,3620.0
2001-05-31,AWH,62.400002,13790.0
2001-06-01,AWH,66.900002,25370.0
2001-06-04,AWH,68.199997,15450.0
2001-06-05,AWH,67.599998,10330.0
2001-06-06,AWH,64.5,11420.0
2001-06-07,AWH,63.799999,8310.0
2001-06-08,AWH,68.0,27820.0
2001-06-11,AWH,65.900002,17760.0
2001-06-12,AWH,68.599998,5670.0
2001-06-13,AWH,69.900002,4540.0
2001-06-14,AWH,66.5,8720.0
2001-06-15,AWH,65.099998,1860.0
2001-06-18,AWH,63.599998,2140.0
2001-06-19,AWH,60.400002,2290.0
2001-06-20,AWH,60.799999,21510.0
2001-06-21,AWH,63.099998,2270.0
2001-06-22,AWH,62.099998,2540.0
2001-06-25,AWH,61.5,6430.0
2001-06-26,AWH,62.0,4910.0
2001-06-27,AWH,59.700001,2530.0
2001-06-28,AWH,59.299999,3200.0
2001-06-29,AWH,67.5,46690.0
2001-07-02,AWH,61.5,8810.0
2001-07-03,AWH,60.799999,5920.0
2001-07-05,AWH,60.700001,5020.0
2001-07-06,AWH,60.0,1940.0
2001-07-09,AWH,58.799999,2750.0
2001-07-10,AWH,59.400002,7010.0
2001-07-11,AWH,57.0,9800.0
2001-07-12,AWH,50.900002,4660.0
2001-07-13,AWH,50.299999,2750.0
2001-07-16,AWH,48.5,5730.0
2001-07-17,AWH,48.099998,6610.0
2001-07-18,AWH,45.5,4940.0
2001-07-19,AWH,48.599998,12130.0
2001-07-20,AWH,45.900002,3370.0
2001-07-23,AWH,46.599998,1170.0
2001-07-24,AWH,46.900002,4350.0
2001-07-25,AWH,45.400002,1880.0
2001-07-26,AWH,43.200001,2450.0
2001-07-27,AWH,43.299999,4810.0
2001-07-30,AWH,42.400002,4110.0
2001-07-31,AWH,50.599998,7780.0
2001-08-01,AWH,47.0,1910.0
2001-08-02,AWH,46.900002,1870.0
2001-08-03,AWH,44.0,2360.0
2001-08-06,AWH,44.099998,950.0
2001-08-07,AWH,41.099998,6160.0
2001-08-08,AWH,43.900002,3890.0
2001-08-09,AWH,43.5,750.0
2001-08-10,AWH,41.0,1470.0
2001-08-13,AWH,42.5,2130.0
2001-08-14,AWH,43.200001,2540.0
2001-08-15,AWH,44.0,2270.0
2001-08-16,AWH,45.599998,680.0
2001-08-17,AWH,41.700001,1310.0
2001-08-20,AWH,49.799999,1940.0
2001-08-21,AWH,49.799999,620.0
2001-08-22,AWH,48.5,2090.0
2001-08-23,AWH,48.599998,2430.0
2001-08-24,AWH,49.5,15380.0
2001-08-27,AWH,46.0,1520.0
2001-08-28,AWH,45.200001,4350.0
2001-08-29,AWH,43.5,1200.0
2001-08-30,AWH,42.5,730.0
2001-08-31,AWH,41.799999,2530.0
2001-09-04,AWH,41.599998,14440.0
2001-09-05,AWH,41.0,6660.0
2001-09-06,AWH,33.400002,47730.0
2001-09-07,AWH,32.5,5870.0
2001-09-10,AWH,34.0,3360.0
2001-09-17,AWH,37.400002,2540.0
2001-09-18,AWH,35.299999,1700.0
2001-09-19,AWH,33.599998,34010.0
2001-09-20,AWH,30.1,4410.0
