ds,symbol,close,volume
1998-05-21,AXTI,10.625,3224000.0
1998-05-22,AXTI,10.875,234400.0
1998-05-26,AXTI,10.9375,180200.0
1998-05-27,AXTI,10.8125,85500.0
1998-05-28,AXTI,11.0,43400.0
1998-05-29,AXTI,11.125,55600.0
1998-06-01,AXTI,11.5625,101700.0
1998-06-02,AXTI,12.0,236800.0
1998-06-03,AXTI,12.125,160200.0
1998-06-04,AXTI,11.875,279400.0
1998-06-05,AXTI,11.5,210900.0
1998-06-08,AXTI,11.25,37300.0
1998-06-09,AXTI,11.375,24400.0
1998-06-10,AXTI,11.375,85500.0
1998-06-11,AXTI,11.1875,69100.0
1998-06-12,AXTI,11.0,48400.0
1998-06-15,AXTI,10.25,91700.0
1998-06-16,AXTI,10.375,43400.0
1998-06-17,AXTI,10.125,129600.0
1998-06-18,AXTI,10.125,69700.0
1998-06-19,AXTI,10.625,48800.0
1998-06-22,AXTI,10.5,27000.0
1998-06-23,AXTI,11.0625,81000.0
1998-06-24,AXTI,11.25,33900.0
1998-06-25,AXTI,13.25,145200.0
1998-06-26,AXTI,15.0,243300.0
1998-06-29,AXTI,14.625,116600.0
1998-06-30,AXTI,14.375,67600.0
1998-07-01,AXTI,14.75,21900.0
1998-07-02,AXTI,14.5,10600.0
1998-07-06,AXTI,14.75,51200.0
1998-07-07,AXTI,14.125,78100.0
1998-07-08,AXTI,14.0625,45700.0
1998-07-09,AXTI,14.25,9700.0
1998-07-10,AXTI,13.875,3900.0
1998-07-13,AXTI,13.5,178800.0
1998-07-14,AXTI,13.75,11200.0
1998-07-15,AXTI,13.5,4700.0
1998-07-16,AXTI,13.9375,4100.0
1998-07-17,AXTI,14.625,16600.0
1998-07-20,AXTI,15.5,140500.0
1998-07-21,AXTI,14.875,54500.0
1998-07-22,AXTI,14.6875,7500.0
1998-07-23,AXTI,15.0,15100.0
1998-07-24,AXTI,12.625,102100.0
1998-07-27,AXTI,11.875,39100.0
1998-07-28,AXTI,12.125,48500.0
1998-07-29,AXTI,11.8125,10500.0
1998-07-30,AXTI,12.1875,54000.0
1998-07-31,AXTI,12.125,8400.0
1998-08-03,AXTI,13.9375,299300.0
1998-08-04,AXTI,14.0,171200.0
1998-08-05,AXTI,13.5,42600.0
1998-08-06,AXTI,13.625,8200.0
1998-08-07,AXTI,13.0,24200.0
1998-08-10,AXTI,13.4375,62200.0
1998-08-11,AXTI,12.875,47400.0
1998-08-12,AXTI,12.75,30600.0
1998-08-13,AXTI,11.875,90800.0
1998-08-14,AXTI,12.25,10400.0
1998-08-17,AXTI,12.0,35200.0
1998-08-18,AXTI,12.0,38700.0
1998-08-19,AXTI,11.875,60900.0
1998-08-20,AXTI,12.0,85100.0
1998-08-21,AXTI,11.8125,65300.0
1998-08-24,AXTI,11.5,8900.0
1998-08-25,AXTI,11.5625,60400.0
1998-08-26,AXTI,11.375,55100.0
1998-08-27,AXTI,10.75,27700.0
1998-08-28,AXTI,10.5,35900.0
1998-08-31,AXTI,9.5,175000.0
1998-09-01,AXTI,9.625,4900.0
1998-09-02,AXTI,9.375,21200.0
1998-09-03,AXTI,8.0,34500.0
1998-09-04,AXTI,8.0,51100.0
1998-09-08,AXTI,8.25,33300.0
1998-09-09,AXTI,8.75,2500.0
1998-09-10,AXTI,7.53125,29800.0
1998-09-11,AXTI,8.0,44700.0
1998-09-14,AXTI,8.03125,72500.0
1998-09-15,AXTI,8.25,19100.0
1998-09-16,AXTI,7.625,21700.0
1998-09-17,AXTI,7.5,9800.0
1998-09-18,AXTI,7.8125,15700.0
1998-09-21,AXTI,7.0,23100.0
1998-09-22,AXTI,7.1875,102500.0
1998-09-23,AXTI,9.625,62400.0
1998-09-24,AXTI,9.875,18700.0
1998-09-25,AXTI,9.375,12000.0
1998-09-28,AXTI,9.0,18400.0
1998-09-29,AXTI,8.9375,6900.0
1998-09-30,AXTI,8.25,6200.0
1998-10-01,AXTI,7.5625,20900.0
1998-10-02,AXTI,7.25,34500.0
1998-10-05,AXTI,6.9375,38100.0
1998-10-06,AXTI,7.0,9300.0
1998-10-07,AXTI,6.75,34600.0
1998-10-08,AXTI,6.5,4400.0
1998-10-09,AXTI,6.125,44700.0
1998-10-12,AXTI,6.0,85900.0
1998-10-13,AXTI,6.0,109200.0
1998-10-14,AXTI,6.5,40300.0
1998-10-15,AXTI,6.875,140000.0
1998-10-16,AXTI,8.0,50700.0
1998-10-19,AXTI,7.5,27900.0
1998-10-20,AXTI,8.5,45100.0
1998-10-21,AXTI,8.375,58700.0
1998-10-22,AXTI,8.75,9700.0
1998-10-23,AXTI,8.625,81900.0
1998-10-26,AXTI,8.0,9700.0
1998-10-27,AXTI,8.0,22400.0
1998-10-28,AXTI,7.875,76900.0
1998-10-29,AXTI,7.625,9300.0
1998-10-30,AXTI,8.25,57500.0
1998-11-02,AXTI,8.25,50500.0
1998-11-03,AXTI,8.5625,65300.0
1998-11-04,AXTI,8.5,67900.0
1998-11-05,AXTI,10.0625,195800.0
1998-11-06,AXTI,9.6875,135800.0
1998-11-09,AXTI,9.6875,27500.0
1998-11-10,AXTI,9.75,96900.0
1998-11-11,AXTI,9.625,65300.0
1998-11-12,AXTI,9.75,89900.0
1998-11-13,AXTI,9.625,34400.0
1998-11-16,AXTI,9.5625,63100.0
1998-11-17,AXTI,9.625,84300.0
1998-11-18,AXTI,9.75,77800.0
1998-11-19,AXTI,9.75,11600.0
1998-11-20,AXTI,10.8125,122200.0
1998-11-23,AXTI,10.25,90100.0
1998-11-24,AXTI,9.8125,162700.0
1998-11-25,AXTI,9.5,61000.0
1998-11-27,AXTI,9.5625,15000.0
1998-11-30,AXTI,8.25,20600.0
1998-12-01,AXTI,7.5,42100.0
1998-12-02,AXTI,7.625,114100.0
1998-12-03,AXTI,8.125,55700.0
1998-12-04,AXTI,8.0,23900.0
1998-12-07,AXTI,7.8125,54300.0
1998-12-08,AXTI,8.1875,115300.0
1998-12-09,AXTI,8.0,76900.0
1998-12-10,AXTI,7.625,76800.0
1998-12-11,AXTI,7.5625,58900.0
1998-12-14,AXTI,7.5625,49300.0
1998-12-15,AXTI,7.5625,12900.0
1998-12-16,AXTI,7.25,57900.0
1998-12-17,AXTI,8.0,279200.0
1998-12-18,AXTI,7.5,46100.0
1998-12-21,AXTI,7.625,107900.0
1998-12-22,AXTI,8.0,226400.0
1998-12-23,AXTI,8.0,307600.0
1998-12-24,AXTI,8.75,76500.0
1998-12-28,AXTI,8.8125,86100.0
1998-12-29,AXTI,9.0,69500.0
1998-12-30,AXTI,8.4375,109700.0
1998-12-31,AXTI,9.125,103400.0
1999-01-04,AXTI,9.0625,34600.0
1999-01-05,AXTI,9.125,132700.0
1999-01-06,AXTI,11.3125,420600.0
1999-01-07,AXTI,10.875,83500.0
1999-01-08,AXTI,11.125,204700.0
1999-01-11,AXTI,11.75,266200.0
1999-01-12,AXTI,12.125,355200.0
1999-01-13,AXTI,16.375,825200.0
1999-01-14,AXTI,14.9375,313800.0
1999-01-15,AXTI,15.375,211200.0
1999-01-19,AXTI,16.625,1463300.0
1999-01-20,AXTI,17.0,514100.0
1999-01-21,AXTI,16.1875,225300.0
1999-01-22,AXTI,15.375,99200.0
1999-01-25,AXTI,16.1875,434400.0
1999-01-26,AXTI,19.4375,902000.0
1999-01-27,AXTI,19.0,435700.0
1999-01-28,AXTI,18.125,287000.0
1999-01-29,AXTI,15.625,505900.0
1999-02-01,AXTI,17.125,606900.0
1999-02-02,AXTI,17.0,544000.0
1999-02-03,AXTI,17.0,160100.0
1999-02-04,AXTI,16.875,133600.0
1999-02-05,AXTI,16.5625,181900.0
1999-02-08,AXTI,16.625,129100.0
1999-02-09,AXTI,15.75,47700.0
1999-02-10,AXTI,15.0,121900.0
1999-02-11,AXTI,18.1875,529500.0
1999-02-12,AXTI,16.75,411600.0
1999-02-16,AXTI,17.75,153600.0
1999-02-17,AXTI,17.0,96800.0
1999-02-18,AXTI,16.375,34600.0
1999-02-19,AXTI,16.0625,28300.0
1999-02-22,AXTI,16.1875,31700.0
1999-02-23,AXTI,16.21875,46400.0
1999-02-24,AXTI,15.6875,58800.0
1999-02-25,AXTI,15.25,61900.0
1999-02-26,AXTI,14.875,61000.0
1999-03-01,AXTI,15.0,38000.0
1999-03-02,AXTI,15.375,119100.0
1999-03-03,AXTI,15.125,232500.0
1999-03-04,AXTI,15.3125,53700.0
1999-03-05,AXTI,15.4375,82100.0
1999-03-08,AXTI,16.125,578500.0
1999-03-09,AXTI,17.5,583900.0
1999-03-10,AXTI,18.625,593900.0
1999-03-11,AXTI,18.5,280000.0
1999-03-12,AXTI,19.125,335200.0
1999-03-15,AXTI,18.75,191800.0
1999-03-16,AXTI,18.75,63900.0
1999-03-17,AXTI,18.9375,156200.0
1999-03-18,AXTI,22.5,856600.0
1999-03-19,AXTI,21.125,270400.0
1999-03-22,AXTI,21.6875,245900.0
1999-03-23,AXTI,21.6875,185200.0
1999-03-24,AXTI,21.0625,58400.0
1999-03-25,AXTI,21.75,110500.0
1999-03-26,AXTI,21.375,77100.0
1999-03-29,AXTI,21.9375,64900.0
1999-03-30,AXTI,21.875,277500.0
1999-03-31,AXTI,22.5,296100.0
1999-04-01,AXTI,22.5,142000.0
1999-04-05,AXTI,21.0625,66000.0
1999-04-06,AXTI,19.375,224200.0
1999-04-07,AXTI,19.375,195200.0
1999-04-08,AXTI,22.5,165800.0
1999-04-09,AXTI,21.75,89500.0
1999-04-12,AXTI,20.3125,38500.0
1999-04-13,AXTI,19.75,40900.0
1999-04-14,AXTI,19.625,78600.0
1999-04-15,AXTI,20.3125,95800.0
1999-04-16,AXTI,21.75,213800.0
1999-04-19,AXTI,21.6875,92600.0
1999-04-20,AXTI,21.5625,63300.0
1999-04-21,AXTI,24.5,354900.0
1999-04-22,AXTI,24.25,217700.0
1999-04-23,AXTI,22.0,227500.0
1999-04-26,AXTI,22.125,91500.0
1999-04-27,AXTI,21.6875,99900.0
1999-04-28,AXTI,21.875,57900.0
1999-04-29,AXTI,22.0,34700.0
1999-04-30,AXTI,22.5625,58600.0
1999-05-03,AXTI,22.25,20800.0
1999-05-04,AXTI,22.375,49400.0
1999-05-05,AXTI,21.8125,42000.0
1999-05-06,AXTI,22.125,64400.0
1999-05-07,AXTI,22.875,49500.0
1999-05-10,AXTI,24.375,262000.0
1999-05-11,AXTI,26.125,293500.0
1999-05-12,AXTI,26.5,169100.0
1999-05-13,AXTI,27.0,102000.0
1999-05-14,AXTI,26.5,52600.0
1999-05-17,AXTI,26.0,47300.0
1999-05-18,AXTI,25.0,63900.0
1999-05-19,AXTI,25.375,45100.0
1999-05-20,AXTI,26.5,109300.0
1999-05-21,AXTI,26.1875,57200.0
1999-05-24,AXTI,25.5,64200.0
1999-05-25,AXTI,25.625,22200.0
1999-05-26,AXTI,23.875,115500.0
1999-05-27,AXTI,23.875,122900.0
1999-05-28,AXTI,20.9375,928800.0
1999-06-01,AXTI,20.6875,123500.0
1999-06-02,AXTI,19.9375,75000.0
1999-06-03,AXTI,20.75,213100.0
1999-06-04,AXTI,20.125,33100.0
1999-06-07,AXTI,20.1875,110600.0
