ds,symbol,close,volume
2020-06-12,AZEK,27.15,21840445
2020-06-15,AZEK,29.5,3274551
2020-06-16,AZEK,29.7,4110801
2020-06-17,AZEK,29.5,1364732
2020-06-18,AZEK,30.23,3825844
2020-06-19,AZEK,30.4,779826
2020-06-22,AZEK,30.0,656544
2020-06-23,AZEK,31.56,1009986
2020-06-24,AZEK,31.15,788244
2020-06-25,AZEK,30.9,1227906
2020-06-26,AZEK,31.0,428889
2020-06-29,AZEK,32.12,984027
2020-06-30,AZEK,31.86,486530
2020-07-01,AZEK,31.99,315073
2020-07-02,AZEK,32.6,882558
2020-07-06,AZEK,31.54,909966
2020-07-07,AZEK,32.25,477333
2020-07-08,AZEK,31.84,592256
2020-07-09,AZEK,32.0,455878
2020-07-10,AZEK,31.1,404332
2020-07-13,AZEK,30.87,482710
2020-07-14,AZEK,31.38,438205
2020-07-15,AZEK,31.21,705427
2020-07-16,AZEK,31.5,321248
2020-07-17,AZEK,31.93,300803
2020-07-20,AZEK,32.14,338259
2020-07-21,AZEK,32.03,321810
2020-07-22,AZEK,31.98,195995
2020-07-23,AZEK,32.82,869807
2020-07-24,AZEK,32.4,378167
2020-07-27,AZEK,34.17,708888
2020-07-28,AZEK,34.0,834249
2020-07-29,AZEK,33.56,709656
2020-07-30,AZEK,34.4,344454
2020-07-31,AZEK,34.5,680008
2020-08-03,AZEK,34.11,460627
2020-08-04,AZEK,34.2,836295
2020-08-05,AZEK,35.25,582764
2020-08-06,AZEK,35.28,372964
2020-08-07,AZEK,34.9,369370
2020-08-10,AZEK,34.2,525414
2020-08-11,AZEK,33.47,421860
2020-08-12,AZEK,34.0,614599
2020-08-13,AZEK,35.56,2281047
2020-08-14,AZEK,37.62,1725381
2020-08-17,AZEK,38.69,964877
2020-08-18,AZEK,40.05,790142
2020-08-19,AZEK,40.6,837988
2020-08-20,AZEK,40.94,557167
2020-08-21,AZEK,41.03,484115
2020-08-24,AZEK,39.88,520662
2020-08-25,AZEK,38.76,713023
2020-08-26,AZEK,38.58,517174
2020-08-27,AZEK,38.42,211882
2020-08-28,AZEK,38.91,337362
2020-08-31,AZEK,39.48,525577
2020-09-01,AZEK,41.23,486285
2020-09-02,AZEK,40.76,316226
2020-09-03,AZEK,38.48,722762
2020-09-04,AZEK,38.06,517541
2020-09-08,AZEK,37.31,458692
2020-09-09,AZEK,35.1,2442899
2020-09-10,AZEK,34.15,2587900
2020-09-11,AZEK,34.03,10882030
2020-09-14,AZEK,34.7,1714819
2020-09-15,AZEK,33.94,1473964
2020-09-16,AZEK,33.86,1684678
2020-09-17,AZEK,33.07,1104915
2020-09-18,AZEK,32.39,5640209
2020-09-21,AZEK,32.05,1160236
2020-09-22,AZEK,32.28,1092004
2020-09-23,AZEK,32.14,772611
2020-09-24,AZEK,32.97,1255559
2020-09-25,AZEK,33.57,2618990
2020-09-28,AZEK,34.57,783072
2020-09-29,AZEK,34.63,732027
2020-09-30,AZEK,34.81,1354948
2020-10-01,AZEK,35.37,1174017
