ds,symbol,close,volume
1990-01-02,B,4.9375,17400.0
1990-01-03,B,4.854167,17400.0
1990-01-04,B,4.875,13200.0
1990-01-05,B,4.833333,5400.0
1990-01-08,B,4.875,12600.0
1990-01-09,B,4.833333,6000.0
1990-01-10,B,4.833333,10200.0
1990-01-11,B,4.791667,7200.0
1990-01-12,B,4.708333,25200.0
1990-01-15,B,4.708333,0.0
1990-01-16,B,4.708333,1800.0
1990-01-17,B,4.708333,3600.0
1990-01-18,B,4.6875,600.0
1990-01-19,B,4.625,8400.0
1990-01-22,B,4.625,1200.0
1990-01-23,B,4.625,3000.0
1990-01-24,B,4.625,0.0
1990-01-25,B,4.520833,15600.0
1990-01-26,B,4.520833,4800.0
1990-01-29,B,4.5,1800.0
1990-01-30,B,4.458333,73800.0
1990-01-31,B,4.4375,4800.0
1990-02-01,B,4.479167,3600.0
1990-02-02,B,4.479167,4200.0
1990-02-05,B,4.458333,29400.0
1990-02-06,B,4.416667,11400.0
1990-02-07,B,4.395833,1800.0
1990-02-08,B,4.375,2400.0
1990-02-09,B,4.375,0.0
1990-02-12,B,4.375,3000.0
1990-02-13,B,4.395833,13200.0
1990-02-14,B,4.354167,28200.0
1990-02-15,B,4.25,155400.0
1990-02-16,B,4.25,15600.0
1990-02-20,B,4.25,26400.0
1990-02-21,B,4.3125,39000.0
1990-02-22,B,4.333333,27600.0
1990-02-23,B,4.270833,94200.0
1990-02-26,B,4.4375,360000.0
1990-02-27,B,4.395833,173400.0
1990-02-28,B,4.5,223800.0
1990-03-01,B,4.604167,17400.0
1990-03-02,B,4.604167,107400.0
1990-03-05,B,4.604167,56400.0
1990-03-06,B,4.666667,12600.0
1990-03-07,B,4.770833,27600.0
1990-03-08,B,4.8125,13200.0
1990-03-09,B,4.833333,7800.0
1990-03-12,B,4.895833,10200.0
1990-03-13,B,4.875,600.0
1990-03-14,B,5.0,156000.0
1990-03-15,B,5.083333,45000.0
1990-03-16,B,5.104167,70200.0
1990-03-19,B,5.145833,5400.0
1990-03-20,B,5.145833,41400.0
1990-03-21,B,5.145833,19200.0
1990-03-22,B,5.166667,72600.0
1990-03-23,B,5.1875,9000.0
1990-03-26,B,5.1875,58200.0
1990-03-27,B,5.1875,211200.0
1990-03-28,B,5.208333,31800.0
1990-03-29,B,5.1875,36000.0
1990-03-30,B,5.145833,57000.0
1990-04-02,B,5.104167,2400.0
1990-04-03,B,5.0625,22800.0
1990-04-04,B,5.020833,22800.0
1990-04-05,B,5.0,1200.0
1990-04-06,B,4.979167,3000.0
1990-04-09,B,4.979167,6600.0
1990-04-10,B,5.0,2400.0
1990-04-11,B,4.958333,43200.0
1990-04-12,B,4.958333,30000.0
1990-04-16,B,4.916667,18000.0
1990-04-17,B,4.9375,59400.0
1990-04-18,B,4.916667,3600.0
1990-04-19,B,4.916667,0.0
1990-04-20,B,4.916667,1800.0
1990-04-23,B,4.875,37800.0
1990-04-24,B,4.895833,3000.0
1990-04-25,B,4.916667,1200.0
1990-04-26,B,4.916667,12600.0
1990-04-27,B,4.916667,9600.0
1990-04-30,B,4.916667,0.0
1990-05-01,B,4.895833,2400.0
1990-05-02,B,4.916667,44400.0
1990-05-03,B,5.041667,69000.0
1990-05-04,B,5.041667,0.0
1990-05-07,B,5.041667,3600.0
1990-05-08,B,5.0625,9600.0
1990-05-09,B,5.083333,7800.0
1990-05-10,B,5.104167,1200.0
1990-05-11,B,5.145833,7200.0
1990-05-14,B,5.145833,7800.0
1990-05-15,B,5.125,24600.0
1990-05-16,B,5.125,0.0
1990-05-17,B,5.104167,21000.0
1990-05-18,B,5.104167,49200.0
1990-05-21,B,5.104167,600.0
1990-05-22,B,5.0625,10200.0
1990-05-23,B,5.0625,0.0
1990-05-24,B,4.958333,4200.0
1990-05-25,B,4.875,30000.0
1990-05-29,B,4.895833,600.0
1990-05-30,B,4.875,1800.0
1990-05-31,B,4.875,2400.0
1990-06-01,B,4.833333,10800.0
1990-06-04,B,4.854167,37800.0
1990-06-05,B,4.895833,12000.0
1990-06-06,B,4.895833,4800.0
1990-06-07,B,4.875,1200.0
1990-06-08,B,4.916667,31800.0
1990-06-11,B,4.875,17400.0
1990-06-12,B,4.958333,11400.0
1990-06-13,B,4.958333,7200.0
1990-06-14,B,4.916667,8400.0
1990-06-15,B,4.958333,1800.0
1990-06-18,B,4.875,48000.0
1990-06-19,B,4.833333,68400.0
1990-06-20,B,4.833333,11400.0
1990-06-21,B,4.875,23400.0
1990-06-22,B,4.854167,27000.0
1990-06-25,B,4.875,7800.0
1990-06-26,B,4.875,301200.0
1990-06-27,B,4.916667,4800.0
1990-06-28,B,4.895833,1200.0
1990-06-29,B,4.916667,15000.0
1990-07-02,B,4.833333,7200.0
1990-07-03,B,4.791667,16800.0
1990-07-05,B,4.8125,7800.0
1990-07-06,B,4.833333,15600.0
1990-07-09,B,4.854167,12600.0
1990-07-10,B,4.854167,9000.0
1990-07-11,B,4.770833,7200.0
1990-07-12,B,4.8125,6600.0
1990-07-13,B,4.8125,5400.0
1990-07-16,B,4.791667,6000.0
1990-07-17,B,4.791667,600.0
1990-07-18,B,4.75,4800.0
1990-07-19,B,4.708333,285600.0
1990-07-20,B,4.666667,1200.0
1990-07-23,B,4.625,121800.0
1990-07-24,B,4.583333,600.0
1990-07-25,B,4.583333,1800.0
1990-07-26,B,4.583333,1200.0
1990-07-27,B,4.604167,153000.0
1990-07-30,B,4.604167,121800.0
1990-07-31,B,4.625,10200.0
1990-08-01,B,4.625,0.0
1990-08-02,B,4.625,9600.0
1990-08-03,B,4.583333,13200.0
1990-08-06,B,4.541667,1800.0
1990-08-07,B,4.458333,10200.0
1990-08-08,B,4.4375,7800.0
1990-08-09,B,4.375,19800.0
1990-08-10,B,4.3125,207600.0
1990-08-13,B,4.291667,6000.0
1990-08-14,B,4.270833,1800.0
1990-08-15,B,4.25,34800.0
1990-08-16,B,4.1875,30600.0
1990-08-17,B,4.145833,24000.0
1990-08-20,B,4.125,3000.0
1990-08-21,B,4.104167,36600.0
1990-08-22,B,4.166667,9600.0
1990-08-23,B,4.125,55200.0
1990-08-24,B,4.020833,18000.0
1990-08-27,B,4.041667,108600.0
1990-08-28,B,4.083333,16200.0
1990-08-29,B,4.125,27000.0
1990-08-30,B,4.125,21000.0
1990-08-31,B,4.145833,24600.0
1990-09-04,B,4.125,20400.0
1990-09-05,B,4.083333,20400.0
1990-09-06,B,4.083333,24600.0
1990-09-07,B,4.125,63600.0
1990-09-10,B,4.083333,57600.0
1990-09-11,B,4.104167,5400.0
1990-09-12,B,4.104167,4200.0
1990-09-13,B,4.125,76200.0
1990-09-14,B,4.125,60000.0
1990-09-17,B,4.104167,97800.0
1990-09-18,B,4.104167,1800.0
