ds,symbol,close,volume
1999-02-04,BB,1.924479,16788600.0
1999-02-05,BB,1.833333,3053400.0
1999-02-08,BB,1.8125,1548000.0
1999-02-09,BB,1.666667,3501600.0
1999-02-10,BB,1.677083,1597200.0
1999-02-11,BB,1.8125,9979800.0
1999-02-12,BB,1.78125,707400.0
1999-02-16,BB,1.708333,3012600.0
1999-02-17,BB,1.708333,812400.0
1999-02-18,BB,1.666667,1894800.0
1999-02-19,BB,1.645833,689400.0
1999-02-22,BB,1.708333,618000.0
1999-02-23,BB,1.697917,831600.0
1999-02-24,BB,1.677083,1954200.0
1999-02-25,BB,1.5625,1496400.0
1999-02-26,BB,1.479167,1128600.0
1999-03-01,BB,1.416667,2135400.0
1999-03-02,BB,1.270833,1562400.0
1999-03-03,BB,1.28125,6219000.0
1999-03-04,BB,1.302083,2270400.0
1999-03-05,BB,1.3125,1644000.0
1999-03-08,BB,1.299479,1770600.0
1999-03-09,BB,1.333333,2763600.0
1999-03-10,BB,1.447917,6318000.0
1999-03-11,BB,1.395833,1645200.0
1999-03-12,BB,1.364583,1183200.0
1999-03-15,BB,1.385417,451800.0
1999-03-16,BB,1.40625,1924800.0
1999-03-17,BB,1.395833,671400.0
1999-03-18,BB,1.447917,1360800.0
1999-03-19,BB,1.416667,1739400.0
1999-03-22,BB,1.541667,4242000.0
1999-03-23,BB,1.489583,1895400.0
1999-03-24,BB,1.489583,1912200.0
1999-03-25,BB,1.552083,1947000.0
1999-03-26,BB,1.523438,244200.0
1999-03-29,BB,1.65625,1697400.0
1999-03-30,BB,1.645833,2640000.0
1999-03-31,BB,1.75,1135200.0
1999-04-01,BB,1.708333,3203400.0
1999-04-05,BB,1.802083,1033800.0
1999-04-06,BB,1.75,264600.0
1999-04-07,BB,1.885417,4690800.0
1999-04-08,BB,1.947917,4153800.0
1999-04-09,BB,1.958333,1606200.0
1999-04-12,BB,1.958333,1401000.0
1999-04-13,BB,2.0,2037600.0
1999-04-14,BB,1.979167,1584000.0
1999-04-15,BB,1.875,3380400.0
1999-04-16,BB,1.8125,935400.0
1999-04-19,BB,1.677083,1956600.0
1999-04-20,BB,1.666667,4474800.0
1999-04-21,BB,1.604167,2111400.0
1999-04-22,BB,1.708333,1983000.0
1999-04-23,BB,1.802083,1564800.0
1999-04-26,BB,1.9375,1136400.0
1999-04-27,BB,1.9375,1862400.0
1999-04-28,BB,1.854167,2738400.0
1999-04-29,BB,1.958333,1669800.0
1999-04-30,BB,2.03125,4143600.0
1999-05-03,BB,2.0,2244000.0
1999-05-04,BB,2.03125,2988600.0
1999-05-05,BB,2.0,1818000.0
1999-05-06,BB,1.927083,1558200.0
1999-05-07,BB,1.875,916800.0
1999-05-10,BB,1.854167,2034600.0
1999-05-11,BB,1.833333,429000.0
1999-05-12,BB,1.739583,1479600.0
1999-05-13,BB,1.78125,1021200.0
1999-05-14,BB,1.78125,823200.0
1999-05-17,BB,1.822917,1158600.0
1999-05-18,BB,2.197917,24379800.0
1999-05-19,BB,2.03125,4155000.0
1999-05-20,BB,2.197917,4493400.0
1999-05-21,BB,2.354167,8806800.0
1999-05-24,BB,2.552083,7637400.0
1999-05-25,BB,2.40625,6613200.0
1999-05-26,BB,2.427083,10127400.0
1999-05-27,BB,2.291667,3585000.0
1999-05-28,BB,2.34375,8055600.0
1999-06-01,BB,2.395833,3984600.0
1999-06-02,BB,2.791667,11773800.0
1999-06-03,BB,3.135417,20086800.0
1999-06-04,BB,3.052083,7121400.0
1999-06-07,BB,3.1875,4141200.0
1999-06-08,BB,3.229167,3597600.0
1999-06-09,BB,3.479167,5953800.0
1999-06-10,BB,3.46875,7557600.0
1999-06-11,BB,3.166667,4893000.0
1999-06-14,BB,2.916667,5195400.0
1999-06-15,BB,2.833333,5419200.0
1999-06-16,BB,3.03125,4570200.0
1999-06-17,BB,3.239583,4039800.0
1999-06-18,BB,3.166667,2328600.0
1999-06-21,BB,3.385417,4170600.0
1999-06-22,BB,3.322917,4525200.0
1999-06-23,BB,3.197917,4398000.0
1999-06-24,BB,3.0,2149200.0
1999-06-25,BB,3.0,3514200.0
1999-06-28,BB,3.260417,6804000.0
1999-06-29,BB,3.375,15438600.0
1999-06-30,BB,3.375,4734000.0
1999-07-01,BB,3.28125,6056400.0
1999-07-02,BB,3.416667,4114200.0
1999-07-06,BB,3.583333,10659000.0
1999-07-07,BB,3.697917,2392200.0
1999-07-08,BB,3.677083,2196000.0
1999-07-09,BB,3.697917,1876200.0
1999-07-12,BB,3.96875,7984200.0
1999-07-13,BB,3.979167,4804200.0
1999-07-14,BB,4.291667,8345400.0
1999-07-15,BB,4.354167,6708000.0
1999-07-16,BB,4.291667,1720800.0
1999-07-19,BB,4.364583,3741600.0
1999-07-20,BB,3.760417,5598600.0
1999-07-21,BB,4.229167,4530000.0
1999-07-22,BB,4.604167,7111800.0
1999-07-23,BB,4.583333,2343600.0
1999-07-26,BB,4.0625,2373000.0
1999-07-27,BB,3.979167,3924600.0
1999-07-28,BB,3.958333,1988400.0
1999-07-29,BB,4.052083,2623200.0
1999-07-30,BB,3.895833,1212000.0
1999-08-02,BB,3.833333,1701000.0
1999-08-03,BB,3.59375,3547800.0
1999-08-04,BB,3.0,5340600.0
1999-08-05,BB,3.416667,6401400.0
1999-08-06,BB,3.28125,5118000.0
1999-08-09,BB,3.0625,5341800.0
1999-08-10,BB,2.989583,3237600.0
1999-08-11,BB,3.177083,3982800.0
1999-08-12,BB,3.3125,4831200.0
1999-08-13,BB,3.729167,3697800.0
1999-08-16,BB,4.145833,7313400.0
1999-08-17,BB,4.0,4135800.0
1999-08-18,BB,4.270833,4387200.0
1999-08-19,BB,4.458333,4027200.0
1999-08-20,BB,4.979167,13567200.0
1999-08-23,BB,5.083333,8892000.0
1999-08-24,BB,4.770833,5940600.0
1999-08-25,BB,4.854167,3950400.0
1999-08-26,BB,4.833333,5252400.0
1999-08-27,BB,5.0,2855400.0
1999-08-30,BB,4.916667,2808600.0
1999-08-31,BB,4.958333,2220000.0
1999-09-01,BB,5.104167,3381000.0
1999-09-02,BB,5.03125,2562000.0
1999-09-03,BB,5.208333,2814000.0
1999-09-07,BB,5.822917,7182000.0
1999-09-08,BB,5.958333,8330400.0
1999-09-09,BB,6.166667,6147600.0
1999-09-10,BB,6.135417,3054600.0
1999-09-13,BB,6.083333,2656800.0
1999-09-14,BB,6.052083,5678400.0
1999-09-15,BB,5.791667,2870400.0
1999-09-16,BB,5.645833,1647600.0
1999-09-17,BB,5.552083,5959200.0
1999-09-20,BB,5.385417,1312200.0
1999-09-21,BB,5.041667,3609600.0
1999-09-22,BB,4.96875,4381800.0
1999-09-23,BB,4.791667,8322000.0
1999-09-24,BB,4.416667,18223200.0
1999-09-27,BB,5.145833,9942600.0
1999-09-28,BB,5.125,8039400.0
1999-09-29,BB,5.083333,5760600.0
1999-09-30,BB,5.15625,1735200.0
1999-10-01,BB,4.979167,3438600.0
1999-10-04,BB,5.072917,3828600.0
1999-10-05,BB,4.989583,1614600.0
1999-10-06,BB,4.979167,1045800.0
1999-10-07,BB,4.958333,2703600.0
1999-10-08,BB,5.15625,3842400.0
1999-10-11,BB,5.5625,9885000.0
1999-10-12,BB,5.427083,6952200.0
1999-10-13,BB,5.208333,4104600.0
1999-10-14,BB,5.208333,30685200.0
1999-10-15,BB,5.03125,11566200.0
1999-10-18,BB,4.822917,3781200.0
1999-10-19,BB,4.958333,7512600.0
1999-10-20,BB,5.125,4017600.0
1999-10-21,BB,5.052083,4180200.0
1999-10-22,BB,5.458333,7095000.0
1999-10-25,BB,5.395833,2094000.0
1999-10-26,BB,5.447917,5527200.0
1999-10-27,BB,5.239583,3832200.0
1999-10-28,BB,5.166667,3712800.0
1999-10-29,BB,5.125,2919000.0
1999-11-01,BB,5.229167,3972000.0
1999-11-02,BB,5.229167,5341800.0
1999-11-03,BB,5.625,15150000.0
1999-11-04,BB,6.229167,9247200.0
1999-11-05,BB,6.447917,15474000.0
1999-11-08,BB,6.708333,10735800.0
1999-11-09,BB,6.40625,6034200.0
1999-11-10,BB,6.614583,6573000.0
1999-11-11,BB,7.041667,7785000.0
1999-11-12,BB,6.979167,11673000.0
1999-11-15,BB,7.90625,12133800.0
1999-11-16,BB,8.75,14182200.0
1999-11-17,BB,9.166667,11065800.0
1999-11-18,BB,9.197917,9041400.0
1999-11-19,BB,9.135417,4606200.0
1999-11-22,BB,8.833333,16040400.0
1999-11-23,BB,8.145833,13523400.0
1999-11-24,BB,7.854167,9327000.0
1999-11-26,BB,8.770833,5992200.0
1999-11-29,BB,8.958333,4292400.0
1999-11-30,BB,8.541667,9253800.0
1999-12-01,BB,9.0625,5874600.0
1999-12-02,BB,9.208333,3218400.0
1999-12-03,BB,9.333333,6609000.0
1999-12-06,BB,9.416667,2428200.0
1999-12-07,BB,9.177083,5265600.0
1999-12-08,BB,8.635417,3290400.0
1999-12-09,BB,8.5625,2423400.0
1999-12-10,BB,8.322917,3081600.0
1999-12-13,BB,8.208333,9777000.0
1999-12-14,BB,7.53125,5033400.0
1999-12-15,BB,7.1875,6570600.0
1999-12-16,BB,7.125,5218200.0
1999-12-17,BB,7.979167,7459800.0
1999-12-20,BB,7.166667,8953800.0
1999-12-21,BB,7.708333,12050400.0
1999-12-22,BB,7.166667,36890400.0
1999-12-23,BB,7.375,6301200.0
1999-12-27,BB,7.114583,4127400.0
1999-12-28,BB,6.916667,5797800.0
1999-12-29,BB,7.166667,2642400.0
1999-12-30,BB,7.09375,3286800.0
1999-12-31,BB,7.697917,4649400.0
2000-01-03,BB,8.604167,8795400.0
2000-01-04,BB,8.53125,5854800.0
2000-01-05,BB,8.270833,5044800.0
2000-01-06,BB,7.875,2613000.0
2000-01-07,BB,8.104167,2057400.0
2000-01-10,BB,9.34375,7875600.0
2000-01-11,BB,9.4375,4873800.0
2000-01-12,BB,8.8125,4005000.0
2000-01-13,BB,8.364583,4661400.0
2000-01-14,BB,8.229167,4525800.0
2000-01-18,BB,9.208333,10891800.0
2000-01-19,BB,12.020833,22888200.0
2000-01-20,BB,11.583333,5763600.0
2000-01-21,BB,11.59375,4666200.0
2000-01-24,BB,11.958333,9724800.0
2000-01-25,BB,12.3125,4876200.0
2000-01-26,BB,11.9375,2876400.0
2000-01-27,BB,11.354167,3126600.0
2000-01-28,BB,10.583333,2550600.0
2000-01-31,BB,10.958333,4250400.0
2000-02-01,BB,11.666667,4937400.0
2000-02-02,BB,14.020833,13852200.0
2000-02-03,BB,15.229167,14625000.0
2000-02-04,BB,15.541667,4493400.0
2000-02-07,BB,17.145832,4770000.0
2000-02-08,BB,20.75,13295400.0
2000-02-09,BB,18.666668,11502000.0
2000-02-10,BB,19.166668,5686800.0
2000-02-11,BB,17.666668,5909400.0
2000-02-14,BB,19.458332,6443400.0
2000-02-15,BB,18.6875,4187400.0
2000-02-16,BB,17.666668,3326400.0
2000-02-17,BB,18.770832,6770400.0
2000-02-18,BB,18.083332,2812800.0
2000-02-22,BB,18.520832,2035200.0
2000-02-23,BB,19.708332,3375000.0
2000-02-24,BB,23.708332,11744400.0
2000-02-25,BB,23.15625,6027000.0
2000-02-28,BB,24.625,20283000.0
2000-02-29,BB,22.541668,7761600.0
2000-03-01,BB,24.5,8973600.0
2000-03-02,BB,26.020832,9481200.0
2000-03-03,BB,25.114582,5164200.0
2000-03-06,BB,24.666668,3650400.0
2000-03-07,BB,23.625,5170800.0
2000-03-08,BB,21.802082,7699800.0
2000-03-09,BB,23.020832,5671800.0
2000-03-10,BB,22.5,3988800.0
2000-03-13,BB,21.791668,3703200.0
2000-03-14,BB,21.25,2676000.0
2000-03-15,BB,20.010418,9247200.0
2000-03-16,BB,23.177082,10308000.0
2000-03-17,BB,22.145832,6499800.0
2000-03-20,BB,21.625,3117000.0
2000-03-21,BB,20.510418,7861800.0
2000-03-22,BB,22.333332,4823400.0
2000-03-23,BB,22.3125,4488000.0
2000-03-24,BB,24.625,6486000.0
2000-03-27,BB,23.166668,3126600.0
2000-03-28,BB,21.083332,6129000.0
2000-03-29,BB,18.760418,10146000.0
2000-03-30,BB,16.583332,15210600.0
2000-03-31,BB,17.75,8110800.0
2000-04-03,BB,14.166667,11204400.0
2000-04-04,BB,12.75,18915000.0
2000-04-05,BB,13.833333,11143800.0
2000-04-06,BB,14.916667,11971200.0
2000-04-07,BB,16.59375,10553400.0
2000-04-10,BB,14.0,11859600.0
2000-04-11,BB,13.666667,14512800.0
2000-04-12,BB,7.625,89793600.0
2000-04-13,BB,7.083333,30992400.0
2000-04-14,BB,6.083333,13257000.0
2000-04-17,BB,6.104167,13171800.0
2000-04-18,BB,6.5,12535200.0
2000-04-19,BB,7.0,7899600.0
2000-04-20,BB,6.677083,3800400.0
2000-04-24,BB,6.0,2878800.0
2000-04-25,BB,6.958333,13227000.0
2000-04-26,BB,6.6875,8035800.0
2000-04-27,BB,6.75,4576200.0
2000-04-28,BB,7.083333,6647400.0
2000-05-01,BB,7.333333,7316400.0
2000-05-02,BB,7.625,12802800.0
2000-05-03,BB,7.145833,6828000.0
2000-05-04,BB,6.864583,5142000.0
2000-05-05,BB,7.041667,4363200.0
2000-05-08,BB,6.822917,2113800.0
2000-05-09,BB,6.354167,5060400.0
2000-05-10,BB,6.052083,4727400.0
2000-05-11,BB,6.177083,4123200.0
2000-05-12,BB,6.229167,4530000.0
2000-05-15,BB,6.145833,5864400.0
2000-05-16,BB,6.583333,6478800.0
2000-05-17,BB,6.270833,3151200.0
2000-05-18,BB,6.083333,1833600.0
2000-05-19,BB,5.65625,4222200.0
2000-05-22,BB,5.125,7981800.0
2000-05-23,BB,4.875,3697200.0
2000-05-24,BB,4.697917,7782600.0
2000-05-25,BB,4.302083,11133000.0
2000-05-26,BB,4.1875,4430400.0
2000-05-30,BB,5.0,6707400.0
2000-05-31,BB,5.364583,9892800.0
2000-06-01,BB,6.479167,14246400.0
2000-06-02,BB,6.9375,9730200.0
2000-06-05,BB,6.625,5392200.0
2000-06-06,BB,6.854167,8511600.0
2000-06-07,BB,7.083333,6616800.0
2000-06-08,BB,7.479167,6625800.0
2000-06-09,BB,7.895833,8465400.0
2000-06-12,BB,7.666667,5185200.0
2000-06-13,BB,7.770833,4063200.0
2000-06-14,BB,7.625,4776000.0
2000-06-15,BB,7.3125,7286400.0
2000-06-16,BB,7.041667,7688400.0
2000-06-19,BB,7.166667,6591000.0
2000-06-20,BB,7.916667,9787200.0
2000-06-21,BB,9.104167,15467400.0
2000-06-22,BB,9.791667,19279800.0
2000-06-23,BB,9.375,10867200.0
2000-06-26,BB,8.833333,12870600.0
2000-06-27,BB,7.083333,37710600.0
2000-06-28,BB,7.135417,13526400.0
2000-06-29,BB,6.479167,12274200.0
2000-06-30,BB,7.541667,23481600.0
2000-07-03,BB,8.15625,4421400.0
2000-07-05,BB,8.208333,12670800.0
2000-07-06,BB,8.552083,10539000.0
2000-07-07,BB,9.270833,7274400.0
2000-07-10,BB,8.979167,6030600.0
2000-07-11,BB,8.833333,3742200.0
2000-07-12,BB,10.041667,12180000.0
2000-07-13,BB,10.239583,14690400.0
2000-07-14,BB,10.4375,6755400.0
2000-07-17,BB,10.822917,7865400.0
2000-07-18,BB,10.635417,5223600.0
2000-07-19,BB,9.916667,6184800.0
2000-07-20,BB,10.666667,6223800.0
2000-07-21,BB,10.208333,3359400.0
2000-07-24,BB,9.614583,3549000.0
2000-07-25,BB,9.75,2442000.0
2000-07-26,BB,9.59375,2754000.0
2000-07-27,BB,9.166667,4193400.0
2000-07-28,BB,8.4375,3809400.0
2000-07-31,BB,9.03125,3416400.0
2000-08-01,BB,8.958333,2546400.0
2000-08-02,BB,8.854167,2827800.0
2000-08-03,BB,8.552083,3337200.0
2000-08-04,BB,8.802083,1368600.0
2000-08-07,BB,9.497396,1681200.0
2000-08-08,BB,9.34375,4460400.0
2000-08-09,BB,9.479167,2625000.0
2000-08-10,BB,9.166667,2346000.0
2000-08-11,BB,9.145833,1478400.0
2000-08-14,BB,9.822917,4804200.0
2000-08-15,BB,9.791667,4839600.0
2000-08-16,BB,10.03125,2890800.0
2000-08-17,BB,10.5,3084600.0
2000-08-18,BB,10.315104,2110200.0
2000-08-21,BB,9.958333,1483200.0
2000-08-22,BB,10.458333,3670800.0
2000-08-23,BB,10.34375,3044400.0
2000-08-24,BB,10.5,2189400.0
2000-08-25,BB,10.614583,3679200.0
2000-08-28,BB,10.614583,1927800.0
2000-08-29,BB,12.083333,8577600.0
2000-08-30,BB,11.895833,10337400.0
2000-08-31,BB,12.59375,6211800.0
2000-09-01,BB,13.5,6558000.0
2000-09-05,BB,14.25,5832000.0
2000-09-06,BB,13.385417,6547800.0
2000-09-07,BB,13.208333,3964200.0
2000-09-08,BB,12.458333,2857200.0
2000-09-11,BB,12.114583,4350000.0
2000-09-12,BB,12.59375,5562600.0
2000-09-13,BB,13.03125,4832400.0
2000-09-14,BB,13.625,9108600.0
2000-09-15,BB,13.833333,6471600.0
2000-09-18,BB,13.166667,5083800.0
2000-09-19,BB,13.083333,5401200.0
2000-09-20,BB,13.114583,3139200.0
2000-09-21,BB,13.8125,8494200.0
2000-09-22,BB,12.864583,9855600.0
2000-09-25,BB,14.364583,33151800.0
2000-09-26,BB,15.583333,33446400.0
2000-09-27,BB,14.171875,20073600.0
2000-09-28,BB,13.90625,16762800.0
2000-09-29,BB,16.427082,42275400.0
2000-10-02,BB,17.208332,23844000.0
2000-10-03,BB,17.135418,18766800.0
2000-10-04,BB,17.666668,13433400.0
2000-10-05,BB,19.0,20995800.0
2000-10-06,BB,18.625,14899200.0
2000-10-09,BB,18.666668,14046600.0
2000-10-10,BB,17.0,14503800.0
2000-10-11,BB,15.96875,18819000.0
2000-10-12,BB,15.125,9622800.0
2000-10-13,BB,16.583332,17316000.0
2000-10-16,BB,18.208332,15256200.0
2000-10-17,BB,19.166668,20367000.0
2000-10-18,BB,19.489582,25135200.0
2000-10-19,BB,20.40625,13088400.0
2000-10-20,BB,19.5625,11069400.0
2000-10-23,BB,20.539063,13872600.0
2000-10-24,BB,19.791668,17793000.0
2000-10-25,BB,17.6875,19485600.0
2000-10-26,BB,17.083332,24726000.0
2000-10-27,BB,16.65625,43667400.0
2000-10-30,BB,13.885417,31650600.0
2000-10-31,BB,16.666668,38336400.0
2000-11-01,BB,15.979167,19769400.0
2000-11-02,BB,17.75,17923800.0
2000-11-03,BB,18.208332,14314800.0
2000-11-06,BB,17.416668,10044600.0
2000-11-07,BB,18.75,14601000.0
2000-11-08,BB,18.3125,15140400.0
2000-11-09,BB,16.322918,21292800.0
2000-11-10,BB,14.770833,13627200.0
2000-11-13,BB,13.71875,23838600.0
2000-11-14,BB,15.875,21222000.0
2000-11-15,BB,14.708333,15840600.0
2000-11-16,BB,13.833333,14120400.0
2000-11-17,BB,15.0,17685000.0
2000-11-20,BB,14.197917,16603800.0
2000-11-21,BB,14.260417,10602000.0
2000-11-22,BB,11.989583,25623000.0
2000-11-24,BB,12.84375,6004800.0
2000-11-27,BB,12.916667,11562600.0
2000-11-28,BB,11.041667,35758800.0
2000-11-29,BB,9.708333,40446000.0
2000-11-30,BB,10.833333,46956600.0
2000-12-01,BB,12.4375,39914400.0
2000-12-04,BB,12.104167,21298200.0
2000-12-05,BB,14.21875,23811600.0
2000-12-06,BB,14.3125,23445000.0
2000-12-07,BB,14.958333,15541800.0
2000-12-08,BB,15.791667,17428200.0
2000-12-11,BB,16.59375,16157400.0
2000-12-12,BB,15.958333,7994400.0
2000-12-13,BB,14.84375,12124200.0
2000-12-14,BB,13.802083,12372600.0
2000-12-15,BB,14.302083,13573200.0
2000-12-18,BB,14.041667,13481400.0
2000-12-19,BB,13.458333,18643800.0
2000-12-20,BB,12.5,32209200.0
2000-12-21,BB,10.989583,39918600.0
2000-12-22,BB,13.3125,19293000.0
2000-12-26,BB,13.125,9922800.0
2000-12-27,BB,12.864583,9343200.0
2000-12-28,BB,13.294271,11008200.0
2000-12-29,BB,13.333333,13993200.0
2001-01-02,BB,9.729167,31128600.0
2001-01-03,BB,11.666667,45867600.0
2001-01-04,BB,9.583333,31079400.0
2001-01-05,BB,7.9375,44091600.0
2001-01-08,BB,7.947917,25639200.0
2001-01-09,BB,8.15625,14185800.0
2001-01-10,BB,8.760417,23281200.0
2001-01-11,BB,9.572917,20448000.0
2001-01-12,BB,9.416667,17149200.0
2001-01-16,BB,9.020833,15435600.0
2001-01-17,BB,9.520833,21271200.0
2001-01-18,BB,9.6875,9322800.0
2001-01-19,BB,9.989583,10647600.0
2001-01-22,BB,10.427083,16141200.0
2001-01-23,BB,11.552083,17641200.0
2001-01-24,BB,11.989583,24830400.0
2001-01-25,BB,10.739583,17658600.0
2001-01-26,BB,11.927083,18460200.0
2001-01-29,BB,12.416667,14575800.0
2001-01-30,BB,11.739583,15443400.0
2001-01-31,BB,10.96875,17460600.0
2001-02-01,BB,10.916667,20131200.0
2001-02-02,BB,9.791667,14500800.0
2001-02-05,BB,10.4375,18061200.0
2001-02-06,BB,9.927083,11185800.0
2001-02-07,BB,9.541667,16347000.0
