ds,symbol,close,volume
2007-02-22,BBDC,15.24,17800.0
2007-02-23,BBDC,14.9,48500.0
2007-02-26,BBDC,14.57,23800.0
2007-02-27,BBDC,14.5,23200.0
2007-02-28,BBDC,14.75,12300.0
2007-03-01,BBDC,14.32,6600.0
2007-03-02,BBDC,14.43,3400.0
2007-03-05,BBDC,14.47,10700.0
2007-03-06,BBDC,14.31,3400.0
2007-03-07,BBDC,14.3,7400.0
2007-03-08,BBDC,14.08,12200.0
2007-03-09,BBDC,14.08,4100.0
2007-03-12,BBDC,14.7,16700.0
2007-03-13,BBDC,14.05,13500.0
2007-03-14,BBDC,14.34,8200.0
2007-03-15,BBDC,14.13,15300.0
2007-03-16,BBDC,13.95,4000.0
2007-03-19,BBDC,14.15,2600.0
2007-03-20,BBDC,14.07,4800.0
2007-03-21,BBDC,14.05,7400.0
2007-03-22,BBDC,13.87,8800.0
2007-03-23,BBDC,14.0,19000.0
2007-03-26,BBDC,13.78,4900.0
2007-03-27,BBDC,13.45,17400.0
2007-03-28,BBDC,13.9,15500.0
2007-03-29,BBDC,13.6,23100.0
2007-03-30,BBDC,13.65,3400.0
2007-04-02,BBDC,14.02,8500.0
2007-04-03,BBDC,14.1,17600.0
2007-04-04,BBDC,14.19,5800.0
2007-04-05,BBDC,14.03,6800.0
2007-04-09,BBDC,14.22,700.0
2007-04-10,BBDC,14.52,17500.0
2007-04-11,BBDC,14.75,11800.0
2007-04-12,BBDC,14.29,10800.0
2007-04-13,BBDC,14.37,3600.0
2007-04-16,BBDC,14.5,5200.0
2007-04-17,BBDC,14.9,13200.0
2007-04-18,BBDC,14.59,15500.0
2007-04-19,BBDC,14.51,3900.0
2007-04-20,BBDC,14.78,3600.0
2007-04-23,BBDC,14.68,2500.0
2007-04-24,BBDC,14.66,5100.0
2007-04-25,BBDC,14.5,7400.0
2007-04-26,BBDC,14.4,2700.0
2007-04-27,BBDC,14.01,32800.0
2007-04-30,BBDC,14.11,4400.0
2007-05-01,BBDC,14.19,5200.0
2007-05-02,BBDC,14.45,8200.0
2007-05-03,BBDC,14.38,11500.0
2007-05-04,BBDC,14.35,13400.0
2007-05-07,BBDC,14.6,6700.0
2007-05-08,BBDC,14.55,27500.0
2007-05-09,BBDC,14.7,9800.0
2007-05-10,BBDC,14.71,11700.0
2007-05-11,BBDC,14.85,34400.0
