ds,symbol,close,volume
1990-01-02,BC,14.5,132400.0
1990-01-03,BC,14.375,96200.0
1990-01-04,BC,14.375,150900.0
1990-01-05,BC,14.375,87300.0
1990-01-08,BC,14.25,106400.0
1990-01-09,BC,14.0,206200.0
1990-01-10,BC,14.0,112900.0
1990-01-11,BC,14.0,98100.0
1990-01-12,BC,13.625,114800.0
1990-01-15,BC,13.875,390800.0
1990-01-16,BC,14.0,153200.0
1990-01-17,BC,13.75,85300.0
1990-01-18,BC,13.75,297200.0
1990-01-19,BC,13.625,149400.0
1990-01-22,BC,13.125,234100.0
1990-01-23,BC,13.0,163300.0
1990-01-24,BC,12.875,158000.0
1990-01-25,BC,12.625,199800.0
1990-01-26,BC,12.5,208700.0
1990-01-29,BC,12.625,142000.0
1990-01-30,BC,12.125,138900.0
1990-01-31,BC,12.5,163000.0
1990-02-01,BC,12.5,60200.0
1990-02-02,BC,12.875,125700.0
1990-02-05,BC,12.625,83500.0
1990-02-06,BC,12.625,82100.0
1990-02-07,BC,12.75,94900.0
1990-02-08,BC,12.75,202100.0
1990-02-09,BC,12.875,89100.0
1990-02-12,BC,12.875,172800.0
1990-02-13,BC,12.875,374700.0
1990-02-14,BC,13.0,121200.0
1990-02-15,BC,12.875,188300.0
1990-02-16,BC,12.75,238900.0
1990-02-20,BC,12.75,172200.0
1990-02-21,BC,13.125,233500.0
1990-02-22,BC,12.875,84500.0
1990-02-23,BC,12.875,177900.0
1990-02-26,BC,13.375,250500.0
1990-02-27,BC,13.5,194300.0
1990-02-28,BC,13.375,122700.0
1990-03-01,BC,13.5,59400.0
1990-03-02,BC,13.875,78700.0
1990-03-05,BC,14.5,345300.0
1990-03-06,BC,14.375,108400.0
1990-03-07,BC,14.0,114300.0
1990-03-08,BC,14.25,105300.0
1990-03-09,BC,14.125,64800.0
1990-03-12,BC,14.25,58200.0
1990-03-13,BC,13.875,227800.0
1990-03-14,BC,14.375,143000.0
1990-03-15,BC,14.625,131700.0
1990-03-16,BC,14.625,133300.0
1990-03-19,BC,14.625,95000.0
1990-03-20,BC,14.75,102300.0
1990-03-21,BC,15.0,148900.0
1990-03-22,BC,14.5,304100.0
1990-03-23,BC,14.375,184900.0
1990-03-26,BC,14.625,79100.0
1990-03-27,BC,14.5,104900.0
1990-03-28,BC,15.25,139600.0
1990-03-29,BC,15.875,352500.0
1990-03-30,BC,15.25,273900.0
1990-04-02,BC,15.25,52600.0
1990-04-03,BC,15.25,195800.0
1990-04-04,BC,15.125,79700.0
1990-04-05,BC,15.375,58000.0
1990-04-06,BC,15.25,45000.0
1990-04-09,BC,15.375,208300.0
1990-04-10,BC,15.875,260900.0
1990-04-11,BC,15.625,149500.0
1990-04-12,BC,16.0,78300.0
1990-04-16,BC,15.75,216500.0
1990-04-17,BC,15.75,84300.0
1990-04-18,BC,15.25,223200.0
1990-04-19,BC,15.125,72500.0
1990-04-20,BC,15.125,219100.0
1990-04-23,BC,14.5,260700.0
1990-04-24,BC,14.5,352400.0
1990-04-25,BC,14.875,83600.0
1990-04-26,BC,15.0,108700.0
1990-04-27,BC,15.0,140900.0
1990-04-30,BC,14.75,223300.0
1990-05-01,BC,14.625,56300.0
1990-05-02,BC,14.5,51500.0
1990-05-03,BC,14.5,27500.0
1990-05-04,BC,14.75,120100.0
1990-05-07,BC,14.5,139500.0
1990-05-08,BC,14.625,143600.0
1990-05-09,BC,14.75,165200.0
1990-05-10,BC,14.625,79700.0
1990-05-11,BC,15.125,165000.0
1990-05-14,BC,15.0,91000.0
1990-05-15,BC,14.875,137500.0
1990-05-16,BC,15.0,268000.0
1990-05-17,BC,13.5,315200.0
1990-05-18,BC,13.25,394700.0
1990-05-21,BC,13.875,231200.0
1990-05-22,BC,14.0,292100.0
1990-05-23,BC,13.875,73100.0
1990-05-24,BC,13.875,171700.0
1990-05-25,BC,13.875,59800.0
1990-05-29,BC,13.625,78000.0
1990-05-30,BC,14.0,123100.0
1990-05-31,BC,13.875,52400.0
1990-06-01,BC,13.875,120900.0
1990-06-04,BC,14.0,89400.0
1990-06-05,BC,14.125,105500.0
1990-06-06,BC,14.0,126400.0
1990-06-07,BC,14.125,90400.0
1990-06-08,BC,14.0,38100.0
1990-06-11,BC,14.125,29500.0
1990-06-12,BC,14.25,232600.0
1990-06-13,BC,13.875,163200.0
1990-06-14,BC,13.625,85100.0
1990-06-15,BC,13.5,193900.0
1990-06-18,BC,13.625,178000.0
1990-06-19,BC,13.75,122300.0
1990-06-20,BC,13.625,39500.0
1990-06-21,BC,13.875,155100.0
1990-06-22,BC,13.0,98400.0
1990-06-25,BC,13.0,177300.0
1990-06-26,BC,13.0,158700.0
1990-06-27,BC,12.875,90000.0
1990-06-28,BC,12.5,179000.0
1990-06-29,BC,12.75,122800.0
1990-07-02,BC,12.5,109300.0
1990-07-03,BC,12.625,59600.0
1990-07-05,BC,12.375,63300.0
1990-07-06,BC,12.875,97600.0
1990-07-09,BC,12.75,267000.0
1990-07-10,BC,12.625,254500.0
1990-07-11,BC,13.0,409400.0
1990-07-12,BC,12.875,144600.0
1990-07-13,BC,12.875,134400.0
1990-07-16,BC,12.75,68400.0
1990-07-17,BC,12.75,81100.0
1990-07-18,BC,13.0,167800.0
1990-07-19,BC,12.75,58800.0
1990-07-20,BC,12.5,87800.0
1990-07-23,BC,12.25,149800.0
1990-07-24,BC,12.0,99900.0
1990-07-25,BC,11.875,113600.0
1990-07-26,BC,11.625,139200.0
1990-07-27,BC,11.375,86100.0
1990-07-30,BC,11.625,125200.0
1990-07-31,BC,11.875,215000.0
1990-08-01,BC,11.625,59600.0
1990-08-02,BC,11.375,119000.0
1990-08-03,BC,10.75,281600.0
1990-08-06,BC,10.0,158100.0
1990-08-07,BC,10.25,247000.0
1990-08-08,BC,10.5,170200.0
1990-08-09,BC,10.25,109600.0
1990-08-10,BC,9.75,144400.0
1990-08-13,BC,10.0,158700.0
1990-08-14,BC,10.125,35300.0
1990-08-15,BC,10.25,126100.0
1990-08-16,BC,9.875,128700.0
1990-08-17,BC,9.375,228000.0
1990-08-20,BC,9.625,72400.0
1990-08-21,BC,9.375,178700.0
1990-08-22,BC,9.0,170600.0
1990-08-23,BC,8.75,254500.0
1990-08-24,BC,8.875,201100.0
1990-08-27,BC,8.875,236700.0
1990-08-28,BC,10.0,189800.0
1990-08-29,BC,9.625,105800.0
1990-08-30,BC,9.25,144700.0
1990-08-31,BC,9.25,129500.0
1990-09-04,BC,9.625,89200.0
1990-09-05,BC,9.5,71500.0
1990-09-06,BC,9.25,137200.0
1990-09-07,BC,9.25,197300.0
1990-09-10,BC,9.125,82700.0
1990-09-11,BC,8.875,72300.0
1990-09-12,BC,9.0,88200.0
1990-09-13,BC,8.875,213600.0
1990-09-14,BC,8.625,159800.0
1990-09-17,BC,8.875,268100.0
1990-09-18,BC,9.0,107500.0
1990-09-19,BC,8.25,129700.0
1990-09-20,BC,7.875,89400.0
1990-09-21,BC,7.875,244700.0
1990-09-24,BC,7.375,159500.0
1990-09-25,BC,7.25,193900.0
1990-09-26,BC,7.125,104600.0
1990-09-27,BC,6.625,126700.0
1990-09-28,BC,7.25,114300.0
1990-10-01,BC,7.75,255900.0
1990-10-02,BC,7.625,139400.0
1990-10-03,BC,7.125,153300.0
1990-10-04,BC,7.125,65000.0
1990-10-05,BC,6.75,300300.0
1990-10-08,BC,6.875,101400.0
1990-10-09,BC,6.875,72500.0
1990-10-10,BC,7.25,106200.0
1990-10-11,BC,6.875,102400.0
1990-10-12,BC,6.75,145600.0
1990-10-15,BC,6.75,170400.0
1990-10-16,BC,6.75,207700.0
1990-10-17,BC,6.625,143200.0
1990-10-18,BC,6.75,84700.0
1990-10-19,BC,7.5,174900.0
1990-10-22,BC,7.5,53800.0
1990-10-23,BC,7.25,55800.0
1990-10-24,BC,7.25,108700.0
1990-10-25,BC,7.125,142200.0
1990-10-26,BC,7.125,225400.0
1990-10-29,BC,7.25,67800.0
1990-10-30,BC,7.75,99800.0
1990-10-31,BC,8.125,196400.0
1990-11-01,BC,7.625,62400.0
1990-11-02,BC,7.625,143600.0
1990-11-05,BC,7.375,92200.0
1990-11-06,BC,7.375,110500.0
1990-11-07,BC,7.5,268100.0
1990-11-08,BC,7.75,157100.0
1990-11-09,BC,7.625,199200.0
1990-11-12,BC,8.125,144500.0
1990-11-13,BC,8.25,163700.0
1990-11-14,BC,8.625,218100.0
1990-11-15,BC,8.375,204300.0
1990-11-16,BC,8.5,179400.0
1990-11-19,BC,8.25,257600.0
1990-11-20,BC,8.0,280600.0
1990-11-21,BC,8.125,254000.0
1990-11-23,BC,8.0,100900.0
1990-11-26,BC,8.125,132200.0
1990-11-27,BC,7.875,155000.0
1990-11-28,BC,7.875,101700.0
1990-11-29,BC,7.625,143300.0
1990-11-30,BC,7.875,231800.0
1990-12-03,BC,7.875,91200.0
1990-12-04,BC,8.25,454100.0
1990-12-05,BC,8.625,348000.0
1990-12-06,BC,8.75,294800.0
1990-12-07,BC,9.25,245300.0
1990-12-10,BC,10.0,303300.0
1990-12-11,BC,9.625,356500.0
1990-12-12,BC,10.0,613400.0
1990-12-13,BC,9.625,320500.0
1990-12-14,BC,9.25,273000.0
1990-12-17,BC,9.0,140700.0
1990-12-18,BC,8.875,224600.0
1990-12-19,BC,9.125,283100.0
1990-12-20,BC,9.0,323700.0
1990-12-21,BC,9.375,301400.0
1990-12-24,BC,8.875,201200.0
1990-12-26,BC,9.125,182200.0
1990-12-27,BC,9.0,29400.0
1990-12-28,BC,9.0,238400.0
1990-12-31,BC,9.0,183300.0
1991-01-02,BC,9.25,235200.0
1991-01-03,BC,8.875,115400.0
1991-01-04,BC,9.0,142700.0
1991-01-07,BC,9.0,331400.0
1991-01-08,BC,9.0,213300.0
1991-01-09,BC,9.0,358100.0
1991-01-10,BC,9.125,180300.0
1991-01-11,BC,9.0,219500.0
1991-01-14,BC,8.75,152000.0
1991-01-15,BC,9.0,207600.0
1991-01-16,BC,9.125,365600.0
1991-01-17,BC,9.75,588300.0
1991-01-18,BC,9.875,274200.0
1991-01-21,BC,10.0,183100.0
1991-01-22,BC,10.0,230000.0
1991-01-23,BC,9.75,118000.0
1991-01-24,BC,10.125,489500.0
1991-01-25,BC,11.0,637900.0
1991-01-28,BC,10.625,312800.0
1991-01-29,BC,11.0,595400.0
1991-01-30,BC,11.625,835800.0
1991-01-31,BC,12.125,787100.0
1991-02-01,BC,12.375,873400.0
1991-02-04,BC,12.375,523100.0
1991-02-05,BC,12.75,1263600.0
1991-02-06,BC,12.5,869100.0
1991-02-07,BC,12.75,747600.0
1991-02-08,BC,13.125,680600.0
1991-02-11,BC,13.25,710400.0
1991-02-12,BC,12.625,704000.0
1991-02-13,BC,13.375,439400.0
1991-02-14,BC,12.75,414600.0
1991-02-15,BC,12.75,383700.0
1991-02-19,BC,13.125,954300.0
1991-02-20,BC,13.75,319900.0
1991-02-21,BC,13.125,398100.0
1991-02-22,BC,13.125,216400.0
1991-02-25,BC,13.125,293000.0
1991-02-26,BC,12.5,297100.0
1991-02-27,BC,13.125,304200.0
1991-02-28,BC,13.5,310300.0
1991-03-01,BC,13.625,399000.0
1991-03-04,BC,13.625,272400.0
1991-03-05,BC,14.5,647300.0
1991-03-06,BC,15.0,690400.0
1991-03-07,BC,15.0,191900.0
1991-03-08,BC,14.375,291800.0
1991-03-11,BC,14.75,352600.0
1991-03-12,BC,14.5,217800.0
1991-03-13,BC,14.375,325300.0
1991-03-14,BC,14.0,516500.0
1991-03-15,BC,14.125,403800.0
1991-03-18,BC,14.25,199800.0
1991-03-19,BC,14.0,189100.0
1991-03-20,BC,14.0,278700.0
1991-03-21,BC,13.75,222900.0
1991-03-22,BC,13.75,305300.0
1991-03-25,BC,14.5,610300.0
1991-03-26,BC,15.0,750200.0
1991-03-27,BC,14.875,460500.0
1991-03-28,BC,15.0,343700.0
1991-04-01,BC,14.625,200100.0
1991-04-02,BC,14.5,239500.0
1991-04-03,BC,14.625,255700.0
1991-04-04,BC,14.25,235600.0
1991-04-05,BC,14.25,169600.0
1991-04-08,BC,14.0,367800.0
1991-04-09,BC,13.625,189600.0
1991-04-10,BC,14.0,164600.0
1991-04-11,BC,14.375,500300.0
1991-04-12,BC,14.5,343700.0
1991-04-15,BC,14.375,142000.0
1991-04-16,BC,14.375,153200.0
1991-04-17,BC,14.5,285100.0
1991-04-18,BC,14.875,976700.0
1991-04-19,BC,14.75,785800.0
1991-04-22,BC,14.375,181100.0
1991-04-23,BC,13.875,282500.0
1991-04-24,BC,13.75,324400.0
1991-04-25,BC,13.875,174200.0
1991-04-26,BC,13.75,96900.0
1991-04-29,BC,12.875,213900.0
1991-04-30,BC,12.625,619200.0
1991-05-01,BC,14.0,510700.0
1991-05-02,BC,14.25,303700.0
1991-05-03,BC,14.375,223500.0
1991-05-06,BC,14.125,295500.0
1991-05-07,BC,14.0,148900.0
1991-05-08,BC,14.125,129100.0
1991-05-09,BC,14.125,138300.0
1991-05-10,BC,14.0,174500.0
1991-05-13,BC,14.375,164300.0
1991-05-14,BC,14.125,189500.0
1991-05-15,BC,14.0,238300.0
1991-05-16,BC,13.875,40400.0
1991-05-17,BC,14.0,129500.0
1991-05-20,BC,13.75,167900.0
1991-05-21,BC,13.875,156500.0
1991-05-22,BC,13.75,307000.0
1991-05-23,BC,13.5,263500.0
1991-05-24,BC,13.5,48300.0
1991-05-28,BC,13.75,203700.0
1991-05-29,BC,13.75,143900.0
1991-05-30,BC,14.0,1106800.0
1991-05-31,BC,14.75,784600.0
1991-06-03,BC,16.125,735700.0
1991-06-04,BC,15.75,515500.0
1991-06-05,BC,15.375,286500.0
1991-06-06,BC,14.375,459900.0
1991-06-07,BC,14.75,268000.0
1991-06-10,BC,14.875,208300.0
1991-06-11,BC,14.875,117600.0
1991-06-12,BC,14.5,219100.0
1991-06-13,BC,14.5,205900.0
1991-06-14,BC,14.375,142900.0
1991-06-17,BC,14.5,143600.0
1991-06-18,BC,14.5,194300.0
1991-06-19,BC,14.5,142400.0
1991-06-20,BC,14.625,138900.0
1991-06-21,BC,14.375,268000.0
1991-06-24,BC,13.875,115000.0
1991-06-25,BC,13.75,205200.0
1991-06-26,BC,14.125,234900.0
1991-06-27,BC,14.75,170600.0
1991-06-28,BC,14.125,258600.0
1991-07-01,BC,13.75,196500.0
1991-07-02,BC,14.125,112900.0
1991-07-03,BC,13.875,297300.0
1991-07-05,BC,13.75,34800.0
1991-07-08,BC,14.0,120100.0
1991-07-09,BC,14.0,81000.0
1991-07-10,BC,13.875,137400.0
1991-07-11,BC,14.0,126700.0
1991-07-12,BC,14.125,255100.0
