ds,symbol,close,volume
2020-10-28,BDSX,12.81,2616999
2020-10-29,BDSX,12.85,1130792
2020-10-30,BDSX,12.43,405247
2020-11-02,BDSX,13.57,288764
2020-11-03,BDSX,13.83,247626
2020-11-04,BDSX,13.33,410349
2020-11-05,BDSX,12.46,91098
2020-11-06,BDSX,12.43,108616
2020-11-09,BDSX,10.89,218282
2020-11-10,BDSX,11.29,169391
2020-11-11,BDSX,11.75,212065
2020-11-12,BDSX,11.27,204709
2020-11-13,BDSX,11.32,194518
2020-11-16,BDSX,13.87,368425
2020-11-17,BDSX,16.35,983562
2020-11-18,BDSX,15.64,558168
2020-11-19,BDSX,16.06,280460
2020-11-20,BDSX,17.09,223530
2020-11-23,BDSX,17.65,208499
2020-11-24,BDSX,17.82,203499
2020-11-25,BDSX,17.97,158056
2020-11-27,BDSX,16.94,83351
2020-11-30,BDSX,17.94,166035
2020-12-01,BDSX,15.7,151893
2020-12-02,BDSX,16.44,56623
2020-12-03,BDSX,16.37,49687
2020-12-04,BDSX,15.44,85838
2020-12-07,BDSX,14.41,127315
2020-12-08,BDSX,15.83,49911
2020-12-09,BDSX,15.32,38759
2020-12-10,BDSX,15.69,94831
2020-12-11,BDSX,15.74,106512
2020-12-14,BDSX,15.9,91100
2020-12-15,BDSX,16.42,71129
2020-12-16,BDSX,16.67,128748
2020-12-17,BDSX,17.26,214662
2020-12-18,BDSX,16.11,422845
2020-12-21,BDSX,17.07,176344
2020-12-22,BDSX,18.24,309835
2020-12-23,BDSX,19.61,240761
2020-12-24,BDSX,17.97,67552
2020-12-28,BDSX,18.88,91675
2020-12-29,BDSX,18.86,106988
2020-12-30,BDSX,18.87,127468
2020-12-31,BDSX,20.16,97619
2021-01-04,BDSX,19.8,153413
2021-01-05,BDSX,18.28,95655
2021-01-06,BDSX,19.37,69096
2021-01-07,BDSX,19.16,66099
2021-01-08,BDSX,21.19,117223
2021-01-11,BDSX,22.55,101017
2021-01-12,BDSX,22.31,103415
2021-01-13,BDSX,23.78,95455
2021-01-14,BDSX,25.99,64767
2021-01-15,BDSX,28.0,259527
2021-01-19,BDSX,28.56,256193
2021-01-20,BDSX,31.21,121505
2021-01-21,BDSX,29.05,175102
2021-01-22,BDSX,27.59,200524
2021-01-25,BDSX,27.17,144015
2021-01-26,BDSX,26.66,73934
2021-01-27,BDSX,21.96,178087
2021-01-28,BDSX,24.75,143702
2021-01-29,BDSX,24.18,60332
2021-02-01,BDSX,24.28,80708
2021-02-02,BDSX,24.14,73207
