ds,symbol,close,volume
2005-06-24,BFIN,13.6,7429543.0
2005-06-27,BFIN,13.4,504067.0
2005-06-28,BFIN,13.4,329545.0
2005-06-29,BFIN,13.37,451264.0
2005-06-30,BFIN,13.33,826672.0
2005-07-01,BFIN,13.4,363753.0
2005-07-05,BFIN,13.3,222678.0
2005-07-06,BFIN,13.332,261769.0
2005-07-07,BFIN,13.23,660985.0
2005-07-08,BFIN,13.27,366628.0
2005-07-11,BFIN,13.3,311482.0
2005-07-12,BFIN,13.32,274069.0
2005-07-13,BFIN,13.4,309836.0
2005-07-14,BFIN,13.38,211235.0
2005-07-15,BFIN,13.27,217325.0
2005-07-18,BFIN,13.37,155508.0
2005-07-19,BFIN,13.46,170718.0
2005-07-20,BFIN,13.43,140143.0
2005-07-21,BFIN,13.43,119564.0
2005-07-22,BFIN,13.6,474810.0
2005-07-25,BFIN,13.8,266684.0
2005-07-26,BFIN,13.9,206875.0
2005-07-27,BFIN,13.98,108711.0
2005-07-28,BFIN,14.05,229537.0
2005-07-29,BFIN,14.2,350101.0
2005-08-01,BFIN,14.17,79733.0
2005-08-02,BFIN,14.18,61733.0
2005-08-03,BFIN,14.45,149628.0
2005-08-04,BFIN,14.47,59906.0
2005-08-05,BFIN,14.4,99958.0
2005-08-08,BFIN,14.38,155736.0
2005-08-09,BFIN,14.45,125038.0
2005-08-10,BFIN,14.4,139560.0
2005-08-11,BFIN,14.4,71001.0
2005-08-12,BFIN,14.44,120709.0
2005-08-15,BFIN,14.5,38823.0
2005-08-16,BFIN,14.2609,62049.0
2005-08-17,BFIN,14.4,71600.0
2005-08-18,BFIN,14.39,46214.0
2005-08-19,BFIN,14.4,42694.0
2005-08-22,BFIN,14.31,18835.0
2005-08-23,BFIN,14.38,92906.0
2005-08-24,BFIN,14.32,43447.0
2005-08-25,BFIN,14.36,46810.0
2005-08-26,BFIN,14.29,240601.0
2005-08-29,BFIN,14.25,27969.0
2005-08-30,BFIN,14.25,29774.0
2005-08-31,BFIN,14.25,37505.0
2005-09-01,BFIN,14.26,111030.0
2005-09-02,BFIN,14.25,15549.0
2005-09-06,BFIN,14.32,57569.0
2005-09-07,BFIN,14.34,80705.0
2005-09-08,BFIN,14.33,47400.0
2005-09-09,BFIN,14.38,27530.0
2005-09-12,BFIN,14.45,27467.0
2005-09-13,BFIN,14.47,26415.0
2005-09-14,BFIN,14.45,35266.0
2005-09-15,BFIN,14.45,35000.0
2005-09-16,BFIN,14.7,159434.0
2005-09-19,BFIN,14.9,92694.0
2005-09-20,BFIN,14.88,95762.0
2005-09-21,BFIN,14.51,72423.0
2005-09-22,BFIN,14.54,118220.0
2005-09-23,BFIN,14.64,95314.0
2005-09-26,BFIN,14.65,84035.0
2005-09-27,BFIN,14.65,111948.0
2005-09-28,BFIN,14.65,121893.0
2005-09-29,BFIN,14.65,83530.0
2005-09-30,BFIN,14.2,1551711.0
2005-10-03,BFIN,14.28,192729.0
2005-10-04,BFIN,14.23,181012.0
2005-10-05,BFIN,14.19,216028.0
2005-10-06,BFIN,13.88,194501.0
2005-10-07,BFIN,13.79,59926.0
2005-10-10,BFIN,13.72,30120.0
2005-10-11,BFIN,13.6,69091.0
2005-10-12,BFIN,13.24,268877.0
2005-10-13,BFIN,13.51,186691.0
2005-10-14,BFIN,13.65,82856.0
2005-10-17,BFIN,13.45,80835.0
2005-10-18,BFIN,13.35,44387.0
2005-10-19,BFIN,13.73,163835.0
2005-10-20,BFIN,13.6,81191.0
2005-10-21,BFIN,13.72,38285.0
2005-10-24,BFIN,13.9,31274.0
2005-10-25,BFIN,13.95,78377.0
2005-10-26,BFIN,13.75,30146.0
2005-10-27,BFIN,13.6,30392.0
2005-10-28,BFIN,13.73,54527.0
2005-10-31,BFIN,13.98,44652.0
2005-11-01,BFIN,14.07,86876.0
2005-11-02,BFIN,14.32,60323.0
2005-11-03,BFIN,14.4,39147.0
2005-11-04,BFIN,14.25,29845.0
2005-11-07,BFIN,14.4,9422.0
2005-11-08,BFIN,14.25,18953.0
2005-11-09,BFIN,14.48,42377.0
2005-11-10,BFIN,14.5,30121.0
2005-11-11,BFIN,14.5,46598.0
2005-11-14,BFIN,14.3,12692.0
2005-11-15,BFIN,14.25,28020.0
