ds,symbol,close,volume
2021-02-26,BHIL,10.56,137800
2021-03-01,BHIL,11.13,220300
2021-03-02,BHIL,10.82,249500
2021-03-03,BHIL,10.55,265300
2021-03-04,BHIL,10.21,282100
2021-03-05,BHIL,10.34,325400
2021-03-08,BHIL,10.2,132000
2021-03-09,BHIL,10.21,130300
2021-03-10,BHIL,10.18,370300
2021-03-11,BHIL,10.25,174200
2021-03-12,BHIL,10.35,56600
2021-03-15,BHIL,10.36,110900
2021-03-16,BHIL,10.31,96100
2021-03-17,BHIL,10.31,50800
2021-03-18,BHIL,10.41,128500
2021-03-19,BHIL,10.47,38900
2021-03-22,BHIL,10.5,175600
2021-03-23,BHIL,10.06,225000
2021-03-24,BHIL,10.0,251000
2021-03-25,BHIL,9.9,305100
2021-03-26,BHIL,10.02,197400
2021-03-29,BHIL,10.1,263800
2021-03-30,BHIL,10.04,225800
2021-03-31,BHIL,10.11,259800
2021-04-01,BHIL,10.03,104600
2021-04-05,BHIL,10.05,91800
2021-04-06,BHIL,10.1,132400
2021-04-07,BHIL,10.16,36100
2021-04-08,BHIL,10.34,100400
2021-04-09,BHIL,10.43,52300
2021-04-12,BHIL,10.23,53200
2021-04-13,BHIL,10.29,48700
2021-04-14,BHIL,10.18,41700
2021-04-15,BHIL,10.2,28800
2021-04-16,BHIL,10.19,73300
2021-04-19,BHIL,10.08,58400
2021-04-20,BHIL,10.0,147600
2021-04-21,BHIL,10.04,58200
2021-04-22,BHIL,10.1,20400
2021-04-23,BHIL,10.12,23400
2021-04-26,BHIL,10.15,42200
2021-04-27,BHIL,10.17,20500
2021-04-28,BHIL,10.14,65200
2021-04-29,BHIL,10.3,28800
2021-04-30,BHIL,10.35,9200
2021-05-03,BHIL,10.35,54500
2021-05-04,BHIL,10.38,116100
2021-05-05,BHIL,10.26,63700
2021-05-06,BHIL,10.22,110900
2021-05-07,BHIL,10.2,129400
2021-05-10,BHIL,9.93,4129200
2021-05-11,BHIL,9.9,1100500
2021-05-12,BHIL,9.84,3097600
2021-05-13,BHIL,9.87,212200
2021-05-14,BHIL,9.87,568900
2021-05-17,BHIL,9.87,511800
2021-05-18,BHIL,9.85,586400
2021-05-19,BHIL,9.87,1799200
2021-05-20,BHIL,9.87,2431400
2021-05-21,BHIL,9.88,167200
2021-05-24,BHIL,9.87,113500
2021-05-25,BHIL,9.88,191200
2021-05-26,BHIL,9.88,171400
2021-05-27,BHIL,9.87,85400
2021-05-28,BHIL,9.87,45000
