ds,symbol,close,volume
2015-06-17,BLD,22.75,100
2015-06-18,BLD,22.75,100
2015-06-19,BLD,22.75,0
2015-06-22,BLD,22.75,200
2015-06-23,BLD,22.75,0
2015-06-24,BLD,25.9,300
2015-06-25,BLD,25.9,100
2015-06-26,BLD,25.9,100
2015-06-29,BLD,26.0,2800
2015-06-30,BLD,29.0,5558800
2015-07-01,BLD,27.0,5140374
2015-07-02,BLD,27.81,1957848
2015-07-06,BLD,28.99,1298048
2015-07-07,BLD,28.14,1289553
2015-07-08,BLD,27.1,1620524
2015-07-09,BLD,26.95,2156018
2015-07-10,BLD,28.79,1642254
2015-07-13,BLD,29.57,1772283
2015-07-14,BLD,30.1,1225939
2015-07-15,BLD,29.19,1427315
2015-07-16,BLD,29.34,1721245
2015-07-17,BLD,31.11,1401999
2015-07-20,BLD,31.44,1514539
2015-07-21,BLD,31.13,1285010
2015-07-22,BLD,30.88,1007901
2015-07-23,BLD,30.61,456399
2015-07-24,BLD,30.33,435577
2015-07-27,BLD,30.23,462468
2015-07-28,BLD,30.0,934102
2015-07-29,BLD,29.3,539090
2015-07-30,BLD,29.09,642991
2015-07-31,BLD,28.76,691950
2015-08-03,BLD,29.25,697828
2015-08-04,BLD,28.83,501829
2015-08-05,BLD,28.7,753693
2015-08-06,BLD,28.78,543689
2015-08-07,BLD,28.5,265875
2015-08-10,BLD,28.97,731039
2015-08-11,BLD,29.77,905228
2015-08-12,BLD,29.62,288024
2015-08-13,BLD,30.06,664049
2015-08-14,BLD,30.35,308234
2015-08-17,BLD,31.88,558468
2015-08-18,BLD,32.32,974794
2015-08-19,BLD,32.57,569062
2015-08-20,BLD,32.71,346462
2015-08-21,BLD,31.98,757249
2015-08-24,BLD,30.63,343658
2015-08-25,BLD,30.35,749995
2015-08-26,BLD,30.64,275689
2015-08-27,BLD,30.27,587386
2015-08-28,BLD,31.51,362905
2015-08-31,BLD,31.72,349605
2015-09-01,BLD,31.98,428750
2015-09-02,BLD,33.05,667050
2015-09-03,BLD,33.32,397892
2015-09-04,BLD,33.43,356257
2015-09-08,BLD,34.02,505659
2015-09-09,BLD,34.17,374357
2015-09-10,BLD,34.34,477243
2015-09-11,BLD,34.83,323930
2015-09-14,BLD,35.41,805324
2015-09-15,BLD,34.25,666852
2015-09-16,BLD,34.92,534229
2015-09-17,BLD,35.65,623865
2015-09-18,BLD,34.75,4562352
2015-09-21,BLD,32.82,479270
2015-09-22,BLD,31.51,565782
2015-09-23,BLD,31.62,268344
2015-09-24,BLD,31.65,408676
2015-09-25,BLD,32.19,378464
2015-09-28,BLD,30.83,464983
2015-09-29,BLD,30.0,516118
2015-09-30,BLD,30.97,325027
2015-10-01,BLD,30.5,563905
2015-10-02,BLD,30.96,281076
2015-10-05,BLD,32.9,370854
2015-10-06,BLD,32.08,426173
2015-10-07,BLD,32.89,409164
2015-10-08,BLD,32.76,212800
2015-10-09,BLD,32.44,222401
2015-10-12,BLD,31.59,189170
2015-10-13,BLD,31.32,195052
2015-10-14,BLD,29.8,487499
2015-10-15,BLD,29.57,501912
2015-10-16,BLD,29.27,406888
2015-10-19,BLD,29.95,589614
2015-10-20,BLD,30.91,322370
2015-10-21,BLD,30.42,229157
2015-10-22,BLD,30.98,441696
2015-10-23,BLD,30.25,230452
2015-10-26,BLD,29.5,220803
2015-10-27,BLD,28.79,229722
2015-10-28,BLD,28.53,697669
2015-10-29,BLD,27.79,254831
2015-10-30,BLD,28.13,497741
2015-11-02,BLD,27.84,482773
2015-11-03,BLD,30.8,831253
2015-11-04,BLD,31.04,394212
