ds,symbol,close,volume
2004-07-22,BLKB,8.55,3802272.0
2004-07-23,BLKB,8.54,374156.0
2004-07-26,BLKB,8.75,217350.0
2004-07-27,BLKB,8.48,82041.0
2004-07-28,BLKB,8.56,129220.0
2004-07-29,BLKB,8.6,74778.0
2004-07-30,BLKB,9.0,117661.0
2004-08-02,BLKB,9.59,99813.0
2004-08-03,BLKB,9.96,277280.0
2004-08-04,BLKB,9.55,508892.0
2004-08-05,BLKB,8.65,131810.0
2004-08-06,BLKB,9.1,81368.0
2004-08-09,BLKB,9.4,19997.0
2004-08-10,BLKB,9.24,8900.0
2004-08-11,BLKB,8.92,21272.0
2004-08-12,BLKB,9.0,19205.0
2004-08-13,BLKB,9.15,19300.0
2004-08-16,BLKB,9.04,39530.0
2004-08-17,BLKB,9.34,3480.0
2004-08-18,BLKB,9.25,61471.0
2004-08-19,BLKB,9.6,72753.0
2004-08-20,BLKB,9.23,42870.0
2004-08-23,BLKB,8.85,105581.0
2004-08-24,BLKB,9.0,85600.0
2004-08-25,BLKB,9.15,85191.0
2004-08-26,BLKB,9.85,80183.0
2004-08-27,BLKB,10.33,62604.0
2004-08-30,BLKB,10.26,27898.0
2004-08-31,BLKB,10.6,376453.0
2004-09-01,BLKB,11.0,244630.0
2004-09-02,BLKB,11.01,212632.0
2004-09-03,BLKB,11.0,35071.0
2004-09-07,BLKB,11.85,84326.0
2004-09-08,BLKB,11.58,81712.0
2004-09-09,BLKB,11.8,69170.0
2004-09-10,BLKB,12.069,340566.0
2004-09-13,BLKB,12.25,224383.0
2004-09-14,BLKB,11.84,115495.0
2004-09-15,BLKB,11.67,52325.0
2004-09-16,BLKB,11.01,129427.0
2004-09-17,BLKB,11.13,91400.0
2004-09-20,BLKB,10.95,69260.0
2004-09-21,BLKB,11.0,47870.0
2004-09-22,BLKB,11.04,71383.0
2004-09-23,BLKB,10.99,45478.0
2004-09-24,BLKB,10.25,60038.0
2004-09-27,BLKB,10.59,82840.0
2004-09-28,BLKB,10.33,84188.0
2004-09-29,BLKB,10.28,63038.0
2004-09-30,BLKB,9.8,423320.0
2004-10-01,BLKB,10.24,136790.0
2004-10-04,BLKB,10.22,69497.0
2004-10-05,BLKB,10.67,42352.0
2004-10-06,BLKB,10.79,30143.0
2004-10-07,BLKB,10.46,46900.0
2004-10-08,BLKB,10.55,57474.0
2004-10-11,BLKB,11.31,85976.0
2004-10-12,BLKB,10.69,63855.0
2004-10-13,BLKB,10.73,15489.0
2004-10-14,BLKB,10.2,32923.0
2004-10-15,BLKB,10.3,11140.0
2004-10-18,BLKB,10.46,18788.0
2004-10-19,BLKB,10.8,45514.0
2004-10-20,BLKB,11.19,269607.0
2004-10-21,BLKB,11.4,24608.0
2004-10-22,BLKB,11.09,69256.0
2004-10-25,BLKB,11.31,16546.0
2004-10-26,BLKB,11.5,14405.0
2004-10-27,BLKB,11.78,29642.0
2004-10-28,BLKB,12.4,152231.0
2004-10-29,BLKB,12.44,100285.0
2004-11-01,BLKB,11.64,74856.0
2004-11-02,BLKB,11.661,17895.0
2004-11-03,BLKB,12.1,38046.0
2004-11-04,BLKB,12.48,105499.0
2004-11-05,BLKB,12.78,66513.0
2004-11-08,BLKB,13.0,102127.0
2004-11-09,BLKB,13.06,113362.0
2004-11-10,BLKB,13.02,107960.0
2004-11-11,BLKB,14.41,143992.0
2004-11-12,BLKB,14.05,339106.0
2004-11-15,BLKB,14.35,279050.0
2004-11-16,BLKB,13.57,80557.0
2004-11-17,BLKB,13.6,39267.0
2004-11-18,BLKB,13.7,162929.0
2004-11-19,BLKB,13.56,94544.0
2004-11-22,BLKB,13.33,115381.0
2004-11-23,BLKB,12.68,90444.0
2004-11-24,BLKB,12.65,57157.0
2004-11-26,BLKB,12.6,36524.0
2004-11-29,BLKB,12.35,159980.0
2004-11-30,BLKB,12.5,104341.0
2004-12-01,BLKB,12.15,71363.0
2004-12-02,BLKB,13.36,83096.0
2004-12-03,BLKB,13.26,59138.0
2004-12-06,BLKB,13.12,51626.0
2004-12-07,BLKB,12.75,61317.0
2004-12-08,BLKB,12.8,30267.0
2004-12-09,BLKB,12.72,46252.0
2004-12-10,BLKB,13.05,33594.0
2004-12-13,BLKB,13.0,62335.0
2004-12-14,BLKB,12.97,23139.0
2004-12-15,BLKB,12.87,38449.0
2004-12-16,BLKB,12.96,36917.0
2004-12-17,BLKB,13.03,177822.0
2004-12-20,BLKB,13.85,126604.0
2004-12-21,BLKB,13.51,180095.0
2004-12-22,BLKB,13.75,112938.0
2004-12-23,BLKB,13.75,12991.0
2004-12-27,BLKB,13.74,47834.0
2004-12-28,BLKB,14.68,337879.0
2004-12-29,BLKB,14.68,146669.0
2004-12-30,BLKB,14.27,86975.0
2004-12-31,BLKB,14.64,90548.0
2005-01-03,BLKB,13.93,140526.0
2005-01-04,BLKB,14.0,94097.0
2005-01-05,BLKB,14.0,152082.0
2005-01-06,BLKB,13.57,171552.0
2005-01-07,BLKB,13.58,131238.0
2005-01-10,BLKB,13.89,158928.0
2005-01-11,BLKB,14.01,126096.0
2005-01-12,BLKB,13.97,88229.0
2005-01-13,BLKB,14.26,262550.0
2005-01-14,BLKB,13.75,128123.0
2005-01-18,BLKB,13.38,342048.0
2005-01-19,BLKB,13.12,619131.0
2005-01-20,BLKB,13.55,328977.0
2005-01-21,BLKB,13.56,103157.0
2005-01-24,BLKB,13.21,133587.0
2005-01-25,BLKB,13.28,205775.0
2005-01-26,BLKB,13.12,116792.0
2005-01-27,BLKB,12.9,122257.0
2005-01-28,BLKB,12.9,143393.0
2005-01-31,BLKB,13.33,127248.0
2005-02-01,BLKB,13.44,83366.0
2005-02-02,BLKB,13.03,330201.0
2005-02-03,BLKB,12.98,66738.0
2005-02-04,BLKB,13.06,85527.0
2005-02-07,BLKB,12.47,104998.0
2005-02-08,BLKB,12.4,70948.0
2005-02-09,BLKB,11.99,198328.0
2005-02-10,BLKB,11.85,191347.0
2005-02-11,BLKB,11.87,104119.0
2005-02-14,BLKB,11.98,190542.0
2005-02-15,BLKB,12.09,122605.0
2005-02-16,BLKB,11.94,41155.0
2005-02-17,BLKB,12.16,240887.0
2005-02-18,BLKB,11.95,184565.0
2005-02-22,BLKB,11.85,139824.0
2005-02-23,BLKB,11.84,81652.0
2005-02-24,BLKB,11.8,81499.0
2005-02-25,BLKB,11.8,98598.0
2005-02-28,BLKB,11.57,191443.0
2005-03-01,BLKB,11.15,119473.0
2005-03-02,BLKB,11.18,149521.0
2005-03-03,BLKB,11.01,66970.0
2005-03-04,BLKB,11.26,151673.0
2005-03-07,BLKB,11.64,116656.0
2005-03-08,BLKB,11.79,102600.0
2005-03-09,BLKB,11.83,64007.0
2005-03-10,BLKB,12.0,127962.0
2005-03-11,BLKB,12.01,92822.0
2005-03-14,BLKB,11.98,96990.0
2005-03-15,BLKB,11.96,166843.0
2005-03-16,BLKB,11.67,52251.0
2005-03-17,BLKB,11.77,31767.0
2005-03-18,BLKB,12.22,176117.0
2005-03-21,BLKB,12.2,52217.0
2005-03-22,BLKB,12.1,31969.0
2005-03-23,BLKB,12.05,26039.0
2005-03-24,BLKB,12.26,106282.0
2005-03-28,BLKB,12.25,85803.0
2005-03-29,BLKB,12.27,57846.0
2005-03-30,BLKB,12.52,117780.0
2005-03-31,BLKB,12.6,115496.0
2005-04-01,BLKB,12.57,137091.0
2005-04-04,BLKB,12.85,74557.0
2005-04-05,BLKB,12.94,118205.0
2005-04-06,BLKB,12.3,97906.0
2005-04-07,BLKB,12.21,72413.0
2005-04-08,BLKB,12.44,54950.0
2005-04-11,BLKB,12.84,35127.0
2005-04-12,BLKB,13.0,70322.0
2005-04-13,BLKB,12.33,57285.0
2005-04-14,BLKB,12.47,95367.0
2005-04-15,BLKB,12.59,43998.0
2005-04-18,BLKB,12.98,53521.0
2005-04-19,BLKB,12.86,129954.0
2005-04-20,BLKB,12.48,112566.0
2005-04-21,BLKB,12.83,31686.0
2005-04-22,BLKB,11.87,55913.0
2005-04-25,BLKB,12.16,107720.0
2005-04-26,BLKB,12.05,41453.0
2005-04-27,BLKB,12.07,75632.0
2005-04-28,BLKB,12.87,82203.0
2005-04-29,BLKB,13.05,109922.0
2005-05-02,BLKB,12.89,217738.0
2005-05-03,BLKB,13.0,288001.0
2005-05-04,BLKB,13.01,139246.0
2005-05-05,BLKB,13.01,85142.0
2005-05-06,BLKB,13.01,81647.0
2005-05-09,BLKB,13.01,80903.0
2005-05-10,BLKB,13.01,114879.0
2005-05-11,BLKB,12.64,50948.0
2005-05-12,BLKB,12.91,63033.0
2005-05-13,BLKB,12.98,41136.0
2005-05-16,BLKB,13.01,69762.0
2005-05-17,BLKB,12.96,41815.0
2005-05-18,BLKB,13.15,97734.0
2005-05-19,BLKB,13.32,154753.0
2005-05-20,BLKB,13.4,33398.0
2005-05-23,BLKB,13.42,70886.0
2005-05-24,BLKB,13.47,230576.0
2005-05-25,BLKB,13.5,115790.0
2005-05-26,BLKB,14.05,107780.0
2005-05-27,BLKB,14.05,33990.0
2005-05-31,BLKB,13.76,101961.0
2005-06-01,BLKB,13.06,480768.0
2005-06-02,BLKB,12.8,245113.0
2005-06-03,BLKB,12.7,87728.0
2005-06-06,BLKB,12.51,198864.0
2005-06-07,BLKB,12.36,125051.0
2005-06-08,BLKB,11.9,153536.0
2005-06-09,BLKB,11.99,148923.0
2005-06-10,BLKB,12.0,172277.0
2005-06-13,BLKB,12.12,165111.0
2005-06-14,BLKB,11.99,65806.0
2005-06-15,BLKB,12.0,90282.0
2005-06-16,BLKB,11.84,57782.0
2005-06-17,BLKB,11.99,64665.0
2005-06-20,BLKB,11.96,134954.0
2005-06-21,BLKB,12.0,262405.0
2005-06-22,BLKB,11.96,132482.0
2005-06-23,BLKB,11.98,65206.0
2005-06-24,BLKB,12.1,267620.0
2005-06-27,BLKB,12.16,178373.0
2005-06-28,BLKB,13.0,217174.0
2005-06-29,BLKB,13.5,68260.0
2005-06-30,BLKB,13.5,380710.0
2005-07-01,BLKB,13.55,261280.0
2005-07-05,BLKB,13.84,280715.0
2005-07-06,BLKB,13.85,141618.0
2005-07-07,BLKB,13.86,186646.0
2005-07-08,BLKB,13.82,131376.0
2005-07-11,BLKB,13.9,108262.0
2005-07-12,BLKB,13.86,105732.0
2005-07-13,BLKB,13.92,508378.0
2005-07-14,BLKB,13.89,194577.0
2005-07-15,BLKB,13.86,77034.0
2005-07-18,BLKB,13.65,66723.0
2005-07-19,BLKB,13.6,114045.0
