ds,symbol,close,volume
1999-07-26,BMRN,13.0,313100.0
1999-07-27,BMRN,14.125,130000.0
1999-07-28,BMRN,13.5,72500.0
1999-07-29,BMRN,13.125,128400.0
1999-07-30,BMRN,12.0,123500.0
1999-08-02,BMRN,11.625,114400.0
1999-08-03,BMRN,12.0,24300.0
1999-08-04,BMRN,13.0,106200.0
1999-08-05,BMRN,13.625,118000.0
1999-08-06,BMRN,14.0,122800.0
1999-08-09,BMRN,15.125,132500.0
1999-08-10,BMRN,14.4375,84100.0
1999-08-11,BMRN,14.8125,122600.0
1999-08-12,BMRN,14.125,9700.0
1999-08-13,BMRN,14.25,28900.0
1999-08-16,BMRN,14.0625,900.0
1999-08-17,BMRN,14.0,2900.0
1999-08-18,BMRN,14.0,1700.0
1999-08-19,BMRN,15.125,53200.0
1999-08-20,BMRN,15.75,70300.0
1999-08-23,BMRN,15.5,49500.0
1999-08-24,BMRN,15.25,52200.0
1999-08-25,BMRN,16.0,43700.0
1999-08-26,BMRN,15.5,5100.0
1999-08-27,BMRN,15.8125,32000.0
1999-08-30,BMRN,15.875,6000.0
1999-08-31,BMRN,15.5,5800.0
1999-09-01,BMRN,15.75,300.0
1999-09-02,BMRN,15.25,6200.0
1999-09-03,BMRN,15.625,900.0
1999-09-07,BMRN,15.0,36900.0
1999-09-08,BMRN,15.125,24900.0
1999-09-09,BMRN,15.375,3700.0
1999-09-10,BMRN,15.375,11300.0
1999-09-13,BMRN,15.0,8100.0
1999-09-14,BMRN,15.5,27600.0
1999-09-15,BMRN,15.25,2700.0
1999-09-16,BMRN,15.5625,3200.0
1999-09-17,BMRN,16.0,18300.0
1999-09-20,BMRN,15.75,1400.0
1999-09-21,BMRN,16.4375,61100.0
1999-09-22,BMRN,17.0,54800.0
1999-09-23,BMRN,17.6875,183000.0
1999-09-24,BMRN,17.5,180000.0
1999-09-27,BMRN,18.75,54200.0
1999-09-28,BMRN,18.5,43700.0
1999-09-29,BMRN,17.8125,15400.0
1999-09-30,BMRN,17.375,220100.0
1999-10-01,BMRN,17.0,90200.0
1999-10-04,BMRN,15.75,86800.0
1999-10-05,BMRN,15.5,11500.0
1999-10-06,BMRN,16.5,74100.0
1999-10-07,BMRN,15.875,11900.0
1999-10-08,BMRN,16.5,21300.0
1999-10-11,BMRN,16.25,26800.0
1999-10-12,BMRN,16.25,45000.0
1999-10-13,BMRN,16.375,37400.0
1999-10-14,BMRN,16.5,41000.0
1999-10-15,BMRN,16.0625,38400.0
1999-10-18,BMRN,16.0625,12000.0
1999-10-19,BMRN,15.75,31100.0
1999-10-20,BMRN,15.625,56900.0
1999-10-21,BMRN,15.75,34900.0
1999-10-22,BMRN,15.0,61400.0
1999-10-25,BMRN,15.125,53400.0
1999-10-26,BMRN,15.0625,20800.0
1999-10-27,BMRN,15.25,4300.0
1999-10-28,BMRN,15.0,87800.0
1999-10-29,BMRN,15.375,56400.0
1999-11-01,BMRN,15.375,12500.0
1999-11-02,BMRN,15.5,85300.0
1999-11-03,BMRN,15.375,4900.0
1999-11-04,BMRN,15.1875,48200.0
1999-11-05,BMRN,15.375,18300.0
1999-11-08,BMRN,14.78125,7300.0
1999-11-09,BMRN,14.625,38300.0
1999-11-10,BMRN,14.625,70400.0
1999-11-11,BMRN,14.0625,11400.0
1999-11-12,BMRN,13.0625,92500.0
1999-11-15,BMRN,12.875,182600.0
1999-11-16,BMRN,13.0,175500.0
1999-11-17,BMRN,12.875,21100.0
1999-11-18,BMRN,12.1875,85400.0
1999-11-19,BMRN,11.875,19700.0
1999-11-22,BMRN,12.625,14900.0
1999-11-23,BMRN,14.0,20300.0
1999-11-24,BMRN,14.0,7200.0
1999-11-26,BMRN,14.0,1700.0
1999-11-29,BMRN,13.9375,1200.0
1999-11-30,BMRN,13.375,1100.0
1999-12-01,BMRN,13.0625,2800.0
1999-12-02,BMRN,14.0,8400.0
1999-12-03,BMRN,14.0,49000.0
1999-12-06,BMRN,13.5,65800.0
1999-12-07,BMRN,13.5,3600.0
1999-12-08,BMRN,13.5,4000.0
1999-12-09,BMRN,12.75,37600.0
1999-12-10,BMRN,12.625,27100.0
1999-12-13,BMRN,13.375,42200.0
1999-12-14,BMRN,13.5,37000.0
1999-12-15,BMRN,13.5,13900.0
1999-12-16,BMRN,13.5,4300.0
1999-12-17,BMRN,13.0,14200.0
1999-12-20,BMRN,13.0,6500.0
1999-12-21,BMRN,12.875,17100.0
1999-12-22,BMRN,12.625,5800.0
1999-12-23,BMRN,12.625,38900.0
1999-12-27,BMRN,12.625,46400.0
1999-12-28,BMRN,12.625,4900.0
1999-12-29,BMRN,11.625,44000.0
1999-12-30,BMRN,12.125,51900.0
1999-12-31,BMRN,11.75,4400.0
2000-01-03,BMRN,12.75,6300.0
2000-01-04,BMRN,13.5625,3200.0
2000-01-05,BMRN,12.875,4700.0
2000-01-06,BMRN,12.75,12200.0
2000-01-07,BMRN,13.375,8700.0
2000-01-10,BMRN,13.6875,1800.0
2000-01-11,BMRN,14.0625,14200.0
2000-01-12,BMRN,14.25,25700.0
2000-01-13,BMRN,15.25,7500.0
2000-01-14,BMRN,16.75,48100.0
2000-01-18,BMRN,16.4375,85200.0
2000-01-19,BMRN,15.5,125600.0
2000-01-20,BMRN,15.0625,62400.0
2000-01-21,BMRN,15.0,27200.0
2000-01-24,BMRN,14.75,23800.0
2000-01-25,BMRN,14.875,18800.0
2000-01-26,BMRN,14.875,2000.0
2000-01-27,BMRN,14.75,6600.0
2000-01-28,BMRN,15.5,16600.0
2000-01-31,BMRN,14.5625,19400.0
2000-02-01,BMRN,14.875,20300.0
2000-02-02,BMRN,14.375,7300.0
2000-02-03,BMRN,15.0,45400.0
2000-02-04,BMRN,14.875,161500.0
2000-02-07,BMRN,15.5,282700.0
2000-02-08,BMRN,17.0,215700.0
2000-02-09,BMRN,17.5,201400.0
2000-02-10,BMRN,17.0,153800.0
2000-02-11,BMRN,18.375,95700.0
2000-02-14,BMRN,19.0,233200.0
2000-02-15,BMRN,19.4375,228600.0
2000-02-16,BMRN,19.375,142100.0
2000-02-17,BMRN,19.125,90100.0
2000-02-18,BMRN,19.0,59600.0
2000-02-22,BMRN,20.0625,160000.0
2000-02-23,BMRN,21.0,247800.0
2000-02-24,BMRN,22.125,195500.0
2000-02-25,BMRN,24.125,78700.0
2000-02-28,BMRN,26.25,234400.0
2000-02-29,BMRN,31.25,314000.0
2000-03-01,BMRN,38.75,402700.0
2000-03-02,BMRN,33.0,363200.0
2000-03-03,BMRN,36.0,240400.0
2000-03-06,BMRN,36.1875,85200.0
2000-03-07,BMRN,36.5,99700.0
2000-03-08,BMRN,34.0,17000.0
2000-03-09,BMRN,31.6875,58600.0
2000-03-10,BMRN,27.75,429200.0
2000-03-13,BMRN,25.5,222600.0
2000-03-14,BMRN,22.875,275900.0
2000-03-15,BMRN,23.5,274000.0
2000-03-16,BMRN,24.625,254800.0
2000-03-17,BMRN,26.0,163000.0
2000-03-20,BMRN,35.0,154400.0
2000-03-21,BMRN,30.0,60000.0
2000-03-22,BMRN,32.0,64400.0
2000-03-23,BMRN,29.375,28500.0
2000-03-24,BMRN,26.5,33300.0
2000-03-27,BMRN,25.375,26000.0
2000-03-28,BMRN,29.125,206100.0
2000-03-29,BMRN,31.0,290900.0
2000-03-30,BMRN,27.125,220000.0
2000-03-31,BMRN,35.5,618100.0
2000-04-03,BMRN,27.75,111500.0
2000-04-04,BMRN,27.0,21500.0
2000-04-05,BMRN,25.5,63900.0
2000-04-06,BMRN,26.75,30100.0
2000-04-07,BMRN,27.0,46200.0
2000-04-10,BMRN,25.5,46400.0
2000-04-11,BMRN,24.0,74800.0
2000-04-12,BMRN,23.9375,33100.0
2000-04-13,BMRN,23.5,14500.0
2000-04-14,BMRN,19.0,33600.0
2000-04-17,BMRN,21.1875,58600.0
2000-04-18,BMRN,22.5,120400.0
2000-04-19,BMRN,22.125,10600.0
2000-04-20,BMRN,20.25,24400.0
2000-04-24,BMRN,21.0,1000.0
2000-04-25,BMRN,20.5,24200.0
2000-04-26,BMRN,20.8125,9400.0
2000-04-27,BMRN,20.0625,15100.0
2000-04-28,BMRN,17.8125,56900.0
2000-05-01,BMRN,19.0625,28500.0
2000-05-02,BMRN,20.0625,11100.0
2000-05-03,BMRN,18.75,55200.0
2000-05-04,BMRN,20.125,51600.0
2000-05-05,BMRN,20.75,149600.0
2000-05-08,BMRN,19.75,46100.0
2000-05-09,BMRN,22.0,66400.0
2000-05-10,BMRN,20.25,51700.0
2000-05-11,BMRN,20.0,53600.0
2000-05-12,BMRN,20.25,55400.0
2000-05-15,BMRN,21.5625,53700.0
2000-05-16,BMRN,21.0,6400.0
2000-05-17,BMRN,21.0,12300.0
2000-05-18,BMRN,20.5,5900.0
2000-05-19,BMRN,19.5,718700.0
2000-05-22,BMRN,19.125,30300.0
2000-05-23,BMRN,18.5625,2200.0
2000-05-24,BMRN,18.0,21200.0
2000-05-25,BMRN,17.625,76000.0
2000-05-26,BMRN,17.625,20100.0
2000-05-30,BMRN,17.4375,34600.0
2000-05-31,BMRN,16.75,44800.0
2000-06-01,BMRN,17.625,14800.0
2000-06-02,BMRN,18.125,147300.0
2000-06-05,BMRN,18.25,171300.0
2000-06-06,BMRN,18.25,20200.0
2000-06-07,BMRN,17.625,120100.0
2000-06-08,BMRN,18.4375,39300.0
2000-06-09,BMRN,17.75,63700.0
2000-06-12,BMRN,18.625,72800.0
2000-06-13,BMRN,18.3125,25300.0
2000-06-14,BMRN,18.5,14000.0
2000-06-15,BMRN,18.4375,17700.0
2000-06-16,BMRN,18.25,18700.0
2000-06-19,BMRN,18.0625,50100.0
2000-06-20,BMRN,18.0625,48200.0
2000-06-21,BMRN,18.375,40200.0
2000-06-22,BMRN,17.0,62200.0
2000-06-23,BMRN,18.0,30900.0
2000-06-26,BMRN,18.0625,38200.0
2000-06-27,BMRN,18.1875,129100.0
2000-06-28,BMRN,18.21875,60500.0
2000-06-29,BMRN,18.125,115700.0
2000-06-30,BMRN,17.0,446400.0
2000-07-03,BMRN,16.625,56100.0
2000-07-05,BMRN,18.9375,168200.0
2000-07-06,BMRN,18.6875,118700.0
2000-07-07,BMRN,19.0625,212200.0
2000-07-10,BMRN,18.9375,70200.0
2000-07-11,BMRN,19.234375,22700.0
2000-07-12,BMRN,19.75,24200.0
2000-07-13,BMRN,20.375,55500.0
2000-07-14,BMRN,21.75,108000.0
2000-07-17,BMRN,21.25,46400.0
2000-07-18,BMRN,20.9375,65300.0
2000-07-19,BMRN,20.5,52800.0
2000-07-20,BMRN,20.1875,32300.0
2000-07-21,BMRN,19.9375,31800.0
2000-07-24,BMRN,20.0,17300.0
2000-07-25,BMRN,20.625,28500.0
2000-07-26,BMRN,21.3125,152400.0
2000-07-27,BMRN,21.0,32200.0
2000-07-28,BMRN,18.75,38200.0
2000-07-31,BMRN,18.75,60300.0
2000-08-01,BMRN,19.0,24000.0
2000-08-02,BMRN,19.125,82900.0
2000-08-03,BMRN,18.625,53100.0
2000-08-04,BMRN,18.0,56000.0
2000-08-07,BMRN,17.1875,128800.0
2000-08-08,BMRN,16.375,53600.0
2000-08-09,BMRN,16.875,27700.0
2000-08-10,BMRN,17.0,26400.0
2000-08-11,BMRN,16.75,59800.0
2000-08-14,BMRN,17.25,82800.0
2000-08-15,BMRN,17.375,147800.0
2000-08-16,BMRN,18.125,114500.0
2000-08-17,BMRN,18.0,58300.0
2000-08-18,BMRN,18.0,53100.0
2000-08-21,BMRN,18.0,13900.0
2000-08-22,BMRN,17.5,38600.0
2000-08-23,BMRN,17.25,51200.0
2000-08-24,BMRN,17.0,11100.0
2000-08-25,BMRN,17.0,89300.0
2000-08-28,BMRN,16.75,11400.0
2000-08-29,BMRN,16.625,28600.0
2000-08-30,BMRN,16.9375,5800.0
2000-08-31,BMRN,16.875,39000.0
2000-09-01,BMRN,16.5625,8400.0
2000-09-05,BMRN,17.25,41200.0
2000-09-06,BMRN,17.0,19200.0
2000-09-07,BMRN,17.875,22600.0
