ds,symbol,close,volume
2019-10-10,BNTX,14.24,2805856
2019-10-11,BNTX,13.82,1364635
2019-10-14,BNTX,12.75,899099
2019-10-15,BNTX,12.92,484659
2019-10-16,BNTX,12.94,524161
2019-10-17,BNTX,13.0,412958
2019-10-18,BNTX,14.14,231937
2019-10-21,BNTX,16.28,289995
2019-10-22,BNTX,20.64,412547
2019-10-23,BNTX,17.64,476571
2019-10-24,BNTX,18.85,269633
2019-10-25,BNTX,17.57,231532
2019-10-28,BNTX,16.46,253022
2019-10-29,BNTX,17.0,136699
2019-10-30,BNTX,16.79,94077
2019-10-31,BNTX,16.82,63910
2019-11-01,BNTX,16.52,82872
2019-11-04,BNTX,18.97,206803
2019-11-05,BNTX,18.48,97885
2019-11-06,BNTX,17.38,88129
2019-11-07,BNTX,18.42,47690
2019-11-08,BNTX,18.87,78118
2019-11-11,BNTX,19.74,148120
2019-11-12,BNTX,17.64,228173
2019-11-13,BNTX,18.55,55678
2019-11-14,BNTX,19.0,61846
2019-11-15,BNTX,19.24,65602
2019-11-18,BNTX,19.7,120711
2019-11-19,BNTX,20.33,99211
2019-11-20,BNTX,20.35,160303
2019-11-21,BNTX,19.68,189951
2019-11-22,BNTX,21.33,89857
2019-11-25,BNTX,20.75,188854
2019-11-26,BNTX,21.36,89250
2019-11-27,BNTX,21.88,29681
2019-11-29,BNTX,21.98,57029
2019-12-02,BNTX,21.87,106541
2019-12-03,BNTX,20.77,88390
2019-12-04,BNTX,21.37,146542
2019-12-05,BNTX,22.49,129942
2019-12-06,BNTX,24.37,251498
2019-12-09,BNTX,29.0,398098
2019-12-10,BNTX,28.0,180161
2019-12-11,BNTX,31.3,205151
2019-12-12,BNTX,29.84,380939
2019-12-13,BNTX,32.45,232748
2019-12-16,BNTX,35.0,623057
2019-12-17,BNTX,36.91,261817
2019-12-18,BNTX,35.0,146532
2019-12-19,BNTX,29.34,250484
2019-12-20,BNTX,34.97,447947
2019-12-23,BNTX,34.73,103707
2019-12-24,BNTX,33.47,23858
2019-12-26,BNTX,33.2,53866
2019-12-27,BNTX,32.58,38143
2019-12-30,BNTX,34.91,33459
2019-12-31,BNTX,33.88,40045
2020-01-02,BNTX,38.5,139671
2020-01-03,BNTX,40.05,176045
2020-01-06,BNTX,44.58,333286
2020-01-07,BNTX,43.34,562383
2020-01-08,BNTX,45.1,193946
2020-01-09,BNTX,43.27,234919
2020-01-10,BNTX,39.68,369139
2020-01-13,BNTX,37.83,459593
2020-01-14,BNTX,34.53,266343
2020-01-15,BNTX,34.55,361022
2020-01-16,BNTX,32.25,692185
2020-01-17,BNTX,33.18,615260
2020-01-21,BNTX,36.54,264481
2020-01-22,BNTX,38.88,318222
2020-01-23,BNTX,36.7,192946
2020-01-24,BNTX,34.99,209687
2020-01-27,BNTX,33.2,119995
2020-01-28,BNTX,34.22,165171
2020-01-29,BNTX,31.8,184232
2020-01-30,BNTX,29.9,228589
2020-01-31,BNTX,29.21,138722
2020-02-03,BNTX,30.27,177606
2020-02-04,BNTX,32.92,137590
2020-02-05,BNTX,29.25,405004
2020-02-06,BNTX,32.93,387382
2020-02-07,BNTX,30.88,166670
2020-02-10,BNTX,32.12,121714
2020-02-11,BNTX,30.71,175348
2020-02-12,BNTX,29.56,157673
2020-02-13,BNTX,30.64,107065
2020-02-14,BNTX,30.75,128689
2020-02-18,BNTX,31.54,66237
2020-02-19,BNTX,32.25,253769
2020-02-20,BNTX,32.38,152158
2020-02-21,BNTX,32.35,158734
2020-02-24,BNTX,30.6,148391
2020-02-25,BNTX,33.44,201473
2020-02-26,BNTX,33.75,213280
2020-02-27,BNTX,33.88,112389
2020-02-28,BNTX,35.1,234414
2020-03-02,BNTX,36.6,185096
2020-03-03,BNTX,38.48,297978
