ds,symbol,close,volume
2014-10-30,BOOT,17.45,6884459.0
2014-10-31,BOOT,17.75,429281.0
2014-11-03,BOOT,17.56,112094.0
2014-11-04,BOOT,17.38,187944.0
2014-11-05,BOOT,17.04,362480.0
2014-11-06,BOOT,17.25,440537.0
2014-11-07,BOOT,17.22,56810.0
2014-11-10,BOOT,18.0,157918.0
2014-11-11,BOOT,18.78,125261.0
2014-11-12,BOOT,18.86,122362.0
2014-11-13,BOOT,19.26,99832.0
2014-11-14,BOOT,20.0,74060.0
2014-11-17,BOOT,20.19,98693.0
2014-11-18,BOOT,19.65,108776.0
2014-11-19,BOOT,19.74,111184.0
2014-11-20,BOOT,20.28,83686.0
2014-11-21,BOOT,20.0,148161.0
2014-11-24,BOOT,20.65,191408.0
2014-11-25,BOOT,21.37,175885.0
2014-11-26,BOOT,21.48,129302.0
2014-11-28,BOOT,21.6,69224.0
2014-12-01,BOOT,20.9,122691.0
2014-12-02,BOOT,20.98,123293.0
2014-12-03,BOOT,22.08,118293.0
2014-12-04,BOOT,22.17,94554.0
2014-12-05,BOOT,22.2,96589.0
2014-12-08,BOOT,22.09,128422.0
2014-12-09,BOOT,21.61,101870.0
2014-12-10,BOOT,21.92,97332.0
2014-12-11,BOOT,20.99,140955.0
2014-12-12,BOOT,20.88,75050.0
2014-12-15,BOOT,20.42,281389.0
2014-12-16,BOOT,19.79,197180.0
2014-12-17,BOOT,19.18,218550.0
2014-12-18,BOOT,18.8,229042.0
2014-12-19,BOOT,19.56,771712.0
2014-12-22,BOOT,19.2,190179.0
2014-12-23,BOOT,19.3,209512.0
2014-12-24,BOOT,18.7,213309.0
2014-12-26,BOOT,18.42,106499.0
2014-12-29,BOOT,18.35,264103.0
2014-12-30,BOOT,18.3,319438.0
2014-12-31,BOOT,18.2,399831.0
2015-01-02,BOOT,17.94,172253.0
2015-01-05,BOOT,18.0,179427.0
2015-01-06,BOOT,18.29,127201.0
2015-01-07,BOOT,18.54,166120.0
2015-01-08,BOOT,19.3,315666.0
2015-01-09,BOOT,19.71,254408.0
2015-01-12,BOOT,20.95,339680.0
2015-01-13,BOOT,20.48,110481.0
2015-01-14,BOOT,20.55,129828.0
2015-01-15,BOOT,19.34,125586.0
2015-01-16,BOOT,19.14,307662.0
2015-01-20,BOOT,18.2,102538.0
2015-01-21,BOOT,18.56,248736.0
2015-01-22,BOOT,19.01,173930.0
2015-01-23,BOOT,19.32,185701.0
2015-01-26,BOOT,19.3,119504.0
2015-01-27,BOOT,19.33,123286.0
2015-01-28,BOOT,19.33,109003.0
2015-01-29,BOOT,19.59,81313.0
2015-01-30,BOOT,20.18,340623.0
2015-02-02,BOOT,21.67,464346.0
2015-02-03,BOOT,21.38,195013.0
