ds,symbol,close,volume
2020-09-30,BQ,43.2,1077565
2020-10-01,BQ,38.64,172975
2020-10-02,BQ,37.26,77643
2020-10-05,BQ,37.2,178186
2020-10-06,BQ,36.78,57445
2020-10-07,BQ,36.78,37613
2020-10-08,BQ,37.56,74955
2020-10-09,BQ,40.86,154299
2020-10-12,BQ,40.5,39756
2020-10-13,BQ,36.84,41774
2020-10-14,BQ,39.78,63166
2020-10-15,BQ,37.8,49780
2020-10-16,BQ,37.02,23984
2020-10-19,BQ,36.78,75714
2020-10-20,BQ,36.06,30959
2020-10-21,BQ,35.16,48102
2020-10-22,BQ,35.04,21903
2020-10-23,BQ,34.14,22155
2020-10-26,BQ,31.86,31951
2020-10-27,BQ,30.6,25272
2020-10-28,BQ,26.94,48605
2020-10-29,BQ,26.4,35907
2020-10-30,BQ,25.68,35474
2020-11-02,BQ,27.6,24808
2020-11-03,BQ,27.6,9996
2020-11-04,BQ,24.84,51152
2020-11-05,BQ,25.896,11338
2020-11-06,BQ,26.1,11284
2020-11-09,BQ,27.84,26165
2020-11-10,BQ,32.34,187141
2020-11-11,BQ,32.64,58602
2020-11-12,BQ,31.92,30723
2020-11-13,BQ,32.76,37898
2020-11-16,BQ,31.5,88187
2020-11-17,BQ,30.84,18103
2020-11-18,BQ,30.78,17441
2020-11-19,BQ,29.4,39282
2020-11-20,BQ,29.76,13059
2020-11-23,BQ,28.68,27457
2020-11-24,BQ,29.76,24024
2020-11-25,BQ,36.48,208525
2020-11-27,BQ,39.66,174058
2020-11-30,BQ,39.72,82415
2020-12-01,BQ,39.78,66475
2020-12-02,BQ,39.78,53206
2020-12-03,BQ,36.36,59935
2020-12-04,BQ,34.8,50534
2020-12-07,BQ,35.4,31379
2020-12-08,BQ,32.58,52244
2020-12-09,BQ,29.52,83436
2020-12-10,BQ,29.76,32246
2020-12-11,BQ,28.56,23933
2020-12-14,BQ,28.08,26243
2020-12-15,BQ,28.74,25679
2020-12-16,BQ,28.74,30266
2020-12-17,BQ,42.0,705002
2020-12-18,BQ,38.1,259103
2020-12-21,BQ,36.12,126451
2020-12-22,BQ,37.44,104812
2020-12-23,BQ,43.26,376476
2020-12-24,BQ,38.94,90405
2020-12-28,BQ,38.58,70929
2020-12-29,BQ,33.66,105025
2020-12-30,BQ,30.48,118230
2020-12-31,BQ,31.26,111454
2021-01-04,BQ,31.68,53338
2021-01-05,BQ,34.32,59803
2021-01-06,BQ,33.6,53127
2021-01-07,BQ,35.04,31381
2021-01-08,BQ,33.54,53416
2021-01-11,BQ,32.76,32493
2021-01-12,BQ,37.74,142125
2021-01-13,BQ,37.26,52391
2021-01-14,BQ,40.44,85585
2021-01-15,BQ,39.42,59833
2021-01-19,BQ,41.82,314607
2021-01-20,BQ,54.06,495902
2021-01-21,BQ,57.12,1067373
2021-01-22,BQ,57.96,505141
2021-01-25,BQ,61.14,402077
2021-01-26,BQ,63.96,394549
2021-01-27,BQ,54.0,163804
2021-01-28,BQ,54.36,58898
2021-01-29,BQ,53.16,95627
2021-02-01,BQ,64.68,221323
2021-02-02,BQ,63.0,241394
2021-02-03,BQ,63.24,101549
2021-02-04,BQ,73.8,310008
2021-02-05,BQ,67.08,269275
2021-02-08,BQ,73.08,105506
2021-02-09,BQ,68.76,128308
2021-02-10,BQ,62.58,218334
2021-02-11,BQ,60.96,87284
2021-02-12,BQ,60.0,225458
2021-02-16,BQ,54.0,156843
2021-02-17,BQ,54.66,153893
2021-02-18,BQ,51.6,165174
2021-02-19,BQ,57.06,180394
2021-02-22,BQ,51.36,130427
2021-02-23,BQ,47.22,166668
2021-02-24,BQ,48.12,87526
2021-02-25,BQ,45.48,66508
2021-02-26,BQ,42.42,140176
2021-03-01,BQ,43.62,71319
2021-03-02,BQ,43.32,64470
2021-03-03,BQ,35.76,208123
2021-03-04,BQ,30.78,314796
2021-03-05,BQ,32.82,400119
2021-03-08,BQ,33.72,212631
2021-03-09,BQ,32.94,313941
2021-03-10,BQ,33.18,87533
2021-03-11,BQ,37.74,422323
2021-03-12,BQ,36.24,192544
2021-03-15,BQ,35.52,78256
2021-03-16,BQ,35.1,110997
2021-03-17,BQ,36.54,70810
2021-03-18,BQ,34.92,71237
2021-03-19,BQ,35.22,50507
2021-03-22,BQ,35.22,73876
2021-03-23,BQ,32.52,72250
2021-03-24,BQ,28.86,92097
2021-03-25,BQ,31.5,90468
2021-03-26,BQ,29.94,79862
2021-03-29,BQ,32.76,57034
2021-03-30,BQ,32.34,39748
2021-03-31,BQ,33.42,47509
2021-04-01,BQ,35.82,52901
2021-04-05,BQ,35.4,47661
2021-04-06,BQ,34.44,34035
2021-04-07,BQ,33.0,22998
2021-04-08,BQ,32.16,36724
2021-04-09,BQ,31.74,19861
2021-04-12,BQ,30.96,30498
2021-04-13,BQ,31.26,20796
2021-04-14,BQ,31.02,15609
2021-04-15,BQ,28.8,68255
2021-04-16,BQ,29.16,52432
2021-04-19,BQ,27.6,20475
2021-04-20,BQ,25.8,44644
2021-04-21,BQ,28.26,22245
2021-04-22,BQ,28.62,30684
2021-04-23,BQ,30.12,26568
2021-04-26,BQ,30.42,328513
2021-04-27,BQ,30.0,26946
2021-04-28,BQ,29.88,17111
2021-04-29,BQ,28.5,22594
2021-04-30,BQ,28.14,12561
2021-05-03,BQ,27.18,43207
2021-05-04,BQ,26.4,24001
2021-05-05,BQ,25.8,11979
2021-05-06,BQ,26.16,31787
2021-05-07,BQ,25.5,14092
2021-05-10,BQ,25.08,27161
2021-05-11,BQ,24.72,53552
2021-05-12,BQ,24.48,24946
2021-05-13,BQ,22.5,35081
2021-05-14,BQ,22.68,28846
2021-05-17,BQ,22.38,28774
2021-05-18,BQ,23.82,24529
2021-05-19,BQ,23.34,20670
2021-05-20,BQ,23.58,19947
2021-05-21,BQ,22.74,32986
2021-05-24,BQ,23.22,40170
2021-05-25,BQ,25.2,39725
2021-05-26,BQ,26.58,54375
2021-05-27,BQ,24.96,28715
2021-05-28,BQ,24.54,17510
2021-06-01,BQ,25.68,28240
2021-06-02,BQ,25.98,19546
2021-06-03,BQ,29.22,56668
2021-06-04,BQ,27.6,48784
2021-06-07,BQ,29.4,15414
2021-06-08,BQ,29.28,26761
2021-06-09,BQ,28.8,36245
2021-06-10,BQ,27.3,27798
2021-06-11,BQ,28.02,15191
2021-06-14,BQ,30.78,60739
2021-06-15,BQ,28.92,24161
2021-06-16,BQ,30.84,77046
2021-06-17,BQ,33.84,150442
2021-06-18,BQ,35.1,155027
2021-06-21,BQ,33.18,89287
2021-06-22,BQ,30.0,112353
2021-06-23,BQ,30.18,46618
2021-06-24,BQ,29.52,55804
2021-06-25,BQ,29.28,47603
2021-06-28,BQ,27.18,120879
2021-06-29,BQ,28.26,72608
2021-06-30,BQ,26.94,50890
2021-07-01,BQ,26.1,71886
2021-07-02,BQ,26.04,25932
2021-07-06,BQ,25.68,47821
2021-07-07,BQ,25.14,28969
2021-07-08,BQ,24.9,33111
2021-07-09,BQ,25.2,64268
2021-07-12,BQ,24.6,21338
2021-07-13,BQ,25.2,38079
2021-07-14,BQ,22.98,36872
2021-07-15,BQ,23.1,21424
2021-07-16,BQ,23.34,20817
2021-07-19,BQ,23.52,15823
2021-07-20,BQ,24.84,16172
2021-07-21,BQ,25.02,20254
2021-07-22,BQ,24.78,15230
2021-07-23,BQ,23.7,66653
2021-07-26,BQ,20.22,66972
2021-07-27,BQ,16.8,158213
2021-07-28,BQ,17.64,84222
2021-07-29,BQ,17.46,39884
2021-07-30,BQ,16.98,25184
2021-08-02,BQ,17.94,21967
2021-08-03,BQ,17.34,17244
2021-08-04,BQ,17.82,35705
2021-08-05,BQ,17.7,31153
2021-08-06,BQ,17.82,10664
2021-08-09,BQ,17.7,19458
2021-08-10,BQ,16.8,30638
2021-08-11,BQ,16.8,13911
2021-08-12,BQ,15.6,35795
2021-08-13,BQ,15.36,13931
2021-08-16,BQ,15.9,20403
2021-08-17,BQ,15.54,17743
2021-08-18,BQ,15.96,17854
2021-08-19,BQ,15.06,33391
2021-08-20,BQ,15.6,24525
2021-08-23,BQ,16.8,50915
2021-08-24,BQ,18.48,69274
2021-08-25,BQ,17.52,18879
2021-08-26,BQ,16.92,55790
2021-08-27,BQ,16.26,37643
2021-08-30,BQ,15.9,15231
2021-08-31,BQ,16.14,24433
2021-09-01,BQ,16.86,17671
2021-09-02,BQ,16.5,25139
2021-09-03,BQ,16.26,15404
2021-09-07,BQ,16.26,29937
2021-09-08,BQ,15.72,15205
2021-09-09,BQ,16.62,20749
2021-09-10,BQ,16.5,19800
2021-09-13,BQ,15.72,16458
2021-09-14,BQ,16.08,12229
2021-09-15,BQ,15.3,13122
2021-09-16,BQ,15.48,14678
2021-09-17,BQ,16.14,19313
2021-09-20,BQ,14.58,22111
2021-09-21,BQ,13.98,28395
2021-09-22,BQ,13.74,12369
2021-09-23,BQ,13.56,14062
2021-09-24,BQ,12.78,33318
2021-09-27,BQ,14.22,39004
2021-09-28,BQ,13.5,21672
2021-09-29,BQ,13.5,6086
2021-09-30,BQ,13.86,12562
2021-10-01,BQ,13.74,10509
2021-10-04,BQ,13.32,18529
2021-10-05,BQ,13.44,6913
2021-10-06,BQ,14.64,36593
2021-10-07,BQ,14.76,22542
2021-10-08,BQ,13.62,36622
2021-10-11,BQ,14.22,9788
2021-10-12,BQ,14.04,8270
2021-10-13,BQ,13.32,28685
2021-10-14,BQ,13.32,18751
2021-10-15,BQ,12.0,101733
2021-10-18,BQ,12.0,30976
2021-10-19,BQ,13.08,67637
2021-10-20,BQ,12.42,53317
2021-10-21,BQ,12.96,32927
2021-10-22,BQ,12.84,19861
2021-10-25,BQ,13.32,18480
2021-10-26,BQ,12.66,20225
2021-10-27,BQ,12.24,24357
2021-10-28,BQ,12.3,30149
2021-10-29,BQ,12.18,28577
2021-11-01,BQ,12.06,51798
2021-11-02,BQ,11.88,28512
2021-11-03,BQ,11.7,16229
2021-11-04,BQ,11.94,69783
2021-11-05,BQ,11.28,40322
2021-11-08,BQ,12.3,240548
2021-11-09,BQ,13.38,430632
2021-11-10,BQ,12.06,125847
2021-11-11,BQ,12.24,71680
2021-11-12,BQ,12.42,52595
2021-11-15,BQ,12.0,50927
2021-11-16,BQ,11.28,81913
2021-11-17,BQ,10.5,91301
2021-11-18,BQ,10.14,56310
2021-11-19,BQ,10.02,66062
2021-11-22,BQ,9.48,59003
2021-11-23,BQ,9.84,35629
2021-11-24,BQ,9.96,17958
2021-11-26,BQ,9.72,18318
2021-11-29,BQ,9.18,33780
2021-11-30,BQ,9.0,81415
2021-12-01,BQ,8.28,41526
2021-12-02,BQ,8.16,40490
2021-12-03,BQ,8.04,69481
2021-12-06,BQ,7.2,29559
2021-12-07,BQ,7.8,28795
2021-12-08,BQ,7.8,19090
2021-12-09,BQ,7.62,21330
2021-12-10,BQ,7.5,14686
2021-12-13,BQ,7.26,28667
2021-12-14,BQ,6.84,57362
2021-12-15,BQ,6.87,34024
2021-12-16,BQ,6.3,55445
2021-12-17,BQ,6.54,65148
2021-12-20,BQ,5.589,52482
2021-12-21,BQ,5.58,54062
2021-12-22,BQ,5.52,206237
2021-12-23,BQ,5.52,38948
2021-12-27,BQ,5.88,82844
2021-12-28,BQ,5.523,21099
2021-12-29,BQ,5.22,57557
2021-12-30,BQ,5.46,35210
2021-12-31,BQ,5.2908,32614
2022-01-03,BQ,5.5224,14600
