ds,symbol,close,volume
2021-05-03,BRCC,9.83,274
2021-05-04,BRCC,9.8099,276
2021-05-05,BRCC,9.89,50882
2021-05-06,BRCC,9.89,75532
2021-05-07,BRCC,9.84,8008
2021-05-10,BRCC,9.84,6
2021-05-11,BRCC,9.84,3
2021-05-12,BRCC,9.84,3
2021-05-13,BRCC,9.84,18
2021-05-14,BRCC,9.8,2534
2021-05-17,BRCC,9.8,0
2021-05-18,BRCC,9.78,272
2021-05-19,BRCC,9.92,4575
2021-05-20,BRCC,9.92,24
2021-05-21,BRCC,9.92,5
2021-05-24,BRCC,9.92,104
2021-05-25,BRCC,9.85,9638
2021-05-26,BRCC,9.85,5454
2021-05-27,BRCC,9.8499,294
2021-05-28,BRCC,9.8499,0
2021-06-01,BRCC,9.76,22472
2021-06-02,BRCC,9.78,1933
2021-06-03,BRCC,9.78,16
2021-06-04,BRCC,9.7525,200016
2021-06-07,BRCC,9.78,1300
2021-06-08,BRCC,9.78,150
2021-06-09,BRCC,9.78,6494
2021-06-10,BRCC,9.8,3516
2021-06-11,BRCC,9.79,8410
2021-06-14,BRCC,9.79,28
2021-06-15,BRCC,9.8,1620
2021-06-16,BRCC,9.75,5750
2021-06-17,BRCC,9.73,6688
2021-06-18,BRCC,9.715,3882
2021-06-21,BRCC,9.715,47
2021-06-22,BRCC,9.7,58913
2021-06-23,BRCC,9.7,646
2021-06-24,BRCC,9.7,4584
2021-06-25,BRCC,9.72,2211
2021-06-28,BRCC,9.7,149811
2021-06-29,BRCC,9.7,0
2021-06-30,BRCC,9.7,82131
2021-07-01,BRCC,9.7,38863
2021-07-02,BRCC,9.65,1841
2021-07-06,BRCC,9.7,118
2021-07-07,BRCC,9.65,556
2021-07-08,BRCC,9.7,4625
2021-07-09,BRCC,9.7,3298
2021-07-12,BRCC,9.72,4923
2021-07-13,BRCC,9.71,1059
2021-07-14,BRCC,9.71,2
2021-07-15,BRCC,9.65,1785
2021-07-16,BRCC,9.65,1
2021-07-19,BRCC,9.65,1000
2021-07-20,BRCC,9.65,10
2021-07-21,BRCC,9.65,850
2021-07-22,BRCC,9.65,944
2021-07-23,BRCC,9.79,2613
2021-07-26,BRCC,9.71,122
2021-07-27,BRCC,9.79,58432
2021-07-28,BRCC,9.72,821
2021-07-29,BRCC,9.72,40
2021-07-30,BRCC,9.72,0
2021-08-02,BRCC,9.72,0
2021-08-03,BRCC,9.72,0
2021-08-04,BRCC,9.61,22255
2021-08-05,BRCC,9.61,0
2021-08-06,BRCC,9.61,24
2021-08-09,BRCC,9.93,667
2021-08-10,BRCC,9.67,403
2021-08-11,BRCC,9.67,96
2021-08-12,BRCC,9.63,101374
2021-08-13,BRCC,9.63,33
2021-08-16,BRCC,9.706,780
2021-08-17,BRCC,9.706,0
2021-08-18,BRCC,9.64,149
2021-08-19,BRCC,9.64,612
2021-08-20,BRCC,9.67,1541
2021-08-23,BRCC,9.83,77647
2021-08-24,BRCC,9.725,23017
2021-08-25,BRCC,9.725,2
2021-08-26,BRCC,9.69,655
2021-08-27,BRCC,9.64,113
2021-08-30,BRCC,9.635,22973
2021-08-31,BRCC,9.66,3125
2021-09-01,BRCC,9.65,547043
2021-09-02,BRCC,9.65,2801
2021-09-03,BRCC,9.65,105
2021-09-07,BRCC,9.67,38454
2021-09-08,BRCC,9.66,7283
2021-09-09,BRCC,9.71,9343
2021-09-10,BRCC,9.72,13048
2021-09-13,BRCC,9.76,84744
2021-09-14,BRCC,9.75,385185
2021-09-15,BRCC,9.75,12593
2021-09-16,BRCC,9.705,39642
2021-09-17,BRCC,9.75,425879
2021-09-20,BRCC,9.75,49928
2021-09-21,BRCC,9.75,49044
2021-09-22,BRCC,9.73,20384
2021-09-23,BRCC,9.87,56229
2021-09-24,BRCC,9.76,187575
2021-09-27,BRCC,9.8,22712
2021-09-28,BRCC,9.77,139091
2021-09-29,BRCC,9.77,7664
2021-09-30,BRCC,9.78,27543
2021-10-01,BRCC,9.78,17347
2021-10-04,BRCC,9.8,11622
2021-10-05,BRCC,9.76,5815
2021-10-06,BRCC,9.76,0
2021-10-07,BRCC,9.77,33858
2021-10-08,BRCC,9.77,117
2021-10-11,BRCC,9.77,142
2021-10-12,BRCC,9.75,10091
2021-10-13,BRCC,9.74,30780
2021-10-14,BRCC,9.7,721
2021-10-15,BRCC,9.71,1529
2021-10-18,BRCC,9.7,2176
2021-10-19,BRCC,9.72,1576
2021-10-20,BRCC,9.72,90
2021-10-21,BRCC,9.75,2871
2021-10-22,BRCC,9.72,2629
2021-10-25,BRCC,9.72,4865
2021-10-26,BRCC,9.73,1728
2021-10-27,BRCC,9.8,130930
2021-10-28,BRCC,9.8,159753
2021-10-29,BRCC,9.8,472962
2021-11-01,BRCC,9.82,410519
2021-11-02,BRCC,11.33,99122444
2021-11-03,BRCC,10.34,15594011
2021-11-04,BRCC,10.42,4401602
2021-11-05,BRCC,10.44,1946436
2021-11-08,BRCC,10.36,1866320
2021-11-09,BRCC,10.23,1442962
2021-11-10,BRCC,10.09,1776841
2021-11-11,BRCC,10.17,2657147
2021-11-12,BRCC,10.38,1160752
2021-11-15,BRCC,10.39,937435
2021-11-16,BRCC,10.28,678239
2021-11-17,BRCC,10.25,821980
2021-11-18,BRCC,10.14,939190
2021-11-19,BRCC,10.15,522728
2021-11-22,BRCC,10.07,1081027
2021-11-23,BRCC,10.06,1025902
2021-11-24,BRCC,10.11,314488
2021-11-26,BRCC,10.05,321879
2021-11-29,BRCC,10.11,1404187
2021-11-30,BRCC,10.12,570376
2021-12-01,BRCC,10.16,979184
2021-12-02,BRCC,10.2,1654617
2021-12-03,BRCC,10.1,980995
2021-12-06,BRCC,10.1,1234635
2021-12-07,BRCC,10.22,554552
2021-12-08,BRCC,10.26,379331
2021-12-09,BRCC,10.29,281893
2021-12-10,BRCC,10.23,472592
2021-12-13,BRCC,10.16,565437
2021-12-14,BRCC,10.07,433573
2021-12-15,BRCC,10.13,987823
2021-12-16,BRCC,10.1,284456
2021-12-17,BRCC,10.08,442393
2021-12-20,BRCC,10.0,872628
2021-12-21,BRCC,10.08,229743
2021-12-22,BRCC,10.05,208805
2021-12-23,BRCC,10.11,150729
2021-12-27,BRCC,10.03,261895
2021-12-28,BRCC,10.03,491071
2021-12-29,BRCC,10.09,295250
2021-12-30,BRCC,10.1,124731
2021-12-31,BRCC,10.15,266154
2022-01-03,BRCC,10.17,359801
2022-01-04,BRCC,10.15,329748
2022-01-05,BRCC,10.16,288848
2022-01-06,BRCC,10.2,834624
2022-01-07,BRCC,10.24,281575
2022-01-10,BRCC,10.24,407043
2022-01-11,BRCC,10.09,1096083
2022-01-12,BRCC,10.09,354832
2022-01-13,BRCC,10.04,928305
2022-01-14,BRCC,9.98,721996
2022-01-18,BRCC,9.95,3861191
2022-01-19,BRCC,9.97,1407020
2022-01-20,BRCC,9.96,812214
2022-01-21,BRCC,9.96,951765
2022-01-24,BRCC,9.97,1277584
2022-01-25,BRCC,9.98,1488845
2022-01-26,BRCC,9.98,1932773
2022-01-27,BRCC,9.97,1850328
2022-01-28,BRCC,9.99,1012495
2022-01-31,BRCC,9.94,1268046
2022-02-01,BRCC,9.76,1042547
2022-02-02,BRCC,9.24,482252
2022-02-03,BRCC,10.05,1964335
