ds,symbol,close,volume
1997-06-18,BXP,26.75,7918300.0
1997-06-19,BXP,26.625,1472400.0
1997-06-20,BXP,26.375,1030200.0
1997-06-23,BXP,26.125,628900.0
1997-06-24,BXP,26.0625,541800.0
1997-06-25,BXP,26.4375,570500.0
1997-06-26,BXP,27.0,488700.0
1997-06-27,BXP,26.875,586400.0
1997-06-30,BXP,27.25,629800.0
1997-07-01,BXP,26.625,269700.0
1997-07-02,BXP,26.375,350800.0
1997-07-03,BXP,26.625,173000.0
1997-07-07,BXP,26.75,449500.0
1997-07-08,BXP,26.6875,239400.0
1997-07-09,BXP,26.5625,226000.0
1997-07-10,BXP,26.375,425100.0
1997-07-11,BXP,26.4375,326300.0
1997-07-14,BXP,26.75,311000.0
1997-07-15,BXP,26.6875,534400.0
1997-07-16,BXP,26.875,443700.0
1997-07-17,BXP,27.0625,443800.0
1997-07-18,BXP,26.625,359600.0
1997-07-21,BXP,26.8125,422700.0
1997-07-22,BXP,26.8125,246500.0
1997-07-23,BXP,26.8125,196900.0
1997-07-24,BXP,27.0625,481800.0
1997-07-25,BXP,27.3125,225800.0
1997-07-28,BXP,27.3125,127600.0
1997-07-29,BXP,27.4375,350200.0
1997-07-30,BXP,27.5625,126600.0
1997-07-31,BXP,27.875,203500.0
1997-08-01,BXP,27.875,85200.0
1997-08-04,BXP,27.875,115600.0
1997-08-05,BXP,28.125,152900.0
1997-08-06,BXP,29.375,234900.0
1997-08-07,BXP,29.25,358900.0
1997-08-08,BXP,29.0,387300.0
1997-08-11,BXP,28.1875,164700.0
1997-08-12,BXP,27.9375,437100.0
1997-08-13,BXP,27.6875,323000.0
1997-08-14,BXP,27.5,89800.0
1997-08-15,BXP,27.625,120200.0
1997-08-18,BXP,27.8125,177000.0
1997-08-19,BXP,28.25,161300.0
1997-08-20,BXP,28.6875,206500.0
1997-08-21,BXP,29.0,133000.0
1997-08-22,BXP,29.25,449700.0
1997-08-25,BXP,29.3125,227300.0
1997-08-26,BXP,29.25,266800.0
1997-08-27,BXP,29.3125,183200.0
1997-08-28,BXP,29.5625,177900.0
1997-08-29,BXP,29.8125,176600.0
1997-09-02,BXP,29.875,194000.0
1997-09-03,BXP,29.9375,296000.0
1997-09-04,BXP,29.625,250400.0
1997-09-05,BXP,30.875,395800.0
1997-09-08,BXP,31.1875,193200.0
1997-09-09,BXP,31.0,242300.0
1997-09-10,BXP,30.5625,328500.0
1997-09-11,BXP,30.125,110400.0
1997-09-12,BXP,30.5625,63400.0
1997-09-15,BXP,31.0,249600.0
1997-09-16,BXP,31.8125,425200.0
1997-09-17,BXP,31.75,552400.0
1997-09-18,BXP,32.0,223600.0
1997-09-19,BXP,32.0,110500.0
1997-09-22,BXP,31.9375,213500.0
1997-09-23,BXP,31.5625,198400.0
1997-09-24,BXP,31.875,83300.0
1997-09-25,BXP,32.125,111400.0
1997-09-26,BXP,32.4375,116800.0
1997-09-29,BXP,33.25,59300.0
1997-09-30,BXP,32.8125,282700.0
1997-10-01,BXP,33.75,67900.0
1997-10-02,BXP,34.0,136000.0
1997-10-03,BXP,33.9375,73700.0
1997-10-06,BXP,33.5,235200.0
1997-10-07,BXP,32.8125,101300.0
1997-10-08,BXP,33.1875,98200.0
1997-10-09,BXP,32.8125,88200.0
1997-10-10,BXP,32.5,158300.0
1997-10-13,BXP,32.75,130400.0
1997-10-14,BXP,33.25,215700.0
1997-10-15,BXP,33.3125,247000.0
1997-10-16,BXP,32.375,167300.0
1997-10-17,BXP,32.0,266700.0
1997-10-20,BXP,31.9375,57700.0
1997-10-21,BXP,31.5,178400.0
1997-10-22,BXP,31.75,100600.0
1997-10-23,BXP,31.1875,85800.0
1997-10-24,BXP,31.875,203800.0
1997-10-27,BXP,30.875,145800.0
1997-10-28,BXP,30.0,472600.0
1997-10-29,BXP,30.8125,205400.0
1997-10-30,BXP,30.0625,322100.0
1997-10-31,BXP,32.0,757200.0
1997-11-03,BXP,33.75,206900.0
1997-11-04,BXP,34.0625,106800.0
1997-11-05,BXP,33.5,112900.0
1997-11-06,BXP,33.75,91500.0
1997-11-07,BXP,33.625,103800.0
1997-11-10,BXP,33.0625,75100.0
1997-11-11,BXP,32.625,102800.0
1997-11-12,BXP,32.4375,84600.0
1997-11-13,BXP,31.9375,135000.0
1997-11-14,BXP,33.25,194600.0
1997-11-17,BXP,34.0,215000.0
1997-11-18,BXP,34.0,263400.0
1997-11-19,BXP,34.1875,55700.0
1997-11-20,BXP,34.375,57100.0
1997-11-21,BXP,34.3125,40400.0
1997-11-24,BXP,34.0,72100.0
