ds,symbol,close,volume
2021-06-11,BZ,37.2,16812432
2021-06-14,BZ,40.13,5819422
2021-06-15,BZ,38.12,2213482
2021-06-16,BZ,36.31,3817008
2021-06-17,BZ,38.27,1008971
2021-06-18,BZ,38.0,374136
2021-06-21,BZ,36.44,1037041
2021-06-22,BZ,36.68,1622167
2021-06-23,BZ,38.26,1498779
2021-06-24,BZ,40.65,1464380
2021-06-25,BZ,42.05,1194722
2021-06-28,BZ,38.0,3128721
2021-06-29,BZ,38.65,2904022
2021-06-30,BZ,39.65,1465918
2021-07-01,BZ,37.1,1998605
2021-07-02,BZ,36.31,1084690
2021-07-06,BZ,30.52,9393938
2021-07-07,BZ,32.01,5370765
2021-07-08,BZ,31.2,2530891
2021-07-09,BZ,36.17,1496282
2021-07-12,BZ,34.16,882916
2021-07-13,BZ,34.75,646224
2021-07-14,BZ,34.94,390049
2021-07-15,BZ,35.27,210929
2021-07-16,BZ,35.53,1041851
2021-07-19,BZ,34.88,318022
2021-07-20,BZ,35.02,411591
2021-07-21,BZ,35.28,467314
2021-07-22,BZ,35.0,379728
2021-07-23,BZ,32.53,2120446
2021-07-26,BZ,31.0,1453884
2021-07-27,BZ,29.46,2751680
2021-07-28,BZ,34.12,1448571
2021-07-29,BZ,35.24,2187606
2021-07-30,BZ,34.45,520139
2021-08-02,BZ,34.95,454682
2021-08-03,BZ,33.62,968997
2021-08-04,BZ,34.19,236379
2021-08-05,BZ,34.26,1846840
2021-08-06,BZ,34.63,864275
2021-08-09,BZ,35.38,413685
2021-08-10,BZ,36.16,509081
2021-08-11,BZ,36.29,526003
2021-08-12,BZ,36.89,207597
2021-08-13,BZ,36.96,897143
2021-08-16,BZ,34.95,457182
2021-08-17,BZ,34.15,367064
2021-08-18,BZ,35.02,131289
2021-08-19,BZ,33.35,480329
2021-08-20,BZ,32.4,1026980
2021-08-23,BZ,32.14,714053
2021-08-24,BZ,35.35,1140360
2021-08-25,BZ,34.55,354880
2021-08-26,BZ,34.01,365626
2021-08-27,BZ,35.26,726475
2021-08-30,BZ,35.2,436663
2021-08-31,BZ,36.86,368205
2021-09-01,BZ,37.07,680098
2021-09-02,BZ,37.3,394064
2021-09-03,BZ,37.92,434349
2021-09-07,BZ,38.41,1164120
2021-09-08,BZ,38.36,1121998
2021-09-09,BZ,39.09,898302
2021-09-10,BZ,36.44,444194
2021-09-13,BZ,36.26,713316
2021-09-14,BZ,36.52,358649
2021-09-15,BZ,38.79,1384349
2021-09-16,BZ,38.2,680245
2021-09-17,BZ,38.54,278988
2021-09-20,BZ,36.95,950865
2021-09-21,BZ,35.78,1296874
2021-09-22,BZ,37.56,407414
2021-09-23,BZ,38.0,300605
2021-09-24,BZ,37.01,445242
2021-09-27,BZ,35.79,379662
2021-09-28,BZ,35.8,423442
2021-09-29,BZ,35.47,282066
2021-09-30,BZ,35.99,733213
2021-10-01,BZ,36.76,205416
2021-10-04,BZ,36.09,265816
2021-10-05,BZ,35.69,550829
2021-10-06,BZ,33.34,381893
2021-10-07,BZ,33.83,952976
2021-10-08,BZ,32.83,236453
2021-10-11,BZ,33.3,630936
2021-10-12,BZ,33.07,403245
2021-10-13,BZ,34.02,711566
2021-10-14,BZ,34.03,1105222
2021-10-15,BZ,34.55,661309
2021-10-18,BZ,34.06,818453
2021-10-19,BZ,35.65,884858
2021-10-20,BZ,36.02,1492027
