ds,symbol,close,volume
2019-11-20,CAN,9.0,100
2019-11-21,CAN,8.99,4073294
2019-11-22,CAN,8.98,672461
2019-11-25,CAN,8.29,1125433
2019-11-26,CAN,8.19,674490
2019-11-27,CAN,8.25,132525
2019-11-29,CAN,8.25,97102
2019-12-02,CAN,8.35,95292
2019-12-03,CAN,8.18,67054
2019-12-04,CAN,8.07,50194
2019-12-05,CAN,7.85,284821
2019-12-06,CAN,7.8,354882
2019-12-09,CAN,7.25,143611
2019-12-10,CAN,6.57,198459
2019-12-11,CAN,6.17,164228
2019-12-12,CAN,5.71,202161
2019-12-13,CAN,5.24,212368
2019-12-16,CAN,4.65,442548
2019-12-17,CAN,5.19,451674
2019-12-18,CAN,4.63,425127
2019-12-19,CAN,4.65,201770
2019-12-20,CAN,4.77,75831
2019-12-23,CAN,5.29,446404
2019-12-24,CAN,5.69,243638
2019-12-26,CAN,5.58,206815
2019-12-27,CAN,5.63,694043
2019-12-30,CAN,6.53,393357
2019-12-31,CAN,6.1,116679
2020-01-02,CAN,6.02,225536
2020-01-03,CAN,6.07,160580
2020-01-06,CAN,5.88,88290
2020-01-07,CAN,5.82,80984
2020-01-08,CAN,6.12,115936
2020-01-09,CAN,6.49,193275
2020-01-10,CAN,6.49,247122
2020-01-13,CAN,6.44,61905
2020-01-14,CAN,6.14,129074
2020-01-15,CAN,5.62,240682
2020-01-16,CAN,5.78,90665
2020-01-17,CAN,6.0,82373
2020-01-21,CAN,5.7,132790
2020-01-22,CAN,5.24,808456
2020-01-23,CAN,5.08,87841
2020-01-24,CAN,5.07,39542
2020-01-27,CAN,4.99,61790
2020-01-28,CAN,5.05,60407
2020-01-29,CAN,5.67,89781
2020-01-30,CAN,5.86,168479
2020-01-31,CAN,6.0,262551
2020-02-03,CAN,5.58,216776
2020-02-04,CAN,5.11,277538
2020-02-05,CAN,4.94,149525
2020-02-06,CAN,4.88,253699
2020-02-07,CAN,4.55,336407
2020-02-10,CAN,4.57,355356
2020-02-11,CAN,4.4,325424
2020-02-12,CAN,8.04,11997687
2020-02-13,CAN,6.64,4089172
2020-02-14,CAN,6.78,1932725
2020-02-18,CAN,5.75,1356837
2020-02-19,CAN,5.71,1029082
2020-02-20,CAN,5.32,745259
2020-02-21,CAN,5.86,580408
2020-02-24,CAN,5.65,494842
2020-02-25,CAN,5.5,326560
2020-02-26,CAN,5.5,333293
2020-02-27,CAN,5.36,451640
2020-02-28,CAN,5.09,314038
2020-03-02,CAN,5.04,225120
2020-03-03,CAN,4.9,291904
2020-03-04,CAN,4.66,229017
2020-03-05,CAN,4.83,311764
2020-03-06,CAN,4.26,419019
2020-03-09,CAN,3.38,594826
2020-03-10,CAN,3.43,462878
2020-03-11,CAN,3.91,511078
2020-03-12,CAN,3.51,442292
2020-03-13,CAN,3.37,285810
2020-03-16,CAN,2.88,714771
2020-03-17,CAN,2.81,401245
2020-03-18,CAN,3.01,428322
2020-03-19,CAN,3.27,292026
2020-03-20,CAN,3.11,247491
2020-03-23,CAN,3.05,578866
2020-03-24,CAN,2.95,639530
2020-03-25,CAN,2.98,246049
2020-03-26,CAN,3.06,344328
2020-03-27,CAN,3.05,410714
2020-03-30,CAN,2.9,324846
2020-03-31,CAN,3.04,115255
2020-04-01,CAN,2.87,143633
2020-04-02,CAN,2.94,199570
2020-04-03,CAN,2.88,73936
2020-04-06,CAN,3.52,405902
2020-04-07,CAN,3.5,223687
2020-04-08,CAN,3.52,96118
2020-04-09,CAN,3.2,303794
2020-04-13,CAN,4.03,554589
2020-04-14,CAN,4.6,935061
2020-04-15,CAN,4.15,268732
2020-04-16,CAN,4.44,174432
2020-04-17,CAN,4.68,183283
2020-04-20,CAN,4.17,280725
2020-04-21,CAN,4.27,141743
2020-04-22,CAN,4.28,114205
2020-04-23,CAN,4.43,322248
2020-04-24,CAN,4.23,215788
2020-04-27,CAN,4.44,224627
2020-04-28,CAN,4.65,331691
2020-04-29,CAN,4.76,462359
2020-04-30,CAN,5.18,427904
2020-05-01,CAN,4.6,269583
2020-05-04,CAN,4.63,254745
2020-05-05,CAN,4.69,169765
2020-05-06,CAN,5.04,655296
2020-05-07,CAN,5.8,1150861
2020-05-08,CAN,5.89,904846
2020-05-11,CAN,5.39,621948
2020-05-12,CAN,5.73,459503
2020-05-13,CAN,5.99,356545
