ds,symbol,close,volume
2020-02-03,CCAP,16.4,17567
2020-02-04,CCAP,16.49,40334
2020-02-05,CCAP,16.82,35891
2020-02-06,CCAP,16.82,13771
2020-02-07,CCAP,17.1,23621
2020-02-10,CCAP,16.9,122645
2020-02-11,CCAP,16.7,339325
2020-02-12,CCAP,16.78,52374
2020-02-13,CCAP,16.76,24323
2020-02-14,CCAP,16.62,38093
2020-02-18,CCAP,16.49,62096
2020-02-19,CCAP,16.54,58636
2020-02-20,CCAP,16.43,13482
2020-02-21,CCAP,16.5,27895
2020-02-24,CCAP,16.3,23994
2020-02-25,CCAP,16.2,38487
2020-02-26,CCAP,16.26,73107
2020-02-27,CCAP,15.86,94662
2020-02-28,CCAP,15.74,30887
2020-03-02,CCAP,15.94,31872
2020-03-03,CCAP,15.8,32452
2020-03-04,CCAP,15.96,17085
2020-03-05,CCAP,16.03,30397
2020-03-06,CCAP,15.95,28775
2020-03-09,CCAP,14.39,126253
2020-03-10,CCAP,14.5,65764
2020-03-11,CCAP,14.12,18225
2020-03-12,CCAP,12.715,46724
2020-03-13,CCAP,13.15,21750
2020-03-16,CCAP,11.26,47621
2020-03-17,CCAP,10.91,99647
2020-03-18,CCAP,8.5,130027
2020-03-19,CCAP,9.25,72424
2020-03-20,CCAP,7.38,27690
2020-03-23,CCAP,6.21,33028
2020-03-24,CCAP,6.52,54588
2020-03-25,CCAP,6.69,38698
2020-03-26,CCAP,8.63,104578
2020-03-27,CCAP,9.5,57024
2020-03-30,CCAP,9.4,42856
2020-03-31,CCAP,9.65,15561
2020-04-01,CCAP,8.68,34000
2020-04-02,CCAP,9.45,25385
2020-04-03,CCAP,8.93,49028
2020-04-06,CCAP,9.56,5459
2020-04-07,CCAP,9.69,41772
2020-04-08,CCAP,10.5,18731
2020-04-09,CCAP,11.28,35336
2020-04-13,CCAP,12.5,49204
2020-04-14,CCAP,12.84,23948
2020-04-15,CCAP,13.0,6853
2020-04-16,CCAP,12.38,56815
2020-04-17,CCAP,11.97,22512
2020-04-20,CCAP,9.96,34296
2020-04-21,CCAP,10.66,120034
2020-04-22,CCAP,10.2,22480
2020-04-23,CCAP,9.98,2604
2020-04-24,CCAP,9.66,321157
2020-04-27,CCAP,9.05,63633
2020-04-28,CCAP,9.87,28230
2020-04-29,CCAP,10.47,31747
2020-04-30,CCAP,9.88,40000
2020-05-01,CCAP,10.3,10219
2020-05-04,CCAP,10.24,2994
2020-05-05,CCAP,10.74,21875
2020-05-06,CCAP,10.8,6100
2020-05-07,CCAP,11.93,34011
2020-05-08,CCAP,11.32,4333
2020-05-11,CCAP,10.77,8294
2020-05-12,CCAP,10.98,10255
2020-05-13,CCAP,11.0,33496
2020-05-14,CCAP,11.0,11530
2020-05-15,CCAP,10.6,12745
2020-05-18,CCAP,11.2,38639
2020-05-19,CCAP,11.0,14205
2020-05-20,CCAP,11.04,5559
2020-05-21,CCAP,11.0,24286
2020-05-22,CCAP,10.98,3511
2020-05-26,CCAP,11.16,28605
2020-05-27,CCAP,11.82,119013
2020-05-28,CCAP,11.9,71908
2020-05-29,CCAP,12.27,104767
2020-06-01,CCAP,12.7,51457
2020-06-02,CCAP,12.75,64793
2020-06-03,CCAP,12.95,43578
2020-06-04,CCAP,12.86,53060
2020-06-05,CCAP,12.42,58159
2020-06-08,CCAP,12.81,39735
2020-06-09,CCAP,12.71,8464
2020-06-10,CCAP,12.56,31609
2020-06-11,CCAP,12.55,33860
2020-06-12,CCAP,12.59,36532
2020-06-15,CCAP,12.8,21969
2020-06-16,CCAP,13.2,28408
2020-06-17,CCAP,13.2,45986
2020-06-18,CCAP,12.88,13340
2020-06-19,CCAP,12.64,25775
2020-06-22,CCAP,12.77,5908
2020-06-23,CCAP,13.0,19176
2020-06-24,CCAP,13.055,23097
2020-06-25,CCAP,13.17,67932
2020-06-26,CCAP,13.25,55086
2020-06-29,CCAP,12.95,31211
2020-06-30,CCAP,12.64,152934
2020-07-01,CCAP,12.64,10971
2020-07-02,CCAP,12.7,7279
2020-07-06,CCAP,12.5,3334
2020-07-07,CCAP,12.91,19129
2020-07-08,CCAP,12.4,24988
2020-07-09,CCAP,12.14,7962
2020-07-10,CCAP,11.975,31537
2020-07-13,CCAP,12.19,23006
2020-07-14,CCAP,12.05,33283
2020-07-15,CCAP,12.26,13777
2020-07-16,CCAP,12.24,36379
2020-07-17,CCAP,11.95,19447
2020-07-20,CCAP,12.0,13798
2020-07-21,CCAP,11.97,18160
2020-07-22,CCAP,11.97,29495
2020-07-23,CCAP,11.95,1230
2020-07-24,CCAP,12.0,4688
2020-07-27,CCAP,11.95,7614
2020-07-28,CCAP,11.75,8299
2020-07-29,CCAP,11.72,9020
2020-07-30,CCAP,11.7,1862
2020-07-31,CCAP,11.7,12929
2020-08-03,CCAP,11.843,5698
2020-08-04,CCAP,11.65,6606
2020-08-05,CCAP,11.89,2557
2020-08-06,CCAP,11.8,3890
2020-08-07,CCAP,12.06,14808
2020-08-10,CCAP,12.18,49362
2020-08-11,CCAP,12.49,26192
2020-08-12,CCAP,12.46,28364
2020-08-13,CCAP,12.5,2831
2020-08-14,CCAP,12.45,5008
2020-08-17,CCAP,12.37,8129
2020-08-18,CCAP,12.305,6195
2020-08-19,CCAP,12.44,9947
2020-08-20,CCAP,12.41,5055
2020-08-21,CCAP,12.3,4025
2020-08-24,CCAP,12.35,13105
2020-08-25,CCAP,12.35,21630
2020-08-26,CCAP,12.3,2691
2020-08-27,CCAP,12.325,1889
2020-08-28,CCAP,12.35,54097
2020-08-31,CCAP,12.35,19536
2020-09-01,CCAP,12.34,14283
2020-09-02,CCAP,12.97,29742
2020-09-03,CCAP,12.875,19405
2020-09-04,CCAP,13.05,7459
2020-09-08,CCAP,12.73,13789
2020-09-09,CCAP,12.925,13762
2020-09-10,CCAP,13.12,6874
2020-09-11,CCAP,13.19,11618
2020-09-14,CCAP,13.0,11603
2020-09-15,CCAP,13.1083,10033
2020-09-16,CCAP,13.12,4335
2020-09-17,CCAP,13.425,31180
2020-09-18,CCAP,13.5025,11199
2020-09-21,CCAP,13.7136,19821
2020-09-22,CCAP,13.65,10325
2020-09-23,CCAP,13.58,10735
2020-09-24,CCAP,13.6,16729
2020-09-25,CCAP,13.81,10145
2020-09-28,CCAP,13.55,19493
2020-09-29,CCAP,13.14,9368
2020-09-30,CCAP,12.75,51076
2020-10-01,CCAP,12.64,46590
2020-10-02,CCAP,12.6255,12629
2020-10-05,CCAP,12.95,36567
2020-10-06,CCAP,12.87,18629
2020-10-07,CCAP,12.78,4007
2020-10-08,CCAP,12.9,7431
2020-10-09,CCAP,12.73,7928
2020-10-12,CCAP,12.84,12844
2020-10-13,CCAP,12.95,35265
2020-10-14,CCAP,12.94,10507
2020-10-15,CCAP,12.81,39838
2020-10-16,CCAP,12.8,28994
2020-10-19,CCAP,12.53,10925
2020-10-20,CCAP,12.8,10461
2020-10-21,CCAP,12.75,6134
2020-10-22,CCAP,12.55,41913
2020-10-23,CCAP,12.3998,26278
2020-10-26,CCAP,12.6,17669
2020-10-27,CCAP,12.8,10271
2020-10-28,CCAP,12.66,16016
2020-10-29,CCAP,12.87,9404
2020-10-30,CCAP,12.8,9898
2020-11-02,CCAP,13.14,17751
2020-11-03,CCAP,13.31,6857
2020-11-04,CCAP,13.65,13096
2020-11-05,CCAP,14.0,11367
