ds,symbol,close,volume
1994-04-04,CDMO,91.875,66.0
1994-04-05,CDMO,96.25,3217.0
1994-04-06,CDMO,91.875,731.0
1994-04-07,CDMO,105.0,1360.0
1994-04-08,CDMO,122.5,949.0
1994-04-11,CDMO,122.5,606.0
1994-04-12,CDMO,113.75,340.0
1994-04-13,CDMO,105.0,440.0
1994-04-14,CDMO,105.0,751.0
1994-04-15,CDMO,109.375,511.0
1994-04-18,CDMO,109.375,271.0
1994-04-19,CDMO,109.375,566.0
1994-04-20,CDMO,105.0,480.0
1994-04-21,CDMO,105.0,6.0
1994-04-22,CDMO,100.625,531.0
1994-04-25,CDMO,100.625,154.0
1994-04-26,CDMO,105.0,280.0
1994-04-28,CDMO,102.8125,109.0
1994-04-29,CDMO,100.625,80.0
1994-05-02,CDMO,96.25,349.0
1994-05-03,CDMO,107.1875,334.0
1994-05-04,CDMO,105.0,654.0
1994-05-05,CDMO,107.1875,486.0
1994-05-06,CDMO,102.8125,557.0
1994-05-09,CDMO,102.8125,1366.0
1994-05-10,CDMO,105.0,597.0
1994-05-11,CDMO,100.625,620.0
1994-05-12,CDMO,107.1875,123.0
1994-05-13,CDMO,102.8125,349.0
1994-05-16,CDMO,105.0,274.0
1994-05-17,CDMO,83.125,1031.0
1994-05-18,CDMO,91.875,543.0
1994-05-19,CDMO,87.5,491.0
1994-05-20,CDMO,105.0,1146.0
1994-05-23,CDMO,96.25,411.0
1994-05-24,CDMO,96.25,280.0
1994-05-25,CDMO,87.5,120.0
1994-05-26,CDMO,98.4375,57.0
1994-05-27,CDMO,87.5,491.0
1994-05-31,CDMO,87.5,289.0
1994-06-01,CDMO,100.625,411.0
1994-06-02,CDMO,98.4375,171.0
1994-06-03,CDMO,105.0,549.0
1994-06-06,CDMO,105.0,223.0
1994-06-07,CDMO,105.0,654.0
1994-06-08,CDMO,109.375,351.0
1994-06-09,CDMO,109.375,274.0
1994-06-10,CDMO,100.625,37.0
1994-06-13,CDMO,96.25,1269.0
1994-06-14,CDMO,96.25,237.0
1994-06-15,CDMO,100.625,463.0
1994-06-16,CDMO,105.0,446.0
1994-06-17,CDMO,109.375,300.0
1994-06-20,CDMO,105.0,866.0
1994-06-21,CDMO,100.625,129.0
1994-06-22,CDMO,96.25,391.0
1994-06-23,CDMO,102.8125,237.0
1994-06-24,CDMO,102.8125,3.0
1994-06-27,CDMO,96.25,900.0
1994-06-28,CDMO,96.25,371.0
1994-06-29,CDMO,94.0625,286.0
1994-06-30,CDMO,96.25,217.0
1994-07-01,CDMO,102.8125,1920.0
1994-07-05,CDMO,97.34375,1477.0
1994-07-06,CDMO,94.0625,354.0
1994-07-07,CDMO,91.875,537.0
1994-07-08,CDMO,96.25,223.0
