ds,symbol,close,volume
2014-09-24,CFG,23.08,60456532.0
2014-09-25,CFG,23.05,8430960.0
2014-09-26,CFG,23.25,2504617.0
2014-09-29,CFG,23.23,4833141.0
2014-09-30,CFG,23.42,4103303.0
2014-10-01,CFG,23.44,3915925.0
2014-10-02,CFG,23.34,3122584.0
2014-10-03,CFG,23.23,1586101.0
2014-10-06,CFG,22.64,1208603.0
2014-10-07,CFG,22.52,1508926.0
2014-10-08,CFG,22.75,1650208.0
2014-10-09,CFG,22.48,1229258.0
2014-10-10,CFG,22.28,924369.0
2014-10-13,CFG,22.45,1382974.0
2014-10-14,CFG,22.45,1605976.0
2014-10-15,CFG,21.85,3405516.0
2014-10-16,CFG,21.8,3105958.0
2014-10-17,CFG,21.92,2750808.0
2014-10-20,CFG,22.38,1870799.0
2014-10-21,CFG,22.82,1165608.0
2014-10-22,CFG,22.6,885053.0
2014-10-23,CFG,23.03,1154308.0
2014-10-24,CFG,23.18,1358006.0
2014-10-27,CFG,22.85,2899169.0
2014-10-28,CFG,23.28,1500795.0
2014-10-29,CFG,23.48,1302730.0
2014-10-30,CFG,23.44,1153887.0
2014-10-31,CFG,23.62,1238828.0
2014-11-03,CFG,24.0,1827169.0
2014-11-04,CFG,23.6,1474674.0
2014-11-05,CFG,23.9,1097794.0
2014-11-06,CFG,24.3,1010940.0
2014-11-07,CFG,23.97,600769.0
2014-11-10,CFG,23.95,1531557.0
2014-11-11,CFG,23.94,658449.0
2014-11-12,CFG,23.86,941034.0
2014-11-13,CFG,23.82,1149913.0
2014-11-14,CFG,23.96,1111651.0
2014-11-17,CFG,24.0,992490.0
2014-11-18,CFG,23.73,586210.0
2014-11-19,CFG,23.72,813072.0
2014-11-20,CFG,23.71,746175.0
2014-11-21,CFG,23.77,725401.0
2014-11-24,CFG,24.25,837042.0
2014-11-25,CFG,24.03,701746.0
2014-11-26,CFG,24.23,703911.0
2014-11-28,CFG,24.63,713601.0
2014-12-01,CFG,23.98,2282696.0
2014-12-02,CFG,24.2,1369469.0
2014-12-03,CFG,24.23,1854692.0
2014-12-04,CFG,24.4,1434107.0
2014-12-05,CFG,25.15,1008580.0
2014-12-08,CFG,25.04,2245028.0
2014-12-09,CFG,25.16,1141958.0
2014-12-10,CFG,24.65,631158.0
2014-12-11,CFG,24.69,1709312.0
2014-12-12,CFG,24.46,951009.0
2014-12-15,CFG,24.49,1175423.0
2014-12-16,CFG,24.25,1315752.0
2014-12-17,CFG,24.56,2160644.0
2014-12-18,CFG,25.08,1768670.0
2014-12-19,CFG,25.0,7523321.0
2014-12-22,CFG,25.1,1689777.0
2014-12-23,CFG,25.44,1174751.0
2014-12-24,CFG,25.51,547425.0
2014-12-26,CFG,25.31,304169.0
2014-12-29,CFG,25.37,1071058.0
2014-12-30,CFG,25.19,511934.0
2014-12-31,CFG,24.86,621817.0
2015-01-02,CFG,24.76,643651.0
2015-01-05,CFG,24.18,1330490.0
2015-01-06,CFG,23.91,2075244.0
2015-01-07,CFG,24.0,1160319.0
2015-01-08,CFG,24.18,661652.0
2015-01-09,CFG,23.89,724760.0
2015-01-12,CFG,23.88,941326.0
2015-01-13,CFG,23.87,990261.0
2015-01-14,CFG,23.44,962675.0
2015-01-15,CFG,22.96,1558141.0
2015-01-16,CFG,23.19,1952100.0
2015-01-20,CFG,23.1,1742314.0
2015-01-21,CFG,23.28,787463.0
2015-01-22,CFG,24.14,486704.0
2015-01-23,CFG,23.71,656715.0
2015-01-26,CFG,24.09,1167964.0
2015-01-27,CFG,24.15,1308268.0
2015-01-28,CFG,23.86,1302160.0
2015-01-29,CFG,24.24,1818810.0
2015-01-30,CFG,23.9,1882616.0
2015-02-02,CFG,24.0,1446037.0
2015-02-03,CFG,24.29,1351797.0
2015-02-04,CFG,24.01,1102611.0
2015-02-05,CFG,24.35,984801.0
2015-02-06,CFG,24.5,1748528.0
