ds,symbol,close,volume
2021-10-08,CGTX,12.77,2533745
2021-10-11,CGTX,12.3,525974
2021-10-12,CGTX,12.17,212543
2021-10-13,CGTX,12.2,91985
2021-10-14,CGTX,12.11,100585
2021-10-15,CGTX,11.9,330586
2021-10-18,CGTX,12.0,104711
2021-10-19,CGTX,12.0,94925
2021-10-20,CGTX,12.22,104978
2021-10-21,CGTX,12.16,59287
2021-10-22,CGTX,12.0,89167
2021-10-25,CGTX,12.16,31473
2021-10-26,CGTX,12.07,50772
2021-10-27,CGTX,12.1,37734
2021-10-28,CGTX,12.15,15243
2021-10-29,CGTX,12.09,22329
2021-11-01,CGTX,12.1,9479
2021-11-02,CGTX,12.21,159791
2021-11-03,CGTX,12.53,70546
2021-11-04,CGTX,12.41,193059
2021-11-05,CGTX,12.02,113380
2021-11-08,CGTX,12.13,89423
2021-11-09,CGTX,12.98,109311
2021-11-10,CGTX,12.28,62149
2021-11-11,CGTX,12.13,52134
2021-11-12,CGTX,11.74,51175
2021-11-15,CGTX,11.52,60129
2021-11-16,CGTX,10.54,53195
2021-11-17,CGTX,10.79,16389
2021-11-18,CGTX,10.71,45750
2021-11-19,CGTX,10.31,32493
2021-11-22,CGTX,10.05,46749
2021-11-23,CGTX,9.58,151006
2021-11-24,CGTX,8.89,74675
2021-11-26,CGTX,8.92,18072
2021-11-29,CGTX,8.27,68793
2021-11-30,CGTX,8.68,58679
2021-12-01,CGTX,8.54,77630
2021-12-02,CGTX,8.82,35143
2021-12-03,CGTX,8.31,62106
2021-12-06,CGTX,8.37,63114
2021-12-07,CGTX,8.45,31363
2021-12-08,CGTX,8.29,87093
2021-12-09,CGTX,7.84,18224
2021-12-10,CGTX,8.05,35783
2021-12-13,CGTX,7.09,53286
2021-12-14,CGTX,6.19,73289
2021-12-15,CGTX,6.12,35161
2021-12-16,CGTX,5.8,119544
2021-12-17,CGTX,5.25,273888
2021-12-20,CGTX,5.1,120799
2021-12-21,CGTX,5.47,100684
2021-12-22,CGTX,5.86,126365
2021-12-23,CGTX,6.16,91050
2021-12-27,CGTX,6.25,98336
2021-12-28,CGTX,6.0,34362
2021-12-29,CGTX,5.76,73284
2021-12-30,CGTX,6.02,19642
2021-12-31,CGTX,6.32,9272
2022-01-03,CGTX,6.25,32603
2022-01-04,CGTX,6.89,372563
2022-01-05,CGTX,6.35,79035
2022-01-06,CGTX,6.25,22549
2022-01-07,CGTX,5.75,117444
2022-01-10,CGTX,6.0,51325
2022-01-11,CGTX,6.9,203532
2022-01-12,CGTX,6.26,173693
2022-01-13,CGTX,6.47,31630
2022-01-14,CGTX,6.25,44131
2022-01-18,CGTX,5.49,166265
2022-01-19,CGTX,5.07,71726
2022-01-20,CGTX,4.14,193652
2022-01-21,CGTX,3.5,147018
2022-01-24,CGTX,3.54,358151
2022-01-25,CGTX,3.7,94393
2022-01-26,CGTX,4.06,69481
2022-01-27,CGTX,3.6,35721
2022-01-28,CGTX,3.47,22362
2022-01-31,CGTX,4.4,88442
2022-02-01,CGTX,4.52,98109
2022-02-02,CGTX,4.33,35851
2022-02-03,CGTX,4.48,28286
2022-02-04,CGTX,4.41,33360
2022-02-07,CGTX,4.14,50635
2022-02-08,CGTX,4.11,54031
2022-02-09,CGTX,4.12,51397
2022-02-10,CGTX,4.28,26942
2022-02-11,CGTX,4.01,124724
2022-02-14,CGTX,3.79,36019
2022-02-15,CGTX,3.65,58985
2022-02-16,CGTX,3.64,31203
2022-02-17,CGTX,3.59,38153
2022-02-18,CGTX,3.29,31797
2022-02-22,CGTX,3.2,51235
2022-02-23,CGTX,2.95,98856
2022-02-24,CGTX,2.93,44590
2022-02-25,CGTX,2.9,33686
2022-02-28,CGTX,3.07,54577
2022-03-01,CGTX,2.79,23566
2022-03-02,CGTX,2.62,45233
2022-03-03,CGTX,2.48,27668
2022-03-04,CGTX,2.51,17765
2022-03-07,CGTX,2.67,74329
2022-03-08,CGTX,2.65,55409
2022-03-09,CGTX,2.65,104983
2022-03-10,CGTX,2.65,66831
2022-03-11,CGTX,2.69,61896
2022-03-14,CGTX,2.6,82412
2022-03-15,CGTX,2.51,37210
2022-03-16,CGTX,2.53,78979
2022-03-17,CGTX,2.41,137208
2022-03-18,CGTX,2.99,148471
2022-03-21,CGTX,3.23,105004
2022-03-22,CGTX,2.95,85822
2022-03-23,CGTX,3.05,64361
2022-03-24,CGTX,2.88,40179
2022-03-25,CGTX,2.98,21963
2022-03-28,CGTX,3.04,209897
2022-03-29,CGTX,2.97,86944
2022-03-30,CGTX,2.66,51487
2022-03-31,CGTX,2.75,29015
2022-04-01,CGTX,2.6,64149
2022-04-04,CGTX,3.33,335753
2022-04-05,CGTX,3.45,145940
2022-04-06,CGTX,3.28,126964
2022-04-07,CGTX,3.09,110343
2022-04-08,CGTX,3.13,27837
2022-04-11,CGTX,3.18,53606
2022-04-12,CGTX,3.04,115741
2022-04-13,CGTX,2.88,10290
