ds,symbol,close,volume
2014-11-06,CHRS,12.61,3432498.0
2014-11-07,CHRS,15.1,554608.0
2014-11-10,CHRS,15.26,253887.0
2014-11-11,CHRS,14.95,133045.0
2014-11-12,CHRS,14.42,70711.0
2014-11-13,CHRS,13.9,128723.0
2014-11-14,CHRS,13.92,129415.0
2014-11-17,CHRS,13.15,170804.0
2014-11-18,CHRS,13.16,75946.0
2014-11-19,CHRS,13.16,111869.0
2014-11-20,CHRS,13.0,67321.0
2014-11-21,CHRS,13.05,65917.0
2014-11-24,CHRS,13.41,186099.0
2014-11-25,CHRS,13.75,104129.0
2014-11-26,CHRS,13.59,55353.0
2014-11-28,CHRS,13.73,26184.0
2014-12-01,CHRS,13.37,73278.0
2014-12-02,CHRS,14.14,327358.0
2014-12-03,CHRS,14.25,112493.0
2014-12-04,CHRS,14.18,113462.0
2014-12-05,CHRS,14.37,77801.0
2014-12-08,CHRS,14.34,122299.0
2014-12-09,CHRS,15.19,160965.0
2014-12-10,CHRS,14.97,109993.0
2014-12-11,CHRS,14.52,309919.0
2014-12-12,CHRS,14.12,137361.0
2014-12-15,CHRS,13.78,262219.0
2014-12-16,CHRS,13.63,216624.0
2014-12-17,CHRS,13.04,354849.0
2014-12-18,CHRS,13.15,203194.0
2014-12-19,CHRS,12.76,927084.0
2014-12-22,CHRS,12.82,87617.0
2014-12-23,CHRS,14.06,155451.0
2014-12-24,CHRS,14.85,102972.0
2014-12-26,CHRS,15.68,90917.0
2014-12-29,CHRS,16.36,82864.0
2014-12-30,CHRS,16.03,146672.0
2014-12-31,CHRS,16.32,127531.0
2015-01-02,CHRS,15.82,104166.0
2015-01-05,CHRS,16.06,132499.0
2015-01-06,CHRS,16.84,233442.0
2015-01-07,CHRS,19.79,221003.0
2015-01-08,CHRS,21.32,448680.0
2015-01-09,CHRS,22.24,470685.0
2015-01-12,CHRS,21.38,185056.0
2015-01-13,CHRS,22.44,350703.0
2015-01-14,CHRS,22.78,268218.0
2015-01-15,CHRS,20.99,211227.0
2015-01-16,CHRS,20.6,201658.0
2015-01-20,CHRS,21.08,94961.0
2015-01-21,CHRS,20.44,52282.0
2015-01-22,CHRS,20.86,57706.0
2015-01-23,CHRS,20.17,53329.0
2015-01-26,CHRS,22.14,184238.0
2015-01-27,CHRS,22.26,104065.0
2015-01-28,CHRS,22.19,100001.0
2015-01-29,CHRS,23.0,85982.0
2015-01-30,CHRS,22.44,131470.0
2015-02-02,CHRS,22.49,69301.0
2015-02-03,CHRS,21.91,69064.0
2015-02-04,CHRS,21.65,50425.0
2015-02-05,CHRS,24.39,687185.0
2015-02-06,CHRS,28.66,605588.0
2015-02-09,CHRS,32.36,519712.0
2015-02-10,CHRS,29.36,324744.0
2015-02-11,CHRS,27.46,88112.0
2015-02-12,CHRS,27.82,209779.0
2015-02-13,CHRS,27.11,105430.0
2015-02-17,CHRS,26.58,131850.0
2015-02-18,CHRS,27.99,137538.0
2015-02-19,CHRS,27.39,59100.0
2015-02-20,CHRS,27.45,58576.0
2015-02-23,CHRS,28.11,87513.0
2015-02-24,CHRS,29.86,186212.0
2015-02-25,CHRS,32.16,108887.0
2015-02-26,CHRS,32.7,125431.0
2015-02-27,CHRS,31.59,152294.0
2015-03-02,CHRS,32.85,119508.0
2015-03-03,CHRS,31.77,86055.0
2015-03-04,CHRS,32.62,142964.0
2015-03-05,CHRS,29.71,190851.0
2015-03-06,CHRS,27.48,211797.0
2015-03-09,CHRS,26.98,155153.0
2015-03-10,CHRS,27.84,128425.0
2015-03-11,CHRS,27.48,79666.0
2015-03-12,CHRS,28.02,94756.0
2015-03-13,CHRS,28.96,129829.0
2015-03-16,CHRS,29.91,224903.0
2015-03-17,CHRS,30.77,184218.0
2015-03-18,CHRS,31.79,157722.0
2015-03-19,CHRS,28.73,267827.0
2015-03-20,CHRS,26.46,317047.0
2015-03-23,CHRS,25.6,185819.0
2015-03-24,CHRS,27.18,504028.0
