ds,symbol,close,volume
2018-04-27,CHX,37.5082715542,1229842
2018-04-30,CHX,37.5082715542,34264
2018-05-01,CHX,37.0147416653,21800
2018-05-02,CHX,36.5212117765,455385
2018-05-03,CHX,34.3003272765,2026026
2018-05-04,CHX,34.0535623321,298832
2018-05-07,CHX,35.2873870543,516494
2018-05-08,CHX,35.6822109654,2162384
2018-05-09,CHX,40.3806155074,23189258
2018-05-10,CHX,38.1301192142,4888114
2018-05-11,CHX,37.5576245431,3056743
2018-05-14,CHX,38.6828726897,4899203
2018-05-15,CHX,39.4823911097,5201553
2018-05-16,CHX,41.5552166429,3697416
2018-05-17,CHX,43.3319242429,2509746
2018-05-18,CHX,44.3091134228,3853187
2018-05-21,CHX,43.9340307073,1122593
2018-05-22,CHX,44.1314426629,1073618
2018-05-23,CHX,43.9735130984,886005
2018-05-24,CHX,44.9408316806,1012450
2018-05-25,CHX,43.4207596229,1188736
2018-05-29,CHX,43.2924418518,853978
2018-05-30,CHX,43.2134770696,873318
2018-05-31,CHX,42.6311118007,1115057
2018-06-01,CHX,40.7162158319,681063
2018-06-04,CHX,40.400356703,998762
2018-06-05,CHX,39.3935557297,593435
2018-06-06,CHX,40.5582862674,953302
2018-06-07,CHX,41.7032756096,471078
2018-06-08,CHX,40.9728513741,1055908
2018-06-11,CHX,41.5354754474,1468255
2018-06-12,CHX,40.3707449097,670778
2018-06-13,CHX,39.3540733386,1035387
2018-06-14,CHX,37.6563305209,1173302
2018-06-15,CHX,37.0640946542,2211692
2018-06-18,CHX,37.4490479675,491520
2018-06-19,CHX,37.2911184031,764716
2018-06-20,CHX,37.606977532,538439
2018-06-21,CHX,36.452117592,906998
2018-06-22,CHX,38.1893428008,1299580
2018-06-25,CHX,37.3207301964,597451
2018-06-26,CHX,37.8636130742,700118
2018-06-27,CHX,38.9098964386,912581
2018-06-28,CHX,39.4132969252,768550
2018-06-29,CHX,41.2097457207,696561
2018-07-02,CHX,40.6964746363,383031
2018-07-03,CHX,39.7488972497,135206
2018-07-05,CHX,38.2485663875,448376
2018-07-06,CHX,39.0184730141,247488
2018-07-09,CHX,39.9068268141,332077
2018-07-10,CHX,40.3707449097,479351
2018-07-11,CHX,39.6403206741,683079
2018-07-12,CHX,39.9463092052,572755
2018-07-13,CHX,40.0252739874,927224
2018-07-16,CHX,37.4687891631,338317
2018-07-17,CHX,38.4558489408,583564
2018-07-18,CHX,38.0116720409,624213
2018-07-19,CHX,37.518142152,531322
2018-07-20,CHX,37.0640946542,261451
2018-07-23,CHX,35.3466106409,502741
2018-07-24,CHX,35.4749284121,423098
2018-07-25,CHX,35.4354460209,310674
2018-07-26,CHX,38.6335197008,1263268
2018-07-27,CHX,38.3867547564,812589
2018-07-30,CHX,39.7982502386,363359
2018-07-31,CHX,40.4694508874,686598
2018-08-01,CHX,39.5317440986,560268
2018-08-02,CHX,40.045015183,404937
2018-08-03,CHX,39.9463092052,419325
2018-08-06,CHX,40.755698223,355295
2018-08-07,CHX,41.9006875652,337400
2018-08-08,CHX,42.0191347385,481560
2018-08-09,CHX,41.7921109896,385888
2018-08-10,CHX,42.6705941918,420395
2018-08-13,CHX,41.950040554,331874
2018-08-14,CHX,43.2332182651,503264
2018-08-15,CHX,41.0715573519,503739
2018-08-16,CHX,42.7989119629,429739
2018-08-17,CHX,42.5916294096,367423
2018-08-20,CHX,42.7002059851,328375
2018-08-21,CHX,43.1838652762,576872
2018-08-22,CHX,43.3319242429,267277
2018-08-23,CHX,42.8877473429,311389
2018-08-24,CHX,43.3417948407,165238
2018-08-27,CHX,43.2924418518,230376
2018-08-28,CHX,43.6083009806,351807
2018-08-29,CHX,44.6841961384,558609
2018-08-30,CHX,43.904418914,422450
2018-08-31,CHX,44.6348431495,340946
2018-09-04,CHX,44.4473017917,615331
2018-09-05,CHX,44.0031248917,844856
2018-09-06,CHX,42.3646056607,937994
2018-09-07,CHX,43.016065114,346054
2018-09-10,CHX,42.4731822362,525887
2018-09-11,CHX,43.2924418518,321004
2018-09-12,CHX,42.3744762585,602584
2018-09-13,CHX,41.6934050118,775530
