ds,symbol,close,volume
2011-12-15,CIVI,1341.4995719066,56231.0
2011-12-16,CIVI,1340.5138999214,14461.0
2011-12-19,CIVI,1297.144332571,3495.0
2011-12-20,CIVI,1333.6141960248,5389.0
2011-12-21,CIVI,1358.2559956557,1805.0
2011-12-22,CIVI,1363.1843555818,1764.0
2011-12-23,CIVI,1344.4565878624,1058.0
2011-12-27,CIVI,1315.8721002905,1027.0
2011-12-28,CIVI,1271.5168609549,1112.0
2011-12-29,CIVI,1233.0756535306,1548.0
2011-12-30,CIVI,1232.0899815454,2238.0
2012-01-03,CIVI,1290.2446286743,1250.0
2012-01-04,CIVI,1324.7431481576,526.0
2012-01-05,CIVI,1392.7545151389,5056.0
2012-01-06,CIVI,1406.5539229322,1432.0
2012-01-09,CIVI,1416.4106427846,5760.0
2012-01-10,CIVI,1415.4249707994,2703.0
2012-01-11,CIVI,1414.4392988141,1517.0
2012-01-12,CIVI,1407.5395949175,1113.0
2012-01-13,CIVI,1396.6972030799,2270.0
2012-01-17,CIVI,1406.5539229322,1060.0
2012-01-18,CIVI,1392.7545151389,1816.0
2012-01-19,CIVI,1440.0667704303,3081.0
2012-01-20,CIVI,1445.9808023417,1726.0
2012-01-23,CIVI,1453.8661782236,877.0
2012-01-24,CIVI,1484.4220097659,2344.0
2012-01-25,CIVI,1523.8488891754,3596.0
2012-01-26,CIVI,1528.7772491015,4761.0
2012-01-27,CIVI,1582.0035363043,1716.0
2012-01-30,CIVI,1569.1898004962,1048.0
2012-01-31,CIVI,1608.6166799057,3444.0
2012-02-01,CIVI,1629.3157915956,3001.0
2012-02-02,CIVI,1662.8286390937,3913.0
2012-02-03,CIVI,1677.6137188722,3728.0
2012-02-06,CIVI,1655.928935197,2213.0
2012-02-07,CIVI,1678.5993908575,1901.0
2012-02-08,CIVI,1736.7540379864,4771.0
2012-02-09,CIVI,1728.8686621045,3115.0
2012-02-10,CIVI,1639.172511448,2924.0
2012-02-13,CIVI,1659.871623138,2027.0
2012-02-14,CIVI,1677.6137188722,3756.0
2012-02-15,CIVI,1665.7856550494,2873.0
2012-02-16,CIVI,1671.6996869608,2755.0
2012-02-17,CIVI,1719.9976142374,1308.0
2012-02-21,CIVI,1780.1236053368,2684.0
2012-02-22,CIVI,1844.1922843772,4010.0
2012-02-23,CIVI,1903.3326034914,2693.0
2012-02-24,CIVI,1905.3039474618,1774.0
2012-02-27,CIVI,1914.1749953289,1182.0
2012-02-28,CIVI,1877.7051318752,2932.0
2012-02-29,CIVI,1833.3498925396,1897.0
2012-03-01,CIVI,1803.7797329825,2168.0
2012-03-02,CIVI,1754.4961337207,4175.0
2012-03-05,CIVI,1747.596429824,1351.0
2012-03-06,CIVI,1776.1809173959,2412.0
2012-03-07,CIVI,1855.0346762148,1854.0
2012-03-08,CIVI,1876.71945989,1979.0
2012-03-09,CIVI,1874.7481159195,1438.0
2012-03-12,CIVI,1912.2036513585,1613.0
2012-03-13,CIVI,1914.1749953289,3853.0
2012-03-14,CIVI,1882.6334918014,1504.0
2012-03-15,CIVI,1886.5761797423,1290.0
2012-03-16,CIVI,1922.0603712108,2312.0
2012-03-19,CIVI,1900.3755875356,1553.0
2012-03-20,CIVI,1866.8627400376,755.0
2012-03-21,CIVI,1863.9057240819,1062.0
2012-03-22,CIVI,1787.0233092335,1553.0
2012-03-23,CIVI,1891.5045396685,2304.0
2012-03-26,CIVI,2020.6275697345,2852.0
2012-03-27,CIVI,2118.2090962729,6510.0
2012-03-28,CIVI,2087.6532647305,2950.0
2012-03-29,CIVI,2046.2550413506,3180.0
2012-03-30,CIVI,2153.6932877414,8061.0
2012-04-02,CIVI,2172.4210554609,1900.0
2012-04-03,CIVI,2168.4783675199,1114.0
2012-04-04,CIVI,2100.4670005386,1915.0
2012-04-05,CIVI,2124.1231281843,1774.0
2012-04-09,CIVI,2054.1404172325,1419.0
2012-04-10,CIVI,1969.3726265022,2164.0
2012-04-11,CIVI,1973.3153144431,2071.0
2012-04-12,CIVI,2058.0831051734,976.0
2012-04-13,CIVI,2058.0831051734,2318.0
2012-04-16,CIVI,2052.169073262,1144.0
2012-04-17,CIVI,2038.3696654687,1040.0
2012-04-18,CIVI,2016.6848817935,1788.0
2012-04-19,CIVI,1986.1290502512,1723.0
2012-04-20,CIVI,1960.5015786351,1563.0
2012-04-23,CIVI,1958.5302346646,1585.0
2012-04-24,CIVI,1971.3439704726,1199.0
2012-04-25,CIVI,1970.3582984874,3098.0
2012-04-26,CIVI,2062.0257931144,4467.0
2012-04-27,CIVI,2115.2520803172,1631.0
2012-04-30,CIVI,2165.5213515642,2356.0
2012-05-01,CIVI,2215.7906228113,2929.0
2012-05-02,CIVI,2195.0915111213,2294.0
2012-05-03,CIVI,2116.2377523024,923.0
2012-05-04,CIVI,1973.3153144431,2350.0
2012-05-07,CIVI,1899.3899155504,3055.0
2012-05-08,CIVI,1906.2896194471,2394.0
2012-05-09,CIVI,1909.2466354028,699.0
2012-05-10,CIVI,1896.4328995947,1842.0
2012-05-11,CIVI,1965.4299385612,5400.0
2012-05-14,CIVI,1969.3726265022,2260.0
2012-05-15,CIVI,1912.2036513585,3086.0
2012-05-16,CIVI,1905.3039474618,2249.0
2012-05-17,CIVI,1797.8657010711,2728.0
2012-05-18,CIVI,1716.0549262964,4055.0
2012-05-21,CIVI,1820.5361567315,4887.0
2012-05-22,CIVI,1833.3498925396,3455.0
2012-05-23,CIVI,1828.4215326134,2706.0
2012-05-24,CIVI,1793.9230131301,1158.0
2012-05-25,CIVI,1815.6077968053,1059.0
2012-05-29,CIVI,1789.9803251892,1725.0
2012-05-30,CIVI,1708.1695504146,1889.0
2012-05-31,CIVI,1681.5564068132,8172.0
2012-06-01,CIVI,1519.9062012344,4496.0
