ds,symbol,close,volume
1998-05-27,CLAR,8.483034,2335562.0
1998-05-28,CLAR,8.046407,126653.0
1998-05-29,CLAR,7.984032,241783.0
1998-06-01,CLAR,7.60978,64328.0
1998-06-02,CLAR,7.8125,184268.0
1998-06-03,CLAR,8.358283,95691.0
1998-06-04,CLAR,8.483034,50100.0
1998-06-05,CLAR,8.483034,20842.0
1998-06-08,CLAR,8.483034,72244.0
1998-06-09,CLAR,8.420659,63928.0
1998-06-10,CLAR,8.545409,20942.0
1998-06-11,CLAR,8.358283,3106.0
1998-06-12,CLAR,7.796906,65631.0
1998-06-15,CLAR,7.859281,16232.0
1998-06-16,CLAR,7.859281,18236.0
1998-06-17,CLAR,8.108782,309618.0
1998-06-18,CLAR,8.108782,6413.0
1998-06-19,CLAR,8.171158,10822.0
1998-06-22,CLAR,8.732535,38978.0
1998-06-23,CLAR,8.545409,383165.0
1998-06-24,CLAR,8.420659,176152.0
1998-06-25,CLAR,8.483034,11022.0
1998-06-26,CLAR,8.732535,132164.0
1998-06-29,CLAR,8.982036,55411.0
1998-06-30,CLAR,9.106786,16533.0
1998-07-01,CLAR,8.732535,47996.0
1998-07-02,CLAR,8.732535,17435.0
1998-07-06,CLAR,8.732535,39178.0
1998-07-07,CLAR,8.857285,7014.0
1998-07-08,CLAR,8.919661,39880.0
1998-07-09,CLAR,8.919661,21242.0
1998-07-10,CLAR,8.857285,10521.0
1998-07-13,CLAR,8.857285,3607.0
1998-07-14,CLAR,8.732535,6713.0
1998-07-15,CLAR,8.857285,25852.0
1998-07-16,CLAR,9.106786,40581.0
1998-07-17,CLAR,9.106786,16132.0
1998-07-20,CLAR,9.106786,9018.0
1998-07-21,CLAR,9.605788,48096.0
1998-07-22,CLAR,9.106786,116032.0
1998-07-23,CLAR,9.106786,24148.0
1998-07-24,CLAR,9.231537,24549.0
1998-07-27,CLAR,9.231537,5010.0
1998-07-28,CLAR,9.106786,20641.0
1998-07-29,CLAR,8.732535,6112.0
1998-07-30,CLAR,9.106786,4208.0
1998-07-31,CLAR,8.545409,31363.0
1998-08-03,CLAR,7.48503,45591.0
1998-08-04,CLAR,7.48503,20641.0
1998-08-05,CLAR,7.48503,124448.0
1998-08-06,CLAR,7.48503,4609.0
1998-08-07,CLAR,7.422655,54208.0
