ds,symbol,close,volume
2015-03-24,CLLS,41.5,0
2015-03-25,CLLS,39.3,4185663
2015-03-26,CLLS,37.35,1400743
2015-03-27,CLLS,35.0,938360
2015-03-30,CLLS,35.2,306418
2015-03-31,CLLS,34.58,399406
2015-04-01,CLLS,33.47,331346
2015-04-02,CLLS,32.25,424091
2015-04-06,CLLS,32.86,203040
2015-04-07,CLLS,31.89,238706
2015-04-08,CLLS,31.52,291861
2015-04-09,CLLS,32.21,185146
2015-04-10,CLLS,34.87,400541
2015-04-13,CLLS,34.2,255864
2015-04-14,CLLS,33.67,94177
2015-04-15,CLLS,32.4,162363
2015-04-16,CLLS,31.95,105944
2015-04-17,CLLS,32.59,123376
2015-04-20,CLLS,32.49,234225
2015-04-21,CLLS,32.21,224320
2015-04-22,CLLS,31.3,82552
2015-04-23,CLLS,32.68,148284
2015-04-24,CLLS,32.61,118055
2015-04-27,CLLS,33.05,166301
2015-04-28,CLLS,32.51,136244
2015-04-29,CLLS,32.23,119754
2015-04-30,CLLS,32.9,107542
2015-05-01,CLLS,32.91,29645
2015-05-04,CLLS,32.63,37229
2015-05-05,CLLS,31.45,49177
2015-05-06,CLLS,31.1,43842
2015-05-07,CLLS,31.55,25640
2015-05-08,CLLS,31.65,47922
2015-05-11,CLLS,31.67,25162
2015-05-12,CLLS,31.73,40594
2015-05-13,CLLS,32.47,130641
2015-05-14,CLLS,31.39,82908
2015-05-15,CLLS,32.25,30541
2015-05-18,CLLS,31.7,58580
2015-05-19,CLLS,31.22,49527
2015-05-20,CLLS,30.65,32573
2015-05-21,CLLS,30.8,91350
2015-05-22,CLLS,34.0,1688539
2015-05-26,CLLS,36.45,615690
2015-05-27,CLLS,40.99,1536483
2015-05-28,CLLS,47.66,1898222
2015-05-29,CLLS,42.9,1503840
2015-06-01,CLLS,41.4,427195
2015-06-02,CLLS,42.42,645289
2015-06-03,CLLS,41.19,553866
2015-06-04,CLLS,42.09,318439
2015-06-05,CLLS,43.49,486481
2015-06-08,CLLS,41.4,338159
2015-06-09,CLLS,41.65,133995
2015-06-10,CLLS,40.72,229210
2015-06-11,CLLS,40.68,145996
2015-06-12,CLLS,40.86,105280
2015-06-15,CLLS,38.5,306759
2015-06-16,CLLS,37.02,221541
2015-06-17,CLLS,36.14,191387
2015-06-18,CLLS,36.61,272253
2015-06-19,CLLS,36.25,154576
2015-06-22,CLLS,36.4,138286
2015-06-23,CLLS,36.54,115741
2015-06-24,CLLS,35.68,201303
2015-06-25,CLLS,34.64,337053
2015-06-26,CLLS,35.29,133992
2015-06-29,CLLS,33.26,180080
2015-06-30,CLLS,36.08,386789
2015-07-01,CLLS,34.99,167647
2015-07-02,CLLS,34.93,79366
