ds,symbol,close,volume
2006-01-26,CLMT,21.75,3694486.0
2006-01-27,CLMT,22.2,427262.0
2006-01-30,CLMT,23.0,318306.0
2006-01-31,CLMT,23.7,264402.0
2006-02-01,CLMT,23.9,143743.0
2006-02-02,CLMT,24.0,177984.0
2006-02-03,CLMT,23.99,212426.0
2006-02-06,CLMT,24.5,122430.0
2006-02-07,CLMT,24.4,115176.0
2006-02-08,CLMT,24.45,34063.0
2006-02-09,CLMT,24.15,28892.0
2006-02-10,CLMT,23.51,51971.0
2006-02-13,CLMT,23.5,13664.0
2006-02-14,CLMT,22.89,66697.0
2006-02-15,CLMT,22.6,58061.0
2006-02-16,CLMT,23.5,31151.0
2006-02-17,CLMT,23.05,34901.0
2006-02-21,CLMT,23.77,35323.0
2006-02-22,CLMT,23.3,22832.0
2006-02-23,CLMT,24.43,25787.0
2006-02-24,CLMT,24.9465,57245.0
2006-02-27,CLMT,23.7,114533.0
2006-02-28,CLMT,23.7,50236.0
2006-03-01,CLMT,23.72,78387.0
2006-03-02,CLMT,24.0,61455.0
2006-03-03,CLMT,24.04,18392.0
2006-03-06,CLMT,24.24,61413.0
2006-03-07,CLMT,26.0,282229.0
2006-03-08,CLMT,25.44,52624.0
2006-03-09,CLMT,25.75,49348.0
2006-03-10,CLMT,25.62,38946.0
2006-03-13,CLMT,25.83,30424.0
2006-03-14,CLMT,25.42,27568.0
2006-03-15,CLMT,25.22,62078.0
2006-03-16,CLMT,25.5,16924.0
2006-03-17,CLMT,25.5,14488.0
2006-03-20,CLMT,26.01,23412.0
2006-03-21,CLMT,25.89,18990.0
2006-03-22,CLMT,26.4,25999.0
2006-03-23,CLMT,26.89,23419.0
2006-03-24,CLMT,26.42,39169.0
2006-03-27,CLMT,26.5,54337.0
2006-03-28,CLMT,26.5,73629.0
2006-03-29,CLMT,26.8,16461.0
2006-03-30,CLMT,27.08,59061.0
2006-03-31,CLMT,27.81,19423.0
2006-04-03,CLMT,27.85,21594.0
2006-04-04,CLMT,28.65,30159.0
2006-04-05,CLMT,28.23,31424.0
2006-04-06,CLMT,28.5,22802.0
2006-04-07,CLMT,29.0,39403.0
2006-04-10,CLMT,29.04,31518.0
2006-04-11,CLMT,28.32,40246.0
2006-04-12,CLMT,28.6,27896.0
2006-04-13,CLMT,29.14,19079.0
2006-04-17,CLMT,29.65,19320.0
2006-04-18,CLMT,28.67,16411.0
2006-04-19,CLMT,28.6,15869.0
2006-04-20,CLMT,28.74,32547.0
2006-04-21,CLMT,28.56,40486.0
2006-04-24,CLMT,29.061,9971.0
