ds,symbol,close,volume
2016-06-02,CLSD,7.25,1979489
2016-06-03,CLSD,7.06,569909
2016-06-06,CLSD,7.0,245512
2016-06-07,CLSD,6.92,56785
2016-06-08,CLSD,7.0,147358
2016-06-09,CLSD,6.96,29978
2016-06-10,CLSD,6.9,51017
2016-06-13,CLSD,6.9,67964
2016-06-14,CLSD,6.99,28795
2016-06-15,CLSD,7.01,23194
2016-06-16,CLSD,7.0,28156
2016-06-17,CLSD,7.1,27320
2016-06-20,CLSD,7.04,10982
2016-06-21,CLSD,6.97,42709
2016-06-22,CLSD,7.1,58094
2016-06-23,CLSD,6.9,22964
2016-06-24,CLSD,6.8,37403
2016-06-27,CLSD,7.0,293821
2016-06-28,CLSD,6.91,57951
2016-06-29,CLSD,6.9299,8180
2016-06-30,CLSD,7.01,79063
2016-07-01,CLSD,6.78,31956
2016-07-05,CLSD,6.9,26022
2016-07-06,CLSD,6.63,16871
2016-07-07,CLSD,6.79,9598
2016-07-08,CLSD,6.545,11776
2016-07-11,CLSD,6.55,16396
2016-07-12,CLSD,6.78,19185
2016-07-13,CLSD,7.0,30660
2016-07-14,CLSD,6.75,15380
2016-07-15,CLSD,6.6,7737
2016-07-18,CLSD,6.59,4458
2016-07-19,CLSD,6.49,3764
2016-07-20,CLSD,6.55,11099
2016-07-21,CLSD,6.4929,2179
2016-07-22,CLSD,6.59,9671
2016-07-25,CLSD,6.57,6035
2016-07-26,CLSD,6.72,11171
2016-07-27,CLSD,6.52,4073
2016-07-28,CLSD,6.53,4238
2016-07-29,CLSD,6.05,32199
2016-08-01,CLSD,6.08,24282
2016-08-02,CLSD,6.44,3258
2016-08-03,CLSD,6.41,7471
2016-08-04,CLSD,6.48,951
2016-08-05,CLSD,6.19,14084
2016-08-08,CLSD,6.005,13328
2016-08-09,CLSD,6.77,22838
2016-08-10,CLSD,6.77,5131
2016-08-11,CLSD,7.19,17955
2016-08-12,CLSD,7.19,4470
2016-08-15,CLSD,7.14,5767
2016-08-16,CLSD,6.76,8724
2016-08-17,CLSD,7.0,11480
2016-08-18,CLSD,7.0,3146
2016-08-19,CLSD,7.02,3192
2016-08-22,CLSD,7.08,2719
2016-08-23,CLSD,7.45,26111
2016-08-24,CLSD,7.13,10236
2016-08-25,CLSD,7.2,38119
2016-08-26,CLSD,7.01,7420
2016-08-29,CLSD,7.1303,36948
2016-08-30,CLSD,7.46,52105
2016-08-31,CLSD,7.38,8758
2016-09-01,CLSD,7.71,19902
2016-09-02,CLSD,8.1599,16041
2016-09-06,CLSD,8.105,28820
2016-09-07,CLSD,8.3,28273
2016-09-08,CLSD,8.18,27792
2016-09-09,CLSD,8.4,20494
2016-09-12,CLSD,7.92,45969
2016-09-13,CLSD,8.0,28289
2016-09-14,CLSD,8.14,26287
2016-09-15,CLSD,8.13,97065
2016-09-16,CLSD,8.37,378882
2016-09-19,CLSD,10.44,171435
2016-09-20,CLSD,11.01,252390
2016-09-21,CLSD,11.88,67690
2016-09-22,CLSD,11.75,86981
2016-09-23,CLSD,13.98,61034
2016-09-26,CLSD,15.26,231920
2016-09-27,CLSD,16.65,228626
2016-09-28,CLSD,17.54,274405
2016-09-29,CLSD,16.5,193228
