ds,symbol,close,volume
1999-03-01,CLSN,12858.953125,12.0
1999-03-02,CLSN,11972.12793,14.0
1999-03-03,CLSN,11972.12793,10.0
1999-03-04,CLSN,13080.65918,23.0
1999-03-05,CLSN,12193.833984,6.0
1999-03-08,CLSN,11528.71582,11.0
1999-03-09,CLSN,11528.71582,4.0
1999-03-10,CLSN,11972.12793,2.0
1999-03-11,CLSN,13080.65918,8.0
1999-03-12,CLSN,13745.777344,2.0
1999-03-15,CLSN,12858.953125,5.0
1999-03-16,CLSN,12858.953125,4.0
1999-03-17,CLSN,12415.541016,3.0
1999-03-18,CLSN,11972.12793,8.0
1999-03-19,CLSN,11972.12793,12.0
1999-03-22,CLSN,11972.12793,6.0
1999-03-23,CLSN,11972.12793,4.0
1999-03-24,CLSN,11528.71582,9.0
1999-03-25,CLSN,11307.009766,8.0
1999-03-26,CLSN,11528.71582,41.0
1999-03-29,CLSN,11528.71582,8.0
1999-03-30,CLSN,11528.71582,10.0
1999-03-31,CLSN,10863.597656,19.0
1999-04-01,CLSN,10863.597656,4.0
1999-04-05,CLSN,11307.009766,4.0
1999-04-06,CLSN,10863.597656,3.0
1999-04-07,CLSN,10863.597656,2.0
1999-04-08,CLSN,11750.421875,6.0
1999-04-09,CLSN,11528.71582,8.0
1999-04-12,CLSN,11972.12793,9.0
1999-04-13,CLSN,10863.597656,15.0
1999-04-14,CLSN,10863.597656,6.0
1999-04-15,CLSN,10863.597656,9.0
1999-04-16,CLSN,10641.891602,9.0
1999-04-19,CLSN,10863.597656,4.0
1999-04-20,CLSN,11972.12793,10.0
1999-04-21,CLSN,11750.421875,4.0
1999-04-22,CLSN,11307.009766,2.0
1999-04-23,CLSN,10641.891602,16.0
1999-04-26,CLSN,10863.597656,14.0
1999-04-27,CLSN,11085.303711,7.0
1999-04-28,CLSN,10863.597656,15.0
1999-04-29,CLSN,10641.891602,10.0
1999-04-30,CLSN,10641.891602,15.0
1999-05-03,CLSN,11085.303711,50.0
1999-05-04,CLSN,10863.597656,8.0
1999-05-05,CLSN,10641.891602,22.0
1999-05-06,CLSN,11307.009766,5.0
1999-05-07,CLSN,11085.303711,3.0
1999-05-10,CLSN,11085.303711,16.0
1999-05-11,CLSN,11307.009766,3.0
1999-05-12,CLSN,11307.009766,4.0
1999-05-13,CLSN,10863.597656,7.0
1999-05-14,CLSN,10420.185547,16.0
1999-05-17,CLSN,11528.71582,6.0
1999-05-18,CLSN,11085.303711,3.0
1999-05-19,CLSN,10863.597656,1.0
1999-05-20,CLSN,11307.009766,2.0
1999-05-21,CLSN,11528.71582,3.0
1999-05-24,CLSN,11528.71582,10.0
1999-05-25,CLSN,10863.597656,9.0
1999-05-26,CLSN,10641.891602,9.0
1999-05-27,CLSN,10420.185547,6.0
1999-05-28,CLSN,10420.185547,3.0
1999-06-01,CLSN,10420.185547,3.0
1999-06-02,CLSN,11307.009766,13.0
1999-06-03,CLSN,11085.303711,9.0
1999-06-04,CLSN,11750.421875,16.0
1999-06-07,CLSN,11528.71582,9.0
1999-06-08,CLSN,11528.71582,4.0
1999-06-09,CLSN,11750.421875,4.0
1999-06-10,CLSN,11750.421875,16.0
1999-06-11,CLSN,11528.71582,8.0
1999-06-14,CLSN,11528.71582,4.0
1999-06-15,CLSN,11528.71582,3.0
1999-06-16,CLSN,11528.71582,3.0
1999-06-17,CLSN,11307.009766,3.0
1999-06-18,CLSN,11528.71582,1.0
1999-06-21,CLSN,11528.71582,2.0
1999-06-22,CLSN,11085.303711,3.0
1999-06-23,CLSN,11528.71582,6.0
1999-06-24,CLSN,11528.71582,2.0
1999-06-25,CLSN,11528.71582,4.0
1999-06-28,CLSN,11528.71582,5.0
1999-06-29,CLSN,11307.009766,5.0
1999-06-30,CLSN,11528.71582,5.0
1999-07-01,CLSN,11528.71582,4.0
1999-07-02,CLSN,11528.71582,1.0
1999-07-06,CLSN,11528.71582,3.0
1999-07-07,CLSN,11528.71582,7.0
1999-07-08,CLSN,11750.421875,3.0
1999-07-09,CLSN,12415.541016,14.0
1999-07-12,CLSN,16849.662109,51.0
1999-07-13,CLSN,17071.369141,51.0
1999-07-14,CLSN,16184.543945,34.0
1999-07-15,CLSN,15962.837891,11.0
1999-07-16,CLSN,15741.131836,9.0
1999-07-19,CLSN,14854.307617,14.0
1999-07-20,CLSN,15962.837891,6.0
1999-07-21,CLSN,15962.837891,2.0
1999-07-22,CLSN,15076.013672,5.0
1999-07-23,CLSN,15962.837891,5.0
1999-07-26,CLSN,15519.425781,3.0
1999-07-27,CLSN,15297.719727,3.0
1999-07-28,CLSN,15741.131836,3.0
1999-07-29,CLSN,15076.013672,8.0
1999-07-30,CLSN,14854.307617,16.0
1999-08-02,CLSN,13967.483398,11.0
1999-08-03,CLSN,13080.65918,6.0
1999-08-04,CLSN,13302.365234,1.0
1999-08-05,CLSN,11972.12793,10.0
1999-08-06,CLSN,13080.65918,2.0
1999-08-09,CLSN,12637.24707,5.0
1999-08-10,CLSN,11750.421875,4.0
1999-08-11,CLSN,11528.71582,8.0
1999-08-12,CLSN,12415.541016,10.0
1999-08-13,CLSN,11528.71582,12.0
1999-08-16,CLSN,14854.307617,59.0
1999-08-17,CLSN,12415.541016,13.0
1999-08-18,CLSN,12415.541016,12.0
1999-08-19,CLSN,11307.009766,10.0
1999-08-20,CLSN,12415.541016,6.0
1999-08-23,CLSN,13080.65918,12.0
1999-08-24,CLSN,13745.777344,6.0
1999-08-25,CLSN,13967.483398,2.0
1999-08-26,CLSN,14189.189453,9.0
1999-08-27,CLSN,14189.189453,7.0
1999-08-30,CLSN,13524.071289,8.0
1999-08-31,CLSN,13967.483398,4.0
1999-09-01,CLSN,13967.483398,2.0
1999-09-02,CLSN,13745.777344,7.0
1999-09-03,CLSN,13967.483398,6.0
1999-09-07,CLSN,13524.071289,6.0
1999-09-08,CLSN,13745.777344,4.0
1999-09-09,CLSN,14189.189453,1.0
1999-09-10,CLSN,13524.071289,14.0
1999-09-13,CLSN,13967.483398,5.0
1999-09-14,CLSN,13524.071289,3.0
1999-09-15,CLSN,13524.071289,4.0
1999-09-16,CLSN,13745.777344,2.0
1999-09-17,CLSN,13967.483398,3.0
1999-09-20,CLSN,13745.777344,7.0
1999-09-21,CLSN,13524.071289,7.0
1999-09-22,CLSN,13524.071289,2.0
1999-09-23,CLSN,14189.189453,5.0
1999-09-24,CLSN,13302.365234,5.0
1999-09-27,CLSN,13080.65918,1.0
1999-09-28,CLSN,11972.12793,10.0
1999-09-29,CLSN,12415.541016,2.0
1999-09-30,CLSN,12415.541016,4.0
1999-10-01,CLSN,11307.009766,4.0
1999-10-04,CLSN,11750.421875,4.0
1999-10-05,CLSN,11750.421875,1.0
1999-10-06,CLSN,11972.12793,6.0
1999-10-07,CLSN,11972.12793,5.0
1999-10-08,CLSN,11307.009766,3.0
1999-10-11,CLSN,11750.421875,1.0
1999-10-12,CLSN,13524.071289,19.0
1999-10-13,CLSN,13080.65918,10.0
1999-10-14,CLSN,12858.953125,5.0
1999-10-15,CLSN,12858.953125,3.0
1999-10-18,CLSN,12858.953125,4.0
1999-10-19,CLSN,11972.12793,4.0
1999-10-20,CLSN,12415.541016,2.0
1999-10-21,CLSN,12415.541016,8.0
1999-10-22,CLSN,12415.541016,3.0
1999-10-25,CLSN,12415.541016,8.0
1999-10-26,CLSN,12193.833984,3.0
1999-10-27,CLSN,12637.24707,2.0
1999-10-28,CLSN,12193.833984,2.0
1999-10-29,CLSN,12637.24707,3.0
1999-11-01,CLSN,12415.541016,3.0
1999-11-02,CLSN,11750.421875,15.0
1999-11-03,CLSN,11307.009766,10.0
1999-11-04,CLSN,11307.009766,6.0
1999-11-05,CLSN,11085.303711,6.0
1999-11-08,CLSN,10641.891602,5.0
1999-11-09,CLSN,10863.597656,7.0
1999-11-10,CLSN,10641.891602,6.0
1999-11-11,CLSN,10641.891602,3.0
1999-11-12,CLSN,11085.303711,13.0
1999-11-15,CLSN,11750.421875,26.0
1999-11-16,CLSN,11307.009766,13.0
1999-11-17,CLSN,11528.71582,11.0
1999-11-18,CLSN,11528.71582,18.0
1999-11-19,CLSN,11307.009766,10.0
1999-11-22,CLSN,11307.009766,20.0
1999-11-23,CLSN,11528.71582,12.0
1999-11-24,CLSN,11307.009766,2.0
1999-11-26,CLSN,11528.71582,4.0
1999-11-29,CLSN,10863.597656,19.0
1999-11-30,CLSN,11307.009766,17.0
1999-12-01,CLSN,11528.71582,9.0
1999-12-02,CLSN,11528.71582,9.0
1999-12-03,CLSN,11528.71582,8.0
1999-12-06,CLSN,11528.71582,24.0
1999-12-07,CLSN,12193.833984,40.0
1999-12-08,CLSN,13302.365234,38.0
1999-12-09,CLSN,14410.895508,48.0
1999-12-10,CLSN,14632.601563,53.0
1999-12-13,CLSN,20396.958984,94.0
1999-12-14,CLSN,26604.730469,119.0
1999-12-15,CLSN,40793.917969,160.0
1999-12-16,CLSN,37246.621094,237.0
1999-12-17,CLSN,27048.142578,86.0
1999-12-20,CLSN,35472.972656,60.0
