ds,symbol,close,volume
2020-12-18,CLVR,13.0,505838
2020-12-21,CLVR,11.41,1098595
2020-12-22,CLVR,10.9,1195454
2020-12-23,CLVR,11.2,1865150
2020-12-24,CLVR,11.49,428110
2020-12-28,CLVR,10.95,504857
2020-12-29,CLVR,10.41,619479
2020-12-30,CLVR,9.86,584409
2020-12-31,CLVR,8.9,2292695
2021-01-04,CLVR,8.89,898614
2021-01-05,CLVR,8.97,429065
2021-01-06,CLVR,9.6,1570428
2021-01-07,CLVR,9.8,633511
2021-01-08,CLVR,8.83,1047741
2021-01-11,CLVR,8.74,608004
2021-01-12,CLVR,9.24,858558
2021-01-13,CLVR,10.72,1562242
2021-01-14,CLVR,10.31,1579561
2021-01-15,CLVR,10.04,1989333
2021-01-19,CLVR,10.2,824134
2021-01-20,CLVR,9.98,804928
2021-01-21,CLVR,10.21,1269039
2021-01-22,CLVR,9.82,1594464
2021-01-25,CLVR,9.33,1089576
2021-01-26,CLVR,9.29,1141050
2021-01-27,CLVR,8.8,1076540
2021-01-28,CLVR,9.11,640580
2021-01-29,CLVR,8.9,969620
2021-02-01,CLVR,9.03,492712
2021-02-02,CLVR,10.48,3108882
2021-02-03,CLVR,11.04,2248679
2021-02-04,CLVR,10.55,1034827
2021-02-05,CLVR,11.01,1317077
2021-02-08,CLVR,11.75,1060368
2021-02-09,CLVR,12.93,2607143
2021-02-10,CLVR,18.17,9246442
2021-02-11,CLVR,15.82,4565725
2021-02-12,CLVR,17.96,5249165
2021-02-16,CLVR,19.2,2394681
2021-02-17,CLVR,17.22,1335740
2021-02-18,CLVR,16.15,968484
2021-02-19,CLVR,16.06,841765
2021-02-22,CLVR,14.75,1215348
2021-02-23,CLVR,14.3,1216101
2021-02-24,CLVR,14.2,782079
2021-02-25,CLVR,13.83,706088
2021-02-26,CLVR,13.2,2364439
2021-03-01,CLVR,13.82,1033504
2021-03-02,CLVR,14.4,938983
2021-03-03,CLVR,13.27,1159555
2021-03-04,CLVR,12.0,1878814
2021-03-05,CLVR,12.16,976362
2021-03-08,CLVR,11.66,949490
2021-03-09,CLVR,12.45,708519
2021-03-10,CLVR,12.36,801448
2021-03-11,CLVR,13.33,1005929
2021-03-12,CLVR,12.63,863601
2021-03-15,CLVR,13.47,859139
2021-03-16,CLVR,12.92,559649
2021-03-17,CLVR,13.98,1180798
2021-03-18,CLVR,13.42,501731
2021-03-19,CLVR,13.8,1281812
2021-03-22,CLVR,13.87,245949
2021-03-23,CLVR,12.72,554738
2021-03-24,CLVR,12.31,559762
2021-03-25,CLVR,12.3,403228
2021-03-26,CLVR,12.33,224484
2021-03-29,CLVR,12.27,427626
2021-03-30,CLVR,11.77,523286
2021-03-31,CLVR,10.29,1460392
2021-04-01,CLVR,10.82,432381
2021-04-05,CLVR,10.9,274477
2021-04-06,CLVR,10.35,254540
2021-04-07,CLVR,9.99,403786
2021-04-08,CLVR,10.27,290781
2021-04-09,CLVR,12.15,1904464
2021-04-12,CLVR,10.97,637304
2021-04-13,CLVR,11.89,264836
2021-04-14,CLVR,11.68,349057
2021-04-15,CLVR,11.42,158524
2021-04-16,CLVR,10.56,470131
2021-04-19,CLVR,10.63,472139
2021-04-20,CLVR,10.1,357051
2021-04-21,CLVR,10.35,181755
2021-04-22,CLVR,9.97,279348
2021-04-23,CLVR,10.84,148667
2021-04-26,CLVR,10.45,178316
2021-04-27,CLVR,10.1,218642
2021-04-28,CLVR,10.88,456295
2021-04-29,CLVR,10.59,149840
2021-04-30,CLVR,10.02,435047
2021-05-03,CLVR,9.67,339825
2021-05-04,CLVR,9.65,269603
2021-05-05,CLVR,9.44,117229
2021-05-06,CLVR,9.08,286310
2021-05-07,CLVR,9.49,173995
2021-05-10,CLVR,8.8,331964
2021-05-11,CLVR,8.69,203732
2021-05-12,CLVR,8.89,260614
2021-05-13,CLVR,8.45,171434
2021-05-14,CLVR,8.63,129670
2021-05-17,CLVR,8.55,170812
2021-05-18,CLVR,8.37,259852
2021-05-19,CLVR,8.17,323820
2021-05-20,CLVR,8.57,207493
2021-05-21,CLVR,8.97,176278
2021-05-24,CLVR,9.06,275090
2021-05-25,CLVR,9.6,273911
2021-05-26,CLVR,10.12,316601
2021-05-27,CLVR,10.99,573851
2021-05-28,CLVR,12.23,2686397
2021-06-01,CLVR,11.27,355319
2021-06-02,CLVR,11.07,224167
2021-06-03,CLVR,11.135,202154
2021-06-04,CLVR,10.8,131738
2021-06-07,CLVR,11.02,126480
2021-06-08,CLVR,10.99,110460
2021-06-09,CLVR,11.25,240395
2021-06-10,CLVR,10.81,182988
2021-06-11,CLVR,11.47,134297
2021-06-14,CLVR,11.0,132563
2021-06-15,CLVR,10.68,81513
2021-06-16,CLVR,10.75,110905
2021-06-17,CLVR,10.77,49895
2021-06-18,CLVR,10.85,164444
2021-06-21,CLVR,10.4,100777
2021-06-22,CLVR,10.04,136914
2021-06-23,CLVR,10.4,68219
2021-06-24,CLVR,10.43,85760
2021-06-25,CLVR,10.88,150862
2021-06-28,CLVR,10.17,170739
2021-06-29,CLVR,10.14,68909
2021-06-30,CLVR,10.15,70015
2021-07-01,CLVR,10.21,68987
2021-07-02,CLVR,9.97,69533
2021-07-06,CLVR,9.87,59815
2021-07-07,CLVR,9.27,94913
2021-07-08,CLVR,8.98,123353
2021-07-09,CLVR,9.42,74720
2021-07-12,CLVR,9.1,84036
2021-07-13,CLVR,8.99,121139
2021-07-14,CLVR,9.145,91922
2021-07-15,CLVR,9.26,78847
2021-07-16,CLVR,8.87,69315
2021-07-19,CLVR,8.8,111575
2021-07-20,CLVR,9.07,96597
2021-07-21,CLVR,9.19,65955
2021-07-22,CLVR,9.07,50708
2021-07-23,CLVR,9.02,92089
2021-07-26,CLVR,9.58,104787
2021-07-27,CLVR,9.21,95229
2021-07-28,CLVR,9.98,253703
2021-07-29,CLVR,10.28,99695
2021-07-30,CLVR,10.13,134021
2021-08-02,CLVR,9.84,49196
2021-08-03,CLVR,10.16,56404
2021-08-04,CLVR,9.99,42903
2021-08-05,CLVR,10.16,47571
2021-08-06,CLVR,10.65,134809
2021-08-09,CLVR,10.97,89844
2021-08-10,CLVR,11.0,162662
2021-08-11,CLVR,11.1,161357
2021-08-12,CLVR,11.11,128731
2021-08-13,CLVR,12.38,946703
2021-08-16,CLVR,10.49,337254
2021-08-17,CLVR,9.84,249087
2021-08-18,CLVR,9.79,88136
2021-08-19,CLVR,10.04,96294
2021-08-20,CLVR,10.05,76211
2021-08-23,CLVR,10.26,80205
2021-08-24,CLVR,10.37,99222
2021-08-25,CLVR,9.88,106948
2021-08-26,CLVR,9.72,73698
2021-08-27,CLVR,9.85,95309
2021-08-30,CLVR,9.45,90823
2021-08-31,CLVR,9.26,149811
2021-09-01,CLVR,9.27,146620
2021-09-02,CLVR,9.32,120100
2021-09-03,CLVR,9.24,135190
2021-09-07,CLVR,8.63,249226
2021-09-08,CLVR,9.4,168695
2021-09-09,CLVR,8.84,151879
2021-09-10,CLVR,8.8,162606
2021-09-13,CLVR,8.59,105672
2021-09-14,CLVR,8.33,88473
2021-09-15,CLVR,8.4,104334
2021-09-16,CLVR,8.64,51173
2021-09-17,CLVR,8.61,64015
2021-09-20,CLVR,7.9,271661
2021-09-21,CLVR,8.1,116188
2021-09-22,CLVR,8.64,84024
2021-09-23,CLVR,8.72,78905
2021-09-24,CLVR,8.71,91882
2021-09-27,CLVR,8.42,84817
2021-09-28,CLVR,7.84,239332
2021-09-29,CLVR,7.87,111777
2021-09-30,CLVR,7.76,138211
2021-10-01,CLVR,7.5,167368
2021-10-04,CLVR,7.19,171198
2021-10-05,CLVR,7.13,87064
2021-10-06,CLVR,7.16,151779
2021-10-07,CLVR,7.26,392546
2021-10-08,CLVR,7.16,52238
2021-10-11,CLVR,6.92,97029
2021-10-12,CLVR,7.06,72771
2021-10-13,CLVR,6.93,75429
2021-10-14,CLVR,6.94,81977
2021-10-15,CLVR,6.79,86255
2021-10-18,CLVR,6.73,82818
2021-10-19,CLVR,7.31,150855
2021-10-20,CLVR,7.33,60100
2021-10-21,CLVR,7.36,49109
2021-10-22,CLVR,6.84,90541
2021-10-25,CLVR,7.1,66345
2021-10-26,CLVR,6.86,54433
2021-10-27,CLVR,6.66,61089
2021-10-28,CLVR,6.76,72933
2021-10-29,CLVR,6.68,56428
2021-11-01,CLVR,6.83,72550
2021-11-02,CLVR,6.67,100720
2021-11-03,CLVR,6.51,91986
2021-11-04,CLVR,6.37,167617
2021-11-05,CLVR,6.37,125904
2021-11-08,CLVR,6.68,187990
2021-11-09,CLVR,6.32,205940
2021-11-10,CLVR,5.98,382095
2021-11-11,CLVR,5.57,549745
2021-11-12,CLVR,5.75,1202138
2021-11-15,CLVR,5.94,489500
2021-11-16,CLVR,6.13,266375
2021-11-17,CLVR,5.75,214372
2021-11-18,CLVR,5.24,259115
2021-11-19,CLVR,5.21,184616
2021-11-22,CLVR,5.26,170851
2021-11-23,CLVR,5.23,130175
2021-11-24,CLVR,5.34,69215
2021-11-26,CLVR,5.22,86613
2021-11-29,CLVR,4.88,152968
2021-11-30,CLVR,4.96,222879
2021-12-01,CLVR,4.33,360074
2021-12-02,CLVR,4.83,229978
2021-12-03,CLVR,4.59,171975
2021-12-06,CLVR,4.62,158149
2021-12-07,CLVR,4.63,207728
2021-12-08,CLVR,4.66,133197
2021-12-09,CLVR,4.34,116807
2021-12-10,CLVR,4.13,207449
