ds,symbol,close,volume
2020-09-21,CMAX,9.9,49573
2020-09-22,CMAX,10.13,2500
2020-09-23,CMAX,10.13,2
2020-09-24,CMAX,10.13,0
2020-09-25,CMAX,10.13,0
2020-09-28,CMAX,10.13,19
2020-09-29,CMAX,10.13,41
2020-09-30,CMAX,10.5,15224
2020-10-01,CMAX,10.62,22189
2020-10-02,CMAX,10.21,1470
2020-10-05,CMAX,10.62,2290
2020-10-06,CMAX,10.52,4203
2020-10-07,CMAX,10.445,9705
2020-10-08,CMAX,10.65,152
2020-10-09,CMAX,10.5499,166
2020-10-12,CMAX,10.5499,53
2020-10-13,CMAX,10.2,19538
2020-10-14,CMAX,10.2,2635
2020-10-15,CMAX,10.27,12935
2020-10-16,CMAX,10.27,41
2020-10-19,CMAX,10.25,1548
2020-10-20,CMAX,10.25,3
2020-10-21,CMAX,10.205,831
2020-10-22,CMAX,10.205,70
2020-10-23,CMAX,10.2,5647
2020-10-26,CMAX,10.15,1521
2020-10-27,CMAX,10.25,936
2020-10-28,CMAX,10.3,402
2020-10-29,CMAX,10.3,2
2020-10-30,CMAX,10.1,18912
2020-11-02,CMAX,10.12,210470
2020-11-03,CMAX,10.35,105
2020-11-04,CMAX,10.25,1505
2020-11-05,CMAX,10.25,2101
2020-11-06,CMAX,10.2,2330
2020-11-09,CMAX,10.2,91
2020-11-10,CMAX,10.15,12014
2020-11-11,CMAX,10.15,40308
2020-11-12,CMAX,10.2,5000
2020-11-13,CMAX,10.2,2467
2020-11-16,CMAX,10.15,540
2020-11-17,CMAX,10.15,438
2020-11-18,CMAX,10.16,1990
2020-11-19,CMAX,10.16,54
2020-11-20,CMAX,10.25,1305
2020-11-23,CMAX,10.35,13152
2020-11-24,CMAX,10.25,2537
2020-11-25,CMAX,10.45,21837
2020-11-27,CMAX,10.35,2357
2020-11-30,CMAX,10.7,35850
2020-12-01,CMAX,11.0,14747
2020-12-02,CMAX,11.25,36819
2020-12-03,CMAX,11.05,3907
2020-12-04,CMAX,11.33,33007
2020-12-07,CMAX,11.05,12562
2020-12-08,CMAX,11.0,13674
2020-12-09,CMAX,11.05,3751
2020-12-10,CMAX,11.0,17434
2020-12-11,CMAX,11.1,14178
2020-12-14,CMAX,10.96,31765
2020-12-15,CMAX,10.7,520
2020-12-16,CMAX,11.26,26260
2020-12-17,CMAX,11.26,439
2020-12-18,CMAX,14.35,2464039
2020-12-21,CMAX,14.22,391197
2020-12-22,CMAX,14.44,535512
2020-12-23,CMAX,14.82,88572
2020-12-24,CMAX,15.0,83163
2020-12-28,CMAX,15.27,85464
2020-12-29,CMAX,14.9,120195
2020-12-30,CMAX,15.3,171565
2020-12-31,CMAX,15.6,151517
2021-01-04,CMAX,16.05,288199
2021-01-05,CMAX,15.67,274424
2021-01-06,CMAX,16.0,79413
2021-01-07,CMAX,16.42,357709
2021-01-08,CMAX,16.29,92053
2021-01-11,CMAX,16.98,276391
2021-01-12,CMAX,16.5,188114
2021-01-13,CMAX,16.28,257505
2021-01-14,CMAX,15.68,144848
2021-01-15,CMAX,16.02,95853
2021-01-19,CMAX,16.47,382268
2021-01-20,CMAX,15.85,33923
2021-01-21,CMAX,15.8,342762
2021-01-22,CMAX,16.24,155035
2021-01-25,CMAX,15.52,300057
2021-01-26,CMAX,15.04,169054
2021-01-27,CMAX,13.78,324971
2021-01-28,CMAX,13.7,401264
2021-01-29,CMAX,13.97,123324
2021-02-01,CMAX,13.75,87239
2021-02-02,CMAX,13.4,12762
2021-02-03,CMAX,13.51,33395
2021-02-04,CMAX,13.13,88605
2021-02-05,CMAX,13.39,25247
2021-02-08,CMAX,13.48,76244
2021-02-09,CMAX,13.11,22946
