ds,symbol,close,volume
1990-01-02,COO,5.0625,89800
1990-01-03,COO,5.0625,42267
1990-01-04,COO,5.25,124133
1990-01-05,COO,6.0,187333
1990-01-08,COO,5.8125,58533
1990-01-09,COO,6.1875,50733
1990-01-10,COO,6.375,95000
1990-01-11,COO,6.375,38867
1990-01-12,COO,6.375,68667
1990-01-15,COO,6.0,48667
1990-01-16,COO,6.1875,23067
1990-01-17,COO,6.375,16933
1990-01-18,COO,6.5625,46533
1990-01-19,COO,6.9375,52867
1990-01-22,COO,6.5625,75067
1990-01-23,COO,6.5625,17800
1990-01-24,COO,6.1875,34400
1990-01-25,COO,6.375,9400
1990-01-26,COO,7.125,164533
1990-01-29,COO,7.125,68533
1990-01-30,COO,6.75,70600
1990-01-31,COO,6.75,9733
1990-02-01,COO,6.75,24533
1990-02-02,COO,6.75,26267
1990-02-05,COO,6.1875,32133
1990-02-06,COO,6.0,24400
1990-02-07,COO,6.375,21000
1990-02-08,COO,6.0,33533
1990-02-09,COO,6.1875,19467
1990-02-12,COO,6.0,2600
1990-02-13,COO,5.8125,10267
1990-02-14,COO,5.625,33867
1990-02-15,COO,5.625,9333
1990-02-16,COO,5.8125,14600
1990-02-20,COO,5.625,4733
1990-02-21,COO,5.625,6000
1990-02-22,COO,5.625,9600
1990-02-23,COO,5.625,17000
1990-02-26,COO,5.625,2400
1990-02-27,COO,5.625,7933
1990-02-28,COO,5.625,14733
1990-03-01,COO,5.625,1067
1990-03-02,COO,5.625,12667
1990-03-05,COO,5.4375,9733
1990-03-06,COO,5.625,8400
1990-03-07,COO,5.625,13600
1990-03-08,COO,5.625,11867
1990-03-09,COO,5.4375,4067
1990-03-12,COO,5.4375,8933
1990-03-13,COO,5.8125,37200
1990-03-14,COO,5.8125,3600
1990-03-15,COO,6.0,34067
1990-03-16,COO,6.375,41667
1990-03-19,COO,6.9375,41200
1990-03-20,COO,6.75,22867
1990-03-21,COO,6.75,5667
1990-03-22,COO,6.5625,28400
1990-03-23,COO,6.375,8267
1990-03-26,COO,6.375,1667
1990-03-27,COO,6.1875,17000
1990-03-28,COO,6.5625,9067
1990-03-29,COO,6.5625,7067
1990-03-30,COO,6.75,15600
1990-04-02,COO,6.375,4600
1990-04-03,COO,6.5625,7333
1990-04-04,COO,6.5625,9067
1990-04-05,COO,6.75,27733
1990-04-06,COO,6.5625,3467
1990-04-09,COO,6.75,21733
1990-04-10,COO,6.75,13800
1990-04-11,COO,6.75,24333
1990-04-12,COO,6.9375,22400
1990-04-16,COO,6.9375,11067
1990-04-17,COO,6.75,17200
1990-04-18,COO,6.5625,13600
1990-04-19,COO,6.375,12467
1990-04-20,COO,6.375,4667
1990-04-23,COO,6.0,15133
1990-04-24,COO,6.0,15000
1990-04-25,COO,6.1875,6467
1990-04-26,COO,6.0,8000
1990-04-27,COO,6.0,933
1990-04-30,COO,6.0,3933
1990-05-01,COO,6.0,13800
1990-05-02,COO,6.0,14533
1990-05-03,COO,6.0,4467
1990-05-04,COO,6.0,9067
1990-05-07,COO,6.0,9133
1990-05-08,COO,6.0,2533
1990-05-09,COO,5.8125,1800
1990-05-10,COO,6.0,2133
1990-05-11,COO,6.1875,10733
1990-05-14,COO,6.1875,24733
1990-05-15,COO,6.0,15533
1990-05-16,COO,6.0,2867
1990-05-17,COO,6.0,19000
1990-05-18,COO,6.0,10467
1990-05-21,COO,6.0,6067
1990-05-22,COO,5.8125,32000
1990-05-23,COO,5.8125,2600
1990-05-24,COO,5.8125,7267
1990-05-25,COO,6.0,3333
1990-05-29,COO,6.1875,20467
1990-05-30,COO,6.1875,7867
1990-05-31,COO,6.1875,41733
1990-06-01,COO,6.0,45133
1990-06-04,COO,6.0,12933
1990-06-05,COO,5.8125,4467
1990-06-06,COO,5.8125,17267
1990-06-07,COO,5.8125,5867
1990-06-08,COO,6.0,22667
1990-06-11,COO,5.8125,29933
1990-06-12,COO,6.0,37333
1990-06-13,COO,5.8125,18867
1990-06-14,COO,5.8125,17333
1990-06-15,COO,5.8125,14667
1990-06-18,COO,6.0,7333
1990-06-19,COO,5.8125,19267
1990-06-20,COO,5.4375,14733
1990-06-21,COO,5.4375,5333
1990-06-22,COO,5.25,99533
1990-06-25,COO,5.0625,6467
1990-06-26,COO,4.875,16867
1990-06-27,COO,5.0625,90000
1990-06-28,COO,5.4375,16867
1990-06-29,COO,5.8125,5733
1990-07-02,COO,5.625,24200
1990-07-03,COO,5.25,11400
1990-07-05,COO,5.4375,400
1990-07-06,COO,5.0625,13000
1990-07-09,COO,5.25,6800
1990-07-10,COO,5.0625,9000
1990-07-11,COO,5.4375,19733
1990-07-12,COO,5.4375,4533
1990-07-13,COO,6.1875,196733
1990-07-16,COO,6.0,20133
1990-07-17,COO,6.0,37533
1990-07-18,COO,6.0,16133
1990-07-19,COO,6.0,3000
1990-07-20,COO,6.0,9667
1990-07-23,COO,5.8125,8333
1990-07-24,COO,6.0,13667
1990-07-25,COO,5.8125,3400
1990-07-26,COO,5.625,19133
1990-07-27,COO,5.8125,12067
1990-07-30,COO,5.625,21533
1990-07-31,COO,5.8125,4400
1990-08-01,COO,5.625,3133
1990-08-02,COO,5.625,15933
1990-08-03,COO,5.625,7000
1990-08-06,COO,5.4375,4933
1990-08-07,COO,5.625,8000
1990-08-08,COO,5.25,31733
1990-08-09,COO,5.25,14733
1990-08-10,COO,5.625,24733
1990-08-13,COO,5.625,4133
1990-08-14,COO,5.8125,23867
1990-08-15,COO,5.625,4400
1990-08-16,COO,5.625,36467
1990-08-17,COO,5.4375,14600
1990-08-20,COO,5.4375,2533
1990-08-21,COO,5.25,7333
1990-08-22,COO,5.0625,12600
1990-08-23,COO,4.875,9333
1990-08-24,COO,4.875,14800
1990-08-27,COO,5.0625,11733
1990-08-28,COO,5.0625,7800
1990-08-29,COO,5.0625,800
1990-08-30,COO,4.875,20067
1990-08-31,COO,5.25,2200
1990-09-04,COO,4.6875,2933
1990-09-05,COO,4.5,66600
1990-09-06,COO,4.5,24667
1990-09-07,COO,4.3125,65000
1990-09-10,COO,4.3125,8867
1990-09-11,COO,4.3125,12933
1990-09-12,COO,4.125,6200
1990-09-13,COO,4.3125,19400
1990-09-14,COO,4.6875,31267
1990-09-17,COO,5.0625,9133
1990-09-18,COO,5.0625,10200
1990-09-19,COO,4.6875,21467
1990-09-20,COO,4.5,2933
1990-09-21,COO,4.5,8000
1990-09-24,COO,4.125,31533
1990-09-25,COO,3.9375,18267
