ds,symbol,close,volume
2006-09-12,COOP,268.56,234
2006-09-13,COOP,272.592,63
2006-09-14,COOP,271.44,83
2006-09-15,COOP,268.992,193
2006-09-18,COOP,266.4,3254
2006-09-19,COOP,268.272,160
2006-09-20,COOP,267.84,847
2006-09-21,COOP,269.136,200
2006-09-22,COOP,269.28,166
2006-09-25,COOP,264.96,54
2006-09-26,COOP,268.128,853
2006-09-27,COOP,264.4704,151
2006-09-28,COOP,268.128,437
2006-09-29,COOP,261.792,713
2006-10-02,COOP,268.272,251
2006-10-03,COOP,273.6,143
2006-10-04,COOP,273.6,343
2006-10-05,COOP,270.0,93
2006-10-06,COOP,273.456,890
2006-10-09,COOP,270.72,104
2006-10-10,COOP,269.28,6
2006-10-11,COOP,271.296,79
2006-10-12,COOP,268.56,41
2006-10-13,COOP,272.16,62
2006-10-16,COOP,268.128,24
2006-10-17,COOP,271.152,73
2006-10-18,COOP,269.856,89
2006-10-19,COOP,268.56,67
2006-10-20,COOP,273.5482,86
2006-10-23,COOP,271.728,132
2006-10-24,COOP,268.128,213
2006-10-25,COOP,273.6,303
2006-10-26,COOP,269.424,79
2006-10-27,COOP,269.28,885
2006-10-30,COOP,270.72,370
2006-10-31,COOP,273.6,147
2006-11-01,COOP,270.72,251
2006-11-02,COOP,273.312,291
2006-11-03,COOP,272.016,101
2006-11-06,COOP,273.456,202
2006-11-07,COOP,272.16,24
2006-11-08,COOP,273.6,59
2006-11-09,COOP,267.12,524
2006-11-10,COOP,270.0,249
2006-11-13,COOP,271.008,111
2006-11-15,COOP,266.832,227
2006-11-16,COOP,267.84,44
2006-11-17,COOP,262.8,108
2006-11-20,COOP,270.72,381
2006-11-21,COOP,269.28,14
2006-11-22,COOP,265.104,14
2006-11-27,COOP,268.0502,309
2006-11-28,COOP,265.5014,121
2006-11-29,COOP,265.248,20
2006-11-30,COOP,263.088,45
2006-12-01,COOP,260.64,85
2006-12-04,COOP,264.24,243
2006-12-05,COOP,262.6675,10
2006-12-06,COOP,262.08,94
2006-12-07,COOP,262.8,6
2006-12-08,COOP,262.368,436
2006-12-11,COOP,263.376,92
2006-12-13,COOP,262.08,85
2006-12-14,COOP,266.256,27
2006-12-15,COOP,263.232,27
2006-12-18,COOP,256.464,727
2006-12-19,COOP,256.32,115
2006-12-20,COOP,258.912,13
2006-12-21,COOP,253.584,468
2006-12-22,COOP,248.4,544
2006-12-26,COOP,246.096,270
2006-12-27,COOP,244.8,514
2006-12-28,COOP,253.008,284
2006-12-29,COOP,257.616,326
2007-01-03,COOP,255.6,76
2007-01-04,COOP,257.4144,569
2007-01-05,COOP,251.712,76
2007-01-08,COOP,254.592,72
2007-01-09,COOP,249.264,177
2007-01-11,COOP,253.836,264
2007-01-12,COOP,254.592,72
2007-01-16,COOP,256.0147,71
2007-01-17,COOP,256.5864,36
2007-01-18,COOP,255.6,47
2007-01-19,COOP,253.584,19
2007-01-22,COOP,253.44,134
2007-01-23,COOP,255.2832,32
2007-01-24,COOP,257.04,135
2007-01-25,COOP,257.04,347
2007-01-26,COOP,257.328,208
2007-01-29,COOP,266.4,7554
2007-01-30,COOP,268.848,52
2007-01-31,COOP,272.016,62
2007-02-01,COOP,272.16,168
2007-02-02,COOP,270.144,400
2007-02-05,COOP,266.4,270
2007-02-06,COOP,267.84,335
2007-02-07,COOP,265.824,784
2007-02-08,COOP,266.112,875
2007-02-09,COOP,267.9336,62
2007-02-12,COOP,262.368,142
2007-02-13,COOP,261.9878,31
2007-02-14,COOP,262.08,694
2007-02-15,COOP,260.784,1408
2007-02-16,COOP,259.1798,10
2007-02-20,COOP,254.16,530
2007-02-21,COOP,254.592,320
2007-02-22,COOP,252.0,134
2007-02-23,COOP,253.728,172
2007-02-26,COOP,258.48,929
2007-02-27,COOP,254.592,93
2007-02-28,COOP,252.72,150
2007-03-01,COOP,252.8352,32
2007-03-02,COOP,252.0,93
2007-03-05,COOP,252.0,6
2007-03-06,COOP,252.72,156
2007-03-07,COOP,252.72,1616
2007-03-08,COOP,253.152,76
2007-03-09,COOP,252.72,757
2007-03-13,COOP,247.824,340
2007-03-14,COOP,247.68,305
2007-03-16,COOP,245.376,623
2007-03-19,COOP,233.856,4423
2007-03-20,COOP,239.904,313
2007-03-21,COOP,239.904,48
2007-03-22,COOP,239.328,573
2007-03-23,COOP,239.904,145
2007-03-26,COOP,239.76,321
2007-03-27,COOP,238.032,202
2007-03-28,COOP,236.88,100
2007-03-29,COOP,236.88,77
2007-03-30,COOP,236.88,892
2007-04-02,COOP,237.312,358
2007-04-03,COOP,234.0,27
2007-04-04,COOP,230.4,86
2007-04-05,COOP,230.4,85
2007-04-09,COOP,233.136,102
2007-04-10,COOP,234.0,125
2007-04-11,COOP,236.304,290
2007-04-12,COOP,236.88,382
2007-04-13,COOP,237.6,77
2007-04-16,COOP,236.88,116
2007-04-17,COOP,236.592,158
2007-04-18,COOP,237.6,447
2007-04-19,COOP,233.856,486
2007-04-20,COOP,235.872,974
2007-04-23,COOP,237.6,297
2007-04-24,COOP,236.88,27
2007-04-25,COOP,239.04,285
2007-04-26,COOP,235.008,106
2007-04-27,COOP,235.008,177
2007-04-30,COOP,234.0,348
2007-05-01,COOP,235.872,1799
2007-05-02,COOP,239.472,1843
2007-05-03,COOP,239.76,64
2007-05-04,COOP,239.04,184
2007-05-07,COOP,241.488,198
2007-05-08,COOP,241.92,1743
2007-05-09,COOP,242.928,110
2007-05-10,COOP,243.36,119
2007-05-11,COOP,243.792,180
2007-05-14,COOP,242.784,69
2007-05-15,COOP,239.0544,337
2007-05-16,COOP,234.0,198
2007-05-17,COOP,234.0,258
2007-05-18,COOP,234.0,235
2007-05-21,COOP,234.72,69
2007-05-22,COOP,237.888,843
2007-05-24,COOP,241.2,271
2007-05-25,COOP,241.056,20
2007-05-29,COOP,244.368,676
2007-05-30,COOP,244.656,154
2007-05-31,COOP,241.488,145
2007-06-01,COOP,236.88,472
2007-06-04,COOP,242.496,220
2007-06-05,COOP,241.056,344
2007-06-06,COOP,241.056,97
2007-06-07,COOP,234.0,1223
2007-06-08,COOP,236.16,76
2007-06-11,COOP,235.44,135
2007-06-12,COOP,234.0,763
2007-06-13,COOP,237.456,152
2007-06-14,COOP,236.448,85
2007-06-15,COOP,232.992,209
2007-06-18,COOP,236.16,136
2007-06-19,COOP,234.72,154
2007-06-20,COOP,234.432,227
2007-06-21,COOP,234.072,243
2007-06-22,COOP,236.88,27
2007-06-25,COOP,238.32,97
2007-06-26,COOP,237.6,61
2007-06-27,COOP,236.592,474
2007-06-28,COOP,237.6,412
2007-06-29,COOP,237.888,264
2007-07-02,COOP,236.88,243
2007-07-05,COOP,237.6,85
2007-07-06,COOP,240.912,90
2007-07-09,COOP,242.208,391
2007-07-10,COOP,244.8,340
2007-07-11,COOP,244.656,97
2007-07-12,COOP,248.4,326
2007-07-13,COOP,245.6064,34
2007-07-16,COOP,242.496,515
2007-07-17,COOP,244.512,656
2007-07-18,COOP,243.504,101
2007-07-19,COOP,245.088,27
2007-07-23,COOP,238.896,399
2007-07-24,COOP,237.6,83
2007-07-25,COOP,238.176,290
2007-07-26,COOP,242.0784,318
2007-07-27,COOP,240.624,303
2007-07-30,COOP,238.32,303
2007-07-31,COOP,239.184,498
2007-08-01,COOP,237.9024,13
2007-08-02,COOP,241.2,208
2007-08-03,COOP,237.6,179
2007-08-06,COOP,234.0,946
2007-08-07,COOP,230.4,874
2007-08-08,COOP,229.68,465
2007-08-09,COOP,223.344,76
2007-08-10,COOP,231.264,74
2007-08-13,COOP,230.976,6
2007-08-14,COOP,221.616,328
2007-08-15,COOP,223.2,1387
2007-08-16,COOP,218.88,129
2007-08-17,COOP,220.608,1170
2007-08-20,COOP,221.04,1813
2007-08-21,COOP,216.72,326
2007-08-22,COOP,221.184,225
2007-08-23,COOP,223.776,854
2007-08-24,COOP,228.384,79
2007-08-27,COOP,233.7106,152
2007-08-28,COOP,239.472,576
2007-08-29,COOP,241.2,652
2007-08-30,COOP,237.6,605
2007-08-31,COOP,240.48,152
2007-09-04,COOP,239.904,378
2007-09-05,COOP,243.072,130
2007-09-06,COOP,246.528,715
2007-09-07,COOP,247.68,93
2007-09-10,COOP,243.36,20
2007-09-11,COOP,244.656,71
2007-09-12,COOP,239.904,745
2007-09-13,COOP,241.776,180
2007-09-14,COOP,242.64,238
2007-09-17,COOP,239.184,342
2007-09-18,COOP,241.344,166
2007-09-19,COOP,248.256,1516
2007-09-20,COOP,246.24,208
2007-09-21,COOP,246.24,1076
2007-09-24,COOP,247.248,102
2007-09-25,COOP,244.08,298
2007-09-26,COOP,244.08,69
2007-09-27,COOP,243.936,69
2007-10-01,COOP,241.2,315
2007-10-02,COOP,242.496,54
2007-10-03,COOP,243.0734,20
2007-10-04,COOP,246.384,347
2007-10-05,COOP,246.528,125
2007-10-08,COOP,246.528,226
2007-10-09,COOP,245.3774,111
2007-10-10,COOP,249.12,90
2007-10-11,COOP,249.12,89
2007-10-12,COOP,252.0,441
2007-10-15,COOP,253.44,285
2007-10-16,COOP,252.0,808
2007-10-17,COOP,243.36,111
2007-10-18,COOP,243.792,143
2007-10-19,COOP,251.1072,15
2007-10-22,COOP,252.0,111
2007-10-23,COOP,251.856,969
2007-10-24,COOP,247.104,48
2007-10-25,COOP,241.2,69
2007-10-26,COOP,241.2288,13
2007-10-29,COOP,241.776,13
2007-10-30,COOP,232.128,489
2007-10-31,COOP,234.288,111
2007-11-01,COOP,234.432,465
2007-11-02,COOP,232.416,140
2007-11-05,COOP,227.52,326
2007-11-06,COOP,229.68,307
2007-11-07,COOP,226.656,208
2007-11-08,COOP,219.6,1300
2007-11-09,COOP,217.872,243
2007-11-12,COOP,206.352,878
2007-11-13,COOP,208.08,262
2007-11-14,COOP,206.64,274
2007-11-15,COOP,207.36,296
2007-11-19,COOP,207.36,20
2007-11-20,COOP,205.2,613
2007-11-21,COOP,202.32,80
2007-11-26,COOP,196.272,222
2007-11-27,COOP,198.72,6
2007-11-28,COOP,198.576,153
2007-11-29,COOP,198.72,61
2007-11-30,COOP,198.72,227
2007-12-03,COOP,195.552,308
2007-12-04,COOP,191.088,55
2007-12-05,COOP,192.4416,79
2007-12-06,COOP,188.784,90
2007-12-07,COOP,187.344,90
2007-12-10,COOP,192.96,196
2007-12-11,COOP,192.96,144
2007-12-12,COOP,191.376,193
2007-12-13,COOP,190.8,251
2007-12-14,COOP,192.24,378
2007-12-17,COOP,192.24,11
