ds,symbol,close,volume
2004-04-14,CORT,12.23,358208
2004-04-15,CORT,12.0,214574
2004-04-16,CORT,12.0,111750
2004-04-19,CORT,11.4,292100
2004-04-20,CORT,11.02,31300
2004-04-21,CORT,10.8,176925
2004-04-22,CORT,10.9,33425
2004-04-23,CORT,10.9,54379
2004-04-26,CORT,10.85,45920
2004-04-27,CORT,10.85,27741
2004-04-28,CORT,10.85,41140
2004-04-29,CORT,11.3,29300
2004-04-30,CORT,11.74,36803
2004-05-03,CORT,11.0,56908
2004-05-04,CORT,11.69,66841
2004-05-05,CORT,11.48,47200
2004-05-06,CORT,11.41,5430
2004-05-07,CORT,11.4,26200
2004-05-10,CORT,10.68,66264
2004-05-11,CORT,10.95,57557
2004-05-12,CORT,10.42,45400
2004-05-13,CORT,10.32,13203
2004-05-14,CORT,10.25,90475
2004-05-17,CORT,9.85,28020
2004-05-18,CORT,9.85,231040
2004-05-19,CORT,10.14,86379
2004-05-20,CORT,10.02,53143
2004-05-21,CORT,10.03,49601
2004-05-24,CORT,10.0,16649
2004-05-25,CORT,10.0,197228
2004-05-26,CORT,10.0,21746
2004-05-27,CORT,9.94,81500
2004-05-28,CORT,11.2,194500
2004-06-01,CORT,10.74,13115
2004-06-02,CORT,10.6,6000
2004-06-03,CORT,10.65,3185
2004-06-04,CORT,10.89,8095
2004-06-07,CORT,10.75,8429
2004-06-08,CORT,10.64,300
2004-06-09,CORT,10.26,4658
2004-06-10,CORT,10.5,17991
2004-06-14,CORT,9.97,11183
2004-06-15,CORT,10.06,16231
2004-06-16,CORT,9.79,30499
2004-06-17,CORT,9.69,1500
2004-06-18,CORT,10.0,7337
2004-06-21,CORT,9.65,19982
2004-06-22,CORT,9.9,25769
2004-06-23,CORT,10.0,21984
2004-06-24,CORT,9.53,9538
2004-06-25,CORT,8.64,221407
2004-06-28,CORT,7.26,51425
2004-06-29,CORT,7.75,129589
2004-06-30,CORT,7.72,40313
2004-07-01,CORT,7.31,7000
2004-07-02,CORT,7.24,16800
2004-07-06,CORT,7.0,37204
2004-07-07,CORT,6.9,20538
2004-07-08,CORT,6.0,15901
2004-07-09,CORT,5.5,248506
2004-07-12,CORT,5.2,266342
2004-07-13,CORT,5.77,125633
2004-07-14,CORT,5.88,27467
2004-07-15,CORT,5.94,80798
2004-07-16,CORT,5.95,13844
2004-07-19,CORT,5.5,23299
2004-07-20,CORT,5.0,11364
2004-07-21,CORT,5.5,366781
2004-07-22,CORT,5.3,5070
2004-07-23,CORT,5.25,31258
2004-07-26,CORT,5.25,6014
2004-07-27,CORT,6.13,182968
2004-07-28,CORT,6.01,7097
2004-07-29,CORT,5.78,20816
2004-07-30,CORT,6.3,22864
2004-08-02,CORT,6.35,14100
2004-08-03,CORT,6.3,6542
2004-08-04,CORT,6.3,4477
2004-08-05,CORT,6.1,4857
2004-08-06,CORT,6.69,9034
2004-08-09,CORT,5.88,20434
2004-08-10,CORT,6.07,12097
2004-08-11,CORT,6.45,10957
2004-08-12,CORT,6.3,7351
2004-08-13,CORT,6.24,5190
2004-08-16,CORT,6.08,8853
2004-08-17,CORT,6.18,2899
2004-08-18,CORT,6.48,7193
2004-08-19,CORT,6.48,200
2004-08-20,CORT,6.4,5292
2004-08-23,CORT,6.32,2232
2004-08-24,CORT,6.4,6363
2004-08-25,CORT,6.45,27687
2004-08-26,CORT,6.75,7851
2004-08-27,CORT,7.44,8019
2004-08-30,CORT,8.6,93849
2004-08-31,CORT,8.3,46836
2004-09-01,CORT,7.72,57499
2004-09-02,CORT,8.1,26640
2004-09-03,CORT,7.76,10191
2004-09-07,CORT,7.9,9291
2004-09-08,CORT,7.85,4320
2004-09-09,CORT,7.75,7111
2004-09-10,CORT,7.9,14861
2004-09-13,CORT,7.9,7748
2004-09-14,CORT,8.0,8469
2004-09-15,CORT,7.99,8657
2004-09-16,CORT,7.9,6456
2004-09-17,CORT,7.89,15426
2004-09-20,CORT,7.82,7002
2004-09-21,CORT,7.31,32299
2004-09-22,CORT,7.39,23847
2004-09-23,CORT,7.6,5293
2004-09-24,CORT,6.94,4655
2004-09-27,CORT,7.05,6860
2004-09-28,CORT,7.85,6739
2004-09-29,CORT,7.75,30636
2004-09-30,CORT,7.84,95572
2004-10-01,CORT,7.5,14847
2004-10-04,CORT,7.45,18000
2004-10-05,CORT,7.58,5550
2004-10-06,CORT,7.73,4750
2004-10-07,CORT,7.77,12765
2004-10-08,CORT,7.16,12069
2004-10-11,CORT,6.83,12005
2004-10-12,CORT,7.1,10597
2004-10-13,CORT,7.08,17833
2004-10-14,CORT,7.0,6226
2004-10-15,CORT,7.2,13460
2004-10-18,CORT,6.96,1026
2004-10-19,CORT,6.93,12424
