ds,symbol,close,volume
1990-01-02,CP,2.25,2690000
1990-01-03,CP,2.2875,3807000
1990-01-04,CP,2.275,3211000
1990-01-05,CP,2.2375,3688000
1990-01-08,CP,2.225,5583000
1990-01-09,CP,2.2375,3971000
1990-01-10,CP,2.2125,2720000
1990-01-11,CP,2.2125,1950000
1990-01-12,CP,2.1875,2598000
1990-01-15,CP,2.15,2861000
1990-01-16,CP,2.1625,4338000
1990-01-17,CP,2.1875,7827000
1990-01-18,CP,2.1875,2179000
1990-01-19,CP,2.2,7691000
1990-01-22,CP,2.2,2976000
1990-01-23,CP,2.2,2889000
1990-01-24,CP,2.1375,2787000
1990-01-25,CP,2.15,3012000
1990-01-26,CP,2.1125,3536000
1990-01-29,CP,2.125,1153000
1990-01-30,CP,2.0875,2371000
1990-01-31,CP,2.1125,6818000
1990-02-01,CP,2.0875,2697000
1990-02-02,CP,2.125,3952000
1990-02-05,CP,2.1625,3772000
1990-02-06,CP,2.2,6586000
1990-02-07,CP,2.2,5403000
1990-02-08,CP,2.1625,3867000
1990-02-09,CP,2.15,2123000
1990-02-12,CP,2.15,2747000
1990-02-13,CP,2.1125,1733000
1990-02-14,CP,2.0875,1638000
1990-02-15,CP,2.0875,2492000
1990-02-16,CP,2.1,2573000
1990-02-20,CP,2.075,2604000
1990-02-21,CP,2.05,1302000
1990-02-22,CP,2.0625,1808000
1990-02-23,CP,2.0375,2645000
1990-02-26,CP,2.05,3349000
1990-02-27,CP,2.0375,2614000
1990-02-28,CP,2.075,3508000
1990-03-01,CP,2.0625,1277000
1990-03-02,CP,2.0875,1408000
1990-03-05,CP,2.075,588000
1990-03-06,CP,2.075,2210000
1990-03-07,CP,2.0875,1686000
1990-03-08,CP,2.1,2055000
1990-03-09,CP,2.1,1501000
1990-03-12,CP,2.1,1449000
1990-03-13,CP,2.1,2193000
1990-03-14,CP,2.1125,1176000
1990-03-15,CP,2.1,1515000
1990-03-16,CP,2.1,2664000
1990-03-19,CP,2.075,3398000
1990-03-20,CP,2.075,2491000
1990-03-21,CP,2.05,1735000
1990-03-22,CP,2.025,3986000
1990-03-23,CP,2.05,2164000
1990-03-26,CP,2.0875,3525000
1990-03-27,CP,2.1125,3719000
1990-03-28,CP,2.15,4906000
1990-03-29,CP,2.125,8635000
1990-03-30,CP,2.0875,5639000
1990-04-02,CP,2.075,1706000
1990-04-03,CP,2.1125,2456000
1990-04-04,CP,2.1,3721000
1990-04-05,CP,2.0875,1517000
1990-04-06,CP,2.0875,2205000
1990-04-09,CP,2.0625,2593000
1990-04-10,CP,2.0625,1622000
1990-04-11,CP,2.025,1673000
1990-04-12,CP,2.0375,742000
1990-04-16,CP,2.0125,1901000
1990-04-17,CP,2.0,2846000
1990-04-18,CP,1.8875,5194000
1990-04-19,CP,1.8125,5947000
1990-04-20,CP,1.8125,5130000
1990-04-23,CP,1.8375,2822000
1990-04-24,CP,1.825,6943000
1990-04-25,CP,1.8,4764000
1990-04-26,CP,1.8125,3464000
1990-04-27,CP,1.8,2683000
1990-04-30,CP,1.8375,2092000
1990-05-01,CP,1.8125,1958000
1990-05-02,CP,1.8,3380000
1990-05-03,CP,1.7875,2491000
1990-05-04,CP,1.8125,852000
1990-05-07,CP,1.8125,4715000
1990-05-08,CP,1.825,4589000
1990-05-09,CP,1.825,2842000
