ds,symbol,close,volume
1990-01-02,CPB,13.8125,2805200
1990-01-03,CPB,13.5625,1934000
1990-01-04,CPB,13.3125,1469600
1990-01-05,CPB,12.90625,1927200
1990-01-08,CPB,12.6875,1533600
1990-01-09,CPB,12.65625,586000
1990-01-10,CPB,12.53125,695200
1990-01-11,CPB,12.46875,662800
1990-01-12,CPB,12.3125,1176400
1990-01-15,CPB,12.5625,796000
1990-01-16,CPB,12.4375,1105600
1990-01-17,CPB,12.28125,626800
1990-01-18,CPB,12.28125,570000
1990-01-19,CPB,12.28125,769600
1990-01-22,CPB,11.75,931600
1990-01-23,CPB,12.125,2446800
1990-01-24,CPB,12.625,1339200
1990-01-25,CPB,11.9375,660400
1990-01-26,CPB,11.9375,1250000
1990-01-29,CPB,11.71875,904000
1990-01-30,CPB,11.59375,1040400
1990-01-31,CPB,11.90625,432400
1990-02-01,CPB,11.75,193200
1990-02-02,CPB,12.0625,371200
1990-02-05,CPB,12.15625,142800
1990-02-06,CPB,11.9375,250400
1990-02-07,CPB,12.25,528800
1990-02-08,CPB,12.09375,429600
1990-02-09,CPB,11.84375,448000
1990-02-12,CPB,11.75,421200
1990-02-13,CPB,11.875,219600
1990-02-14,CPB,11.8125,168400
1990-02-15,CPB,11.84375,154000
1990-02-16,CPB,11.71875,345200
1990-02-20,CPB,11.5625,329600
1990-02-21,CPB,11.4375,1065200
1990-02-22,CPB,11.53125,556800
1990-02-23,CPB,11.65625,486000
1990-02-26,CPB,11.65625,770000
1990-02-27,CPB,11.875,1094000
1990-02-28,CPB,11.84375,632800
1990-03-01,CPB,12.0625,848400
1990-03-02,CPB,12.15625,926800
1990-03-05,CPB,12.125,692400
1990-03-06,CPB,12.3125,692400
1990-03-07,CPB,12.1875,272000
1990-03-08,CPB,12.15625,335600
1990-03-09,CPB,12.21875,852800
1990-03-12,CPB,12.3125,402800
1990-03-13,CPB,12.1875,420000
1990-03-14,CPB,12.1875,179200
1990-03-15,CPB,12.125,171600
1990-03-16,CPB,12.34375,736400
1990-03-19,CPB,12.59375,935600
1990-03-20,CPB,12.75,813200
1990-03-21,CPB,12.78125,321200
1990-03-22,CPB,12.53125,626800
1990-03-23,CPB,12.71875,514400
1990-03-26,CPB,12.5625,284000
1990-03-27,CPB,12.71875,241600
1990-03-28,CPB,12.84375,620800
1990-03-29,CPB,12.8125,355200
1990-03-30,CPB,12.84375,489200
1990-04-02,CPB,13.03125,1097200
1990-04-03,CPB,13.25,852000
1990-04-04,CPB,13.03125,564400
1990-04-05,CPB,13.0625,247200
1990-04-06,CPB,13.34375,604000
1990-04-09,CPB,13.5,609200
1990-04-10,CPB,13.28125,354800
1990-04-11,CPB,13.15625,1232000
1990-04-12,CPB,13.40625,450000
1990-04-16,CPB,13.1875,394800
1990-04-17,CPB,13.21875,406000
1990-04-18,CPB,12.8125,545600
1990-04-19,CPB,12.71875,634800
1990-04-20,CPB,12.53125,543200
1990-04-23,CPB,12.71875,518800
1990-04-24,CPB,12.84375,524000
1990-04-25,CPB,12.9375,414800
1990-04-26,CPB,12.84375,278800
1990-04-27,CPB,12.5625,424400
1990-04-30,CPB,12.6875,328000
1990-05-01,CPB,12.6875,186400
1990-05-02,CPB,12.6875,227200
1990-05-03,CPB,12.65625,346000
1990-05-04,CPB,12.71875,257200
1990-05-07,CPB,12.6875,260800
1990-05-08,CPB,12.6875,222800
1990-05-09,CPB,12.96875,520000
1990-05-10,CPB,12.8125,434800
1990-05-11,CPB,12.9375,789600
1990-05-14,CPB,13.03125,936000
1990-05-15,CPB,13.0625,408400
1990-05-16,CPB,13.0,546400
1990-05-17,CPB,13.09375,632400
1990-05-18,CPB,13.375,1132000
1990-05-21,CPB,13.4375,764000
1990-05-22,CPB,13.25,788000
1990-05-23,CPB,13.21875,905200
1990-05-24,CPB,13.40625,538000
1990-05-25,CPB,13.34375,586800
1990-05-29,CPB,13.3125,396000
1990-05-30,CPB,13.28125,757600
1990-05-31,CPB,13.46875,655600
1990-06-01,CPB,14.0625,1210800
1990-06-04,CPB,14.15625,1404800
1990-06-05,CPB,15.0,3184000
1990-06-06,CPB,14.21875,2512400
1990-06-07,CPB,14.625,3650800
1990-06-08,CPB,14.8125,3583200
1990-06-11,CPB,15.3125,3282800
1990-06-12,CPB,15.0625,3122800
1990-06-13,CPB,14.65625,1772400
1990-06-14,CPB,14.8125,1999600
1990-06-15,CPB,15.15625,2843600
1990-06-18,CPB,15.0,2203200
1990-06-19,CPB,15.1875,2204000
1990-06-20,CPB,15.25,2417600
1990-06-21,CPB,14.90625,2636400
1990-06-22,CPB,14.3125,1931600
1990-06-25,CPB,14.0625,1658400
1990-06-26,CPB,14.09375,1978800
1990-06-27,CPB,14.5,1665200
1990-06-28,CPB,14.125,1641200
1990-06-29,CPB,14.3125,2308400
1990-07-02,CPB,14.5625,825200
1990-07-03,CPB,14.375,810000
1990-07-05,CPB,14.21875,662800
1990-07-06,CPB,14.28125,435600
1990-07-09,CPB,14.34375,766400
1990-07-10,CPB,14.21875,572800
1990-07-11,CPB,14.25,620800
1990-07-12,CPB,14.40625,818400
1990-07-13,CPB,14.0,2783600
1990-07-16,CPB,13.96875,537200
1990-07-17,CPB,14.0,590000
1990-07-18,CPB,13.9375,718000
1990-07-19,CPB,13.6875,588400
1990-07-20,CPB,13.25,698400
1990-07-23,CPB,12.9375,1444800
1990-07-24,CPB,13.15625,1154800
1990-07-25,CPB,13.5625,1460800
1990-07-26,CPB,13.46875,556800
1990-07-27,CPB,13.34375,462800
1990-07-30,CPB,13.46875,336800
