ds,symbol,close,volume
2009-08-11,CPIX,16.83,1743273
2009-08-12,CPIX,17.0,318883
2009-08-13,CPIX,17.045,77988
2009-08-14,CPIX,17.01,58111
2009-08-17,CPIX,16.8,118926
2009-08-18,CPIX,16.75,66129
2009-08-19,CPIX,16.75,137643
2009-08-20,CPIX,16.62,106427
2009-08-21,CPIX,16.75,166772
2009-08-24,CPIX,16.85,46228
2009-08-25,CPIX,16.86,21220
2009-08-26,CPIX,16.78,25123
2009-08-27,CPIX,16.75,26029
2009-08-28,CPIX,16.75,22400
2009-08-31,CPIX,16.74,9640
2009-09-01,CPIX,16.1,71097
2009-09-02,CPIX,15.97,61568
2009-09-03,CPIX,16.64,48200
2009-09-04,CPIX,16.75,47522
2009-09-08,CPIX,16.49,14733
2009-09-09,CPIX,16.95,80070
2009-09-10,CPIX,16.71,76646
2009-09-11,CPIX,15.91,29413
2009-09-14,CPIX,15.32,99244
2009-09-15,CPIX,15.08,61436
2009-09-16,CPIX,16.5,70762
2009-09-17,CPIX,16.58,31824
2009-09-18,CPIX,16.98,44064
2009-09-21,CPIX,16.99,68447
2009-09-22,CPIX,16.72,45443
2009-09-23,CPIX,16.34,25669
2009-09-24,CPIX,16.35,36185
2009-09-25,CPIX,15.25,41645
2009-09-28,CPIX,15.56,69750
2009-09-29,CPIX,16.49,133350
2009-09-30,CPIX,16.19,1026075
2009-10-01,CPIX,16.09,92135
2009-10-02,CPIX,15.49,93750
2009-10-05,CPIX,15.32,30757
2009-10-06,CPIX,15.53,24790
2009-10-07,CPIX,15.5,16671
2009-10-08,CPIX,15.41,38127
2009-10-09,CPIX,15.36,14732
2009-10-12,CPIX,14.72,57609
2009-10-13,CPIX,14.88,76799
2009-10-14,CPIX,14.33,32488
2009-10-15,CPIX,13.8,73515
2009-10-16,CPIX,13.4,123979
2009-10-19,CPIX,13.76,170464
2009-10-20,CPIX,13.75,60043
2009-10-21,CPIX,13.6,100496
2009-10-22,CPIX,13.43,46714
2009-10-23,CPIX,13.03,26434
2009-10-26,CPIX,13.55,64583
2009-10-27,CPIX,13.18,27689
2009-10-28,CPIX,11.95,56752
2009-10-29,CPIX,12.04,62005
2009-10-30,CPIX,11.9,38058
2009-11-02,CPIX,12.22,23990
2009-11-03,CPIX,12.48,47249
2009-11-04,CPIX,12.06,24258
2009-11-05,CPIX,12.58,24477
2009-11-06,CPIX,12.42,17670
2009-11-09,CPIX,12.51,21281
2009-11-10,CPIX,13.42,83763
2009-11-11,CPIX,13.45,58860
2009-11-12,CPIX,13.38,61967
2009-11-13,CPIX,13.53,95126
2009-11-16,CPIX,14.26,101470
2009-11-17,CPIX,14.25,66441
2009-11-18,CPIX,14.53,31096
2009-11-19,CPIX,14.62,41641
2009-11-20,CPIX,15.44,48409
2009-11-23,CPIX,15.15,34256
2009-11-24,CPIX,15.7,93171
2009-11-25,CPIX,15.65,32567
2009-11-27,CPIX,14.98,18456
2009-11-30,CPIX,14.35,19788
2009-12-01,CPIX,13.94,134939
2009-12-02,CPIX,13.89,66836
2009-12-03,CPIX,13.22,44842
2009-12-04,CPIX,13.72,142882
2009-12-07,CPIX,13.41,16588
2009-12-08,CPIX,13.25,7009
2009-12-09,CPIX,13.7,13226
2009-12-10,CPIX,13.98,49738
2009-12-11,CPIX,13.77,25719
2009-12-14,CPIX,13.9,12054
2009-12-15,CPIX,13.95,64815
2009-12-16,CPIX,14.06,12099
2009-12-17,CPIX,13.8,16759
2009-12-18,CPIX,13.9,84637
2009-12-21,CPIX,14.3,45585
2009-12-22,CPIX,13.9,17675
2009-12-23,CPIX,14.24,15740
2009-12-24,CPIX,14.14,2619
2009-12-28,CPIX,14.17,13651
2009-12-29,CPIX,14.19,24391
2009-12-30,CPIX,14.55,19590
2009-12-31,CPIX,13.59,18711
2010-01-04,CPIX,13.9,32358.0
2010-01-05,CPIX,14.01,51560.0
2010-01-06,CPIX,14.03,47698.0
2010-01-07,CPIX,14.3,25485.0
2010-01-08,CPIX,14.32,21632.0
2010-01-11,CPIX,13.995,19458.0
2010-01-12,CPIX,14.07,26183.0
2010-01-13,CPIX,14.05,19455.0
2010-01-14,CPIX,14.28,23178.0
2010-01-15,CPIX,13.05,71350.0
2010-01-19,CPIX,13.76,17978.0
2010-01-20,CPIX,13.45,12758.0
2010-01-21,CPIX,13.05,17506.0
2010-01-22,CPIX,13.26,15875.0
2010-01-25,CPIX,13.62,21557.0
2010-01-26,CPIX,12.96,18967.0
2010-01-27,CPIX,13.24,8767.0
2010-01-28,CPIX,12.33,73374.0
2010-01-29,CPIX,11.88,84825.0
2010-02-01,CPIX,12.29,39193.0
2010-02-02,CPIX,12.28,29880.0
2010-02-03,CPIX,12.25,33589.0
2010-02-04,CPIX,11.9,37751.0
2010-02-05,CPIX,11.91,41752.0
2010-02-08,CPIX,11.41,122685.0
2010-02-09,CPIX,11.52,33737.0
2010-02-10,CPIX,11.54,40241.0
2010-02-11,CPIX,11.64,16889.0
2010-02-12,CPIX,11.68,30989.0
2010-02-16,CPIX,11.6,32551.0
2010-02-17,CPIX,11.75,33479.0
2010-02-18,CPIX,11.8,60650.0
2010-02-19,CPIX,11.78,21241.0
2010-02-22,CPIX,11.73,42960.0
2010-02-23,CPIX,11.72,43835.0
2010-02-24,CPIX,11.52,33911.0
2010-02-25,CPIX,11.29,52861.0
2010-02-26,CPIX,11.1,22495.0
2010-03-01,CPIX,11.27,18206.0
2010-03-02,CPIX,11.6,36477.0
2010-03-03,CPIX,11.59,16633.0
2010-03-04,CPIX,11.47,11672.0
2010-03-05,CPIX,11.6,63807.0
2010-03-08,CPIX,11.65,22122.0
2010-03-09,CPIX,12.0,119532.0
2010-03-10,CPIX,11.29,77808.0
2010-03-11,CPIX,11.79,102270.0
2010-03-12,CPIX,11.5,150403.0
2010-03-15,CPIX,11.46,67875.0
2010-03-16,CPIX,11.35,66547.0
2010-03-17,CPIX,11.35,52893.0
2010-03-18,CPIX,11.39,16663.0
2010-03-19,CPIX,11.44,124207.0
2010-03-22,CPIX,11.5,73991.0
2010-03-23,CPIX,11.57,53614.0
2010-03-24,CPIX,11.4,56459.0
2010-03-25,CPIX,11.4,49014.0
2010-03-26,CPIX,11.29,132468.0
2010-03-29,CPIX,11.24,68502.0
2010-03-30,CPIX,10.88,122835.0
2010-03-31,CPIX,10.53,110894.0
